,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_028149,1,3,4,3,0,2,6,2,0,5
FUN_028148,2,5,2,6,6,6,6,6,8,2
FUN_003348,169,207,142,160,350,215,166,262,272,303
FUN_003349,550,1437,1903,715,238,227,135,9,9,366
FUN_028143,0,0,0,0,0,0,0,0,0,0
FUN_003347,0,0,0,0,0,0,0,0,0,0
FUN_003344,0,4,0,0,5,9,5,8,5,8
FUN_028140,8,14,14,11,16,6,16,21,0,26
FUN_028147,0,1,0,0,2,2,1,3,4,3
FUN_003343,0,0,0,0,0,0,0,0,0,0
FUN_028145,0,0,0,0,0,0,0,0,0,0
FUN_003341,0,0,0,0,0,0,0,0,0,0
FUN_008019,427,540,606,543,1001,751,655,936,767,1057
FUN_013332,0,0,0,0,0,0,0,0,0,0
FUN_013333,1063,1565,1036,1406,2062,1950,1473,2005,2000,2744
FUN_013330,109,154,132,126,328,144,147,311,187,346
FUN_013331,0,0,0,0,0,0,0,0,0,0
FUN_013336,15,22,14,22,32,24,18,29,22,28
FUN_013337,160,272,300,283,291,272,194,271,221,330
FUN_013334,16,13,18,22,35,25,19,33,27,27
FUN_013335,10868,15007,12145,15489,15927,15344,12261,12485,6778,10440
FUN_013338,145,218,275,299,372,319,244,374,331,457
FUN_013339,0,0,0,0,0,0,0,0,0,0
FUN_010827,63,120,77,37,162,147,56,90,72,233
FUN_010826,138,159,186,156,375,249,160,276,297,420
FUN_010825,46,58,25,47,50,55,64,66,52,73
FUN_010824,308,446,323,314,730,557,430,565,557,746
FUN_010823,151,171,186,107,629,396,112,607,445,778
FUN_010822,8385,12133,7185,8818,12584,9762,8858,10207,10236,13213
FUN_010821,1308,1921,1209,1728,8003,4605,3132,7366,6213,9582
FUN_010820,283,360,494,434,785,553,405,804,651,902
FUN_010829,139,181,141,101,594,371,147,419,355,500
FUN_010828,5,6,7,3,6,0,0,4,2,4
FUN_003968,0,0,0,0,0,0,0,0,0,0
FUN_003969,0,0,0,0,0,0,0,0,0,0
FUN_003962,0,0,0,0,2,0,1,0,0,0
FUN_003963,40,49,16,16,41,28,52,51,58,48
FUN_003960,14,14,16,10,42,17,18,32,19,30
FUN_003961,165,228,226,180,366,257,159,225,225,361
FUN_003966,0,0,0,0,0,0,0,0,0,0
