,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_009655-T1,0,0,0,0,0,0,0,0,0,0
FUN_022590-T1,7,11,16,13,12,2,9,7,9,6
FUN_015428-T1,16,74,53,28,204,437,63,207,373,264
FUN_026563-T1,8,13,15,13,28,23,39,18,26,14
FUN_027997-T1,0,0,0,0,1,0,0,0,0,0
FUN_012817-T1,5,0,0,2,0,6,17,10,9,18
FUN_008325-T1,526,539,537,40,2836,794,22,2115,1715,2377
FUN_022225-T1,31,19,26,15,53,44,38,53,48,81
FUN_006301-T1,149,264,249,219,449,335,247,365,314,432
FUN_002339-T1,0,0,0,0,0,0,0,0,0,0
FUN_004405-T1,0,0,0,0,0,0,0,0,0,0
FUN_009779-T1,56,112,129,107,79,85,101,103,91,122
FUN_021437-T1,0,0,0,0,0,0,0,0,0,0
FUN_017332-T1,1864,2274,2977,2391,4790,3954,2852,4390,3465,5132
FUN_010433-T1,0,0,0,0,0,0,0,0,0,0
FUN_007491-T1,0,0,0,0,0,0,0,0,0,0
FUN_020177-T1,121,136,158,177,169,129,97,163,151,231
FUN_014132-T1,0,0,0,0,0,0,0,0,0,0
FUN_028507-T1,324,712,411,333,585,276,281,627,1565,1159
FUN_017229-T1,0,0,0,0,0,0,0,0,0,0
FUN_003678-T1,0,2,0,0,2,0,0,0,0,5
FUN_023177-T1,0,0,0,0,0,0,0,0,0,0
FUN_022561-T1,650,869,705,595,1179,923,842,1016,1087,1419
FUN_022561-T2,25,53,55,3,108,87,19,119,131,90
FUN_010593-T1,313,471,304,400,680,622,452,680,564,749
FUN_011310-T1,74,187,135,179,110,208,149,185,203,259
FUN_002878-T1,223,346,246,303,524,466,333,496,428,519
FUN_006781-T1,0,0,0,0,0,0,0,0,0,0
FUN_021534-T1,20,32,46,21,44,32,0,33,24,35
FUN_020460-T1,0,0,0,0,0,0,0,0,0,3
FUN_019928-T1,1902,2144,3046,2292,284,819,2076,94,85,231
FUN_024428-T1,187,271,305,252,378,334,258,362,258,489
FUN_018853-T1,0,0,0,0,0,0,0,0,0,0
FUN_009991-T1,434,624,346,472,963,828,540,915,740,946
FUN_013577-T1,34,114,119,75,186,186,94,196,143,204
FUN_023029-T1,0,0,0,0,0,0,0,0,0,0
FUN_014420-T1,332,207,275,85,26,107,132,6,4,26
FUN_002861-T1,0,0,0,0,0,7,0,0,0,0
FUN_028488-T1,0,0,0,0,3,0,3,0,0,0
FUN_011182-T1,1345,2112,2239,2164,3125,2752,1840,2551,2331,3312
FUN_020822-T1,37,74,42,40,148,108,105,136,93,148
FUN_013685-T1,39,93,69,72,123,111,81,137,91,124
FUN_027907-T1,74,82,60,83,49,64,46,24,13,51
FUN_029716-T1,95,99,118,130,195,144,126,222,153,180
FUN_018163-T2,0,0,0,0,51,0,0,0,0,0
FUN_019614-T1,116,149,102,142,298,184,143,283,191,305
FUN_020607-T1,630,906,712,853,1148,1093,745,960,895,1217
FUN_017515-T1,420,702,380,437,1011,892,582,1024,930,1180
FUN_016788-T1,0,0,0,0,0,0,0,0,0,0
FUN_022064-T1,0,0,0,0,0,0,0,0,0,0
FUN_002780-T1,0,0,0,0,0,0,0,0,0,1
FUN_026485-T1,0,0,0,0,0,0,0,0,0,0
FUN_008519-T1,119,89,97,91,88,101,117,66,48,103
FUN_014760-T1,6,28,6,18,31,22,27,25,30,49
FUN_006987-T1,0,0,0,0,0,0,0,0,0,0
FUN_030038-T1,3,0,3,0,4,0,2,2,2,0
FUN_021488-T1,0,0,0,0,0,0,0,0,0,0
FUN_029686-T1,119,182,68,118,307,200,189,351,261,349
FUN_019045-T1,1,1,3,3,4,2,0,2,2,5
FUN_007342-T1,51,88,43,30,90,154,72,138,146,153
FUN_000314-T1,0,0,0,0,0,0,0,0,0,0
FUN_029118-T1,0,0,0,0,0,0,0,0,0,0
FUN_000590-T1,0,0,0,0,0,0,0,0,0,0
FUN_001151-T1,0,0,0,0,0,0,0,0,0,0
FUN_030617-T1,0,0,0,2,347,864,1023,828,729,651
FUN_019680-T1,0,0,0,0,0,0,0,0,0,0
FUN_014632-T1,531,766,716,876,1553,1014,887,1495,1088,1631
FUN_024796-T1,0,8,5,0,0,0,0,0,0,0
FUN_000030-T1,0,0,0,0,0,0,0,0,0,0
