gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FUN_019430,7184.097252,-8.490542633,0.280289886,-30.29200504,1.46E-201,2.71E-197
FUN_017145,554.4039338,6.372792389,0.261288858,24.38983602,2.19E-131,2.03E-127
FUN_012100,1578.153852,-5.475662805,0.257740236,-21.24488942,3.68E-100,2.27E-96
FUN_020139,256.5617682,-3.734305426,0.176540313,-21.15270654,2.61E-99,1.21E-95
FUN_023182,784.7829196,-5.595959147,0.334623981,-16.72312644,8.89E-63,3.30E-59
FUN_021931,3037.14938,3.98481807,0.254150923,15.67894394,2.11E-55,6.51E-52
FUN_019347,406.8070657,-1.720931112,0.112879275,-15.24576688,1.76E-52,4.65E-49
FUN_016783,203.0442859,2.472268655,0.167405407,14.76815291,2.35E-49,5.45E-46
FUN_004454,8481.162312,1.758890573,0.12094407,14.54300792,6.47E-48,1.33E-44
FUN_009488,352.1460942,2.719467964,0.196630077,13.83037636,1.67E-43,3.10E-40
FUN_010782,702.7851412,-2.280757913,0.168739474,-13.51644554,1.25E-41,1.93E-38
FUN_024605,3176.913688,1.839908575,0.136074719,13.5213109,1.17E-41,1.93E-38
FUN_012471,1185.217905,-2.302677663,0.171117262,-13.45672341,2.81E-41,4.01E-38
FUN_000675,1877.770274,-1.210989495,0.091211046,-13.27678547,3.16E-40,4.18E-37
FUN_017865,2653.640789,-8.059197823,0.607977288,-13.25575475,4.18E-40,5.17E-37
FUN_029911,8320.254604,-5.495663135,0.415199275,-13.23620601,5.42E-40,6.28E-37
FUN_021525,383.9559327,-3.30361942,0.251086285,-13.15730734,1.54E-39,1.69E-36
FUN_027549,407.8892223,-4.079175164,0.311525295,-13.09420207,3.55E-39,3.66E-36
FUN_016817,276.052763,2.626029775,0.201854113,13.00954308,1.08E-38,1.05E-35
FUN_017842,2652.231014,1.510622361,0.116335012,12.98510511,1.49E-38,1.38E-35
FUN_015630,2169.307144,2.232076772,0.175493889,12.71882905,4.65E-37,4.10E-34
FUN_012462,7711.517747,-5.819135006,0.466516611,-12.47358586,1.04E-35,8.77E-33
FUN_017495,206.9343991,3.947344879,0.317044789,12.45043292,1.39E-35,1.12E-32
