Name	Description	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819020	SRR6819018	SRR6819019	SRR6819021	SRR6819022	SRR6819023
3-Mar		7.817180848	7.255190688	7.635570326	7.6230109	8.234629803	8.745445348	8.579595456	8.753755517	8.796773278	8.689461739
6-Mar		10.23665364	9.710509065	9.14732623	9.494713455	9.948202325	9.980177036	9.68510157	10.3048041	10.13840293	10.17456356
1-Sep		9.40109157	9.485073243	9.380742732	9.545093755	9.494419489	9.503394943	9.335484054	9.348004097	9.371789246	9.439763223
2-Sep		10.06665287	10.08834395	10.1984755	10.3150688	10.08987989	10.09873609	10.04409336	9.95395308	10.05963247	10.13642612
26S		11.45009795	11.26990062	11.80233677	11.70523184	11.46403417	11.57213121	11.46060379	11.60343661	11.58779881	11.5037325
40S		15.31886565	15.2879053	15.81418202	15.56086057	15.25459529	14.92862513	15.00280704	14.89034191	14.82742608	14.60094168
4EBP		11.74430664	11.99127774	12.18624147	11.92803722	11.73307302	11.37773207	11.39105368	11.40022554	11.32034309	11.11381927
4EHP		10.0171604	10.27417309	10.65053332	10.34807794	10.08839624	10.09394586	10.01778438	10.23833731	10.11143812	10.28401857
5-HT7_2		5.093906737	5.117945865	3.946099288	4.929968294	5.065464587	5.222967076	4.773299285	4.243685492	5.185438369	5.372076104
A4GNT_1		5.826700445	6.074636766	6.450873171	5.348337316	5.942285547	5.136163265	5.536845231	5.235291056	5.769176806	5.479695332
A4GNT_13		3.093322116	4.39402253	4.457116779	4.803224039	4.477910625	3.169380766	4.117127858	3.13780397	3.955930739	4.143976405
A4GNT_14		7.045507337	6.718908547	6.689341836	7.14984079	7.475652081	7.222076967	7.491664174	7.13599454	7.089634652	7.183275436
A4GNT_16		8.158900278	8.772580492	9.25643923	8.576389464	8.229254483	7.026795818	7.804678953	6.359996556	7.328271911	7.537246204
A4GNT_18		4.960621351	5.359298675	4.457116779	5.254562222	5.445170702	5.756713282	5.592233052	5.714028317	5.289518915	5.437606011
A4GNT_19		6.13582711	6.204018744	6.760809548	6.159964352	5.407591256	6.892004682	6.549484348	6.575950285	6.476046065	6.296864163
A4GNT_2		6.794481334	5.881826737	5.509380689	6.924798112	7.44815261	4.261087217	5.746677381	2.856281845	2.688066656	3.319195467
A4GNT_20		6.006535222	6.467229064	6.956147067	6.780856912	6.091940513	5.043800397	6.670225503	4.411749279	4.771623896	4.961195355
