"transcript_id","gene_id"
" FUN_000057-T1","FUN_000057"
" FUN_000056-T1","FUN_000056"
" FUN_000055-T1","FUN_000055"
" FUN_000054-T1","FUN_000054"
" FUN_000053-T1","FUN_000053"
" FUN_000052-T1","FUN_000052"
" FUN_000051-T1","FUN_000051"
" FUN_000050-T1","FUN_000050"
" FUN_000059-T1","FUN_000059"
" FUN_000058-T1","FUN_000058"
" FUN_000133-T1","FUN_000133"
" FUN_000153-T1","FUN_000153"
" FUN_000150-T1","FUN_000150"
" FUN_000151-T1","FUN_000151"
" FUN_000157-T1","FUN_000157"
" FUN_000154-T1","FUN_000154"
" FUN_000155-T1","FUN_000155"
" FUN_000159-T1","FUN_000159"
" FUN_000075-T1","FUN_000075"
" FUN_000074-T1","FUN_000074"
" FUN_000077-T1","FUN_000077"
" FUN_000177-T1","FUN_000177"
" FUN_000172-T1","FUN_000172"
" FUN_000110-T1","FUN_000110"
" FUN_000126-T1","FUN_000126"
" FUN_000125-T1","FUN_000125"
" FUN_000124-T1","FUN_000124"
" FUN_000118-T1","FUN_000118"
" FUN_000119-T1","FUN_000119"
" FUN_000116-T1","FUN_000116"
" FUN_000117-T1","FUN_000117"
" FUN_000115-T1","FUN_000115"
" FUN_000178-T1","FUN_000178"
" FUN_000132-T1","FUN_000132"
" FUN_000136-T1","FUN_000136"
" FUN_000137-T1","FUN_000137"
" FUN_000138-T1","FUN_000138"
" FUN_000139-T1","FUN_000139"
" FUN_000088-T1","FUN_000088"
" FUN_000089-T1","FUN_000089"
" FUN_000084-T1","FUN_000084"
" FUN_000085-T1","FUN_000085"
" FUN_000086-T1","FUN_000086"
" FUN_000087-T1","FUN_000087"
" FUN_000080-T1","FUN_000080"
" FUN_000081-T1","FUN_000081"
" FUN_000082-T1","FUN_000082"
" FUN_000083-T1","FUN_000083"
" FUN_000026-T1","FUN_000026"
" FUN_000027-T1","FUN_000027"
" FUN_000028-T1","FUN_000028"
" FUN_000152-T1","FUN_000152"
" FUN_000156-T1","FUN_000156"
" FUN_000158-T1","FUN_000158"
" FUN_000022-T1","FUN_000022"
" FUN_000023-T1","FUN_000023"
" FUN_000020-T1","FUN_000020"
" FUN_000021-T1","FUN_000021"
" FUN_000024-T1","FUN_000024"
" FUN_000025-T1","FUN_000025"
" FUN_000031-T1","FUN_000031"
" FUN_000033-T1","FUN_000033"
" FUN_000035-T1","FUN_000035"
" FUN_000034-T1","FUN_000034"
" FUN_000008-T1","FUN_000008"
" FUN_000009-T1","FUN_000009"
" FUN_000068-T1","FUN_000068"
" FUN_000069-T1","FUN_000069"
" FUN_000064-T1","FUN_000064"
" FUN_000062-T1","FUN_000062"
" FUN_000063-T1","FUN_000063"
" FUN_000060-T1","FUN_000060"
" FUN_000141-T1","FUN_000141"
" FUN_000140-T1","FUN_000140"
" FUN_000143-T1","FUN_000143"
" FUN_000145-T1","FUN_000145"
" FUN_000144-T1","FUN_000144"
" FUN_000147-T1","FUN_000147"
" FUN_000149-T1","FUN_000149"
" FUN_000215-T1","FUN_000215"
" FUN_000214-T1","FUN_000214"
" FUN_000217-T1","FUN_000217"
" FUN_000216-T1","FUN_000216"
" FUN_000211-T1","FUN_000211"
" FUN_000210-T1","FUN_000210"
" FUN_000213-T1","FUN_000213"
" FUN_000212-T1","FUN_000212"
" FUN_000219-T1","FUN_000219"
" FUN_000218-T1","FUN_000218"
" FUN_000040-T1","FUN_000040"
" FUN_000041-T1","FUN_000041"
" FUN_000042-T1","FUN_000042"
" FUN_000043-T1","FUN_000043"
" FUN_000044-T1","FUN_000044"
" FUN_000045-T1","FUN_000045"
" FUN_000046-T1","FUN_000046"
" FUN_000047-T1","FUN_000047"
" FUN_000048-T1","FUN_000048"
" FUN_000049-T1","FUN_000049"
" FUN_000185-T1","FUN_000185"
" FUN_000184-T1","FUN_000184"
" FUN_000187-T1","FUN_000187"
" FUN_000186-T1","FUN_000186"
" FUN_000181-T1","FUN_000181"
" FUN_000180-T1","FUN_000180"
" FUN_000183-T1","FUN_000183"
" FUN_000182-T1","FUN_000182"
" FUN_000189-T1","FUN_000189"
" FUN_000188-T1","FUN_000188"
" FUN_000239-T1","FUN_000239"
" FUN_000238-T1","FUN_000238"
" FUN_000237-T1","FUN_000237"
" FUN_000236-T1","FUN_000236"
" FUN_000235-T1","FUN_000235"
" FUN_000234-T1","FUN_000234"
" FUN_000233-T1","FUN_000233"
" FUN_000232-T1","FUN_000232"
" FUN_000231-T1","FUN_000231"
" FUN_000230-T1","FUN_000230"
" FUN_000004-T1","FUN_000004"
" FUN_000007-T1","FUN_000007"
" FUN_000001-T1","FUN_000001"
" FUN_000003-T1","FUN_000003"
