"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",9.15237173134697,4.21881409977595,3.04832366066184e-08,0.000247238218654515
"FUN_013025",-1.77976853708895,8.61181085365796,4.72703185123984e-08,0.000247238218654515
"FUN_014060",2.40439217687777,4.45280664625703,6.57018136603349e-08,0.000247238218654515
"FUN_002096",-1.90876065605616,7.21939366547304,8.59872546123595e-08,0.000247238218654515
"FUN_008692",-0.680452983034813,5.02579474182111,8.64408847823632e-08,0.000247238218654515
"FUN_001047",-1.13284252337874,9.82780308004932,1.04411680520174e-07,0.000248865240519836
"FUN_014661",-0.902864022058713,6.61789927676565,1.26774001093536e-07,0.000258999284234094
"FUN_002782",-2.32491209674261,7.34229523377357,1.57533121670517e-07,0.000262433370743756
"FUN_007339",-1.53986085384642,6.88199481537487,1.65156306320803e-07,0.000262433370743756
"FUN_009171",-0.697681346370674,7.99880987499844,2.32136070914721e-07,0.000278321749784554
"FUN_001857",-1.35655322079197,7.39581516162277,2.49946004810691e-07,0.000278321749784554
"FUN_010292",-4.24041556780764,2.26252072962939,2.5357828691502e-07,0.000278321749784554
"FUN_005315",-2.5673284134561,1.98019347578765,2.55322323934883e-07,0.000278321749784554
"FUN_000038",-1.2473904090089,6.08590607027955,2.95073004743562e-07,0.000278321749784554
"FUN_012169",-1.75717947041259,5.16057134625592,3.12568188396099e-07,0.000278321749784554
"FUN_012645",-2.31906344972865,5.59872316243662,3.75913937283975e-07,0.000278321749784554
"FUN_005881",2.45232807860348,5.13935607152927,3.87097383836977e-07,0.000278321749784554
"FUN_002535",-0.590778039878002,9.01148558809641,3.87616837015485e-07,0.000278321749784554
"FUN_002059",3.5995771645611,3.58144475910364,3.95375746828425e-07,0.000278321749784554
"FUN_004521",-1.01960064281544,7.73439834796244,4.32163200251141e-07,0.000278321749784554
"FUN_002486",7.65613977314259,-0.179797339739964,4.60883216791294e-07,0.000278321749784554
"FUN_005765",-1.38252700412452,3.63602650140946,5.17687242248356e-07,0.000278321749784554
"FUN_005924",-4.19199325288582,3.09033307299505,5.31193584722657e-07,0.000278321749784554
"FUN_005595",-1.35167686921167,6.30726882196505,5.86728343721316e-07,0.000278321749784554
"FUN_000190",6.02873235164182,6.02061422831989,6.01672948597794e-07,0.000278321749784554
"FUN_002437",-1.98338333510269,4.61870110926094,6.35084856773108e-07,0.000278321749784554
"FUN_012622",6.38315474517599,6.13537307035546,6.35206314702469e-07,0.000278321749784554
"FUN_005726",1.50137296002117,3.13118568725327,6.46640450273954e-07,0.000278321749784554
"FUN_009386",-1.75773654433836,11.0497553173842,6.71432234936196e-07,0.000278321749784554
"FUN_010397",-0.593117254594295,8.11342178791491,7.17254289437811e-07,0.000278321749784554
"FUN_015188",0.899084258200388,5.11677697844316,7.23967718510302e-07,0.000278321749784554
"FUN_011641",-0.932528595361632,7.40690999248433,7.35009042697863e-07,0.000278321749784554
"FUN_013042",-2.02925390083218,4.76960369455269,7.53481083822766e-07,0.000278321749784554
"FUN_006034",1.47300287711447,7.5922233110255,7.63161025849636e-07,0.000278321749784554
"FUN_007611",-1.4852333848323,5.11479275325904,7.63853498316779e-07,0.000278321749784554
"FUN_003726",-2.74751494974972,3.69856770805451,8.47312534856027e-07,0.000278321749784554
"FUN_015181",3.93878593490382,4.35974726303591,8.56226926257803e-07,0.000278321749784554
"FUN_002163",-0.883265196534923,3.36135018498043,8.89231355862018e-07,0.000278321749784554
"FUN_004647",-0.673924443249972,5.80696938972414,8.91594070264878e-07,0.000278321749784554
"FUN_012929",-0.918039027422132,7.36238661367093,9.00993879824538e-07,0.000278321749784554
"FUN_006020",-2.36016378737524,4.75896614132976,9.02630138202694e-07,0.000278321749784554
"FUN_008302",-1.54300008683862,6.7191712680634,9.12840529594226e-07,0.000278321749784554
"FUN_012956",-2.68495634030433,2.48225501081931,9.14544073178881e-07,0.000278321749784554
"FUN_008871",-3.67186605807343,5.25461558379618,9.24289854084261e-07,0.000278321749784554
"FUN_009385",-1.33814182651433,6.55030644337076,9.42519467016607e-07,0.000278321749784554
