"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.882653597734,2.47762735616134,8.82313315212534e-26,1.05149689340454e-22
"FUN_000887",-10.6675136464257,3.8425492228652,9.54128577984841e-48,4.54833093125373e-44
"FUN_002487",-10.0968874294418,1.71791319794418,1.74633709897714e-16,5.54985930054935e-14
"FUN_002467",-9.46794246201308,6.34817676327786,1.32187054839801e-23,1.26027138084267e-20
"FUN_012054",-9.24149739568961,7.26463316381612,9.34844876151946e-30,1.48546850820544e-26
"FUN_008877",-8.98521432975127,7.87566048569664,1.7287098133573e-46,6.18056976020567e-43
"FUN_002485",-8.68591243332144,3.72731054314252,2.70542620588208e-59,3.86903001703197e-55
"FUN_002466",-8.44959289211095,7.56020794921216,7.10535500089733e-20,3.62906006670831e-17
"FUN_002470",-8.35531950187967,7.14896085810078,4.85376799384973e-16,1.4461195016676e-13
"FUN_012053",-7.78784331467078,7.3016828340726,7.69749285471865e-13,1.11193783146799e-10
"FUN_002486",-7.67664034088072,2.74128055757994,8.70488991736075e-48,4.54833093125373e-44
"FUN_006209",-7.44240940576172,3.92028687460884,1.79522842093462e-30,3.20919520597325e-27
"FUN_011854",-7.39453190036579,1.38804890520938,1.14358003227459e-26,1.6354338041559e-23
"FUN_008903",-7.30729883203045,0.601971766309995,6.03043711552713e-21,3.74962092126754e-18
"FUN_010492",-7.04835062808073,2.36258496624182,4.27428561598979e-26,5.55695987220636e-23
"FUN_014624",-7.02110935643802,1.02210656353571,3.30070405871408e-21,2.14560767016682e-18
"FUN_005334",-6.74144427681646,4.18272567181305,3.22561940507855e-37,9.22591662240566e-34
"FUN_012690",-6.65007790553555,2.18452535477122,6.98630917165534e-32,1.42730296376919e-28
"FUN_008732",-6.60946273757293,1.35845155158535,2.4076036074314e-07,7.7636878672352e-06
"FUN_005514",-6.54793893320155,3.9705724986527,4.67800594666497e-24,5.14616638794275e-21
"FUN_012623",-6.16328707286997,2.93871143693653,1.87374569594103e-12,2.43603974524115e-10
"FUN_002465",-6.13326716170949,5.2371411706006,2.0527469753706e-08,9.06626980444499e-07
"FUN_003235",-6.11209114897068,3.26942995264255,5.78955189066281e-13,8.90283672993213e-11
"FUN_003330",-6.04396712703284,0.945590862640345,5.74330013715426e-16,1.67622316860088e-13
"FUN_014788",-6.03573130288864,4.79074751051176,2.12601705427861e-05,0.000362385815175666
"FUN_004069",-6.01296460081693,5.41503808154767,3.18303613013776e-06,7.17990531500001e-05
"FUN_012622",-6.00250159783109,8.40708282658574,2.10265081178328e-21,1.43190520282442e-18
"FUN_005722",-5.9995016009771,4.99220874508338,6.84929321577248e-35,1.63252903797937e-31
"FUN_002469",-5.9248555052942,7.09258479354699,6.3006051712155e-12,7.1511868693296e-10
"FUN_000190",-5.71880957440208,8.16850221471108,1.44094299850403e-19,6.8689752738687e-17
"FUN_010552",-5.59028497693938,4.70225017781342,1.3303455269254e-09,8.20054800886213e-08
"FUN_002468",-5.57949983011412,5.03499468653447,1.62945316318763e-16,5.36930658743458e-14
"FUN_012575",-5.53815482787246,5.52037074803699,1.53405212853016e-17,5.7732840763447e-15
"FUN_002488",-5.48874024442019,4.1417707129048,0.000833375755408674,0.00843461194486868
"FUN_004335",-5.48241903140492,6.04773444723929,2.03893982354245e-13,3.73831774570264e-11
"FUN_008657",-5.40142996864756,3.25543537276933,8.02149518255279e-07,2.18922524056656e-05
"FUN_000231",-5.38328942582156,5.89588428958508,1.70262790949336e-08,7.7545483228231e-07
"FUN_000823",-5.29856335912272,6.61196520381969,2.91192481346048e-14,6.4066825780459e-12
"FUN_013377",-5.25303138707484,3.64137396090918,7.2393985582229e-14,1.45817801100205e-11
"FUN_010322",-5.25166808239204,7.0111342263688,7.80082325677831e-08,2.92040768050227e-06
"FUN_004907",-5.2002122928929,6.56020749947018,0.000120587497557953,0.00159132544893418
"FUN_008133",-5.17709116626395,7.14233031742305,8.43696702684119e-05,0.00116802580300925
