"X","logFC","meanExpr","pval","adj.pval"
"FUN_013139","-10.4039931411403",156.482486387215,1.17524371433293e-17,8.82501189126361e-16
"FUN_000887","-10.1030334556335",542.326382323387,1.7365452239106e-30,7.91385575144911e-28
"FUN_012054","-9.49345559402487",3873.59859733108,4.284192624386e-27,1.2582197716419e-24
"FUN_002467","-9.16546528110351",3006.84042493909,7.66634349082528e-17,5.19581515767933e-15
"FUN_008877","-8.96079427579654",5842.25515079321,1.75353039495683e-179,2.31746576997495e-175
"FUN_002485","-8.3936945412687",86.5604471809066,7.2558276134469e-18,5.67414306149788e-16
"FUN_002466","-8.38723136731757",5032.94646615689,1.75715511227441e-16,1.08516644690741e-14
"FUN_002470","-8.27407206215948",2867.91500242382,1.57700589588089e-13,6.24003291016821e-12
"FUN_010492","-8.15247994572448",140.546212248875,3.251004346939e-23,5.37065918114323e-21
"FUN_012690","-8.06790515234441",100.087600791877,9.42749214558785e-21,1.17541260562348e-18
"FUN_012053","-7.7049800905548",3711.23440302529,3.12375993777254e-14,1.3764415635166e-12
"FUN_002487","-7.63585255470951",51.3405930432609,1.03285005604755e-08,1.72132992947344e-07
"FUN_005334","-7.40342522955343",610.943102385508,2.14460693326157e-39,3.54289065374812e-36
"FUN_006209","-7.30605963291253",282.053390686396,3.08648002835133e-22,4.53232445052124e-20
"FUN_014624","-7.28254901904598",40.2183535728346,5.65990557122098e-13,2.07205850496555e-11
"FUN_008732","-7.01903103652544",58.6327449609629,8.28437871072335e-05,0.000521611953506049
"FUN_005514","-6.87123724911068",472.519829789365,1.9734096423894e-18,1.69354427492327e-16
"FUN_011854","-6.62496066248646",145.404502434033,2.50316995857978e-33,1.50372246239047e-30
"FUN_012623","-6.37424833026083",577.211501810862,7.86289342352097e-07,8.52666369573458e-06
"FUN_002486","-6.02241109139817",266.489441842066,0.00047416316956965,0.00234451388867485
"FUN_004069","-5.95750482205379",869.151163433401,0.00088150036727756,0.00398560001845372
"FUN_003330","-5.93890955461422",47.8761477627085,5.95685977276886e-14,2.52326470374722e-12
"FUN_014788","-5.92116481160396",857.416461588852,0.000116297040068661,0.000700858039921306
"FUN_012622","-5.91309639140825",10827.0698338686,8.96523295907772e-35,7.40528242419819e-32
"FUN_003235","-5.85092797452198",223.388796729337,1.38908971457479e-05,0.000110458541924311
"FUN_002465","-5.83093333093841",925.872809820521,8.19544693817125e-09,1.39217258013973e-07
"FUN_002469","-5.70685767231913",3783.4913783445,1.5326050468083e-11,4.4128340519866e-10
"FUN_000190","-5.55345961445906",10597.7140964678,4.28691690366084e-34,2.83279468993908e-31
"FUN_005722","-5.52829607215051",884.832083264246,1.59774243783289e-62,1.05578820291998e-58
"FUN_002468","-5.40140026561163",815.641393197102,1.06165373330954e-10,2.6225823811998e-09
"FUN_002475","-5.38515779875982",2169.06152294436,1.71684687595167e-09,3.44212927444813e-08
"FUN_010552","-5.3529416880729",533.136752917104,2.36506646989537e-06,2.28354489349032e-05
"FUN_005461","-5.34465865025674",118.893311053165,0.000179484672553985,0.00101893016858826
"FUN_004335","-5.33951316698309",1362.87424569959,1.69104254577648e-10,4.07825151185802e-09
