"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.3697586830016,2.85923780035614,7.03437198733812e-29,1.00598553790922e-25
"FUN_000887",-9.96698024096384,4.63746220061722,2.53617745174106e-54,3.62698737373488e-50
"FUN_012054",-9.48560675960932,7.46419492149458,5.53634894598383e-27,7.19775693422862e-24
"FUN_002467",-9.16792754578947,7.10122405330991,7.7172329978393e-21,5.25543567152856e-18
"FUN_008877",-8.99054278028969,8.05648620984404,5.28180770943265e-53,3.77675660262982e-49
"FUN_002466",-8.39869336350596,7.8414284679865,2.18958958351872e-17,9.48888504057611e-15
"FUN_002470",-8.27399611882574,7.03000871249966,4.21389944186084e-14,8.86220234088998e-12
"FUN_002485",-8.1672163392686,2.03024018806901,2.59906841198011e-34,5.30989676567537e-31
"FUN_010492",-8.02536355623204,2.71241856290458,7.10937746677702e-35,1.6945201192063e-31
"FUN_012690",-7.89121627469857,2.23416062827143,1.21272072002889e-42,5.78103967237772e-39
"FUN_012053",-7.71489258326882,7.40078321443287,2.91772006329156e-14,6.51973666017697e-12
"FUN_002487",-7.42348349804657,1.30972801330354,4.49246289588716e-14,9.17810169629747e-12
"FUN_005334",-7.41821354654525,4.81641457540946,2.12207985627463e-41,7.58696600614586e-38
"FUN_006209",-7.29184361588653,3.69410736496639,2.00615088982878e-30,3.18777376393794e-27
"FUN_014624",-7.05711690544455,0.971491914472302,4.68562057333629e-22,3.72272554551568e-19
"FUN_005514",-6.86127570845704,4.45059082931838,1.201177760511e-26,1.43150359608899e-23
"FUN_008732",-6.83044867396631,1.49506612438209,3.16937975596293e-07,9.5021593060851e-06
"FUN_011854",-6.60889542472901,2.76104021109688,7.20603545220399e-32,1.28816891252461e-28
"FUN_012623",-6.376929310141,4.72191996152325,7.3055741949579e-10,4.74895529827695e-08
"FUN_002486",-6.01296748219089,3.61931698904987,1.44236317563469e-08,6.697154472322e-07
"FUN_014788",-5.98322499082314,5.30042636117859,2.07355534548448e-05,0.000351349703741394
"FUN_004069",-5.98091309259034,5.31670540916335,3.11410545424469e-06,6.86206812036261e-05
"FUN_012622",-5.96797628757688,8.94811180689851,3.47720419898844e-21,2.48637486248668e-18
"FUN_003330",-5.87225046305126,1.2039261690902,4.05288704262184e-16,1.48616250247526e-13
"FUN_002465",-5.85070110966838,5.40636191224787,5.64717899972439e-11,5.14396859076806e-09
"FUN_003235",-5.82816205234332,3.36257529727347,1.59139273213485e-10,1.25046744298135e-08
"FUN_002469",-5.71955675094061,7.42924222230964,5.9807606808401e-12,6.57929680743802e-10
"FUN_000190",-5.56708046265281,8.91680928998785,1.2278168912265e-19,7.31625390059588e-17
"FUN_005722",-5.55540616586762,5.3365224099886,3.58443558422071e-35,1.02522026579881e-31
"FUN_002468",-5.44149869813539,5.22330018955585,5.15745261453904e-15,1.25011406509361e-12
"FUN_002475",-5.413081599541,6.63179682249185,9.80641450434862e-11,8.49948689858725e-09
"FUN_004335",-5.37858136352629,5.96181458167742,1.56167171188027e-12,2.01202406771169e-10
"FUN_010552",-5.37853987752487,4.604822936929,7.3268446066178e-09,3.76910808342594e-07
"FUN_000823",-5.33338818849233,7.04136957047431,6.67955409503236e-14,1.32577310808702e-11
"FUN_005461",-5.3246646586622,2.47065352921861,2.48289434050531e-08,1.04434917539901e-06
"FUN_000231",-5.31505057384275,5.73319432949152,4.82571713352279e-08,1.88558963733632e-06
"FUN_003027",-5.29779064949566,1.30237341087648,1.81011393679004e-13,3.01005109419004e-11
"FUN_002488",-5.26415287131045,4.71442463729101,0.0008439602674309,0.00855384534693784
"FUN_013377",-5.22220693456011,3.59901741030634,1.70906355584374e-13,2.90968070382396e-11
"FUN_004907",-5.18126682206759,6.65614531627252,5.67818157580361e-05,0.000824402788990532
