"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",8.91124806471074,4.43034923832643,4.46265310602061e-09,4.37841960773284e-05
"FUN_006770",-1.24714966592475,3.18095461162991,6.12323558874602e-09,4.37841960773284e-05
"FUN_013025",-1.75905948475922,8.3636810809435,3.97859649268811e-08,0.000173493283621269
"FUN_005765",-1.30049171456019,4.12010214270732,4.85261963838248e-08,0.000173493283621269
"FUN_014060",2.42093330187055,4.71653634429144,6.93147980486233e-08,0.000176027303552926
"FUN_001047",-1.1069960344217,9.7137174929023,1.38616705584656e-07,0.000176027303552926
"FUN_006745",-2.38874515579025,2.99651042738321,1.55897953548072e-07,0.000176027303552926
"FUN_007339",-1.51628839871701,6.91870868894851,1.71690731239262e-07,0.000176027303552926
"FUN_002096",-1.83370557990848,7.16636298366573,1.73626814506718e-07,0.000176027303552926
"FUN_000473",-1.5005960372716,4.06130824350573,2.01378347078821e-07,0.000176027303552926
"FUN_014661",-0.883801758449701,6.39462486784506,2.06768579010765e-07,0.000176027303552926
"FUN_002782",-2.30002475038239,7.29734496191149,2.07798720710792e-07,0.000176027303552926
"FUN_005881",2.15164782847036,5.37792099295299,2.1096363882363e-07,0.000176027303552926
"FUN_016443",-2.91501332496945,4.40924019833956,2.40524345283684e-07,0.000176027303552926
"FUN_001857",-1.36982395056788,7.61582395122972,2.59437451896095e-07,0.000176027303552926
"FUN_009171",-0.664650263462823,7.84676845315268,2.61535769632416e-07,0.000176027303552926
"FUN_015181",3.78868189611385,4.46567119751533,2.79071719697532e-07,0.000176027303552926
"FUN_002437",-1.9180224663609,4.83463661317816,2.86687058003837e-07,0.000176027303552926
"FUN_000344",-1.92217055764114,4.15066734751601,2.9864924260187e-07,0.000176027303552926
"FUN_005595",-1.32430356849952,6.16680695079576,2.99996691301236e-07,0.000176027303552926
"FUN_012645",-2.30414306714955,5.39110846639955,3.15764739837937e-07,0.000176027303552926
"FUN_003255",-1.21328982799802,3.49574888771884,3.2322958624031e-07,0.000176027303552926
"FUN_012169",-1.71056599408854,4.94102015668267,3.23298572490064e-07,0.000176027303552926
"FUN_001495",-0.988153270137594,4.50593175736925,3.24680392255197e-07,0.000176027303552926
"FUN_001926",1.03352601023038,6.84116960437454,3.29983800653453e-07,0.000176027303552926
"FUN_012956",-2.49114826433883,2.64617802098032,3.41291036652267e-07,0.000176027303552926
"FUN_002467",10.0975439719623,2.7103410404992,3.41779903016311e-07,0.000176027303552926
"FUN_012575",5.47172902040084,5.20031824162351,3.65647075975781e-07,0.000176027303552926
"FUN_003726",-2.64893939339764,3.60731569158072,3.81446668055908e-07,0.000176027303552926
"FUN_004521",-0.979754057732384,7.45269839629977,4.192002080725e-07,0.000176027303552926
"FUN_006034",1.47357647972131,7.52952313805508,4.29310724225904e-07,0.000176027303552926
"FUN_006584",3.23621519931468,3.4924576795889,4.38699813150576e-07,0.000176027303552926
"FUN_010292",-3.84970452818197,1.51419118245628,4.44474609849012e-07,0.000176027303552926
"FUN_000038",-1.23810579531966,5.84230936841289,4.48168140548198e-07,0.000176027303552926
"FUN_015188",0.888367958984711,4.93111466625244,4.53287477128281e-07,0.000176027303552926
"FUN_008692",-0.648069260117314,4.84882660455592,4.5811932625206e-07,0.000176027303552926
"FUN_014848",-3.45826577296116,3.90935891042705,4.70221805483332e-07,0.000176027303552926
"FUN_000190",5.75546776309166,6.90249917726353,4.71096412273813e-07,0.000176027303552926
"FUN_005924",-4.51687472467463,3.86789960093001,4.80040894941901e-07,0.000176027303552926
"FUN_008006",1.64278492223851,3.91185665495576,5.18975257495701e-07,0.00018554662893615
"FUN_002485",9.18199933974435,2.40668667249698,5.53821707586248e-07,0.000187624396847885
"FUN_002486",9.18199933974435,2.40668667249698,5.53821707586248e-07,0.000187624396847885
"FUN_002954",-0.926846980663054,5.42430237039544,5.64145798507732e-07,0.000187624396847885
"FUN_002059",3.56044708741079,3.53669503141538,6.11915682838862e-07,0.000196064113792541
"FUN_014838",-2.67888066427987,4.56290963396251,6.16941830687669e-07,0.000196064113792541
"FUN_011641",-0.91002487506975,7.15541831788041,6.49687974859473e-07,0.000198976363414709
"FUN_008302",-1.50187039341647,6.53976867635447,6.58162368473028e-07,0.000198976363414709
"FUN_003016",2.74382629434658,6.98142121588324,6.79191683514205e-07,0.000198976363414709
"FUN_001563",-1.62847172821783,6.42661603623407,6.96432863517424e-07,0.000198976363414709
"FUN_010077",1.12063047502362,5.34431887533147,6.96714713213952e-07,0.000198976363414709
"FUN_010594",-1.88479351876204,6.28128781059087,7.19041590667379e-07,0.000198976363414709
"FUN_007611",-1.43466582504866,5.38811014453549,7.54294043372389e-07,0.000198976363414709
"FUN_009386",-1.73940203620121,10.9820520457506,7.54392864266043e-07,0.000198976363414709
"FUN_013013",-2.27882118208882,5.1989751658439,7.61685173511994e-07,0.000198976363414709
"FUN_012622",6.27317184222114,6.71132275258705,7.6524019214104e-07,0.000198976363414709
"FUN_010288",-5.08520805489757,3.03211694969777,8.11031269800513e-07,0.000207117110525306
"FUN_015615",1.33459891759195,4.37133597964045,8.32644878120759e-07,0.000208000434672358
"FUN_009116",-3.95861575631684,1.92018544499487,8.43579135095223e-07,0.000208000434672358
"FUN_011892",-1.72912698922085,4.87300604581336,8.64597004756583e-07,0.000209569521441083
"FUN_010950",-1.99353184772801,7.4205442361839,8.85409290124648e-07,0.00021103730430121
"FUN_000405",-0.884009030243384,6.10516767061961,9.04409548528471e-07,0.000212032146778781
"FUN_008871",-3.57741044830847,5.29308550694213,9.42265281241591e-07,0.000214800979489369
"FUN_008547",1.66536456945593,2.66478317209525,9.86787937185606e-07,0.000214800979489369
"FUN_003017",2.42133349930492,6.22781665131694,1.00099308416294e-06,0.000214800979489369
"FUN_008022",-3.14028166409354,1.23367114768173,1.00313500593727e-06,0.000214800979489369
"FUN_009385",-1.29141009512582,6.42800328478697,1.00537114104992e-06,0.000214800979489369
"FUN_012929",-0.893390611507465,7.20228688328954,1.01383671618335e-06,0.000214800979489369
"FUN_002163",-0.930416783736142,3.36299090332189,1.02949910381052e-06,0.000214800979489369
"FUN_006580",-3.35262436075686,3.61683885830557,1.04555239570976e-06,0.000214800979489369
"FUN_010835",1.82825569630968,3.62284474626552,1.07003688018915e-06,0.000214800979489369
"FUN_000775",1.16628493676886,3.09358370270559,1.07842931994195e-06,0.000214800979489369
"FUN_002259",-2.32262731377023,3.79402588350211,1.08143979604465e-06,0.000214800979489369
"FUN_004874",1.00428779469426,3.68339443213991,1.1639785326511e-06,0.000225900910948388
"FUN_010002",1.04634373336699,3.72951695696147,1.16891597861553e-06,0.000225900910948388
"FUN_002347",-1.26705110868433,4.13189904387008,1.18580569124802e-06,0.000226109429207172
"FUN_014715",-4.39694337334282,5.64734024260757,1.37543925868226e-06,0.000258036252312091
"FUN_009349",-1.9500680230509,7.13071708251276,1.38932881812678e-06,0.000258036252312091
"FUN_012014",2.52591064008095,5.08023102065546,1.44446789917247e-06,0.000264837633667506
"FUN_004788",-2.68795922495256,2.39434816417115,1.49214364703422e-06,0.000266739328702955
"FUN_004789",-2.68795922495256,2.39434816417115,1.49214364703422e-06,0.000266739328702955
"FUN_000823",5.9516573946832,4.83598699131866,1.53380683042589e-06,0.000270802117060749
"FUN_007232",-2.5319595809832,7.29882464091419,1.59712154252554e-06,0.000272126367058877
"FUN_002466",9.29267085372241,3.71437714189952,1.61635600950893e-06,0.000272126367058877
"FUN_001270",-1.03487334070947,6.57148180182818,1.62431984258272e-06,0.000272126367058877
"FUN_008000",-1.02510420546151,5.77414163164914,1.65884620632545e-06,0.000272126367058877
"FUN_008447",0.930970644488014,7.64423063947297,1.67254554444374e-06,0.000272126367058877
"FUN_000540",-2.61412626359549,3.84951438036608,1.67534238689141e-06,0.000272126367058877
"FUN_000510",-1.10331768964399,5.08454758628839,1.69097936311732e-06,0.000272126367058877
"FUN_002553",-3.40662466192037,4.21795440904112,1.69353518412978e-06,0.000272126367058877
"FUN_003340",-4.4854984769069,3.87267739701319,1.75090293924228e-06,0.000278218477045599
"FUN_013170",-2.85831630597649,2.57073096553692,1.78845060913984e-06,0.000278810288435191
"FUN_000128",-0.664892602434229,6.86093200260967,1.79361908510157e-06,0.000278810288435191
"FUN_006769",-1.54710770531278,9.23671345751733,1.84521819816932e-06,0.000283746940344295
"FUN_008979",1.06859495988083,5.83519558236055,1.87098665561705e-06,0.00028464872512744
"FUN_001618",-3.8097127512412,5.51731845284168,1.90869764533426e-06,0.000287329316062371
"FUN_015137",-1.58943376701033,3.91091211221895,1.98418703197353e-06,0.000295581861919306
"FUN_010175",-0.971724240990279,7.11274973706006,2.0224619202843e-06,0.000297055923251668
"FUN_013855",-1.53916745381938,8.10802642322432,2.04764428846414e-06,0.000297055923251668
"FUN_013169",-1.53681653373215,8.57841508749983,2.07645228677335e-06,0.000297055923251668
"FUN_004040",1.50684178182976,3.32788910122571,2.07716889204718e-06,0.000297055923251668
"FUN_004647",-0.669053700731198,5.52212237470917,2.15698746469492e-06,0.000304721562837619
"FUN_010397",-0.556071027480784,8.11101523058158,2.1925859071752e-06,0.000304721562837619
"FUN_013042",-1.97519741011326,4.93085180887236,2.19469414532373e-06,0.000304721562837619
"FUN_008868",3.20478963566071,6.25658272566836,2.23280613539625e-06,0.000305165864826687
"FUN_010840",-1.18294750335808,3.33814635310373,2.24057169476275e-06,0.000305165864826687
"FUN_006187",4.72826783051139,7.24759894130329,2.32884090704999e-06,0.000314195790676621
"FUN_003883",-0.806774660780073,6.95537220750271,2.39458614530999e-06,0.000315651525415876
"FUN_015267",-0.628871852394463,4.9782216300369,2.40998613368978e-06,0.000315651525415876
"FUN_006020",-2.32449199302643,4.90034578161642,2.4145980090983e-06,0.000315651525415876
"FUN_014664",1.94574193276516,5.62264280565178,2.45734459881425e-06,0.000315651525415876
"FUN_002784",3.3816418864923,3.00510268460144,2.49967025938444e-06,0.000315651525415876
"FUN_008008",1.09920228897264,7.61798709838183,2.51201140965622e-06,0.000315651525415876
"FUN_014263",-0.732554121941781,5.08150748623654,2.51394770339972e-06,0.000315651525415876
"FUN_007919",-2.11492536688133,3.46072089230463,2.51620683150897e-06,0.000315651525415876
"FUN_002868",-2.80694098594141,6.43433111991529,2.54459881095688e-06,0.000316437457352125
"FUN_006661",-1.41430293128001,3.48777526485976,2.61671549366342e-06,0.000322600416162763
"FUN_013261",-0.924966463604862,3.85509783355066,2.68722269071574e-06,0.00032594673900856
"FUN_002535",-0.565630605105332,8.53941188354313,2.68944236088456e-06,0.00032594673900856
"FUN_000407",-1.48466317712524,4.18679869148214,2.74196402406367e-06,0.000329519558891886
"FUN_001295",-3.03365339585225,3.39346185132196,2.77214156551194e-06,0.000330369971069885
"FUN_001746",-2.65593352984011,1.33550067953456,2.84804731890334e-06,0.000334737167858489
"FUN_010349",1.64803579667833,6.07679469666009,2.85559992159539e-06,0.000334737167858489
"FUN_013347",0.843567470973769,5.98237423970136,2.94261332422543e-06,0.000341821200084252
"FUN_005722",5.46989966481248,3.410763227956,2.96383671145006e-06,0.000341821200084252
"FUN_007928",-1.66274390266116,3.1645174025821,3.00616311059023e-06,0.000342239194802711
"FUN_001304",-1.09381684810065,3.50941465620926,3.01532330222653e-06,0.000342239194802711
