"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.4382475503755,2.72646511459128,2.1044134230807e-24,2.00634775756514e-21
"FUN_002487",-9.64750382052444,1.97169098260972,2.52830181106407e-15,5.09256960563764e-13
"FUN_002467",-9.11501351846955,6.82085346692281,1.04314320151574e-32,2.13114156069665e-29
"FUN_000887",-9.08676094644341,4.52555859455403,3.04466829693977e-50,2.17709006572679e-46
"FUN_012054",-8.92579006620672,7.35762287271779,1.84291990044728e-33,4.3925995827161e-30
"FUN_008877",-8.77490003575214,7.95159945609307,4.82016601707552e-48,2.2977731403399e-44
"FUN_010698",-8.32424788486888,0.749564756502452,1.58163347047241e-20,7.53964675374196e-18
"FUN_002466",-8.22865554580447,7.46021321544493,4.00349834864444e-22,2.60245590381655e-19
"FUN_002486",-8.14625580578046,6.06448218057761,1.28015443235392e-31,1.83074885370934e-28
"FUN_002485",-8.14625148037843,6.06448218057761,1.26875438341804e-31,1.83074885370934e-28
"FUN_002470",-8.1453161318705,6.93688570738881,1.37263833503804e-19,5.60860023696542e-17
"FUN_012053",-7.60401210047783,7.33055358520062,1.40946122075083e-16,3.37599994861787e-14
"FUN_005334",-7.10744506473882,4.81381342695177,1.18623896015269e-50,1.69644033691436e-46
"FUN_008732",-6.89314075673292,1.52838535756726,6.85769784226942e-09,2.91880764411592e-07
"FUN_006209",-6.82919385010187,3.65716427483329,2.74134137650237e-31,3.56399300230549e-28
"FUN_005514",-6.69703716848902,4.35935767913133,4.58484250592767e-35,1.31135665354543e-31
"FUN_012690",-6.49615531117616,-0.746612802786675,4.15113205025537e-09,1.89061590607331e-07
"FUN_004069",-6.13351435432129,5.76617264096875,3.92213981415479e-08,1.29151071703405e-06
"FUN_012623",-6.00370582577644,4.73989205840364,1.5451749508727e-14,2.48287044634051e-12
"FUN_012622",-5.9038297762824,8.91069509446656,8.20362434605635e-22,4.88833465720633e-19
"FUN_011854",-5.90359031292023,2.73051735954822,4.22902009276959e-29,5.03993469555816e-26
"FUN_002465",-5.76699601036475,5.37612178511953,6.1573524419144e-09,2.70111341324594e-07
"FUN_008903",-5.60415253693426,4.18495454665955,5.8050605488655e-32,1.03772713636657e-28
"FUN_003235",-5.58548278644137,3.32448531748127,3.18203900926615e-12,3.05411676990035e-10
"FUN_014788",-5.57648368345224,4.93336889546085,3.97039766985759e-05,0.000544397479162352
