"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.157055182532,2.66372806907314,6.4791701577451e-23,4.63293062129563e-20
"FUN_008877",-9.01740492581521,7.50670355682797,1.23638310006569e-49,1.76815147140394e-45
"FUN_000887",-8.98649002127326,4.28947026767431,5.32189078162576e-49,3.8054180034015e-45
"FUN_012054",-8.84946471943116,7.06348890523726,2.55039297448691e-35,4.0525744364597e-32
"FUN_002467",-8.70666834139489,6.18547151160355,5.38245803236453e-32,7.69745323208451e-29
"FUN_002487",-8.3120676783835,0.959032464895458,4.27412154143906e-11,3.10275188650355e-09
"FUN_002486",-8.16021526018113,5.87249313774838,1.28995834813687e-39,2.63538490524362e-36
"FUN_002485",-8.16021456436306,5.87249313774838,1.28791272866737e-39,2.63538490524362e-36
"FUN_002466",-8.14698433396022,7.51090925715251,5.19342955267796e-21,2.85658600126337e-18
"FUN_002470",-8.01219852087078,6.8466305956685,2.60381485325512e-18,8.09503396008727e-16
"FUN_008473",-7.73666406211623,0.44926059589412,6.25121806852785e-21,3.1928096285006e-18
"FUN_012053",-7.52178216737371,6.99150125913599,7.31504910205909e-16,1.47341573533165e-13
"FUN_005334",-7.10811199016189,4.47302437780843,1.45213552514255e-46,6.92233004835452e-43
"FUN_008732",-6.60428016754329,1.48297329979616,6.63194650487203e-08,2.03964445088548e-06
"FUN_005514",-6.5595714277448,4.37697712629323,1.28606604471722e-35,2.29900381318761e-32
"FUN_006209",-6.45423258449531,3.25598540378676,5.38135610481703e-27,5.49705526107059e-24
"FUN_010492",-6.28134300640587,1.68576685681357,3.93493195710851e-21,2.25093847674435e-18
"FUN_011854",-6.21289199468557,2.46401058586153,6.24418281992811e-29,7.44150487564933e-26
"FUN_014624",-6.14376993762279,1.12254592120063,4.38137333486728e-18,1.30537541795702e-15
"FUN_014788",-6.0440232224275,4.81157343432562,3.52691949648991e-05,0.000492082689944412
"FUN_012623",-5.92480963467233,4.22615267355051,6.44300707977257e-20,2.71004247787728e-17
"FUN_004069",-5.90482516421922,5.86312158939754,1.6199017372618e-07,4.40422333547167e-06
"FUN_012622",-5.83213189669839,8.81340644547476,6.03665601509649e-21,3.1928096285006e-18
"FUN_008903",-5.79116385993988,4.10931219005511,4.26643012633826e-40,1.22028434473527e-36
"FUN_002469",-5.72403337083241,7.25789766888604,5.66947999463258e-13,6.14236616691216e-11
"FUN_002465",-5.67037577201843,5.36154910176348,3.91261304932584e-09,1.75956852888078e-07
"FUN_003235",-5.53103710254161,3.28490640315677,1.11157240793009e-13,1.41933901837573e-11
"FUN_008657",-5.4851249494694,3.89392202867665,3.70146457270279e-08,1.21688838745339e-06
"FUN_000190",-5.46862352282062,8.82685356061324,4.36565123188196e-20,1.89191449294375e-17
"FUN_005722",-5.43999273233917,5.14965319700399,8.21799843113839e-41,2.93813988909275e-37
"FUN_002468",-5.42040422489825,5.0495513908554,1.72027574634392e-20,8.20055448282147e-18
"FUN_000231",-5.41463102804756,5.32603584037177,1.49753796083361e-11,1.22493688390155e-09
"FUN_002475",-5.3601171373228,8.05006847180928,1.12650892182368e-11,9.64682879700622e-10
"FUN_003330",-5.23759461560221,1.09873831437286,7.19186098222735e-17,1.83662149833631e-14
"FUN_004335",-5.21727104893729,5.30927703991348,2.77132243396998e-19,9.90817053205117e-17
"FUN_010552",-5.20214630973045,4.23937259067556,2.70723752611615e-11,2.07038523320787e-09
"FUN_012690",-5.18935315164956,-1.37507467132667,4.03734169675999e-05,0.000551988753397367
"FUN_012575",-5.16928104793758,6.76588699874582,1.15812023428021e-19,4.60063263067814e-17
"FUN_000823",-5.12928138308747,6.45687971589119,4.03689695695839e-14,5.60501586227785e-12
"FUN_007703",-5.1001044077381,4.83053525675925,5.12009053159407e-09,2.20549441844358e-07
"FUN_004907",-5.09089532008822,6.07631469000577,6.95732420314148e-05,0.00090369385494211
"FUN_010322",-5.07902568521282,7.07577493413976,3.85868842094318e-09,1.74079189614853e-07
"FUN_008133",-5.00487240036448,8.35814733409442,0.000174760428757985,0.00204020317687179
"FUN_003027",-5.00023884969506,1.36931461322595,1.68371559969779e-16,4.15152013642726e-14
"FUN_002488",-4.89035145201793,4.76888466046126,0.00111973605380176,0.0103378601067908
"FUN_002474",-4.77997582513598,3.60529223699151,3.33445299533888e-06,6.33183139932378e-05
"FUN_000192",-4.73647271097787,9.25611603505751,1.35683017461791e-10,8.54803010009284e-09
"FUN_006082",-4.66150514819569,5.33326205645347,1.87084710300392e-05,0.000286455935974937
"FUN_013377",-4.63233322951011,3.71686515005415,3.36024165577627e-16,7.50856498738381e-14
"FUN_005461",-4.63080372157098,2.52060192380902,4.70099309782247e-09,2.05669817854168e-07
"FUN_010905",-4.58108752646066,1.99451045366622,3.23810488701468e-19,1.12946678022432e-16
"FUN_014388",-4.55621952028526,6.71800200572518,2.38457074160194e-05,0.000350841010037545
"FUN_000885",-4.54689839477844,4.15011548044493,7.44670482608125e-12,6.61461650421043e-10
"FUN_012685",-4.53225064448388,5.82852326495344,0.000146228200478611,0.00174850292227811
"FUN_004073",-4.46102000155055,1.04755684813211,8.39588971686247e-11,5.62185908228768e-09
"FUN_006187",-4.42891565366863,8.39251308003864,1.9771349036924e-16,4.71250104295083e-14
"FUN_008712",-4.3707971680467,2.69118727785436,2.42303451384341e-06,4.82309612011461e-05
"FUN_015771",-4.36463732909896,2.06949912580979,1.10272113336395e-08,4.25067787823124e-07
"FUN_007961",-4.33523923440478,4.51127366527843,1.62756101734226e-07,4.41665087457527e-06
"FUN_014789",-4.31929891238294,5.47632256818395,0.000349694739706662,0.0037516762734771
