"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.8536279996081,2.51548421382924,1.13972626292248e-25,2.03740316075681e-22
"FUN_010492",-10.45711834046,2.12710495004218,4.03733032632176e-33,1.92459536655758e-29
"FUN_002487",-9.89764610000741,1.59449173706568,7.37667294060683e-15,1.75822999539364e-12
"FUN_008732",-9.6851238870977,1.38229944401759,1.10053689088746e-10,9.03448573472627e-09
"FUN_014624",-9.32061536240274,1.0468976227759,2.92067153049536e-21,2.19834334513759e-18
"FUN_002467",-9.31237772209865,6.1641165089102,2.29633208189677e-20,1.49879521372058e-17
"FUN_003027",-9.03982023263015,0.788337024412579,9.51343178217089e-20,4.69143406609744e-17
"FUN_012054",-8.96665722899078,7.18067743130848,4.30587586042245e-20,2.32731639533263e-17
"FUN_008877",-8.81998954257963,7.57003859082026,1.02814178699138e-47,1.47034556957637e-43
"FUN_000887",-8.55799511030009,3.9321763343357,3.45179129081685e-45,2.46820336249859e-41
"FUN_002485",-8.47777130687327,5.87154641912965,9.70751863927521e-26,1.98324605800393e-22
"FUN_002466",-8.41480967243084,7.38767559654652,1.04710227052284e-12,1.39949622156516e-10
"FUN_002470",-8.21597036164549,6.93869457206177,4.44842973606148e-14,8.59689103451558e-12
"FUN_002486",-8.20347590087608,5.73693006654075,6.03785072034232e-23,6.64210024243196e-20
"FUN_009752",-8.10843465780258,-0.0530207801017154,9.89791586143001e-18,3.72500249300817e-15
"FUN_012053",-7.60687964352133,7.18835350511089,1.32036840251128e-15,3.70246833810074e-13
"FUN_002117",-7.27521392654004,-0.761059398763537,5.88364877157921e-13,8.33089713686677e-11
"FUN_016323",-7.24854906788645,-0.778073443186498,2.08672157009544e-10,1.63318436102092e-08
"FUN_013406",-7.06574162451059,-0.925161346738978,1.74691298778021e-11,1.7593382139609e-09
"FUN_005334",-7.04463727276219,4.31613692822086,7.99552756957098e-28,2.85860099431087e-24
"FUN_008733",-6.89736818213362,-1.07694397000953,4.43336920754688e-07,1.36347554918555e-05
"FUN_011854",-6.86417280303705,1.75228917895802,5.62425554047078e-25,8.93694205380807e-22
"FUN_006209",-6.81947039441037,3.65592392332464,5.66314501309346e-26,1.34981061387083e-22
"FUN_005514",-6.67215778389422,4.03687443879796,4.20478921515806e-19,1.79637426263647e-16
"FUN_002464",-6.45067290618796,-1.39881831789745,1.8166077633405e-08,8.65976920784419e-07
"FUN_007244",-6.42366104113286,-1.41517757624924,3.61537104763055e-09,2.1189926783674e-07
"FUN_012623",-6.27664551259793,3.42547065820716,3.50489790384268e-13,5.27616262345833e-11
"FUN_011872",-6.07081361199263,-1.66305590366028,1.70718947782128e-07,5.91150525964217e-06
"FUN_003330",-6.06803103853243,0.993818594696015,8.112685502294e-15,1.90195926833289e-12
"FUN_003577",-6.02621920014179,-1.6944921101807,3.93765931665226e-07,1.22685110865891e-05
"FUN_004069",-6.01423336425999,5.69147775551264,1.3823216769618e-05,0.000263552984401973
