"","logFC","meanExpr","pval","adj.pval"
"FUN_006770",-1.4330311556418,3.10841494180034,9.1644506469149e-09,0.00013106080870153
"FUN_013025",-1.76976319562261,8.40074509808987,5.82601252986366e-08,0.000232304985419415
"FUN_005765",-1.31176367935368,4.19887129262008,8.06200807343294e-08,0.000232304985419415
"FUN_009171",-0.667046501812299,7.70934756029901,8.09519022086107e-08,0.000232304985419415
"FUN_008877",8.98211762440227,4.21993551167018,8.12198396683501e-08,0.000232304985419415
"FUN_001047",-1.10272190249517,9.71934390010415,1.4206872825955e-07,0.000280686098254006
"FUN_007339",-1.50897051797166,6.93077552071202,1.79040647735272e-07,0.000280686098254006
"FUN_002782",-2.29650737689478,7.28369528203967,2.12655419865415e-07,0.000280686098254006
"FUN_002096",-1.82753647855792,7.11360372974772,2.41705078241883e-07,0.000280686098254006
"FUN_001926",1.03268812597526,6.17734885599598,2.42303115555323e-07,0.000280686098254006
"FUN_014060",2.42228242214656,4.82509288015315,2.51431615664058e-07,0.000280686098254006
"FUN_011641",-0.939460617167719,7.14167896353028,2.67849996697685e-07,0.000280686098254006
"FUN_000038",-1.24565166819159,5.81000793109262,3.34267005439084e-07,0.000280686098254006
"FUN_010397",-0.559372390845918,8.1596347314282,3.3559458956976e-07,0.000280686098254006
"FUN_014661",-0.882521984350677,6.42520453806175,3.47769301961835e-07,0.000280686098254006
"FUN_010077",1.14600176104524,5.37508327674732,3.65156335684512e-07,0.000280686098254006
"FUN_010835",1.91355504508392,3.56332826948378,4.97651729595462e-07,0.000280686098254006
"FUN_003726",-2.71211248965678,3.54360506035591,5.14120795460246e-07,0.000280686098254006
"FUN_000344",-1.94606315225129,4.04645113275236,5.26814861774395e-07,0.000280686098254006
"FUN_001857",-1.39336635350959,7.66808675142259,5.30375746030212e-07,0.000280686098254006
"FUN_005881",2.19610792681082,5.51831727804437,5.49084101752216e-07,0.000280686098254006
"FUN_010292",-4.22792353476109,2.49510997284713,5.71318567464059e-07,0.000280686098254006
"FUN_001495",-0.984302016728818,4.4944294353839,5.77119137805348e-07,0.000280686098254006
"FUN_002347",-1.30186503346287,4.15945756787259,5.77260985747317e-07,0.000280686098254006
"FUN_002535",-0.563295903561135,8.99622202280135,5.93547498073137e-07,0.000280686098254006
"FUN_015181",3.74903820426113,4.55665070089293,6.0682703882613e-07,0.000280686098254006
"FUN_002437",-1.94754875186862,4.98035226458449,6.10827828736457e-07,0.000280686098254006
"FUN_008692",-0.618855855153488,4.85152679455747,6.13018611523955e-07,0.000280686098254006
"FUN_006745",-2.42063201556414,2.90980022473037,6.32615821666759e-07,0.000280686098254006
"FUN_004493",0.565161522232764,4.66109516979818,6.50913249332203e-07,0.000280686098254006
"FUN_005595",-1.30071176446416,6.11701029369288,6.61561646104039e-07,0.000280686098254006
"FUN_000190",5.77814077774949,6.84336224036405,6.64869084538587e-07,0.000280686098254006
"FUN_012645",-2.28123935051186,5.42234673636179,6.76826093159882e-07,0.000280686098254006
"FUN_002954",-0.923699845049294,5.32764436953481,6.940781296631e-07,0.000280686098254006
"FUN_007976",0.648701865064242,3.68607133418563,7.04949546267637e-07,0.000280686098254006
"FUN_012956",-2.57496505893998,2.63237044110476,7.17944382253019e-07,0.000280686098254006
"FUN_006418",-1.42347526790065,2.91206433746103,7.26199960520119e-07,0.000280686098254006
"FUN_016443",-2.74365398113852,3.78826891023422,7.46122971063731e-07,0.000280797489715327
"FUN_004521",-1.00431756116317,7.62908359868214,7.74276383331602e-07,0.000281337329805466
"FUN_014515",-0.76388359504392,3.80401970551626,8.02778294025282e-07,0.000281337329805466
"FUN_005315",-2.58203785626622,2.69999704563219,8.11157205439852e-07,0.000281337329805466
"FUN_000128",-0.688397348569674,6.65500333198074,8.49569167773098e-07,0.000281337329805466
"FUN_006034",1.48101886175448,7.56247432466576,8.50794957494221e-07,0.000281337329805466
"FUN_011892",-1.70777159983677,4.92345097181431,8.94909795302918e-07,0.000281337329805466
"FUN_000405",-0.900914358077083,6.08102929502099,9.13370017788739e-07,0.000281337329805466
"FUN_009369",-0.417424405973194,4.6792798082675,9.23807017672016e-07,0.000281337329805466
"FUN_015188",0.900898651662684,4.94130782907359,9.24610481844409e-07,0.000281337329805466
"FUN_015087",0.993980613554972,4.07919787627976,9.63095904673103e-07,0.000286442803783134
"FUN_012169",-1.72764594347519,4.86730904453647,9.81448666902563e-07,0.000286442803783134
"FUN_012575",5.41560634168408,4.51588415422409,1.02619285323933e-06,0.000289120067164894
"FUN_005924",-4.32512520526056,3.53495384502926,1.03105541048945e-06,0.000289120067164894
