"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.1261982254185,2.70916161522112,5.35946609526249e-27,1.27742874380582e-23
"FUN_008732",-9.80996269645292,1.43094153605317,1.60141074814429e-10,1.379625006579e-08
"FUN_002487",-9.75654659355047,1.38919443153926,8.98365759854463e-15,2.1775472426574e-12
"FUN_012054",-9.31203670067442,7.26650144652268,1.23620616314857e-16,4.77810387545612e-14
"FUN_014624",-9.29764199391964,0.954105298747974,1.59540895515148e-22,1.90132862230177e-19
"FUN_000887",-9.25380815580622,4.53202209137403,2.42625308993276e-45,1.73489227195642e-41
"FUN_002467",-9.14186866727926,7.03245931165481,7.31127483950121e-18,3.6054669475761e-15
"FUN_008877",-8.97676071215922,7.78294099317283,3.55154397552086e-52,5.07906303939239e-48
"FUN_002466",-8.38668812134469,7.62695393032784,7.73508297489733e-12,8.64214231437552e-10
"FUN_002485",-8.30351223970643,5.91616988345935,8.23238074373968e-28,2.35462554032442e-24
"FUN_002470",-8.22682469169995,6.82303668942642,2.17453325982887e-11,2.15958334366755e-09
"FUN_012053",-7.6955624844408,7.25447387268984,6.2870593548347e-15,1.60555778274091e-12
"FUN_010492",-7.59940918015009,2.38976290405018,2.82729175519151e-30,1.01082748477484e-26
"FUN_002486",-7.53314067177385,6.00377321424042,1.63163461653605e-15,4.5752954217808e-13
"FUN_005334",-7.44665885657832,4.7277657564303,2.32507230895087e-31,1.10836196967688e-27
"FUN_003057",-7.29451465480546,-0.822769143024638,2.84794110516852e-08,1.21215493288735e-06
"FUN_008733",-7.2153984435796,-0.891382114719389,2.57172155424221e-08,1.11597788113048e-06
"FUN_011854",-6.87075103759512,2.70820469364502,4.19952848659747e-26,6.67305076520338e-23
"FUN_005514",-6.76683287582267,4.41468641069415,2.29070756688758e-26,4.67991555915132e-23
"FUN_006209",-6.70630987218616,3.48801659466635,4.09710173603437e-26,6.67305076520338e-23
"FUN_012623",-6.42384240445358,4.56825086270148,3.96038523333755e-10,3.04502522698711e-08
"FUN_009657",-6.29224821677451,-1.58861698307577,4.55684152654949e-07,1.32185376614978e-05
"FUN_004069",-6.01142464899268,5.63058299646417,1.24165698815454e-05,0.000232919316467624
"FUN_003235",-5.93605525797058,3.26031964615444,7.39334154025766e-09,3.83087599156612e-07
"FUN_012622",-5.8953837007959,8.87005423696018,1.41444301864814e-20,1.18987938880512e-17
"FUN_014788",-5.80907396787885,5.19237885283415,1.98947450829565e-05,0.000346546588832352
"FUN_002465",-5.80122214951893,5.33203487683942,8.55914030383977e-09,4.34057679025576e-07
"FUN_002469",-5.66178365623251,7.39560140478819,3.13604604188747e-12,3.89987777782893e-10
"FUN_003027",-5.6500148938586,1.31229714142342,3.70805400803154e-12,4.39855974762596e-10
"FUN_005722",-5.63725412031221,5.15268019945818,3.94662294324487e-18,2.0903946189387e-15
"FUN_003330",-5.6357728709502,1.07228103253,1.44925340631157e-14,3.39766769896095e-12
"FUN_000190",-5.54237755698584,8.83508272136149,4.76978673443706e-20,3.41063600445922e-17
"FUN_012690",-5.45035789225261,6.56069922067844,2.70555493172935e-12,3.41366437082058e-10
"FUN_002468",-5.40097018326568,5.18747632715478,7.73335485820707e-15,1.94025803205648e-12
"FUN_002475",-5.36657626430226,7.42632598505999,1.33380546010832e-11,1.40255528566243e-09
"FUN_000823",-5.3371620463155,6.75261474317183,4.14969559796609e-13,6.59386630516812e-11
"FUN_000231",-5.32327649300034,5.66704327933561,2.98269504908837e-08,1.25827498221276e-06
"FUN_004335",-5.30454317509902,5.63027574489265,1.84274027141966e-12,2.41770904785069e-10
"FUN_010552",-5.2764752887041,4.45658619510155,4.21200545344783e-09,2.38086521698646e-07
"FUN_008904",-5.21705356446089,2.4950037287951,8.2765048525505e-08,3.08235145563346e-06
"FUN_004907",-5.17361370806211,6.33116162576226,7.9138577378696e-05,0.00112725178794097
"FUN_008657",-5.15359301835134,3.74470295805218,1.08767711698897e-05,0.000207952813503465
"FUN_010322",-5.0870500002503,7.08446051277912,1.48769730407119e-07,5.05357699418576e-06
"FUN_008133",-5.06168250896903,8.05059158729306,0.000179012318690525,0.00228780622841216
"FUN_012575",-5.05624441860993,6.29470152168548,3.17665651852172e-19,1.81717459485516e-16
"FUN_005461",-5.03819840498339,2.47319563400007,7.34940849934241e-08,2.78052621558454e-06
"FUN_002488",-4.97904318529801,4.67208011081148,0.000784369998543337,0.00833378554915918
"FUN_007512",-4.94048476641249,1.22380811381386,0.000962206988580703,0.00986417357970799
"FUN_015771",-4.89908562963076,1.45030509284431,1.13099352484837e-07,3.99366380218678e-06
"FUN_004073",-4.88869243386643,4.7729055247049,0.000214184826484893,0.00267984007310626
"FUN_013377",-4.85364696264171,3.66963374627453,2.01950446231248e-11,2.03386854334723e-09
"FUN_000885",-4.8526140805295,4.54365953711276,2.06953560324387e-09,1.29808897640309e-07
"FUN_007703",-4.84889026668185,5.0944625479955,5.70495978596604e-06,0.000120096758484761
"FUN_008903",-4.80218354924836,4.16025108502149,1.99855117828581e-10,1.66170234887589e-08
"FUN_000192",-4.76885133128187,9.33616407173716,1.82623235803393e-10,1.54538159480729e-08
"FUN_012689",-4.74186469113562,3.46926002016377,1.31516774813979e-09,8.70750646580885e-08
"FUN_010905",-4.64413505093152,2.18411931653803,3.46943389091185e-14,7.29652559910741e-12
"FUN_006082",-4.58790844213855,5.32188891085782,0.00026774584800308,0.00326709332106829
"FUN_002474",-4.58779985313522,3.54481695654346,1.32516261598905e-05,0.000243959200751681
"FUN_014388",-4.56721995927943,6.60978545526928,0.000366173043626566,0.00427480873216614
"FUN_007961",-4.47446172587541,4.45492029389838,5.27721874203482e-05,0.000800980059066314
"FUN_006187",-4.45692584022901,8.5734016623895,2.143893553553e-15,5.67774476099286e-13
"FUN_000815",-4.38220961377595,2.83934179021141,8.60492665779724e-05,0.00120632009683713
"FUN_014789",-4.37402112437047,5.32141133422118,0.00175087544227182,0.0162804094277824
"FUN_000946",-4.36145402152477,3.9937056094529,2.78802984191674e-05,0.000465246380037938
"FUN_008633",-4.35796488816967,1.93883696355033,2.43424114066047e-05,0.00041295471592628
"FUN_004068",-4.3555896225697,4.04872133784887,0.000734688058679092,0.0078820509581168
"FUN_004072",-4.32923201031556,3.97473930684501,0.000739141481171485,0.00792071052639774
"FUN_006445",-4.25429881633628,5.54161269376987,0.000632642190617902,0.00691170051033355
"FUN_003289",-4.24751268591737,3.91174919521615,1.8680865399522e-07,6.15564645342313e-06
"FUN_005294",-4.1711466999154,10.0543594290628,1.67063095510023e-11,1.71882685531572e-09
"FUN_008712",-4.13041282055591,2.65371453138596,1.33686553573679e-05,0.000245739254840255
"FUN_005067",-4.03747632044858,7.89564972565907,7.82679307663862e-06,0.000156546808096516
"FUN_012157",-3.99724459984136,5.67533093637829,1.66937646163695e-16,6.12147507124872e-14
"FUN_000945",-3.97537182897705,3.85512315375308,3.08669749081608e-09,1.8316539757743e-07
"FUN_003300",-3.95163566081444,5.26456682199154,4.86471252466376e-16,1.58114213216401e-13
"FUN_009752",-3.93513574994691,0.601945322137894,4.12152992173122e-09,2.33896823058247e-07
"FUN_001231",-3.92905437700614,0.671134533600524,0.00137866852404108,0.0132949012557731
"FUN_012579",-3.91305745877678,5.74737712206373,1.95672832873558e-07,6.37329015757753e-06
"FUN_004074",-3.82269850879606,1.41133938193892,6.60204598127816e-05,0.000969766595396354
"FUN_008629",-3.82028848080978,5.07473167561892,5.00691866622133e-05,0.00076418296526821
"FUN_005065",-3.81492563285205,3.60315227221172,1.05021939683787e-09,7.11809838586655e-08
"FUN_013367",-3.80022121992483,5.89418505701381,0.00105591588890964,0.0106793869358534
"FUN_013146",-3.78433552607007,1.36135720108304,3.52241727446473e-09,2.04772721309431e-07
"FUN_001254",-3.7820469392946,0.892405411768756,7.49142825375725e-07,2.03292059690669e-05
"FUN_009903",-3.78020342402186,4.89389759310375,1.0446235342986e-10,9.27898208944362e-09
"FUN_015845",-3.76646495594825,6.99789869360045,6.4361958616457e-06,0.000133397155097674
"FUN_015964",-3.76200788019773,6.99204909786066,6.51791885160409e-06,0.000134700516613859
"FUN_003240",-3.74604023954033,2.78991555374434,0.00134808469849449,0.0130616255238277
"FUN_008134",-3.73961367649007,4.81937208452748,0.000135770768148892,0.00180619326074168
