"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",9.15517898820468,4.21781242513662,16.5202248574276,6.24459261699152e-09,8.72869156003075e-05,8.39676061334828
"FUN_013025","FUN_013025",-1.77833374492665,8.61080917901863,-15.0233676885107,1.65238774297787e-08,8.91390535732027e-05,10.2172791599937
"FUN_014060","FUN_014060",2.40657967667359,4.4518049716177,14.4532707486792,2.45091503128057e-08,8.91390535732027e-05,9.6937567070229
"FUN_002096","FUN_002096",-1.90726858567892,7.21839199083371,-14.396601492154,2.55083856269002e-08,8.91390535732027e-05,9.79647357889084
"FUN_002782","FUN_002782",-2.32314579748967,7.34129355913424,-13.776541055577,3.98783802082428e-08,0.000111483999710164,9.35497209397821
"FUN_007339","FUN_007339",-1.53835625396396,6.88099314073554,-13.0847770909835,6.71054222641474e-08,0.000127089962413286,8.83608178090514
"FUN_010292","FUN_010292",-4.23722052478244,2.26151905499006,-12.8262006763152,8.20342354598521e-08,0.000127089962413286,7.81870828734009
"FUN_001047","FUN_001047",-1.1314979531079,9.82680140540999,-12.5982659472168,9.82201520924841e-08,0.000127089962413286,8.4615371352455
"FUN_012645","FUN_012645",-2.31749391545829,5.59772148779728,-12.5889593703675,9.89510231310845e-08,0.000127089962413286,8.45338248744466
"FUN_012169","FUN_012169",-1.75554441840327,5.15956967161659,-12.4610770325741,1.09616674448467e-07,0.000127089962413286,8.35316447600983
"FUN_001857","FUN_001857",-1.35488664091626,7.39481348698344,-12.3693201701915,1.18038378463817e-07,0.000127089962413286,8.26977964026976
"FUN_005881","FUN_005881",2.45455823565436,5.13835439688994,12.3551293673021,1.19402568067774e-07,0.000127089962413286,8.26401175340353
"FUN_002059","FUN_002059",3.60201363285594,3.5804430844643,12.3024084687703,1.24622984100232e-07,0.000127089962413286,7.93447565097923
"FUN_000190","FUN_000190",6.03234288011054,6.01961255368056,12.2135473542225,1.33992768506524e-07,0.000127089962413286,8.08736651766447
"FUN_012622","FUN_012622",6.38568404775536,6.13437139571613,12.1649561934462,1.39438341445393e-07,0.000127089962413286,8.04685521467897
"FUN_005924","FUN_005924",-4.18957503738653,3.08933139835571,-12.0855444755241,1.4886326432252e-07,0.000127089962413286,7.74120236199472
"FUN_000038","FUN_000038",-1.24587614136317,6.08490439564022,-11.9816666385233,1.62252703982898e-07,0.000127089962413286,7.94920048207762
"FUN_002486","FUN_002486",7.71251225610255,-0.180799014379296,11.9444093277467,1.67369624907137e-07,0.000127089962413286,3.43776943353823
"FUN_005315","FUN_005315",-2.56544161277126,1.97919180114832,-11.8279085357973,1.84535643992891e-07,0.000127089962413286,7.31559554095778
"FUN_014661","FUN_014661",-0.901218013836981,6.61689760212632,-11.6270108949035,2.18807997068468e-07,0.000127089962413286,7.6434012899469
"FUN_002437","FUN_002437",-1.9823775420546,4.61769943462161,-11.6214391533429,2.1985219567362e-07,0.000127089962413286,7.66693262324786
"FUN_008871","FUN_008871",-3.67032098289859,5.25361390915684,-11.593188288225,2.25230729343808e-07,0.000127089962413286,7.64338185644647
"FUN_009386","FUN_009386",-1.7563624242827,11.0487536427448,-11.546694730353,2.34396423189089e-07,0.000127089962413286,7.59616445284844
"FUN_015181","FUN_015181",3.94104386727044,4.35874558839658,11.5295248511985,2.3788314285603e-07,0.000127089962413286,7.49416079134935
"FUN_013042","FUN_013042",-2.02764442331906,4.76860201991335,-11.4715033781115,2.50089239784747e-07,0.000127089962413286,7.53718932191365
"FUN_005595","FUN_005595",-1.35028266960412,6.30626714732571,-11.4332998682157,2.58497039554343e-07,0.000127089962413286,7.47565518576172
"FUN_003726","FUN_003726",-2.74557678585804,3.69756603341518,-11.4204313851187,2.61397907215169e-07,0.000127089962413286,7.45783640144345
"FUN_006020","FUN_006020",-2.35758848462312,4.75796446669043,-11.3419569599697,2.79871942848996e-07,0.000127089962413286,7.42696660798697
"FUN_007375","FUN_007375",-4.12726008089565,5.49349544976255,-11.2821126139054,2.94913546037856e-07,0.000127089962413286,7.37582619550873
"FUN_010594","FUN_010594",-1.88661779550866,6.30467347015754,-11.2569346090583,3.01502566944679e-07,0.000127089962413286,7.32071848477318
"FUN_013013","FUN_013013",-2.39066192494374,4.94881054943046,-11.2438563376962,3.0498810995883e-07,0.000127089962413286,7.33796940140204
"FUN_014838","FUN_014838",-2.71963934330007,4.63844156443114,-11.2378579965281,3.06601379035351e-07,0.000127089962413286,7.33919583395205
"FUN_007611","FUN_007611",-1.48369321717025,5.11379107861971,-11.1998890679461,3.17030846179721e-07,0.000127089962413286,7.28754360894021
"FUN_006584","FUN_006584",3.63317785304904,3.38008605470066,11.1708974892757,3.25253901527644e-07,0.000127089962413286,7.04624652043559
"FUN_008302","FUN_008302",-1.5413264818125,6.71816959342407,-11.1540508256758,3.30138479830728e-07,0.000127089962413286,7.22560345146806
"FUN_002485","FUN_002485",9.04355408046713,0.149549390238708,11.1289158882103,3.37574989395606e-07,0.000127089962413286,3.23753955951808
"FUN_006034","FUN_006034",1.47421134299715,7.59122163638616,11.1096178050535,3.43408097998821e-07,0.000127089962413286,7.19102333718744
"FUN_010950","FUN_010950",-2.04011433342449,7.44459117357537,-11.0998442046898,3.46404004222862e-07,0.000127089962413286,7.17980700676514
"FUN_004521","FUN_004521",-1.01810018284747,7.73339667332311,-11.0735890372888,3.54593542289179e-07,0.000127089962413286,7.15680194814313
"FUN_000344","FUN_000344",-2.06643713096848,4.05257304090043,-10.913178155464,4.09430994925947e-07,0.000142711675119713,7.05389545948585
"FUN_009385","FUN_009385",-1.33660476365799,6.54930476873143,-10.8886505955184,4.18599132916601e-07,0.000142711675119713,6.98294224097716
"FUN_012956","FUN_012956",-2.68349343981752,2.48125333617997,-10.8618426191904,4.28875438441967e-07,0.000142733830441472,6.792557059259
"FUN_002868","FUN_002868",-2.88180028952073,6.46590677367985,-10.8301826466202,4.41365934424481e-07,0.000143474721660125,6.93771431311562
"FUN_013170","FUN_013170",-2.94303948878719,2.36462671854049,-10.802648581301,4.52550250395677e-07,0.000143515264595766,6.69369750284697
"FUN_006580","FUN_006580",-3.41686704202379,3.90848818312466,-10.7697548203096,4.6631687232942e-07,0.000143515264595766,6.90691283699867
"FUN_006745","FUN_006745",-2.49443417242169,2.6364656347002,-10.7390501054631,4.7957853620419e-07,0.000143515264595766,6.74478279433521
"FUN_005765","FUN_005765",-1.38122296127804,3.63502482677013,-10.7322750927273,4.82559553298113e-07,0.000143515264595766,6.88708858761602
"FUN_007232","FUN_007232",-2.59894851485348,7.28784458163309,-10.7022072785896,4.96034452711841e-07,0.000144449366250127,6.81452720117198
"FUN_014715","FUN_014715",-4.51513750215131,5.69202715775077,-10.6360594465035,5.27139388670447e-07,0.000147931612215113,6.79687134510699
"FUN_001563","FUN_001563",-1.6458728727092,6.433418056017,-10.6319126093684,5.29158721616516e-07,0.000147931612215113,6.74446570927297
"FUN_009349","FUN_009349",-1.97726677257743,6.87742300655395,-10.5741832587636,5.58160296011934e-07,0.000152979698385389,6.69040831660651
"FUN_003016","FUN_003016",2.70775895082993,6.50222313042112,10.5120969224841,5.91289061408726e-07,0.000157986513440723,6.65222842597487
"FUN_001618","FUN_001618",-3.79905577551689,5.35722169151969,-10.47902228758,6.09804112154081e-07,0.000157986513440723,6.64917082516093
"FUN_002347","FUN_002347",-1.29915903396492,4.41098282821169,-10.4430364450098,6.30666507114655e-07,0.000157986513440723,6.61660852740152
"FUN_006187","FUN_006187",4.74250538892824,7.41082153491726,10.4405961461153,6.32109034744405e-07,0.000157986513440723,6.59388619745836
"FUN_008868","FUN_008868",3.30605635023616,5.61361263327346,10.4301421796694,6.38329328300591e-07,0.000157986513440723,6.60986014334535
"FUN_000823","FUN_000823",5.98429984247538,4.51584774515003,10.419946098056,6.44460235746568e-07,0.000157986513440723,6.44083427997979
"FUN_010077","FUN_010077",1.1823278041238,5.41514459485292,10.3809663490743,6.68494871285608e-07,0.000157986513440723,6.53341927555234
"FUN_011641","FUN_011641",-0.931065012496012,7.405908317845,-10.3731338247258,6.73440776904365e-07,0.000157986513440723,6.49766891838262
"FUN_002259","FUN_002259",-2.40984864348676,3.62636340164585,-10.3601167170462,6.81748612783954e-07,0.000157986513440723,6.5452005231797
"FUN_008006","FUN_008006",1.85705042585839,3.6334743089176,10.3481977273769,6.89453235075413e-07,0.000157986513440723,6.52083142470939
"FUN_015137","FUN_015137",-1.67253961262556,4.04995212132017,-10.2864134567967,7.30936126431792e-07,0.000164790728633284,6.48205600777194
"FUN_000540","FUN_000540",-2.74435801759223,3.81375927494298,-10.2328746009786,7.69078206113139e-07,0.00016947808621896,6.43133949153712
"FUN_005726","FUN_005726",1.50256934731921,3.13018401261393,10.22350005485,7.75976356990515e-07,0.00016947808621896,6.3745895990521
"FUN_011892","FUN_011892",-1.81850140741977,4.64969830249782,-10.1702688573592,8.16441125307702e-07,0.000173299397968027,6.35162184352867
"FUN_012929","FUN_012929",-0.916487481039536,7.3613849390316,-10.1679326498156,8.18268726991685e-07,0.000173299397968027,6.29716009860028
"FUN_008692","FUN_008692",-0.678993351552507,5.02479306718178,-10.1484123454624,8.33714021383512e-07,0.000173935143147742,6.30525061843051
"FUN_001495","FUN_001495",-1.06386112185874,4.55658578808856,-10.1306482958297,8.4804489931432e-07,0.00017432311180317,6.31030254053167
"FUN_001270","FUN_001270",-1.08216263785046,6.71221079640413,-10.078534213281,8.91651918673129e-07,0.000180630587234971,6.20616303831872
"FUN_009171","FUN_009171",-0.696180079799079,7.99780820035911,-10.020766121731,9.4285179756096e-07,0.00018827403466153,6.15852400594742
"FUN_000405","FUN_000405",-0.911407226559086,6.30891713025766,-10.001449867747,9.60676419736425e-07,0.000189131478803884,6.13112653906304
"FUN_004040","FUN_004040",1.6176551363042,3.38128798030664,9.98164218517729,9.79334851169916e-07,0.000190126979856293,6.17503496774724
"FUN_010835","FUN_010835",1.80184758172159,3.63331284185834,9.94200805548346,1.01786065559926e-06,0.00019489940060228,6.14962655001466
"FUN_009413","FUN_009413",-4.46323139230989,5.05412359971537,-9.89098161231363,1.06989974971092e-06,0.000202095387857557,6.10600685725671
"FUN_013169","FUN_013169",-1.56817025417467,8.75372092642702,-9.86369972921737,1.09890129955609e-06,0.000202990585681235,6.00919172241352
"FUN_015188","FUN_015188",0.900619770235503,5.11577530380383,9.85927640424306,1.10368325309586e-06,0.000202990585681235,6.03027150697049
"FUN_010288","FUN_010288",-5.45521698927954,2.97805628966326,-9.82886350010331,1.13717936432369e-06,0.000206434976032683,5.80431720407847
"FUN_002954","FUN_002954",-0.956125160839333,5.27116031259597,-9.78327013560608,1.18947784265984e-06,0.000213160529291016,5.93265514827286
"FUN_008447","FUN_008447",0.928109069776206,7.82422634266408,9.7665151476564,1.20934749784892e-06,0.000213273790794571,5.90116061084622
"FUN_012575","FUN_012575",6.30963496572529,3.28692679141717,9.75026717156276,1.22896008041273e-06,0.000213273790794571,5.44684682667876
"FUN_006769","FUN_006769",-1.5679191375856,9.32150947754137,-9.71635330349854,1.27101728666893e-06,0.000213273790794571,5.86554006786047
