"","logFC","logCPM","PValue","FDR"
"FUN_013139",-10.882692098325,2.4761780403347,1.22509915507927e-25,1.42703633247484e-22
"FUN_000887",-10.6675694777106,3.84141999870205,8.0787716835281e-48,5.64625352961779e-44
"FUN_002487",-10.0969274816008,1.71623007988291,1.89603238969956e-16,5.88949794293787e-14
"FUN_002467",-9.46824088337194,6.34717389797729,1.83224735867449e-23,1.7074102386368e-20
"FUN_012054",-9.24169913477242,7.26365810192224,1.27347217657011e-29,1.97784378712189e-26
"FUN_008877",-8.98539982180002,7.87468403370625,4.7047263699165e-46,1.64406662996732e-42
"FUN_002485",-8.68580965754508,3.72616063965185,1.1035800036057e-59,1.54258412904004e-55
"FUN_002466",-8.44963811551975,7.55923264832756,6.89504083540486e-20,3.56958817767738e-17
"FUN_002470",-8.35541134643109,7.14798291383867,5.55803796399662e-16,1.61854697209885e-13
"FUN_012053",-7.78791454084946,7.30070913457134,8.44401648364135e-13,1.21680889080762e-10
"FUN_002484",-7.70314220957075,-0.453400111346239,3.49650349812606e-08,1.40847625062842e-06
"FUN_002486",-7.67708593623401,2.73997809353735,6.24215993116306e-47,2.90843038392658e-43
"FUN_006209",-7.44247774951524,3.91915217488629,2.09672290397191e-30,3.66349909396492e-27
"FUN_011854",-7.39450536602291,1.38632337237388,2.80928495818303e-26,3.92681851454825e-23
"FUN_008903",-7.30755299758769,0.599834638372019,1.67217825382599e-20,9.73904484665821e-18
"FUN_010492",-7.0485714716301,2.36123632256745,6.2583791336876e-26,7.95269304824411e-23
"FUN_014624",-7.02118543885996,1.02019216247997,3.32835348437435e-21,2.11471477293566e-18
"FUN_007421",-7.00203251179425,2.43469325695484,0.000273698360970398,0.00305571540706408
"FUN_005334",-6.74150807328752,4.1816495649162,3.05537117928012e-37,8.5415956687955e-34
"FUN_012690",-6.65019569606923,2.18315935605896,8.4504155130526e-32,1.68742725773499e-28
"FUN_008732",-6.60941333599036,1.35701948480466,2.35767969500573e-07,7.37262791427073e-06
"FUN_005514",-6.54811027579057,3.96946116798841,5.45535047835678e-24,5.86576069126701e-21
"FUN_012623",-6.16353267831376,2.93738513706771,2.06439499326944e-12,2.59964983927209e-10
"FUN_002465",-6.13328251745684,5.23611403358285,2.04408611983192e-08,8.73295423050919e-07
"FUN_003235",-6.11246719280887,3.26821610880279,7.26121917125716e-13,1.0913690492025e-10
"FUN_003330",-6.04398474119339,0.943599751687496,6.017469827052e-16,1.68224386485066e-13
"FUN_014788",-6.03579457474364,4.78964848933406,2.12721649072685e-05,0.000348584198210784
"FUN_004069",-6.01314680734129,5.4140071847345,3.26887031196666e-06,7.02957988010307e-05
"FUN_012622",-6.00251378139659,8.40610792913433,2.18295432953199e-21,1.45301598181896e-18
"FUN_005722",-5.99957169447111,4.99115607385868,5.07648690751636e-35,1.18265223322106e-31
"FUN_002469",-5.92490735773083,7.09160940669464,6.25102545536394e-12,6.93466935040294e-10
"FUN_000190",-5.71893033289269,8.16752693895342,1.78917990564652e-19,8.33638557370903e-17
"FUN_013727",-5.62070568107318,-2.02721983557158,1.79692177125513e-06,4.17232101637945e-05
"FUN_010552",-5.59033552352053,4.70118880943673,1.37706038141917e-09,8.26118026243653e-08
"FUN_002468",-5.5795366764895,5.03395658679444,1.70111773642138e-16,5.40414175447682e-14
"FUN_009753",-5.56186495903541,0.455678229565056,3.01148321014012e-17,1.05482996340559e-14
"FUN_012575",-5.53821468771056,5.51934830979653,1.42890606091197e-17,5.54812469984099e-15
"FUN_002488",-5.48880303426504,4.14069193524802,0.000842193922609979,0.008090849931438
"FUN_004335",-5.48244315804419,6.04672677956536,2.18472486234344e-13,3.86558026909325e-11
"FUN_013151",-5.42836784574183,1.8918080646643,0.00309917969333744,0.0243509464606356
"FUN_008657",-5.40166241616877,3.25424969818756,8.59765509033132e-07,2.22964791934418e-05
"FUN_004474",-5.39798201386315,1.25590258237806,5.64747460490964e-05,0.000790194194468738
"FUN_000231",-5.38328760370508,5.89487620829594,1.79034251081764e-08,7.89445035211639e-07
"FUN_011765",-5.34659512811128,-2.1877946935337,6.41472538501937e-05,0.000877348644146779
"FUN_000823",-5.29869637415029,6.61096787305758,2.98485394806228e-14,6.32155886151736e-12
"FUN_001686",-5.2666873453291,-2.2358756797012,4.28594764668293e-05,0.000623402457911904
"FUN_013377",-5.2531381568266,3.64024734573793,8.28518911756483e-14,1.63113202092002e-11
"FUN_010322",-5.25176758466433,7.01014325338713,8.20432011968566e-08,2.92550986308587e-06
"FUN_004907",-5.20039617210302,6.55920597232042,0.000123504343051362,0.00154413569514485
"FUN_008133",-5.17726611985957,7.14133183830452,8.60435939434461e-05,0.00112400180390018
"FUN_000815",-5.13103857656686,1.05761599354444,1.78815490243042e-12,2.29386905414212e-10
"FUN_008712",-5.11388039318947,1.66212697313681,1.67950877509345e-06,3.93235739669283e-05
"FUN_005461",-5.10976375289285,2.54052148201603,1.17600066352118e-08,5.49770477414683e-07
"FUN_002475",-5.08683360291933,6.92823668913685,3.86332703379034e-09,2.02253128383226e-07
"FUN_007703",-5.03560133280744,5.16791276173891,3.66226339036302e-06,7.77980511709639e-05
