"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",5838.03343694832,-8.96139256002804,0.328442929261616,-27.284473988143,6.48341168176295e-164,9.29137728113449e-160
"FUN_005722",883.915993653397,-5.52832274408522,0.362671639928367,-15.2433279458442,1.82341263787667e-52,1.30656632567053e-48
"FUN_005334",610.746062516895,-7.40155499407197,0.497453246674061,-14.8788957425814,4.51896525717496e-50,2.15870970335248e-46
"FUN_013025",9511.62832870654,1.80217293449801,0.13212838527348,13.6395592118064,2.32964431385773e-42,8.34653316547379e-39
"FUN_002784",322.433077280999,-3.55569943234986,0.267158187215788,-13.3093410664516,2.04275354066875e-40,5.85494019826478e-37
"FUN_002553",257.389778495888,3.46551937093197,0.282126402212217,12.2835698600275,1.10990434319135e-34,2.65100652371255e-31
"FUN_000887",541.950220787018,-10.098014175126,0.834732911864774,-12.0972996650716,1.0914255178336e-33,2.19056097119155e-30
"FUN_003726",413.34930729405,2.74157901350211,0.226802434649759,12.0879611267658,1.22283774820546e-33,2.19056097119155e-30
"FUN_012622",10818.9085627534,-5.91291140734401,0.49757590945665,-11.8834358636874,1.44311218091514e-32,2.06812406646949e-29
"FUN_014060",924.532859468018,-2.47115180276955,0.207946069510844,-11.8836187122098,1.43995801465279e-32,2.06812406646949e-29
"FUN_002096",4043.73336015034,1.86130934921195,0.157915052956735,11.7867759555633,4.56691019304726e-32,5.94985363423275e-29
"FUN_002782",4906.87925503313,2.31025846183959,0.196209284448661,11.7744604610903,5.28541881229606e-32,6.31211141658456e-29
"FUN_000190",10589.1145677046,-5.55248684848052,0.472335999310731,-11.7553751070914,6.62658158087881e-32,7.30504158735186e-29
"FUN_015181",1053.60267627749,-3.7389610730804,0.318468443424292,-11.7404444624958,7.90698126852573e-32,8.09392489708873e-29
"FUN_007339",3199.3198852,1.52149140191116,0.130197408103137,11.6860344923756,1.50239093611471e-31,1.435384300364e-28
"FUN_009056",97.9715569390389,4.36629935134709,0.377892338556098,11.55434737849,7.01785748078569e-31,5.91605385630234e-28
"FUN_010292",285.027690801965,4.06888893877637,0.352007867801564,11.5590852107604,6.6412496330723e-31,5.91605385630234e-28
"FUN_001047",21336.7669080591,1.13531362394619,0.0985053266973103,11.5254033666099,9.82509774089776e-31,7.82241531804477e-28
"FUN_005881",1359.09001929626,-2.19316508966406,0.190491742889188,-11.5131766679244,1.13229198685427e-30,8.54046129663608e-28
"FUN_000344",533.293050304084,1.96781859928044,0.171330339217969,11.4855232777947,1.55988111217843e-30,1.11773281093145e-27
"FUN_011854",145.295160549739,-6.62977713937558,0.578297500333336,-11.4643019130363,1.99360629147148e-30,1.36049389347989e-27
