"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",9.00389256041135,4.47664656980172,19.7731197258567,1.14303220078575e-09,1.63807944694606e-05,9.88801551249776
"FUN_013025","FUN_013025",-1.79289731756766,8.46986029173315,-15.0089667729251,1.90056635952968e-08,0.000123292542508098,10.0877403337509
"FUN_014060","FUN_014060",2.48631703586978,4.87825337241161,13.6596565486203,4.90219378089486e-08,0.000123292542508098,9.1279337666089
"FUN_002096","FUN_002096",-1.85766425590778,7.21422480853611,-13.4375192350715,5.77623998046423e-08,0.000123292542508098,8.99509297513573
"FUN_002782","FUN_002782",-2.33500783938769,7.34406128668793,-13.4077608095254,5.9056972736565e-08,0.000123292542508098,8.9734432318228
"FUN_007339","FUN_007339",-1.52260372222271,6.97137800466948,-13.3641809028102,6.10102297726083e-08,0.000123292542508098,8.93976830661332
"FUN_005765","FUN_005765",-1.37743726440893,4.16683443854538,-12.9798239978436,8.16313307297225e-08,0.000123292542508098,8.64772836912184
"FUN_010292","FUN_010292",-4.27737447486872,2.46740849833863,-12.6774392429386,1.03207916508993e-07,0.000123292542508098,7.90076072571459
"FUN_000344","FUN_000344",-1.97277249913097,4.25974219414511,-12.6237056400103,1.07656013348374e-07,0.000123292542508098,8.37713352849669
"FUN_012645","FUN_012645",-2.33234638491345,5.46799128006806,-12.620358163044,1.07939947415339e-07,0.000123292542508098,8.37277752110461
"FUN_005881","FUN_005881",2.17861964372297,5.53301974643517,12.3343801449516,1.3549168675647e-07,0.000123292542508098,8.15204274939733
"FUN_000190","FUN_000190",5.81742372394446,6.88377411088128,12.3093727136698,1.38242620757463e-07,0.000123292542508098,8.12973395518812
"FUN_012169","FUN_012169",-1.73121148690376,4.99457217102717,-12.244120096425,1.45711340896231e-07,0.000123292542508098,8.07491933256884
"FUN_001047","FUN_001047",-1.13172027871864,9.79620100269404,-12.1502704395987,1.57234528344813e-07,0.000123292542508098,8.00308348694515
"FUN_000038","FUN_000038",-1.25823860100474,5.90598434090689,-12.1282777757763,1.60076039727136e-07,0.000123292542508098,7.96730036603083
"FUN_003726","FUN_003726",-2.72183453241344,3.61556483333897,-12.1035212192245,1.63341711332305e-07,0.000123292542508098,7.9277834810189
"FUN_006745","FUN_006745",-2.55373197775033,2.82538476779411,-12.0943880857722,1.6456473245233e-07,0.000123292542508098,7.80666077709699
"FUN_012956","FUN_012956",-2.65746976581232,2.73567606180955,-11.9880994101549,1.79555012053853e-07,0.000123292542508098,7.70294044765935
"FUN_012622","FUN_012622",6.32478784812855,6.71208935530751,11.8907185981481,1.94600493357594e-07,0.000123292542508098,7.7883692418284
"FUN_015181","FUN_015181",3.82278403337701,4.51629894469755,11.8665949507496,1.9853617555471e-07,0.000123292542508098,7.7257521110464
"FUN_014661","FUN_014661",-0.902189799477799,6.45277901809463,-11.8656188245159,1.98697240198515e-07,0.000123292542508098,7.74674359870001
"FUN_005924","FUN_005924",-4.33060160122784,3.68327531753317,-11.8620903063391,1.99280646878169e-07,0.000123292542508098,7.67843636923008
"FUN_002059","FUN_002059",3.69505908973269,3.52653387428144,11.7037434874555,2.27482597815384e-07,0.000123292542508098,7.46239170975405
"FUN_010077","FUN_010077",1.1166925555267,5.40658049050022,11.6842934545332,2.31236040425264e-07,0.000123292542508098,7.60832961594309
"FUN_001857","FUN_001857",-1.40256051411374,7.71047864263953,-11.6258040071808,2.42935264547138e-07,0.000123292542508098,7.55151091392614
"FUN_016443","FUN_016443",-2.86648392546442,4.03514000995435,-11.6227308319893,2.43567532116375e-07,0.000123292542508098,7.56848419320895
"FUN_001926","FUN_001926",1.01037135817505,5.744645445684,11.5171460512067,2.66416214864765e-07,0.000123292542508098,7.45747198505343
"FUN_002467","FUN_002467",10.6192887583838,2.70011456719581,11.4508351089609,2.81952131285976e-07,0.000123292542508098,4.68473134982843
"FUN_006034","FUN_006034",1.4700998297453,7.58852350726645,11.440074355296,2.84564946577233e-07,0.000123292542508098,7.39125437648242
"FUN_010594","FUN_010594",-1.88757197165846,6.36251851561189,-11.4348694887054,2.85838181451383e-07,0.000123292542508098,7.37821522199767
"FUN_001495","FUN_001495",-1.02414310570608,4.65366239993311,-11.4205168149382,2.89381412627204e-07,0.000123292542508098,7.38903075842874
"FUN_014838","FUN_014838",-2.70480592206262,4.62304846594358,-11.4097116106041,2.92080409556883e-07,0.000123292542508098,7.39271584411027
"FUN_005595","FUN_005595",-1.33414231135404,6.15720868607596,-11.3912280271142,2.96761077415944e-07,0.000123292542508098,7.33847302581231
"FUN_008871","FUN_008871",-3.62639951679679,5.36147925150077,-11.3222755270254,3.14955747944177e-07,0.000123292542508098,7.31186858125715
"FUN_005315","FUN_005315",-2.62782711045276,2.57650143799283,-11.2666292705595,3.30524840942194e-07,0.000123292542508098,7.1246188750709
"FUN_002954","FUN_002954",-0.964910547262342,5.32645031016535,-11.2387451166265,3.38639689812281e-07,0.000123292542508098,7.21109968302205
"FUN_009385","FUN_009385",-1.334855110115,6.53493647578457,-11.2228398142083,3.43365327649375e-07,0.000123292542508098,7.1896872706779
"FUN_011892","FUN_011892",-1.74220836755522,5.01033213303448,-11.1932984441875,3.52333857563943e-07,0.000123292542508098,7.18366277436267
"FUN_003016","FUN_003016",2.69764428346846,6.96805628506974,11.1809792263478,3.56148886299332e-07,0.000123292542508098,7.16671661864514
"FUN_010950","FUN_010950",-2.02474000016913,7.49308137151196,-11.1616510420081,3.6222531312457e-07,0.000123292542508098,7.14338371946284
"FUN_013013","FUN_013013",-2.31649633611212,5.28379490804557,-11.1065334982261,3.80181184718905e-07,0.000123292542508098,7.10500476315444
"FUN_002347","FUN_002347",-1.30913449897568,4.20688176443858,-11.0625557093757,3.95202679877186e-07,0.000123292542508098,7.09119956039891
"FUN_004521","FUN_004521",-1.04275937538216,7.72768752730771,-11.059912079752,3.96126008095738e-07,0.000123292542508098,7.05414867814392
"FUN_010835","FUN_010835",1.92233369340465,3.61227192484106,11.058309513205,3.96686871034773e-07,0.000123292542508098,7.0707319593661
"FUN_003017","FUN_003017",2.4243493611321,6.31464866750417,11.0465388895645,4.00832892883409e-07,0.000123292542508098,7.04991494575382
"FUN_001563","FUN_001563",-1.65541256812724,6.47644900846494,-11.0188266432607,4.10781395227446e-07,0.000123292542508098,7.00689184080396
"FUN_002437","FUN_002437",-1.9588450645069,4.73322970696237,-10.9913943267227,4.20894419276715e-07,0.000123292542508098,7.01570905314962
"FUN_008302","FUN_008302",-1.53703178248613,6.64077795441004,-10.9907014655194,4.21153325525201e-07,0.000123292542508098,6.9816686343081
"FUN_009386","FUN_009386",-1.76818160132439,11.0679164750425,-10.9877531631228,4.22256976218632e-07,0.000123292542508098,7.01976705177889
"FUN_008006","FUN_008006",1.83272114852618,3.84292259925936,10.9668819952704,4.30160290656959e-07,0.000123292542508098,7.00621187000715
"FUN_012575","FUN_012575",5.44631863362999,4.59312077529551,10.8608891472807,4.7285941981085e-07,0.000132873496966849,6.83270534648452
"FUN_006584","FUN_006584",3.49883513658618,3.3960091331639,10.8237340814687,4.88900796448602e-07,0.000134739179113556,6.77120576714315
"FUN_010098","FUN_010098",-2.34325678864843,1.46845067211556,-10.7673412299892,5.14389539480113e-07,0.000139088990382821,6.41205241333535
"FUN_006770","FUN_006770",-1.56529195250607,2.44921388885752,-10.7229668925733,5.35461956048058e-07,0.000139114380194142,6.69960523509243
"FUN_010288","FUN_010288",-5.07112833521305,3.38399881594459,-10.7195106161659,5.3714222723851e-07,0.000139114380194142,6.67391309847516
"FUN_007611","FUN_007611",-1.45700605911086,5.45836596633558,-10.6916211789257,5.50912315629777e-07,0.000139114380194142,6.71320129106642
"FUN_006580","FUN_006580",-3.35904573777182,3.67563683319805,-10.6860682473154,5.53699556838231e-07,0.000139114380194142,6.75401206755047
"FUN_003340","FUN_003340",-4.5181956510034,3.76858075805524,-10.6532322128075,5.70497819008035e-07,0.000139114380194142,6.70040595528817
"FUN_001618","FUN_001618",-3.82443777312888,5.58270330185221,-10.6226574946152,5.86638193104619e-07,0.000139114380194142,6.68076424873305
"FUN_002259","FUN_002259",-2.39701888982463,3.83755974816404,-10.6100216746126,5.93453006125312e-07,0.000139114380194142,6.69724742113201
"FUN_011641","FUN_011641",-0.943324685873093,7.26314324105954,-10.6068257564196,5.95190246187025e-07,0.000139114380194142,6.63158676160477
"FUN_000823","FUN_000823",5.98789509335719,4.93540652151838,10.5946700049148,6.01848550138637e-07,0.000139114380194142,6.61687243706966
"FUN_013170","FUN_013170",-2.99105281172505,2.5780284540841,-10.5283293439646,6.39642782362067e-07,0.000145503503397314,6.512691976092
"FUN_009349","FUN_009349",-2.00199383844593,7.17000838967529,-10.4725659235535,6.73409563982322e-07,0.000150791132209854,6.50566576490225
"FUN_007375","FUN_007375",-4.10206889390161,6.21151434527457,-10.4026386294134,7.18517624188092e-07,0.000154807334073993,6.46115433555573
"FUN_014664","FUN_014664",1.94703644110774,5.67159024152758,10.3922625032322,7.25486216590879e-07,0.000154807334073993,6.45214088321138
"FUN_007232","FUN_007232",-2.56737861279356,7.4403447703597,-10.384504590817,7.30744394095799e-07,0.000154807334073993,6.42585842568609
"FUN_012690","FUN_012690",7.51453181952781,-0.614086021577077,10.3789211525686,7.34554372830335e-07,0.000154807334073993,3.21087062088776
"FUN_014715","FUN_014715",-4.44923554271259,5.69970784385659,-10.3362286648643,7.64410069657766e-07,0.000157514189358736,6.42192055421431
"FUN_013042","FUN_013042",-1.99727391850196,4.85016749322965,-10.3292971985288,7.69380591383123e-07,0.000157514189358736,6.39896644206689
"FUN_015137","FUN_015137",-1.6078096955807,3.94141075006052,-10.2898548481489,7.98341354955277e-07,0.00016114126701217,6.3981225598266
"FUN_015854","FUN_015854",-2.79277135403489,3.4653032350081,-10.2502533852869,8.28614413341906e-07,0.000164928793855595,6.36418752844714
"FUN_000540","FUN_000540",-2.73671194633165,3.82854022892897,-10.2285892201535,8.45701366829165e-07,0.000165793058751971,6.34879124853878
"FUN_000405","FUN_000405",-0.924251058699461,6.15973991410795,-10.2104392390714,8.60311423963844e-07,0.000165793058751971,6.24547824675897
"FUN_006769","FUN_006769",-1.56218925769938,9.55274877546429,-10.2014325501444,8.6766306652696e-07,0.000165793058751971,6.27533665119947
"FUN_006020","FUN_006020",-2.39419677391171,4.91285878699225,-10.1413433390646,9.18491642566116e-07,0.000170895330344767,6.22253290170607
"FUN_002553","FUN_002553",-3.43477236624804,2.63422634453112,-10.106187737212,9.49722354684589e-07,0.000170895330344767,6.14064386814691
