"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",3206.68540088966,-8.76916152129523,0.37679615952613,-23.2729588654077,8.33099316684225e-120,1.20249555370201e-115
"FUN_005722",504.585015042319,-5.50061327829031,0.360648820581793,-15.2519929759283,1.59683714001974e-52,7.68291575968163e-49
"FUN_012054",2123.71819514938,-8.92776726037982,0.584788967932229,-15.2666478848733,1.27564077439364e-52,7.68291575968163e-49
"FUN_005334",359.02056312302,-7.11225916569025,0.469386298155596,-15.1522513410321,7.32149740216563e-52,2.64196233757147e-48
"FUN_013025",5165.27941732574,1.77759238499824,0.127405523721637,13.952239534622,3.04879373826533e-44,8.80125776362436e-41
"FUN_002485",865.352494240436,-8.16158939065582,0.613896891250529,-13.2947234413101,2.48389926965242e-40,5.12180029402329e-37
"FUN_002486",865.352494240436,-8.16158939065582,0.613896891250529,-13.2947234413101,2.48389926965242e-40,5.12180029402329e-37
"FUN_015181",587.400590872922,-3.71646899122551,0.294165461068737,-12.6339407003227,1.37229770301662e-36,2.47596813066773e-33
"FUN_014060",475.359711709592,-2.39792718875422,0.191127358530653,-12.5462268049377,4.16907194114014e-36,6.68626493315742e-33
"FUN_001047",11810.1872576845,1.12064231889769,0.0907363257771383,12.3505366709487,4.83875589422454e-35,6.9842602577237e-32
"FUN_002784",189.57192495528,-3.36757207140952,0.273096515141282,-12.3310693644968,6.16234411570495e-35,8.08611590600775e-32
"FUN_003726",237.102175227031,2.68297283373309,0.220071514227688,12.1913680793656,3.45570767064759e-34,4.15664037651061e-31
"FUN_006584",252.356297359607,-3.15147092675577,0.258696896096128,-12.1820979467211,3.87192055779378e-34,4.29902317932273e-31
"FUN_010292",75.8883721766492,3.72740362029952,0.30817045895453,12.0952658244556,1.11879530034111e-33,1.15347795465168e-30
"FUN_005514",260.68474531623,-6.71441270083693,0.559985837641733,-11.9903259145148,3.99330871412548e-33,3.84262786531248e-30
"FUN_000190",6127.759926621,-5.49478564514578,0.459419061489028,-11.9602909538332,5.73605857180973e-33,5.17464183909385e-30
"FUN_005881",710.3338355938,-2.16041367411908,0.181747338461694,-11.8869068037242,1.38439228137784e-32,1.17543048172986e-29
"FUN_012622",6229.6756130418,-5.86147785530636,0.493693297771935,-11.8727110166565,1.64063454116515e-32,1.31560660928766e-29
"FUN_007339",1812.61438008708,1.52315729036315,0.128760507349538,11.8293824847112,2.75158562239985e-32,2.09033615124839e-29
"FUN_002553",454.069288580329,3.44193202973258,0.291718714003951,11.7988043430288,3.9589657217671e-32,2.85718556139932e-29
"FUN_005765",250.849786243147,1.31217662818533,0.111396009938591,11.779386253679,4.98547530827882e-32,3.42668336189031e-29
"FUN_008903",233.117769913025,-5.62049803975285,0.479966132688993,-11.7101971513369,1.13016522167495e-31,7.41491127711646e-29
"FUN_002096",2293.31673334675,1.84943237054209,0.158027799750009,11.703209014286,1.22723099320957e-31,7.70167485042912e-29
