"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",8.90643678789182,4.42593347828535,19.4110899261201,1.62698712599957e-09,2.34839321766779e-05,10.2005686896658
"FUN_013025","FUN_013025",-1.75970799680142,8.35926532090241,-15.0198482340771,2.15831790345769e-08,0.000113972156116735,9.97819295840912
"FUN_006770","FUN_006770",-1.24773670840577,3.17653885158882,-14.4832711914301,3.1025568690433e-08,0.000113972156116735,9.50727442508597
"FUN_014060","FUN_014060",2.4212400446538,4.71212058425035,14.2709368301736,3.59389654653778e-08,0.000113972156116735,9.452299339869
"FUN_005765","FUN_005765",-1.30144513216732,4.11568638266623,-13.6183402319767,5.71931976732643e-08,0.000113972156116735,9.01279963928648
"FUN_002096","FUN_002096",-1.83435657282905,7.16194722362464,-13.1237568095277,8.24459706924284e-08,0.000113972156116735,8.64139586286656
"FUN_002782","FUN_002782",-2.30028542817992,7.2929292018704,-13.0178875738275,8.93025480422639e-08,0.000113972156116735,8.56214862291203
"FUN_006745","FUN_006745",-2.38916816064624,2.99209466734212,-12.9929076219677,9.10095184214108e-08,0.000113972156116735,8.46341905564295
"FUN_007339","FUN_007339",-1.51686138911124,6.91429292890742,-12.920011967413,9.61975014726761e-08,0.000113972156116735,8.48324342891334
"FUN_016443","FUN_016443",-2.91427067757641,4.40482443829847,-12.8109547815443,1.04571171213831e-07,0.000113972156116735,8.4177584209711
"FUN_005881","FUN_005881",2.15188450063923,5.37350523291191,12.7428266510932,1.10203656432825e-07,0.000113972156116735,8.36222280685634
"FUN_015181","FUN_015181",3.78843975740952,4.46125543747424,12.6526479113771,1.18173910831737e-07,0.000113972156116735,8.26049199668028
"FUN_012645","FUN_012645",-2.30412794339819,5.38669270635846,-12.4960915747898,1.33544978000259e-07,0.000113972156116735,8.15709920067683
"FUN_002437","FUN_002437",-1.9189147532398,4.83022085313707,-12.42787446539,1.40913397552762e-07,0.000113972156116735,8.11118077525816
"FUN_012575","FUN_012575",5.47365643123171,5.19590248158242,12.3648256410925,1.4811900108322e-07,0.000113972156116735,8.03207129458421
"FUN_000473","FUN_000473",-1.50089076340458,4.05689248346464,-12.356045695783,1.49153892332528e-07,0.000113972156116735,8.06705897734362
"FUN_000344","FUN_000344",-1.92253921510717,4.14625158747492,-12.3133147556194,1.54304389820206e-07,0.000113972156116735,8.03342951820879
"FUN_001047","FUN_001047",-1.10767901976566,9.70930173286122,-12.2720368853634,1.59464325305634e-07,0.000113972156116735,7.99422095303785
"FUN_012169","FUN_012169",-1.71105960866478,4.93660439664159,-12.2265454126703,1.65369787581956e-07,0.000113972156116735,7.94463776518106
"FUN_001857","FUN_001857",-1.37032541826669,7.61140819118864,-12.1816828879322,1.71427787101923e-07,0.000113972156116735,7.9033619886664
"FUN_003726","FUN_003726",-2.64975335298467,3.60289993153963,-12.1798907739512,1.71674756898306e-07,0.000113972156116735,7.91612719651644
