"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",9.17776683607197,3.8623042167369,17.2014154824771,5.10283368017796e-09,6.97455307406724e-05,8.75250271101029
"FUN_013025","FUN_013025",-1.76278904108655,8.45670108574836,-14.879049904637,2.20711972702544e-08,0.000117496214802058,9.95063725827001
"FUN_008473","FUN_008473",5.35365662240269,-1.5105827939814,14.6070397616518,2.65600593282057e-08,0.000117496214802058,5.7119419684337
"FUN_010292","FUN_010292",-4.22633006932746,2.53551971891482,-13.9885801813963,4.09495098320704e-08,0.000117496214802058,8.80888232587859
"FUN_005765","FUN_005765",-1.29847004183493,4.22839607350958,-13.4645521029968,5.99179832336366e-08,0.000117496214802058,8.96348805215061
"FUN_007339","FUN_007339",-1.49084528168959,6.84462242593006,-13.3879704431862,6.34161232067183e-08,0.000117496214802058,8.89863986650127
"FUN_015995","FUN_015995",-2.53560658888974,2.81851800222319,-13.2879875592974,6.8322476718615e-08,0.000117496214802058,8.65791202614245
"FUN_014060","FUN_014060",2.41377622672348,4.80857957404743,13.2539834469146,7.00842402770242e-08,0.000117496214802058,8.80322155742537
"FUN_002096","FUN_002096",-1.83576706350398,7.17961013344275,-13.0720442012796,8.03924216566773e-08,0.000117496214802058,8.66190443979733
"FUN_002782","FUN_002782",-2.31572995809373,7.33284130440663,-12.9840066680489,8.5964453323133e-08,0.000117496214802058,8.59592235985522
"FUN_015181","FUN_015181",3.76217534603277,4.60978353907162,12.8219323778859,9.73557557079041e-08,0.000120968951728694,8.44191382675726
"FUN_005881","FUN_005881",2.26291746519835,5.44011959726855,12.6608501335225,1.10326409206811e-07,0.000125590113436151,8.35701345521781
"FUN_003726","FUN_003726",-2.72743089854313,3.46670540737479,-12.3192168460088,1.44523307764957e-07,0.000125590113436151,8.06027667343494
"FUN_012956","FUN_012956",-2.60495439415293,2.51890407297227,-12.3153480544983,1.44971337931889e-07,0.000125590113436151,7.91447876197747
"FUN_005924","FUN_005924",-4.45626281450263,3.59209543649795,-12.3026463745531,1.46452943278489e-07,0.000125590113436151,7.98802813437817
"FUN_000190","FUN_000190",5.72426929536734,6.85706761902222,12.2978391540348,1.4701798470723e-07,0.000125590113436151,8.07703271259839
"FUN_002059","FUN_002059",3.47039983414668,3.43287387110495,12.1070191108772,1.71483835690967e-07,0.000130355032701224,7.79049186139185
"FUN_001047","FUN_001047",-1.11314231881474,9.77741482755001,-12.0624584375638,1.77814851187466e-07,0.000130355032701224,7.88188995407905
"FUN_002437","FUN_002437",-1.95061755161282,4.89271150871396,-11.967864125249,1.92114976002695e-07,0.000130355032701224,7.79258177270894
