"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_013025","FUN_013025",-1.76361442131896,8.50715076941027,-15.147179778637,2.01254100541286e-08,0.000129122883419084,10.0070089998694
"FUN_002096","FUN_002096",-1.86165066459381,7.13225843746076,-14.2111150307936,3.79889376663638e-08,0.000129122883419084,9.41190427081836
"FUN_014060","FUN_014060",2.32890798407301,4.59835288027268,14.084228604683,4.15267293371508e-08,0.000129122883419084,9.22628913396288
"FUN_008877","FUN_008877",8.93539900104589,4.02791700997913,13.923632080225,4.65294981391312e-08,0.000129122883419084,5.6853450026777
"FUN_002782","FUN_002782",-2.295394317619,7.33895964704088,-13.8299428281047,4.97493088190061e-08,0.000129122883419084,9.14822829967492
"FUN_005315","FUN_005315",-2.42342135048382,2.28770472046453,-13.5803916909239,5.95752575778805e-08,0.000129122883419084,8.3381558743116
"FUN_007339","FUN_007339",-1.51436838975792,6.92900328984333,-13.2825981365393,7.41640442507243e-08,0.000129122883419084,8.75877379872141
"FUN_000190","FUN_000190",5.74808479455125,6.38334746169155,13.2486433688349,7.60608988552147e-08,0.000129122883419084,8.65138889228384
"FUN_005881","FUN_005881",2.36511417835741,5.27398855554921,12.6296541985024,1.21799844057244e-07,0.000138806047988541,8.25752411435403
"FUN_001047","FUN_001047",-1.10575299370671,9.7767837163054,-12.5065302195895,1.34085673238577e-07,0.000138806047988541,8.17021187105859
"FUN_010292","FUN_010292",-4.15261300139014,2.32262433687115,-12.4868563139293,1.36171119706473e-07,0.000138806047988541,7.1740994781108
"FUN_012645","FUN_012645",-2.26062171366217,5.52343037270324,-12.4397045132812,1.41314627641817e-07,0.000138806047988541,8.12175996660333
"FUN_015181","FUN_015181",3.79872715564051,4.4964487177113,12.4137404619704,1.44237034249008e-07,0.000138806047988541,7.98133707356792
"FUN_012622","FUN_012622",6.18001087111045,6.34217167192626,12.3720433508699,1.49069106437664e-07,0.000138806047988541,8.00500011537394
"FUN_002437","FUN_002437",-1.9700260555273,4.8239612002879,-12.2719676195429,1.61402109571336e-07,0.000138806047988541,7.98973844784113
"FUN_006584","FUN_006584",3.39835351686879,3.49855981347056,12.1873770663646,1.72696375541116e-07,0.000138806047988541,7.63308876686697
"FUN_005924","FUN_005924",-4.11907833363012,3.22507701204786,-12.1797929592629,1.73750299374508e-07,0.000138806047988541,7.64827838450363
"FUN_000038","FUN_000038",-1.23423129531746,5.94646884524656,-11.9439777274233,2.10288123518168e-07,0.00014518650865619,7.72285888872964
"FUN_003726","FUN_003726",-2.69314242145113,3.63234396633588,-11.9265985073873,2.13294755265216e-07,0.00014518650865619,7.64987503544947
"FUN_001857","FUN_001857",-1.35946627977217,7.47546641958938,-11.9236569214226,2.1380827428936e-07,0.00014518650865619,7.70902698564298
"FUN_005765","FUN_005765",-1.29140420648148,3.93637573147579,-11.7870155616822,2.39213347799879e-07,0.000147978352689621,7.58986748524913
"FUN_012169","FUN_012169",-1.73434308277914,5.01477191469605,-11.7324113121372,2.50270242919566e-07,0.000147978352689621,7.55551680384014
"FUN_012575","FUN_012575",5.53573871400239,3.89355804046776,11.7307867434449,2.50607621814395e-07,0.000147978352689621,6.90101098612979
"FUN_005595","FUN_005595",-1.30942143311501,6.24165306991007,-11.6322482366106,2.72028120767978e-07,0.000148108615532636,7.46407669007153
"FUN_007611","FUN_007611",-1.46732077163006,4.99236834580331,-11.6295617408256,2.72639377683226e-07,0.000148108615532636,7.4696383341634
"FUN_002059","FUN_002059",3.36642373075061,3.5528816922561,11.5246379137351,2.97723742992307e-07,0.000148716491008698,7.18716219039537
"FUN_014838","FUN_014838",-2.68342344451655,4.60854208751155,-11.4980220008298,3.04479413223492e-07,0.000148716491008698,7.36299253588976
"FUN_013013","FUN_013013",-2.29335948886988,5.04746648350605,-11.3823150109863,3.35852237357307e-07,0.000148716491008698,7.26436375828379
"FUN_006034","FUN_006034",1.47974267806373,7.57165648615028,11.3804549165024,3.36384499945176e-07,0.000148716491008698,7.25663863882786
"FUN_009386","FUN_009386",-1.73488805991166,11.0404728378579,-11.357476176477,3.4303615254057e-07,0.000148716491008698,7.24637128746936
"FUN_012956","FUN_012956",-2.53758383845614,2.54743107805282,-11.3196080967992,3.54312508063422e-07,0.000148716491008698,6.98758901545627
"FUN_014661","FUN_014661",-0.883459405796526,6.55651631576875,-11.3194103572023,3.54372440158785e-07,0.000148716491008698,7.19761542957428
"FUN_000344","FUN_000344",-1.98719140308216,3.90710237943554,-11.2965986030932,3.61361034039248e-07,0.000148716491008698,7.18563959371096
"FUN_011641","FUN_011641",-0.936122128810509,7.27149746075833,-11.2068148457673,3.90361334562965e-07,0.000149326810795302,7.10348312907767
"FUN_010950","FUN_010950",-2.01675706314844,7.45701906753678,-11.1612603698356,4.06036808062446e-07,0.000149326810795302,7.06583792385671
"FUN_001563","FUN_001563",-1.62934141436586,6.40299596437454,-11.1398857876977,4.13627025945564e-07,0.000149326810795302,7.04187333990649
"FUN_007375","FUN_007375",-4.02430003552444,5.26787892179279,-11.1086792258715,4.24987465011992e-07,0.000149326810795302,7.03533928050041
"FUN_010835","FUN_010835",1.84274795153907,3.61719675920092,11.0776655041076,4.36615093492265e-07,0.000149326810795302,6.96295870096511
"FUN_010077","FUN_010077",1.17785529121188,5.41417357672805,11.066229013859,4.40989888058887e-07,0.000149326810795302,6.98859897814335
"FUN_004521","FUN_004521",-0.989728007148573,7.65177318151743,-11.0465718492657,4.48621261600047e-07,0.000149326810795302,6.96618098339514
"FUN_003016","FUN_003016",2.7575560292424,6.71895430216936,11.0410107477563,4.50806217701743e-07,0.000149326810795302,6.96544091607497
"FUN_002259","FUN_002259",-2.33002580164845,3.74390896808744,-10.9625552151168,4.82898158998121e-07,0.000150055375245692,6.89548363297172
"FUN_008871","FUN_008871",-3.60116486666119,5.29105624744728,-10.9505252494062,4.88035190582596e-07,0.000150055375245692,6.89718180745851
"FUN_010594","FUN_010594",-1.84671641803133,6.31717973667925,-10.930370472625,4.96775503233766e-07,0.000150055375245692,6.85695815980935
"FUN_008302","FUN_008302",-1.50808093507798,6.70399144449719,-10.9293983123875,4.97201375896926e-07,0.000150055375245692,6.85624941528833
"FUN_000473","FUN_000473",-1.50492938780864,3.64986857295597,-10.8690811323309,5.24417982436283e-07,0.000154828709118851,6.81913585939856
"FUN_009171","FUN_009171",-0.672896358547467,7.78150090883716,-10.7517559955372,5.82121018336914e-07,0.000161762488117237,6.70432452747184
"FUN_006745","FUN_006745",-2.46514492998861,2.77521304760305,-10.7429926521379,5.86700394712105e-07,0.000161762488117237,6.60354650188772
"FUN_009385","FUN_009385",-1.30444150377528,6.54845595753587,-10.7348610181599,5.90984750450611e-07,0.000161762488117237,6.68005396607991
"FUN_011892","FUN_011892",-1.77303633810909,4.64947240888996,-10.7262720980747,5.95547044095563e-07,0.000161762488117237,6.69595507765491
"FUN_006020","FUN_006020",-2.29379287115367,4.81724272513482,-10.6880904525442,6.16297635989477e-07,0.000164116435183786,6.66186148098996
"FUN_003017","FUN_003017",2.41783018840992,5.58154708766638,10.6014935972966,6.66336420528204e-07,0.000170898057065617,6.58381086363299
