"","logFC","logCPM","PValue","FDR"
"FUN_013139",-10.8537397147203,2.51313998400126,7.70729295911147e-26,1.49532493825276e-22
"FUN_010492",-10.4571804048457,2.12475733317033,1.68433767493245e-33,7.62499665441922e-30
"FUN_002487",-9.89776051344404,1.59199959640005,5.12446585700549e-15,1.15992284673319e-12
"FUN_008732",-9.68517746172356,1.37988823438066,8.02938254639212e-11,6.52976313548212e-09
"FUN_014624",-9.32071372007858,1.04433069158904,2.74681497003736e-21,1.96339442674091e-18
"FUN_002467",-9.3127123638957,6.16196751632607,2.90777363054682e-20,1.64543640318568e-17
"FUN_003027",-9.03978749644383,0.7856666189336,3.41732350365913e-19,1.40638395464226e-16
"FUN_012054",-8.96693227093804,7.17854740390709,5.65976644894843e-20,2.74518886225602e-17
"FUN_008877",-8.8201447318091,7.56790593753245,6.47235866121371e-48,8.79011029779434e-44
"FUN_000887",-8.55814397256345,3.92997292311795,2.18195964731962e-45,1.48165969851238e-41
"FUN_002485",-8.47802087924746,5.8694024285883,1.03187179155066e-25,1.75173135013119e-22
"FUN_002466",-8.41509135464125,7.38554397810337,1.15718464113028e-12,1.44180959735691e-10
"FUN_002470",-8.21627196785548,6.93656241534811,5.24375718633422e-14,9.24876186332533e-12
"FUN_002486",-8.20304835087675,5.73478405004096,2.63165124301102e-23,2.55288968080948e-20
"FUN_009752",-8.10822584129612,-0.0558270050141263,1.79701850318539e-16,5.19261878548103e-14
"FUN_013050",-8.05236486910301,-0.107354331436195,2.02331922732636e-17,6.86967460657983e-15
"FUN_012053",-7.60716141201134,7.18622450382422,1.52319240511333e-15,3.72615595754529e-13
"FUN_002117",-7.27627516921258,-0.763868985555087,1.03099509279654e-11,1.03718106335332e-09
"FUN_016323",-7.24843285430416,-0.780970860243781,7.71591742509603e-10,4.98999402620139e-08
"FUN_013406",-7.06527657194537,-0.928074649054507,2.16896060610478e-10,1.60090510823418e-08
"FUN_005334",-7.04472613232057,4.31394771843998,7.3180937840252e-28,2.48467579202116e-24
"FUN_008733",-6.8973449928352,-1.07962568434461,3.97399715392006e-07,1.16316498593509e-05
"FUN_011854",-6.86428411769234,1.74986090192806,4.77181334735856e-25,7.20066634116407e-22
"FUN_006209",-6.81980324297801,3.653703676727,3.12704088171513e-26,7.07805703576221e-23
"FUN_005514",-6.67243917699482,4.03466706216686,4.71410734817911e-19,1.88300858516531e-16
"FUN_002464",-6.45233364092724,-1.40161156420449,1.0111086593031e-07,3.55747842020606e-06
"FUN_007244",-6.42398785083267,-1.41804300889822,3.47125308148575e-08,1.44168465136569e-06
"FUN_012623",-6.27661044091643,3.42322751731721,3.04474155677669e-13,4.30735782110252e-11
"FUN_004067",-6.15241611752991,-1.62020367922708,6.58227678854234e-06,0.000129744413737581
"FUN_011872",-6.07051959708776,-1.6659132813462,9.43759487723571e-07,2.44603007686523e-05
"FUN_003330",-6.06836479684803,0.991219310328275,8.82003987321933e-15,1.93201550835793e-12
"FUN_003577",-6.02703739091473,-1.69730727649221,1.86071913571891e-06,4.44119975082574e-05
"FUN_004069",-6.01433015174005,5.68932048695672,1.39583786308442e-05,0.000244920852952836
"FUN_003235",-5.99422838198539,3.25130184547284,3.47168156476425e-09,1.89353041490214e-07
"FUN_004071",-5.9470569611139,-1.75929925097277,8.03098623497601e-06,0.000153186550642148
"FUN_015771",-5.91891665027617,0.162035720347105,1.42885949232083e-07,4.73300994273394e-06
"FUN_014788",-5.90516730282387,4.83750577689923,9.17521370979438e-06,0.000171873899852024
"FUN_012686",-5.88402806760727,-1.78457105915307,7.85947386593661e-06,0.000150762026233454
"FUN_002465",-5.85847624608409,5.20321704032706,1.20988437266692e-08,5.62720536479089e-07
"FUN_005722",-5.85301929587232,4.91845739248197,4.04102168163332e-20,2.03263390586156e-17
"FUN_008903",-5.85232825391898,2.46799515594929,9.77891898096352e-23,8.85383324536437e-20
"FUN_012622",-5.83855897917248,8.49568903681519,1.15053162435351e-21,8.6807611057472e-19
"FUN_002469",-5.74890280880079,7.04646256972988,1.94932039040702e-12,2.28221726052739e-10
"FUN_004847",-5.57806794158846,-1.98525657529665,4.56213590691872e-06,9.4807379521951e-05
"FUN_000190",-5.5311116445299,8.36484036264983,3.19898672227867e-21,2.17227193376333e-18
"FUN_002468",-5.40828571404923,5.03207756985643,1.08353450071005e-15,2.77650604795155e-13
"FUN_009753",-5.36092157847432,2.40371084803147,5.64412474802894e-24,6.38773818358175e-21
"FUN_002475",-5.3468640229652,7.5750178293599,1.0192463876051e-11,1.0330138201541e-09
"FUN_010552",-5.34444236977526,4.53257924164098,1.54968716364568e-09,9.27149840064845e-08
"FUN_000231",-5.33020160400148,5.80588205041526,9.43578494685303e-09,4.4964449692807e-07
"FUN_012690",-5.32504030645338,6.57957340957945,5.6634101393893e-12,6.15318184824368e-10
"FUN_004335",-5.30331469499547,5.76324156330609,6.70067674561631e-14,1.16669090874635e-11
"FUN_000823",-5.27670946158257,6.74474753772712,1.06331194014299e-13,1.739860175793e-11
"FUN_008657",-5.21871825241791,3.39438135837844,3.16581944011233e-06,6.97970678833856e-05
"FUN_004907",-5.16308510758723,6.33924399620768,6.92958094580895e-05,0.00095974710224832
"FUN_008133",-5.14522492726921,7.36844957355429,0.000105941723316775,0.00138478781940821
"FUN_012575",-5.13963046369445,5.7409073740513,1.45020909153792e-20,8.56316942268544e-18
"FUN_010322",-5.13430331780239,7.028922760647,1.00876238356754e-07,3.55747842020606e-06
"FUN_005461",-5.06842652301797,2.51409708453793,1.41995874763839e-06,3.49191496100346e-05
"FUN_010905",-5.06594354999358,1.84985868710813,7.54850912726112e-14,1.29767471464979e-11
"FUN_002488",-5.00289855082158,4.31359075775347,0.00201376055967938,0.0173975077360086
"FUN_013377",-4.97214773616445,3.68652427108951,3.86089131571846e-09,2.08903446050886e-07
"FUN_004073",-4.95690278289845,4.74767004379885,0.00016917557687353,0.00209250775001768
"FUN_007703",-4.95378174216597,5.14746926895591,3.60918061273638e-05,0.000555110780312262
"FUN_013400",-4.81620568681584,-0.854746797753729,4.78596558157118e-06,9.86315607941096e-05
"FUN_002474",-4.74318165035914,3.66785315371343,7.05628572130725e-06,0.000136902023401534
"FUN_000192",-4.7425722512102,9.11935387726543,1.18801564123286e-10,9.16729569521787e-09
"FUN_006082",-4.71480684091333,5.3331010991641,0.000777213182654232,0.00780142811058916
"FUN_008904",-4.70601783418437,2.43901342580942,9.43587965720491e-09,4.4964449692807e-07
"FUN_000885",-4.69602820896566,4.41463667541637,6.53959747650499e-09,3.31396542270203e-07
"FUN_013146",-4.64806683303004,0.853865951198689,7.24312976825861e-12,7.68507385802502e-10
"FUN_007961",-4.63793228995693,4.55723705881255,2.44284675181821e-05,0.000399714478752326
"FUN_014388",-4.63197545237691,6.57766075355131,5.9479697140569e-05,0.000843208524912388
"FUN_012689",-4.58308666612568,3.54055471237039,1.27026228658366e-09,7.77091536670841e-08
"FUN_000946",-4.50234895317837,3.33497106887765,2.5402741781012e-06,5.80799050720411e-05
"FUN_006187",-4.47356883174573,8.65556436828014,4.08337071135129e-16,1.13176035981351e-13
"FUN_000722",-4.4700192162851,0.0250930891052986,0.00126424013426863,0.0117680913389323
"FUN_000815",-4.40329589725621,1.84173861997703,6.97280714009869e-06,0.000136059904841495
"FUN_014789",-4.37154354786091,4.83274478731244,0.00121415607575232,0.0113641996311456
"FUN_008712",-4.36832028634959,2.0417963433642,5.55428780933777e-06,0.000111586956713929
"FUN_004068",-4.33451943266978,4.08499441952472,0.000880813400427697,0.00868723804735552
"FUN_004072",-4.29182075202214,4.01458171955278,0.000932731618235129,0.00911981865172878
"FUN_007512",-4.25823429004903,0.92129007001018,0.00151409188838636,0.0137085879574501
"FUN_006445",-4.20698263217335,5.48939530088563,0.000661843345469105,0.00683535701506914
"FUN_003289",-4.19939902400879,3.94195857048013,3.54496887375028e-07,1.05579434812286e-05
"FUN_005294",-4.15772006593395,10.1155432938465,1.37323098301922e-11,1.35143840437565e-09
"FUN_001231",-4.09938925567166,0.406122024523918,0.000369673423434823,0.00409505282517808
"FUN_005067",-4.04209874094128,7.75509159654557,6.74071906644825e-06,0.000132482931463725
"FUN_012157",-4.01875023796704,5.81526413711793,1.17319607562638e-16,3.5407057562404e-14
"FUN_000945",-4.00975543249648,3.23935226950554,8.59866563561123e-07,2.26754326208226e-05
"FUN_003300",-3.97765928503352,5.2428026289183,6.04561382849252e-17,1.95489241439897e-14
"FUN_005065",-3.96117532009244,3.14393579659601,6.752577161176e-11,5.62483140873397e-09
"FUN_004074",-3.95410572438328,1.21646628220911,7.53635276750108e-05,0.00103280733537268
"FUN_012579",-3.92654339378576,5.54593200171573,1.0765196138197e-07,3.75840947950779e-06
"FUN_003972",-3.92131113569022,0.0278185557572016,0.00126001580572576,0.0117368138940751
"FUN_002455",-3.89631706613369,0.70908912831959,6.89862758637326e-05,0.000956999604193414
"FUN_001254",-3.89185969651163,0.713123083655148,2.21632689093616e-07,6.88785709514964e-06
"FUN_013367",-3.87560379742125,3.71384779321528,0.00207657024808243,0.0178946069411215
"FUN_008633",-3.85307536158743,1.96391874769424,0.000375017105984973,0.00414410684815453
"FUN_008629",-3.84741870040004,4.97577043688114,3.03565382835561e-05,0.00047496791063246
"FUN_009903",-3.82743063110537,4.83029701900478,2.58984241655798e-10,1.88089036680609e-08
"FUN_015964",-3.78393818905067,6.9381214907228,7.34325098301414e-06,0.000141861581223777
"FUN_015845",-3.76774923968034,6.91649582781819,7.90253694939023e-06,0.000151374265598968
"FUN_015181",-3.75938611588889,5.551671879778,6.91115917058055e-22,5.52120309974438e-19
"FUN_007266",-3.73029000773439,7.48840000203635,4.84886586406414e-13,6.65176235352072e-11
"FUN_000942",-3.72656890658923,4.50436198708306,6.76136514580897e-06,0.000132696676365942
"FUN_007243",-3.70775243037418,0.178186563064025,4.1604426273466e-05,0.000627503809572434
"FUN_002147",-3.69711789791732,6.13656854086606,2.87937436471735e-06,6.46360053673162e-05
"FUN_013728",-3.68221597437669,4.02546266628469,5.85483238888361e-05,0.00083261234213014
"FUN_007944",-3.6813653166091,3.7756226112065,4.32594243730316e-07,1.2394646464349e-05
