"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",4584.00052663065,-8.96088053877388,0.316335738744141,-28.3271203385009,1.60199488302419e-176,2.24311323521047e-172
"FUN_013025",8513.2118057007,1.786995853725,0.124527829801705,14.3501726206148,1.0627239140594e-46,7.44013012232989e-43
"FUN_000190",9500.290040195,-5.53893128294376,0.442879206838593,-12.5066410827511,6.86669225182708e-36,1.77415618111416e-32
"FUN_002782",4397.23487320926,2.28278369421939,0.182336712253343,12.5196054377005,5.83243576112366e-36,1.77415618111416e-32
"FUN_007339",2926.61811807128,1.51738972580208,0.121405251908288,12.4985509436473,7.60244042757104e-36,1.77415618111416e-32
"FUN_015181",995.815192158185,-3.68495668886608,0.293928167416304,-12.5369294180197,4.68811013316514e-36,1.77415618111416e-32
"FUN_001047",19000.5081031773,1.11556029681485,0.0894179192449725,12.4758024592209,1.01181692858682e-35,2.02392294772467e-32
"FUN_003726",370.032054293367,2.74368978068538,0.220314861623511,12.4534938790193,1.3385456316413e-35,2.34278949178018e-32
"FUN_006770",203.173894285367,1.44520402289256,0.116276324717599,12.4290480147402,1.81786292105252e-35,2.8281907356197e-32
"FUN_002096",3536.35165813732,1.83918344396633,0.151455320456705,12.1434059788746,6.21826559401926e-34,8.70681548474577e-31
"FUN_012622",9730.18128727117,-5.86085385102416,0.483075768484101,-12.1323697717557,7.11599140121755e-34,9.05801014544075e-31
"FUN_005765",425.863993008157,1.32266571398842,0.109109439044888,12.1223766299841,8.03935048087207e-34,9.38058211943089e-31
"FUN_002784",288.72246282203,-3.37450090755967,0.278760893473447,-12.1053597780964,9.89346474855329e-34,1.06560225699418e-30
"FUN_000887",477.801194290297,-9.35583570960896,0.775397166632763,-12.0658626471871,1.59977198854367e-33,1.60000052739917e-30
"FUN_005334",544.975852140179,-7.44827375383306,0.630573653284003,-11.8119012981953,3.38811799270081e-32,3.16269520891978e-29
"FUN_014060",823.842113862228,-2.39273554969851,0.203177435270174,-11.7765811273126,5.15415059022486e-32,4.51052603527053e-29
"FUN_005881",1270.09484522054,-2.20010488120073,0.189015972745931,-11.6397828672291,2.58673305107526e-31,2.13055506947975e-28
"FUN_009171",4498.25202926618,0.677953445468324,0.0588940363336383,11.5114107925576,1.1557209169461e-30,8.99022459948852e-28
"FUN_006584",413.355197497696,-3.28980368776298,0.287908821649766,-11.4265470189897,3.08119079335421e-30,2.27067544676556e-27
"FUN_002437",828.633892904653,1.96216811855914,0.172859288452209,11.3512449121392,7.31142128044326e-30,5.11872603843833e-27
"FUN_000344",431.535939981871,1.94632890431689,0.172512612595212,11.2822411940615,1.60601465467098e-29,1.07082939022395e-26
"FUN_012645",1214.87977597121,2.28414311181695,0.20306637230046,11.2482588128245,2.36208938736418e-29,1.50336252735787e-26
"FUN_002553",692.294574213574,3.40005424229689,0.303871684897631,11.1891117576233,4.61028800088703e-29,2.80666315601827e-26
"FUN_011641",3120.24551017941,0.95342231188839,0.0855770550095035,11.1410974797218,7.91380559703044e-29,4.61704608206751e-26
"FUN_002259",408.56026778405,2.38029302644806,0.216035862227696,11.0180458091689,3.12775588101149e-28,1.75179351383692e-25
"FUN_000038",1293.60567267438,1.27039581113743,0.115798545906309,10.9707406184988,5.28378079593487e-28,2.84551918094924e-25
"FUN_014661",1885.99537071628,0.893343854745207,0.0815643906276731,10.9526209644986,6.45522790416432e-28,3.34763337459662e-25
"FUN_001926",1611.84793540529,-1.01872747319847,0.0940575053433675,-10.8309004101213,2.45727014511662e-27,1.22881059185439e-24
"FUN_012575",1629.06778173354,-5.01390715812013,0.464674798818015,-10.7901422045567,3.83196145933956e-27,1.85017670185078e-24
"FUN_009386",52425.8358604511,1.76992739237709,0.16430437822124,10.772247286033,4.65498099281063e-27,2.10254980197853e-24
"FUN_010292",267.370183025871,3.96897927967905,0.368439391960442,10.7724075283057,4.6468845970657e-27,2.10254980197853e-24
"FUN_005514",437.401701545362,-6.78126293523183,0.629923682351247,-10.7652135095479,5.02449539065483e-27,2.1985307643734e-24
"FUN_005595",1613.46008000282,1.31960622188975,0.123048809997439,10.7242501728965,7.8319706534417e-27,3.32312888149972e-24
"FUN_001857",4804.7414826119,1.41382441480357,0.132482655255093,10.6717699164565,1.37972856590455e-26,5.68204687641044e-24
"FUN_010397",6097.26147329147,0.57195539289778,0.0543133915385659,10.5306514046661,6.24011488175821e-26,2.48807057609848e-23
"FUN_012169",733.210180118916,1.7459725287503,0.165835906481221,10.5283141980354,6.39698191255145e-26,2.48807057609848e-23
"FUN_003017",2198.54922916297,-2.46834587203858,0.235087118918683,-10.4997070166673,8.66486409174182e-26,3.2790655949343e-23
"FUN_010835",304.442133501071,-1.87746694716124,0.179406369035377,-10.4648845927595,1.25229044722007e-25,4.61436074788828e-23
"FUN_009056",88.7073735785976,4.22235180395825,0.404447962490456,10.4397900238102,1.63171225191127e-25,5.85826537211835e-23
"FUN_010077",938.746505550745,-1.13572072437597,0.108823215755208,-10.436382682632,1.6913326108985e-25,5.9205098044502e-23
"FUN_004521",4410.11081437072,1.01564756148747,0.0975034625838105,10.4165281372901,2.08423108196122e-25,7.11790331941975e-23
"FUN_003016",3890.97570864716,-2.74997064138677,0.265030559718912,-10.3760511403038,3.18685671873792e-25,1.06243732799448e-22
"FUN_001563",2114.26053435646,1.64051217707269,0.158746079921064,10.3341901600873,4.9356334012957e-25,1.60717997406843e-22
"FUN_011892",758.985216552314,1.72270262376671,0.166975441176282,10.3171017943171,5.89765427844603e-25,1.87679443651821e-22
"FUN_010950",4677.29554480756,2.07914434017435,0.202476397168433,10.268576334084,9.76347976265598e-25,3.03796096970465e-22
"FUN_008302",2375.76840332983,1.53865175274911,0.150350858618482,10.2337410433649,1.40004203048905e-24,4.26160619802342e-22
"FUN_006034",4514.36026031709,-1.47173915344685,0.143935723420381,-10.2249748601218,1.532677184369e-24,4.47094706990307e-22
"FUN_013170",201.505877146754,2.987421774908,0.292152074070134,10.2255709955728,1.52327575425857e-24,4.47094706990307e-22
"FUN_003895",228.257642801456,-1.91227209657745,0.187698737776325,-10.1879859141954,2.24364227976614e-24,6.41132228597663e-22
"FUN_006209",231.121659865017,-6.75192766938369,0.663717177136974,-10.172898791785,2.61993315942167e-24,7.19300080357298e-22
"FUN_009349",3736.1393087717,2.04474597633786,0.200977807872024,10.1739888497535,2.59076705453249e-24,7.19300080357298e-22
"FUN_004788",213.116346081606,2.75753625865536,0.272161606266511,10.1319811287235,3.98492541693908e-24,1.06038042509107e-21
"FUN_012629",317.718624593036,4.72478953968997,0.466356756448043,10.1312771271415,4.01372393442554e-24,1.06038042509107e-21
"FUN_006187",7920.48334353937,-4.42839582251986,0.437594166634503,-10.1198694136584,4.5101696036769e-24,1.16947027390155e-21
"FUN_010594",2061.39611069619,1.84315332742153,0.182701747483532,10.088317998095,6.22266008643985e-24,1.58417611873329e-21
"FUN_005315",197.504709785005,2.54907532396726,0.253239379087099,10.0658725872588,7.81908502545818e-24,1.95505050940117e-21
"FUN_002551",694.822517465577,3.38202194253852,0.337904812920585,10.0088007427505,1.39432452583648e-23,3.42514596680042e-21
"FUN_006745",218.480289697021,2.37591460490178,0.238932680394187,9.94386620106569,2.68210768889464e-23,6.36523251862759e-21
"FUN_009385",2120.47685628235,1.31824153578511,0.132547313749934,9.94544135592309,2.64001137801815e-23,6.36523251862759e-21
"FUN_013013",991.596153204448,2.24669394019302,0.226248520354964,9.93020390439747,3.07625826820325e-23,7.17896137856365e-21
"FUN_002347",414.877203794641,1.31269426096077,0.132728271278035,9.89008783374396,4.59624460966918e-23,1.0550265085998e-20
"FUN_007232",4405.07092118658,2.56493892347807,0.260289804643966,9.85416592473332,6.57604066743351e-23,1.48512453911942e-20
"FUN_004789",209.624930173008,2.77361842042138,0.28160941887072,9.84916779965616,6.91138526159396e-23,1.53608280052125e-20
"FUN_002954",886.213782580243,0.940384941813733,0.0958449342608868,9.81152472027406,1.004392961921e-22,2.19742347700279e-20
"FUN_014977",145.290016842113,3.63357262623947,0.370799643808347,9.7992883405183,1.13381634310661e-22,2.4424148363352e-20
"FUN_001618",1946.07722177143,3.68009326843699,0.377365703409603,9.75206076012296,1.80761020291269e-22,3.83487243351265e-20
"FUN_007611",919.579404079096,1.45067792262235,0.149543280726704,9.70072286479736,2.99370046311448e-22,6.25638714694462e-20
"FUN_002059",438.541938462185,-3.36190022619738,0.34673176521212,-9.69596836373119,3.13648064771488e-22,6.45838265136819e-20
"FUN_005924",576.709074049495,4.02877639472157,0.415857515591151,9.6878768416499,3.3951289397964e-22,6.88965150942452e-20
"FUN_001495",500.350115808861,0.994776636307148,0.102965297484265,9.66128065098017,4.40324571723629e-22,8.80774950467751e-20
"FUN_008006",368.671108853468,-1.70503175119811,0.177520930553196,-9.60468011228219,7.6394775672905e-22,1.50659105489016e-19
"FUN_008871",1490.87845079316,3.40066217013302,0.354431308387388,9.59470026958272,8.4161357927351e-22,1.63196767283962e-19
"FUN_012631",830.254516376309,4.27483603805516,0.445593567115133,9.59357664369205,8.50833024691415e-22,1.63196767283962e-19
"FUN_012157",1060.87677612337,-3.97442358684625,0.414949344706282,-9.57809341682298,9.88528420997513e-22,1.8704560744334e-19
"FUN_000405",1489.79573191381,0.911183122014579,0.0952055648599241,9.57069183251213,1.0619266321291e-21,1.98254622707622e-19
"FUN_014664",1312.80905355481,-1.95915003218096,0.204883534772496,-9.56226196681162,1.15210632857431e-21,2.12260431746019e-19
"FUN_015615",432.825585310524,-1.30154270429535,0.136238660467977,-9.5534020947107,1.25505668166779e-21,2.28224722814447e-19
"FUN_008868",2841.82270140345,-3.15341530754921,0.331366598988511,-9.51639458284248,1.79291688782566e-21,3.21851567478652e-19
"FUN_003553",785.080670346729,3.28258920002444,0.345304699963263,9.50635540255804,1.97459556433748e-21,3.49978317618398e-19
"FUN_012014",316.253380499904,-2.55058745059547,0.268511039020911,-9.49900406290869,2.11907225526137e-21,3.70890621477121e-19
"FUN_000128",2170.60458388788,0.697250510711663,0.0734489799443146,9.49299106999559,2.24498229223973e-21,3.88077062419021e-19
"FUN_004040",233.739236930839,-1.56618553261129,0.165830380966429,-9.44450301255931,3.57094872156222e-21,6.0976126828432e-19
"FUN_002535",10895.7860511534,0.576632316341902,0.0611331415239176,9.43240118154735,4.0080656905291e-21,6.76155852997452e-19
"FUN_016443",435.12457043786,2.63939592312045,0.280634863826106,9.40508918648088,5.19860987827772e-21,8.66558756138627e-19
"FUN_006173",366.666410364652,4.38671666880148,0.466695663408548,9.39952309983502,5.48109340901968e-21,9.01053177673721e-19
"FUN_013169",9684.06620055323,1.58419377053373,0.16855801550731,9.39850748578035,5.53425034137552e-21,9.01053177673721e-19
"FUN_006769",16345.6581176549,1.59447634042927,0.169846458238685,9.38775148427623,6.1294751562546e-21,9.8649323146985e-19
"FUN_002485",1256.68679616552,-8.33535195423529,0.888975268820159,-9.37635977803737,6.82897651146799e-21,1.08658328538153e-18
"FUN_001295",343.633089947214,3.02744862120377,0.326360830362983,9.27638472373233,1.75326644328538e-20,2.75834120661595e-18
"FUN_004781",352.637588964778,3.99472214972799,0.430842565304181,9.27188367961661,1.82887043380823e-20,2.84531597935365e-18
"FUN_000674",809.77368147095,3.00883516850149,0.324776232543521,9.26433299917751,1.96300369123987e-20,3.02043710821327e-18
"FUN_007928",216.596015651917,1.72101692340917,0.186217008875097,9.24199638800729,2.41940279559368e-20,3.68222586346768e-18
"FUN_000822",807.758864267829,-3.48920679072767,0.37927626045714,-9.19964457180141,3.59135694191576e-20,5.40711611835532e-18
"FUN_006418",177.265587238165,1.41440016041962,0.154085080959161,9.17934527869378,4.3372038459486e-20,6.46058811180556e-18
"FUN_010759",278.43473545088,-3.31303271947559,0.363130823102012,-9.12352383412213,7.27205023118769e-20,1.07182365617989e-17
"FUN_012956",187.254903795328,2.49011016077222,0.273424946016113,9.107106710832,8.46081593661307e-20,1.23404525775475e-17
"FUN_001270",2159.58238226266,1.03578955272802,0.113805677854859,9.10138731433944,8.9185226309984e-20,1.28739333896123e-17
"FUN_013855",6873.37403071793,1.5538067600288,0.170786097599171,9.09796981060797,9.20360715943146e-20,1.31498885149346e-17
"FUN_013139",133.204924783518,-10.1643513223856,1.12310482673246,-9.05022494824246,1.42674115767889e-19,2.01790198887069e-17
"FUN_002868",2924.10169920437,2.79701556850567,0.309596607584369,9.03438700549537,1.64924162120375e-19,2.3092681180095e-17
"FUN_015137",369.576826063193,1.59565645181491,0.177081312789799,9.01086866070956,2.04430729819838e-19,2.83409809795779e-17
"FUN_014838",734.140741643596,2.5718643407143,0.287130315488098,8.9571327093844,3.33230531127139e-19,4.57440578121784e-17
