"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",8.9883378873862,4.21707621029223,15.7089658636466,1.50967296224373e-08,0.00013118438001572,6.38185115210089
"FUN_013025","FUN_013025",-1.76767737522379,8.39788579671192,-15.1578138158881,2.15307274813486e-08,0.00013118438001572,9.92593291882301
"FUN_006770","FUN_006770",-1.43099256281876,3.10555564042239,-14.6054961007404,3.11049679245441e-08,0.00013118438001572,9.30749178151103
"FUN_002782","FUN_002782",-2.2943838902676,7.28083598066172,-13.8929386768725,5.09709807811842e-08,0.00013118438001572,9.12132561912036
"FUN_005765","FUN_005765",-1.3099805880191,4.19601199124213,-13.4332844211896,7.09661151949561e-08,0.00013118438001572,8.76861207976737
"FUN_014060","FUN_014060",2.42487248390111,4.82223357877521,13.421893579544,7.1559758012927e-08,0.00013118438001572,8.73482256451893
"FUN_002096","FUN_002096",-1.82543209664573,7.11074442836977,-13.3645752810417,7.46303917953473e-08,0.00013118438001572,8.75278762903397
"FUN_007339","FUN_007339",-1.5068551210706,6.92791621933407,-13.3530967242448,7.52624407681277e-08,0.00013118438001572,8.74555251352918
"FUN_000190","FUN_000190",5.78245294614361,6.8405029389861,12.5929410120223,1.33549399293033e-07,0.00013118438001572,8.14474848278081
"FUN_015181","FUN_015181",3.75148635296501,4.55379139951498,12.5136104520417,1.42037010323996e-07,0.00013118438001572,8.00281230404877
"FUN_003726","FUN_003726",-2.71068884288166,3.54074575897796,-12.4966053641239,1.43931951505138e-07,0.00013118438001572,8.0008884396988
"FUN_005881","FUN_005881",2.19858833456141,5.51545797666642,12.3975497661033,1.55533168941385e-07,0.00013118438001572,8.02768275037898
"FUN_010292","FUN_010292",-4.22325899094742,2.49225067146918,-12.3425669961866,1.62409996508355e-07,0.00013118438001572,7.22412444544213
"FUN_001047","FUN_001047",-1.1007151528707,9.7164845987262,-12.312892730004,1.66258691779399e-07,0.00013118438001572,7.95869342982133
"FUN_000038","FUN_000038",-1.24351661562125,5.80714862971468,-12.2493800146686,1.7483480190616e-07,0.00013118438001572,7.91529494110803
"FUN_000344","FUN_000344",-1.94414770764182,4.04359183137441,-12.241006192367,1.76001064334962e-07,0.00013118438001572,7.88619214383573
"FUN_012645","FUN_012645",-2.2789853575122,5.41948743498384,-12.2328396016976,1.77146642088562e-07,0.00013118438001572,7.90347128961029
"FUN_002437","FUN_002437",-1.94575810809069,4.97749296320654,-12.1818281831242,1.84488993213836e-07,0.00013118438001572,7.86316928144765
"FUN_016443","FUN_016443",-2.7415584974912,3.78540960885627,-11.9952004822738,2.14317194362864e-07,0.00013118438001572,7.66247652637573
"FUN_010835","FUN_010835",1.91527821972853,3.56046896810583,11.9064174369202,2.30320603486035e-07,0.00013118438001572,7.54799499228972
"FUN_001926","FUN_001926",1.03469333697678,6.17448955461803,11.8810645829599,2.35126396073451e-07,0.00013118438001572,7.6214457139099
"FUN_001857","FUN_001857",-1.39127128949012,7.66522745004464,-11.8649533754346,2.38237131288717e-07,0.00013118438001572,7.61036699370071
"FUN_006745","FUN_006745",-2.41882226719029,2.90694092335242,-11.8604448229971,2.39115653091213e-07,0.00013118438001572,7.4427912242639
"FUN_012575","FUN_012575",5.41938693110685,4.51302485284614,11.8253095011211,2.46084271329971e-07,0.00013118438001572,7.32566893653248
"FUN_012622","FUN_012622",6.26314185940683,6.67678881132442,11.8171702094439,2.47729986099412e-07,0.00013118438001572,7.53959142697968
"FUN_005924","FUN_005924",-4.32386240942273,3.53209454365131,-11.8066149377957,2.49882092700451e-07,0.00013118438001572,7.39811036620378
"FUN_012956","FUN_012956",-2.57392904305647,2.62951113972681,-11.6723990917381,2.79099546702746e-07,0.00013118438001572,7.22537631884108
"FUN_010077","FUN_010077",1.14832987637879,5.37222397536937,11.6701151004231,2.79627917060017e-07,0.00013118438001572,7.45157944601024
"FUN_011892","FUN_011892",-1.70557975412546,4.92059167043636,-11.6191530479328,2.91705497895897e-07,0.00013118438001572,7.40992513898732
"FUN_005595","FUN_005595",-1.29865456695068,6.11415099231493,-11.5785135353698,3.01744441724049e-07,0.00013118438001572,7.37032964992189
