"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",9.15517898820468,4.21781242513662,6.24459261699152e-09,8.72869156003075e-05
"FUN_013025",-1.77833374492665,8.61080917901863,1.65238774297787e-08,8.91390535732027e-05
"FUN_014060",2.40657967667359,4.4518049716177,2.45091503128057e-08,8.91390535732027e-05
"FUN_002096",-1.90726858567892,7.21839199083371,2.55083856269002e-08,8.91390535732027e-05
"FUN_002782",-2.32314579748967,7.34129355913424,3.98783802082428e-08,0.000111483999710164
"FUN_007339",-1.53835625396396,6.88099314073554,6.71054222641474e-08,0.000127089962413286
"FUN_010292",-4.23722052478244,2.26151905499006,8.20342354598521e-08,0.000127089962413286
"FUN_001047",-1.1314979531079,9.82680140540999,9.82201520924841e-08,0.000127089962413286
"FUN_012645",-2.31749391545829,5.59772148779728,9.89510231310845e-08,0.000127089962413286
"FUN_012169",-1.75554441840327,5.15956967161659,1.09616674448467e-07,0.000127089962413286
"FUN_001857",-1.35488664091626,7.39481348698344,1.18038378463817e-07,0.000127089962413286
"FUN_005881",2.45455823565436,5.13835439688994,1.19402568067774e-07,0.000127089962413286
"FUN_002059",3.60201363285594,3.5804430844643,1.24622984100232e-07,0.000127089962413286
"FUN_000190",6.03234288011054,6.01961255368056,1.33992768506524e-07,0.000127089962413286
"FUN_012622",6.38568404775536,6.13437139571613,1.39438341445393e-07,0.000127089962413286
"FUN_005924",-4.18957503738653,3.08933139835571,1.4886326432252e-07,0.000127089962413286
"FUN_000038",-1.24587614136317,6.08490439564022,1.62252703982898e-07,0.000127089962413286
"FUN_002486",7.71251225610255,-0.180799014379296,1.67369624907137e-07,0.000127089962413286
"FUN_005315",-2.56544161277126,1.97919180114832,1.84535643992891e-07,0.000127089962413286
"FUN_014661",-0.901218013836981,6.61689760212632,2.18807997068468e-07,0.000127089962413286
"FUN_002437",-1.9823775420546,4.61769943462161,2.1985219567362e-07,0.000127089962413286
"FUN_008871",-3.67032098289859,5.25361390915684,2.25230729343808e-07,0.000127089962413286
"FUN_009386",-1.7563624242827,11.0487536427448,2.34396423189089e-07,0.000127089962413286
"FUN_015181",3.94104386727044,4.35874558839658,2.3788314285603e-07,0.000127089962413286
"FUN_013042",-2.02764442331906,4.76860201991335,2.50089239784747e-07,0.000127089962413286
"FUN_005595",-1.35028266960412,6.30626714732571,2.58497039554343e-07,0.000127089962413286
"FUN_003726",-2.74557678585804,3.69756603341518,2.61397907215169e-07,0.000127089962413286
"FUN_006020",-2.35758848462312,4.75796446669043,2.79871942848996e-07,0.000127089962413286
"FUN_007375",-4.12726008089565,5.49349544976255,2.94913546037856e-07,0.000127089962413286
"FUN_010594",-1.88661779550866,6.30467347015754,3.01502566944679e-07,0.000127089962413286
"FUN_013013",-2.39066192494374,4.94881054943046,3.0498810995883e-07,0.000127089962413286
"FUN_014838",-2.71963934330007,4.63844156443114,3.06601379035351e-07,0.000127089962413286
"FUN_007611",-1.48369321717025,5.11379107861971,3.17030846179721e-07,0.000127089962413286
"FUN_006584",3.63317785304904,3.38008605470066,3.25253901527644e-07,0.000127089962413286
"FUN_008302",-1.5413264818125,6.71816959342407,3.30138479830728e-07,0.000127089962413286
"FUN_002485",9.04355408046713,0.149549390238708,3.37574989395606e-07,0.000127089962413286
