"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.8826920982703,2.476177999796,1.22510162647134e-25,1.4270392112347e-22
"FUN_000887",-10.6675694774772,3.84141998545737,8.07872069272274e-48,5.64621789214393e-44
"FUN_002487",-10.0969274816251,1.71623002078378,1.89603106794339e-16,5.88949383726949e-14
"FUN_002467",-9.46824088693799,6.34717389577385,1.83226004864563e-23,1.70742206399791e-20
"FUN_012054",-9.24169913629942,7.26365810041114,1.27347887355487e-29,1.97785418828333e-26
"FUN_008877",-8.98539982218023,7.87468403286007,4.70475004025337e-46,1.64407490156654e-42
"FUN_002485",-8.68580965874635,3.72616062474042,1.10358726553297e-59,1.54259427976199e-55
"FUN_002466",-8.44963811720471,7.55923264721138,6.89508022533147e-20,3.56960856998827e-17
"FUN_002470",-8.35541134826414,7.14798291220202,5.55806288498365e-16,1.61855422929795e-13
"FUN_012053",-7.78791454207714,7.30070913306821,8.44404943337171e-13,1.21681363896567e-10
"FUN_002484",-7.70314220965098,-0.453400277911844,3.49650293728096e-08,1.40847602470643e-06
"FUN_002486",-7.67708593679504,2.73997806629606,6.24217773314759e-47,2.90843867846457e-43
"FUN_006209",-7.44247774926871,3.91915216025473,2.09672921445365e-30,3.66351011995414e-27
"FUN_011854",-7.39450536597022,1.38632331128076,2.8092865879755e-26,3.92682079267215e-23
"FUN_008903",-7.30755299776816,0.599834542469758,1.67217985172042e-20,9.73905415306165e-18
"FUN_010492",-7.04857147268457,2.36123629299376,6.25839660290849e-26,7.95271524685954e-23
"FUN_014624",-7.02118543922535,1.0201920851282,3.32835738749963e-21,2.11471725283954e-18
"FUN_007421",-7.00203250893584,2.43469322446642,0.000273698120816225,0.00305571272585398
"FUN_005334",-6.7415080731989,4.1816495572835,3.05536476865347e-37,8.54157774724763e-34
"FUN_012690",-6.65019569601264,2.18315932416244,8.45041370928557e-32,1.68742689754848e-28
"FUN_008732",-6.60941333167112,1.35701944863153,2.35767687052337e-07,7.3726190819185e-06
"FUN_005514",-6.54811027979195,3.96946115777425,5.45538658779996e-24,5.86579951725137e-21
"FUN_012623",-6.16353268139297,2.9373851076163,2.06440116001643e-12,2.5996576049288e-10
"FUN_002465",-6.13328251910084,5.23611402822282,2.04409210546269e-08,8.7329549028933e-07
"FUN_003235",-6.11246719661563,3.26821608807717,7.26124560065995e-13,1.09137302157016e-10
"FUN_003330",-6.04398474044839,0.943599667540932,6.01747703068185e-16,1.68224587869742e-13
"FUN_014788",-6.03579457464613,4.78964847954191,2.12721737710071e-05,0.000348584343459716
"FUN_004069",-6.01314680828634,5.41400718061717,3.26887929825661e-06,7.02959920477398e-05
"FUN_012622",-6.00251378145564,8.40610792855547,2.18296144747426e-21,1.45302071965691e-18
"FUN_005722",-5.9995716946707,4.99115606688098,5.07649735142035e-35,1.18265466630256e-31
"FUN_002469",-5.92490735782989,7.09160940492044,6.25103027501058e-12,6.93467469715063e-10
"FUN_000190",-5.71893033299563,8.16752693824877,1.78918511981413e-19,8.33640986825395e-17
"FUN_013727",-5.62070568120964,-2.02721994875829,1.79692147277056e-06,4.17232032332007e-05
"FUN_010552",-5.59033552451324,4.701188800314,1.37706369217673e-09,8.26120012414006e-08
"FUN_002468",-5.57953667744863,5.03395658080397,1.70112431733336e-16,5.40416266083766e-14
"FUN_009753",-5.5618649603455,0.455678128797119,3.01148765711335e-17,1.05483113217813e-14
"FUN_012575",-5.53821468820654,5.51934830578344,1.42891155023679e-17,5.54814601366941e-15
"FUN_002488",-5.48880303492927,4.14069192451799,0.000842194423534311,0.00809085474375437
"FUN_004335",-5.48244315813687,6.04672677655416,2.18472620547544e-13,3.8655826455868e-11
"FUN_013151",-5.42836784321862,1.891808054623,0.00309917760721768,0.0243509300695271
"FUN_008657",-5.40166241891322,3.25424968150912,8.5976786488101e-07,2.22965402881387e-05
"FUN_004474",-5.39798201232994,1.25590249492909,5.64747199159564e-05,0.000790193828814053
"FUN_000231",-5.38328760420171,5.89487620545695,1.7903472933659e-08,7.89447144058945e-07
"FUN_011765",-5.34659512854919,-2.18779480738925,6.41472381574352e-05,0.000877348429515293
"FUN_000823",-5.29869637413872,6.61096787110338,2.98485335177509e-14,6.32155759865336e-12
"FUN_001686",-5.26668734533029,-2.23587578634152,4.28594764404893e-05,0.000623402457528781
"FUN_013377",-5.25313815681882,3.64024733235837,8.28519585452404e-14,1.631133347247e-11
"FUN_010322",-5.25176758488855,7.01014325201129,8.20433969697326e-08,2.92551684398705e-06
"FUN_004907",-5.20039617231495,6.55920597034323,0.000123504567357896,0.00154413849957842
"FUN_008133",-5.17726611993947,7.14133183706995,8.60436817158067e-05,0.00112400168252295
"FUN_000815",-5.13103857901675,1.05761593103822,1.78815876065786e-12,2.29386954192834e-10
"FUN_008712",-5.11388039319848,1.66212692626745,1.67950846484238e-06,3.93235667027919e-05
"FUN_005461",-5.109763754883,2.54052144723283,1.17600314006716e-08,5.49771635179222e-07
"FUN_002475",-5.08683360304339,6.92823668766196,3.86333233195224e-09,2.02253405752916e-07
"FUN_007703",-5.03560133322493,5.16791275622213,3.66226877007971e-06,7.77981654531523e-05
"FUN_013146",-4.99179270857468,0.790479376108584,3.01854666526864e-17,1.05483113217813e-14
"FUN_004074",-4.89439236455988,0.108185270895784,1.41276965216693e-05,0.000246543158761931
"FUN_013729",-4.87301195126917,-1.4300466633379,2.70292094212317e-08,1.12780384862679e-06
"FUN_015964",-4.81493141441985,1.50423557572392,3.00341513045557e-12,3.68260848188666e-10
"FUN_000192",-4.7877159871649,9.18197752325992,1.60927013097962e-10,1.26372909499062e-08
"FUN_000885",-4.75916026967476,4.65273242400326,4.92205532323852e-11,4.14460778965229e-09
"FUN_006082",-4.74852951118998,5.40992578558763,0.00033073587759793,0.00358930597598126
"FUN_010905",-4.74191090332484,1.65821309626849,4.11971229721957e-17,1.40452045098866e-14
"FUN_014388",-4.70592888980406,6.64443557789251,3.81029535406911e-05,0.000570238848599337
"FUN_016260",-4.69613137206636,-0.996464147710684,1.84978351840252e-10,1.42067439671596e-08
"FUN_005065",-4.65767808449858,2.92882028205648,3.21518607659093e-11,2.79142055767627e-09
"FUN_015771",-4.64235400596477,-0.972974774160354,9.21982785914532e-05,0.00119549864392517
"FUN_007961",-4.63108229410703,4.68798008252924,2.3622071058599e-06,5.23279412451818e-05
"FUN_000946",-4.62687343760448,3.28057587409653,2.56774526987379e-06,5.65227454839305e-05
"FUN_003289",-4.57458293992342,3.9513110121976,2.33225310286104e-07,7.3099209761918e-06
"FUN_007512",-4.56788934601938,0.828524889375115,4.16779321379464e-05,0.000610343645632758
"FUN_002474",-4.54629054906576,2.21313096341713,8.34002584571383e-06,0.000157777005683016
"FUN_003027",-4.53655954748186,0.401688572074093,6.13693107807426e-11,5.01649255025275e-09
"FUN_014789",-4.49987189749374,4.85024003633567,0.000432126189167622,0.00453472963377254
"FUN_006187",-4.49092952476649,8.89361751269881,1.56629791257058e-16,5.0915609818399e-14
"FUN_015912",-4.46661083868683,1.22650670216957,8.71656652811787e-13,1.24326700949012e-10
"FUN_000945",-4.34438061723104,3.10666395111154,1.429103715762e-06,3.42054995529474e-05
"FUN_008633",-4.33067503222297,1.79059957386139,1.70586218408861e-05,0.000291142144190362
"FUN_008904",-4.29672726741721,2.45139238954182,2.33925410996074e-17,8.60476156553455e-15
"FUN_007107",-4.26436613449872,-1.32945472933303,3.46861230427451e-06,7.409807166394e-05
"FUN_006445",-4.24812218664803,5.60752419258549,0.000703373443079581,0.00689463813980812
"FUN_009903",-4.22095823721196,4.74020267049468,5.36257078991634e-09,2.73569395990696e-07
"FUN_004073",-4.18203271764773,4.46707680914147,0.00189181010250874,0.0161131405366631
"FUN_005294",-4.16823082682598,10.2146546171615,1.32353993702684e-11,1.31208803118873e-09
"FUN_003300",-4.15197030286163,5.25783261310331,3.63568483921561e-18,1.53998796007745e-15
"FUN_005067",-4.10385851252837,7.72255755852504,1.96317643123475e-05,0.000325905940092629
"FUN_012157",-4.01459413039239,6.25575999571392,4.7748355490143e-16,1.420056410726e-13
"FUN_004072",-4.00457774034613,1.40408194590244,1.0979614326716e-05,0.000199315648128359
"FUN_003282",-3.98384777464826,-0.41167608052298,9.31403746874713e-06,0.000171983640341014
"FUN_012689",-3.97650873808201,1.88729415328984,7.69027171710713e-12,8.20569603524606e-10
"FUN_013367",-3.97259853921535,2.79249183194843,5.09323668804826e-05,0.000724244785610768
"FUN_012579",-3.95532104816299,5.49452463498416,1.72498543983835e-07,5.59439593458479e-06
"FUN_003972",-3.92967095684143,-2.11361114131441,0.00465317854268109,0.0341787334049376
"FUN_007944",-3.91645882976128,3.91828222502767,1.61046597301185e-06,3.79613716201681e-05
"FUN_015181",-3.90403373308634,5.49162922777236,1.44721985016614e-22,1.2643274416014e-19
"FUN_004068",-3.90117419483111,1.36108589973793,2.72806254778595e-05,0.000431056088584282
"FUN_001631",-3.89148199522781,1.3801325888165,2.82096003183883e-09,1.53502229860745e-07
"FUN_008629",-3.87349553852906,5.0413875605502,2.08102378423837e-05,0.000341686009777401
"FUN_001231",-3.85485415662985,0.132013718026236,0.000253517426758696,0.00285319371274803
"FUN_007266",-3.84179249823912,7.45637935576877,1.99152570579414e-13,3.56891619430648e-11
"FUN_000942",-3.83533807587544,4.31405341557558,6.00796832237696e-08,2.23349418112194e-06
"FUN_013779",-3.79780070001554,-2.12143538758436,0.000266639381672822,0.00298405546599096
"FUN_002147",-3.78144017872817,6.19646266897489,4.54244633595362e-06,9.37877620147116e-05
"FUN_013728",-3.7723378756765,4.11982308629003,3.83422795516729e-05,0.000573206827351105
"FUN_002102",-3.76356029712552,4.77770240002734,2.0118023433144e-05,0.000332399209868187
"FUN_008829",-3.73506378049454,5.17196406391889,2.93072102703301e-11,2.62600118691458e-09
"FUN_008733",-3.73136097860996,-1.38781485017223,0.000483467647536992,0.00500215453536053
"FUN_006099",-3.72433111674687,2.58161632475637,3.77805960337841e-05,0.000566020548081709
"FUN_011811",-3.72347172417773,7.65493131565654,1.52762772112756e-09,8.96290875906103e-08
"FUN_002089",-3.72078781134073,9.25838311850531,0.00159711041110869,0.0139789663910314
"FUN_014858",-3.71609389797227,2.52081769888037,1.36303129028837e-06,3.28490540959497e-05
"FUN_008818",-3.70481609592537,4.21593881532291,0.000231862299880501,0.00264353281217752
"FUN_003240",-3.69680118768025,2.18445016226004,0.000216661289455117,0.00250288554049886
"FUN_015518",-3.68560468514899,0.299091244911702,2.68955461056265e-10,1.93786568796107e-08
"FUN_000660",-3.68114048890406,-0.798987920670734,0.000165384621814644,0.00198774397568796
"FUN_004881",-3.6167762014853,4.84424334053668,2.13370639830356e-14,4.58845354392111e-12
"FUN_015800",-3.60628707062719,6.66527692857395,4.73792128723945e-11,4.01373719715351e-09
"FUN_006584",-3.57749831136935,4.3701089633096,7.09303084934813e-22,5.50813251178823e-19
"FUN_010329",-3.57215819733698,4.40303932114018,0.000780304812494632,0.00752732965427879
"FUN_008876",-3.55474782748508,6.25296934832315,1.27525954982307e-11,1.27325557053049e-09
"FUN_000822",-3.52050485483546,5.66041992180312,1.23232325476924e-14,2.87090240919407e-12
"FUN_002059",-3.51895665649453,4.54293943696653,1.50617518306875e-21,1.05266583544675e-18
"FUN_002455",-3.51078412708273,1.12467349532665,1.8275826224086e-08,8.00572272653814e-07
"FUN_015994",-3.5072976091138,-2.27475701160006,0.00264937973078688,0.0214435610173359
