"","GeneID","meanExpr","logFC","pval","adj.pval"
"7956","FUN_008877",5838.03343694832,"-8.96139256002804",6.48341168176295e-164,9.29137728113449e-160
"5146","FUN_005722",883.915993653397,"-5.52832274408522",1.82341263787667e-52,1.30656632567053e-48
"4823","FUN_005334",610.746062516895,"-7.40155499407197",4.51896525717496e-50,2.15870970335248e-46
"11558","FUN_013025",9511.62832870654,"1.80217293449801",2.32964431385773e-42,8.34653316547379e-39
"2548","FUN_002784",322.433077280999,"-3.55569943234986",2.04275354066875e-40,5.85494019826478e-37
"2334","FUN_002553",257.389778495888,"3.46551937093197",1.10990434319135e-34,2.65100652371255e-31
"809","FUN_000887",541.950220787018,"-10.098014175126",1.0914255178336e-33,2.19056097119155e-30
"3374","FUN_003726",413.34930729405,"2.74157901350211",1.22283774820546e-33,2.19056097119155e-30
"11204","FUN_012622",10818.9085627534,"-5.91291140734401",1.44311218091514e-32,2.06812406646949e-29
"12434","FUN_014060",924.532859468018,"-2.47115180276955",1.43995801465279e-32,2.06812406646949e-29
"1929","FUN_002096",4043.73336015034,"1.86130934921195",4.56691019304726e-32,5.94985363423275e-29
"2546","FUN_002782",4906.87925503313,"2.31025846183959",5.28541881229606e-32,6.31211141658456e-29
"175","FUN_000190",10589.1145677046,"-5.55248684848052",6.62658158087881e-32,7.30504158735186e-29
"13371","FUN_015181",1053.60267627749,"-3.7389610730804",7.90698126852573e-32,8.09392489708873e-29
"6611","FUN_007339",3199.3198852,"1.52149140191116",1.50239093611471e-31,1.435384300364e-28
"8122","FUN_009056",97.9715569390389,"4.36629935134709",7.01785748078569e-31,5.91605385630234e-28
"9217","FUN_010292",285.027690801965,"4.06888893877637",6.6412496330723e-31,5.91605385630234e-28
"959","FUN_001047",21336.7669080591,"1.13531362394619",9.82509774089776e-31,7.82241531804477e-28
"5300","FUN_005881",1359.09001929626,"-2.19316508966406",1.13229198685427e-30,8.54046129663608e-28
"321","FUN_000344",533.293050304084,"1.96781859928044",1.55988111217843e-30,1.11773281093145e-27
"10516","FUN_011854",145.295160549739,"-6.62977713937558",1.99360629147148e-30,1.36049389347989e-27
"5186","FUN_005765",446.664330816812,"1.38195911025892",4.35821838316213e-30,2.83898307495893e-27
"11680","FUN_013170",218.022343847611,"3.03013897442788",9.50267525798227e-30,5.92099300531061e-27
"5610","FUN_006209",281.75420974264,"-7.30917197720634",1.61658615093095e-29,9.65304005374641e-27
"11226","FUN_012645",1343.49856529008,"2.32491712973375",2.76786882279277e-29,1.58665312397773e-26
"5956","FUN_006584",437.144037737196,"-3.38574073284121",4.38991606715775e-28,2.41968796763222e-25
"4963","FUN_005514",472.343597623584,"-6.85585843229926",4.56068676339189e-28,2.42071118541367e-25
"12967","FUN_014661",2042.92982179068,"0.903948134631971",4.33307077967924e-27,2.21775847655654e-24
"10681","FUN_012054",3869.42608038413,"-9.49114173897007",4.82315329185479e-27,2.38346930433003e-24
"35","FUN_000038",1468.22587963852,"1.27324229923306",6.04553304729505e-27,2.88795113669285e-24
"10786","FUN_012169",848.011785610943,"1.73908304501176",6.57779918077407e-27,3.04085290515075e-24
"9038","FUN_010098",83.5764560765533,"2.35120602061369",2.04373674782647e-25,9.1527472915941e-23
"6098","FUN_006745",225.638960800602,"2.50155490042855",2.33913733766379e-25,1.01582355109272e-22
"1729","FUN_001857",5250.75431804999,"1.41218927111855",4.6131239706908e-25,1.88887656068485e-22
"2080","FUN_002259",443.168224553293,"2.39806479248099",4.58285169605595e-25,1.88887656068485e-22
"2738","FUN_003017",2528.48857288528,"-2.48131670335901",5.24883172949636e-25,2.08947243098368e-22
"2685","FUN_002954",942.911878184259,"0.970901690993742",1.98394761660958e-24,7.68431170098159e-22
"8398","FUN_009386",57813.2951783232,"1.78674484389527",2.57779060347334e-24,9.7216624048359e-22
"5040","FUN_005595",1769.06671770751,"1.34523879634867",2.72778023931152e-24,1.0023543233224e-21
"1388","FUN_001495",595.14477315715,"1.02555845218489",3.14445397488246e-24,1.12657924785101e-21
"4071","FUN_004521",5031.43882113003,"1.04562988683277",3.99184354642031e-24,1.39529536253047e-21
"9666","FUN_010835",335.371256346071,"-1.88693044425906",5.16143717438561e-24,1.76115609871715e-21
"9465","FUN_010594",2253.76919177417,"1.86599062689433",7.25014513454985e-24,2.41632162612172e-21
"9022","FUN_010077",1015.7296669573,"-1.11543877164755",9.57088271374391e-24,3.11728000387873e-21
"2737","FUN_003016",4278.07662015528,"-2.7320904114594",1.34672087826228e-23,4.28885709030596e-21
"1790","FUN_001926",1266.30786049989,"-1.00881169891633",1.55728405778222e-23,4.85161692001675e-21
"7468","FUN_008302",2567.49865643246,"1.55526320640163",1.73970146432573e-23,5.30460886920255e-21
"11163","FUN_012575",1840.70152294294,"-4.97234380748149",1.92741058320501e-23,5.75452522248147e-21
"5589","FUN_006187",9856.40271867984,"-4.40544780326362",2.93403067473037e-23,8.58114155093079e-21
"5441","FUN_006034",4879.44966976501,"-1.4721870125071",3.21167082524721e-23,9.20529091932354e-21
"7212","FUN_008006",388.017906538013,"-1.81429558469909",3.29819503935495e-23,9.20612274139895e-21
"9749","FUN_010950",5174.04742761005,"2.0716741836743",3.34043948470271e-23,9.20612274139895e-21
"528","FUN_000561",60.0018293170661,"3.67347760409368",3.66265449627233e-23,9.7523065007631e-21
"11212","FUN_012631",621.046629562795,"4.38343098600298",3.67472298542465e-23,9.7523065007631e-21
"13884","FUN_015854",380.957476460176,"2.76751069719332",3.86367098360732e-23,1.00673216120139e-20
"3524","FUN_003895",248.325386875512,"-2.01134875680302",4.99685495859646e-23,1.25732800655678e-20
"6121","FUN_006770",139.415398320176,"1.55202386811622",5.00088593773892e-23,1.25732800655678e-20
"2225","FUN_002437",744.218988129781,"1.96035916564398",6.13721641556683e-23,1.51642152502566e-20
"8363","FUN_009349",4116.98219867,"2.05029635476099",8.80501749874013e-23,2.1387238266855e-20
"12736","FUN_014390",207.879897497752,"2.59386315440909",1.29728706584926e-22,3.09857015678095e-20
"3656","FUN_004040",261.795588445349,"-1.62949514600066",1.32171319246899e-22,3.10515930512675e-20
"7950","FUN_008871",1761.33119376707,"3.43968957406208",1.46514100158702e-22,3.38660253124897e-20
"10551","FUN_011892",860.177176348697,"1.74200095293079",1.59828450257639e-22,3.6357166994321e-20
"10323","FUN_011641",3603.85952890486,"0.948917549306412",2.06648754909524e-22,4.62731766657561e-20
"1895","FUN_002059",508.772352723192,"-3.53142284976373",2.14056990026378e-22,4.71946265241234e-20
"2153","FUN_002347",455.124129346094,"1.31179533104666",2.35001906518682e-22,5.10274594290794e-20
"1454","FUN_001563",2332.2648594546,"1.64463782240218",2.49475034300103e-22,5.33615927843997e-20
"9380","FUN_010492",140.47337332274,"-8.15528980839876",3.05400343519275e-22,6.43631223966871e-20
"1508","FUN_001618",2270.41533579413,"3.729039461667",3.27761181443375e-22,6.7102078446643e-20
"6507","FUN_007232",5679.2634617435,"2.56596651239038",3.2751959284999e-22,6.7102078446643e-20
"4805","FUN_005315",193.609930646371,"2.55788016913716",3.66831949276155e-22,7.40432206348814e-20
"8397","FUN_009385",2298.1405118781,"1.33711651188835",4.66970884018427e-22,9.29466630398345e-20
"626","FUN_000674",998.909458476387,"3.05375946610163",4.87467954917337e-22,9.56973049578132e-20
"5335","FUN_005924",679.411229190238,"4.02983788407175",6.62877390772828e-22,1.28374268745478e-19
"7947","FUN_008868",3062.15371073678,"-3.15491338602713",1.01679423867468e-21,1.94289043125958e-19
"8220","FUN_009171",5468.01314395745,"0.695572410375152",1.07358767219999e-21,2.02441906977606e-19
"11211","FUN_012629",287.050523371833,"4.88912620149489",1.85946617328501e-21,3.46078048433084e-19
"6864","FUN_007611",1112.00956160504,"1.4569209213945",2.09486579876955e-21,3.84891304643159e-19
"3210","FUN_003553",1021.66324743858,"3.31338818797074",2.13619363174617e-21,3.87516340969043e-19
"11655","FUN_013139",156.264852223392,"-10.4030875023311",3.20501795948288e-21,5.74138904716864e-19
"10644","FUN_012014",297.733450677148,"-2.68924303525424",3.55339286596482e-21,6.28687322989406e-19
"11548","FUN_013013",1175.43711231542,"2.26142278465247",5.29909474495962e-21,9.26113741341662e-19
"4309","FUN_004781",494.764566498567,"4.03990706665792",6.83363900219096e-21,1.1799142233783e-18
"5575","FUN_006173",400.94359064759,"4.63297102841304",1.01553118927784e-20,1.73256874685009e-18
"13215","FUN_014977",151.96618650865,"3.80208444567932",1.20190616391307e-20,2.02641379235743e-18
"6120","FUN_006769",19495.1343267741,"1.58968380870656",1.44684336877232e-20,2.41101306021815e-18
"12970","FUN_014664",1424.9702235306,"-1.94484723813106",1.53805586108867e-20,2.53354925807606e-18
"11265","FUN_012690",100.008855842154,"-8.06836312390283",1.59339860001991e-20,2.59488583373697e-18
"7797","FUN_008692",689.994221279947,"0.669043536797383",1.71281492633627e-20,2.75801693363203e-18
"9301","FUN_010397",6934.82617886368,"0.598458408949421",2.19583063656595e-20,3.49649431695852e-18
"11572","FUN_013042",814.838738121445,"1.99082734044018",2.52156443686366e-20,3.97104834557067e-18
"11496","FUN_012956",217.371417850859,"2.5538758001759",2.68802714457357e-20,4.18718663140042e-18
"7665","FUN_008547",169.026828626915,"-1.71399504765213",3.62058077373605e-20,5.57919817939908e-18
"13720","FUN_015615",514.711239961375,"-1.28936568031595",5.70202277360032e-20,8.69315833707088e-18
"10775","FUN_012157",1480.85554452962,"-3.94411438374906",5.96681221955597e-20,9.00109325457438e-18
"1194","FUN_001295",399.055905078546,"3.07233913702672",7.90524871747275e-20,1.18010541010523e-17
"11679","FUN_013169",10457.2933467526,"1.60076601440608",1.15269095288621e-19,1.70301175730024e-17
"1364","FUN_001469",41.4227106917583,"3.9046899964318",1.18898644751908e-19,1.73871069177509e-17
"13107","FUN_014848",134.681213947157,"3.46502957082476",1.43618732588823e-19,2.07898995629336e-17
"382","FUN_000405",1673.29833244589,"0.925259300990397",1.69066491735292e-19,2.42289189305846e-17
"2241","FUN_002453",742.567673662183,"3.63697958676891",2.18443630287808e-19,3.09952046104413e-17
"749","FUN_000822",1136.7591379134,"-3.46163802314977",2.93486819058715e-19,4.12348980777494e-17
"12263","FUN_013855",7488.94754621753,"1.57369936667052",3.54725931819963e-19,4.93551196981737e-17
"2628","FUN_002868",3352.60790559052,"2.81799120754374",4.55582265523124e-19,6.27783600693451e-17
"13340","FUN_015137",399.18882459755,"1.59603798004612",5.46597163847322e-19,7.46027043342474e-17
"9573","FUN_010721",251.141929492808,"6.16062308666936",6.50243043684841e-19,8.79116326325232e-17
"1170","FUN_001270",2418.11303806258,"1.07373751638696",8.24902274501761e-19,1.10482939213876e-16
"14236","FUN_016443",564.830097849449,"2.71856126846273",9.88645849190571e-19,1.31187811710649e-16
"4502","FUN_004990",241.477335453306,"-2.81326526436413",1.12027397316426e-18,1.47290333113917e-16
"509","FUN_000540",476.575362462211,"2.62437313461573",2.0030483502094e-18,2.60960780971372e-16
"6938","FUN_007691",4843.96208746568,"2.14716877937874",2.23203936167247e-18,2.88174379208362e-16
"7138","FUN_007928",237.834451513318,"1.79565677223445",2.34176173119883e-18,2.99640958659022e-16
"8951","FUN_010002",333.270294106081,"-1.10288312419741",2.50828013938034e-18,3.18107634313802e-16
"9213","FUN_010288",701.834338599276,"4.55378445619142",2.69719947860119e-18,3.39066366033628e-16
"2972","FUN_003300",863.023271983104,"-4.07191081681039",3.64922400165682e-18,4.54756775371685e-16
"7131","FUN_007919",338.956069528749,"2.06864961567031",3.8056916765774e-18,4.70166960491644e-16
"122","FUN_000128",2936.96856407467,"0.713977873883474",4.94951467028082e-18,6.06252091793114e-16
"10698","FUN_012071",45347.7144740922,"-2.28390584457457",5.86700605769308e-18,7.12542913667793e-16
"2318","FUN_002535",11579.6571800093,"0.593205066710541",7.59799934270462e-18,9.15016206557142e-16
"9608","FUN_010759",309.51102901429,"-3.46611411997703",8.6032133237185e-18,1.02743875118508e-15
"9751","FUN_010952",7061.56858906986,"5.1166150132005",9.30412226693745e-18,1.10196178683868e-15
"13100","FUN_014838",813.978759568745,"2.56139269580391",1.07963773321215e-17,1.26822035693961e-15
"13011","FUN_014715",2906.04213812182,"4.08021321311624",1.09517678138425e-17,1.27601450845673e-15
"2270","FUN_002485",86.4764390855026,"-8.39293632374029",1.32508744901694e-17,1.51918625854894e-15
"6538","FUN_007266",4727.89822318816,"-3.69778813711055",1.31555557454488e-17,1.51918625854894e-15
"7227","FUN_008022",94.671192015286,"3.07306526179044",1.34375086591364e-17,1.52835663963559e-15
"3513","FUN_003883",3030.83138418663,"0.843721171363366",1.5212389941156e-17,1.70479677525369e-15
"10662","FUN_012035",171.450669246504,"4.84395100244112",1.52267104341967e-17,1.70479677525369e-15
"1639","FUN_001759",1833.56013838543,"-2.71745831973722",1.55567589540464e-17,1.72824738426697e-15
"11471","FUN_012929",3793.30891454396,"0.930619507672448",1.61424190685077e-17,1.77951544362141e-15
"8362","FUN_009348",1171.29944989953,"1.93869274126463",1.69885757729612e-17,1.85849831604814e-15
"6027","FUN_006661",255.50423315354,"1.48419927086929",1.89532004756904e-17,2.05771451528121e-15
"6645","FUN_007375",3708.00108622289,"3.78503791726209",2.16817461816864e-17,2.33624890623871e-15
"750","FUN_000823",2878.41531156473,"-5.29122185497781",2.42868947335479e-17,2.59742901810802e-15
"4192","FUN_004647",1109.72210784725,"0.687866278811908",2.48207228253997e-17,2.63485762082077e-15
"10019","FUN_011248",416.57903088038,"2.03508638616857",2.75300362606216e-17,2.900977570963e-15
"13378","FUN_015188",725.485211870165,"-0.912603273797556",2.93264400067844e-17,3.06771687399435e-15
"7206","FUN_008000",1369.78041305184,"1.04726435106452",3.47984099155514e-17,3.6137392210128e-15
"2750","FUN_003030",524.580055054985,"2.02855669631559",3.60905596545693e-17,3.7209626648175e-15
"5829","FUN_006448",263.641004573923,"2.98181189926663",4.53966683223671e-17,4.64699752662745e-15
"9108","FUN_010175",3486.77115784757,"1.00510833700616",5.10422933898883e-17,5.18785181964886e-15
"2236","FUN_002448",139.958338243376,"-2.1973358871759",5.49338609151796e-17,5.54406451250309e-15
"3574","FUN_003946",390.948897684327,"1.42567182160433",6.37405900858357e-17,6.38787689874204e-15
"2253","FUN_002467",3004.89168812447,"-9.16294181962796",8.32608414455941e-17,8.28618832470006e-15
"1136","FUN_001235",73.1988435892145,"-2.81669607588718",8.52342474513516e-17,8.42408276017462e-15
"5801","FUN_006418",144.880788974608,"1.55714236670776",9.98499148144852e-17,9.80102143292046e-15
