"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.3698581210041,2.85723076023426,1.03006898510048e-28,1.47619186254749e-25
"FUN_000887",-9.96721240018999,4.63574812502801,3.25194011970374e-54,4.66035538554744e-50
"FUN_012054",-9.48588496733734,7.46258120930509,5.59351916458786e-27,7.2873384679735e-24
"FUN_002467",-9.16825448043765,7.09960448446086,8.35489234831457e-21,5.70161724969982e-18
"FUN_008877",-8.99076466409172,8.05487523138206,4.40257785465719e-53,3.15466716175461e-49
"FUN_002466",-8.39889081969733,7.83981805849512,2.36181970568438e-17,1.02567388491403e-14
"FUN_002470",-8.27412727018065,7.02838559538448,4.43436980934904e-14,9.48491846832555e-12
"FUN_002485",-8.167529527144,2.02797206536837,6.55832788654416e-34,1.34267709917235e-30
"FUN_010492",-8.02585721424574,2.71047459320592,1.91389772801194e-34,4.57134472335652e-31
"FUN_002492",-7.8961238213621,-0.408307977807797,8.40490674631148e-08,2.89544996589879e-06
"FUN_012690",-7.89173330676025,2.23203452331855,9.88019032814607e-42,4.71976691975538e-38
"FUN_013141",-7.81290689985916,1.00224898408846,3.59946623604826e-07,1.00163010929723e-05
"FUN_012053",-7.71502405008669,7.3991686131427,3.02652773507817e-14,6.77705765178207e-12
"FUN_002484",-7.57003019407731,-0.661787822895886,8.18881347377474e-09,3.89880019576963e-07
"FUN_002487",-7.42359067716914,1.30716847462369,3.71065628553287e-14,8.05718412545023e-12
"FUN_005334",-7.4184655874956,4.81472913555179,2.58611315978202e-41,9.26539692320904e-38
"FUN_007421",-7.32750526867102,3.05282179127772,0.000135444878654744,0.00165337355707082
"FUN_006209",-7.2920167775724,3.6922896832877,3.19761206278305e-30,5.09166427463821e-27
"FUN_014624",-7.05748680618353,0.968832362962613,8.02127138578174e-22,6.38626890164656e-19
"FUN_005514",-6.86161790845128,4.44886015824335,1.51763318523076e-26,1.81243343146184e-23
"FUN_008732",-6.83053800614491,1.49294677133093,3.07391287679789e-07,8.68880580619143e-06
"FUN_011854",-6.60964392322102,2.7590477843387,2.36120303267903e-31,4.22980008266539e-28
