"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.4385070563768,2.72194938945646,2.72579130880408e-24,2.62293811675187e-21
"FUN_002487",-9.64773750466012,1.96697696398457,2.50573525040455e-15,5.2417076238173e-13
"FUN_002467",-9.11569552217287,6.81666852442961,1.09380277492164e-32,2.25542132188842e-29
"FUN_000887",-9.08736407877955,4.52133516753503,4.08586514816186e-50,2.94876887742841e-46
"FUN_012054",-8.9265450698724,7.35350372597287,2.22854529199864e-33,5.36113712411806e-30
"FUN_008877",-8.77565005700446,7.94745546380492,7.53185208223608e-48,3.62382509849985e-44
"FUN_010698",-8.32447543952101,0.744643757291715,2.54911703169422e-20,1.17256641619246e-17
"FUN_002466",-8.22912823740476,7.45607676458937,4.15003238746089e-22,2.72279852184593e-19
"FUN_002486",-8.14699258375848,6.06030371136578,1.62259299450835e-31,2.34205072827335e-28
"FUN_002485",-8.14698696897469,6.06030371136578,1.60392886171363e-31,2.34205072827335e-28
"FUN_002470",-8.14570415550806,6.93275937392531,1.46282455021426e-19,6.03268844508359e-17
"FUN_012053",-7.60438669719022,7.32643988272815,1.4776629955443e-16,3.67734270304938e-14
"FUN_005334",-7.10799695416085,4.80954873884679,3.49831246098801e-50,2.94876887742841e-46
"FUN_008732",-6.89304050796674,1.52374011939016,5.97452871130826e-09,2.49960427301517e-07
"FUN_006209",-6.82975776042094,3.65284986595869,3.46071015135435e-31,4.54108093860442e-28
"FUN_005514",-6.69773182611823,4.35505942999374,6.12617468614274e-35,1.76850410839569e-31
"FUN_012690",-6.49636080126726,-0.751704748472838,4.73590769305387e-09,2.0466494503455e-07
"FUN_013141",-6.31143821780783,1.07792873883027,1.36842829573194e-06,2.77414241862286e-05
"FUN_004067",-6.18274827902316,-1.00885939700428,2.23589424298995e-05,0.000318587339618134
"FUN_004069",-6.13448641603281,5.76192771471075,4.03391066823552e-08,1.27129646460875e-06
"FUN_012623",-6.00462083979466,4.73563291806152,1.66000274428405e-14,2.66227551233288e-12
"FUN_011854",-5.90445147924325,2.72603340221654,8.74179695845172e-29,1.05149247748577e-25
"FUN_012622",-5.90411737303236,8.90654919779636,7.4626233751552e-22,4.48814607487459e-19
"FUN_002465",-5.76724136439757,5.37194322154923,6.56436330522619e-09,2.71490028503252e-07
"FUN_006426",-5.71773923932331,-1.2829385000809,3.23694861399728e-06,5.87699576030651e-05
"FUN_007421",-5.69810266582904,2.93180674671374,0.000308290631600216,0.00317394220864302
"FUN_008903",-5.6047507819496,4.18067852137465,5.84768778143985e-32,1.05506906796628e-28
"FUN_003235",-5.58641410907864,3.32012218709242,3.43040008843351e-12,3.25752597871376e-10
"FUN_014788",-5.57707346613943,4.92907788424743,3.9906677992581e-05,0.000524124649813388
"FUN_002469",-5.54478033986807,7.43542644357894,4.47169535132074e-13,5.29052874598062e-11
"FUN_005722",-5.51292564030155,5.287011113453,2.68310400676611e-38,9.68198080841549e-35
"FUN_002468",-5.50249826006352,4.84733079338173,4.02444146816782e-18,1.41679971101303e-15
"FUN_000190",-5.50086471678217,8.88257743475948,1.12640266661198e-20,6.02166521847306e-18
"FUN_004335",-5.37367980698855,5.93104158735938,2.57257873778008e-15,5.30465735730252e-13
"FUN_014624",-5.36635678346339,0.980329506559295,8.33180993084707e-17,2.28193577209947e-14
"FUN_000231",-5.30566112747492,5.65341413225924,1.64059614034376e-09,8.22234885059786e-08
"FUN_007703",-5.2690991744881,4.94348550349638,2.59840391283739e-08,8.74250864286594e-07
"FUN_000823",-5.266711699011,6.89666168129167,2.92725142320459e-14,4.4012444835974e-12
"FUN_008657",-5.22523502068524,3.52763939519198,2.19993193475578e-07,5.59046083561003e-06
"FUN_010552",-5.17312617712437,4.54154716076997,9.7201567007277e-11,6.5868892872443e-09
"FUN_004907",-5.17202599936125,6.49411087234255,4.65680871356709e-05,0.000599610856125132
"FUN_012575",-5.140957392068,6.99034359823014,2.55543888770016e-21,1.47540819620256e-18
"FUN_004474",-5.10973592238539,1.70645512840154,2.44370148396973e-05,0.000341125601737128
"FUN_003027",-5.10860695980609,1.23835442899755,9.6851905722725e-17,2.54174619491239e-14
