"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",9.17776683607197,3.8623042167369,5.10283368017796e-09,6.97455307406724e-05
"FUN_013025",-1.76278904108655,8.45670108574836,2.20711972702544e-08,0.000117496214802058
"FUN_008473",5.35365662240269,-1.5105827939814,2.65600593282057e-08,0.000117496214802058
"FUN_010292",-4.22633006932746,2.53551971891482,4.09495098320704e-08,0.000117496214802058
"FUN_005765",-1.29847004183493,4.22839607350958,5.99179832336366e-08,0.000117496214802058
"FUN_007339",-1.49084528168959,6.84462242593006,6.34161232067183e-08,0.000117496214802058
"FUN_015995",-2.53560658888974,2.81851800222319,6.8322476718615e-08,0.000117496214802058
"FUN_014060",2.41377622672348,4.80857957404743,7.00842402770242e-08,0.000117496214802058
"FUN_002096",-1.83576706350398,7.17961013344275,8.03924216566773e-08,0.000117496214802058
"FUN_002782",-2.31572995809373,7.33284130440663,8.5964453323133e-08,0.000117496214802058
"FUN_015181",3.76217534603277,4.60978353907162,9.73557557079041e-08,0.000120968951728694
"FUN_005881",2.26291746519835,5.44011959726855,1.10326409206811e-07,0.000125590113436151
"FUN_003726",-2.72743089854313,3.46670540737479,1.44523307764957e-07,0.000125590113436151
"FUN_012956",-2.60495439415293,2.51890407297227,1.44971337931889e-07,0.000125590113436151
"FUN_005924",-4.45626281450263,3.59209543649795,1.46452943278489e-07,0.000125590113436151
"FUN_000190",5.72426929536734,6.85706761902222,1.4701798470723e-07,0.000125590113436151
"FUN_002059",3.47039983414668,3.43287387110495,1.71483835690967e-07,0.000130355032701224
"FUN_001047",-1.11314231881474,9.77741482755001,1.77814851187466e-07,0.000130355032701224
"FUN_002437",-1.95061755161282,4.89271150871396,1.92114976002695e-07,0.000130355032701224
"FUN_014838",-2.70165193427571,4.48902022982165,1.92972900792628e-07,0.000130355032701224
"FUN_012575",5.58455605387093,4.91778296916698,2.23385910055951e-07,0.000130355032701224
"FUN_001857",-1.39674892593817,7.63917037629734,2.30026553139185e-07,0.000130355032701224
"FUN_012645",-2.30593628312313,5.48030323127976,2.31363800287931e-07,0.000130355032701224
"FUN_012169",-1.73648524382201,4.76856412543479,2.36791744170852e-07,0.000130355032701224
"FUN_006034",1.48106393651708,7.62553221950524,2.48912672291347e-07,0.000130355032701224
"FUN_010835",1.92479765404364,3.59751543091749,2.54773206611727e-07,0.000130355032701224
"FUN_002467",9.69040244612243,2.27997766240188,2.71178996666979e-07,0.000130355032701224
"FUN_007611",-1.48828871014895,5.04720541210038,2.90636096051377e-07,0.000130355032701224
"FUN_002485",8.92667275207116,2.3319510483867,3.02400529799603e-07,0.000130355032701224
"FUN_002486",8.92667275207116,2.3319510483867,3.02400529799603e-07,0.000130355032701224
"FUN_008871",-3.69483813392075,4.65053258698805,3.0961878343223e-07,0.000130355032701224
"FUN_012622",6.22433267904276,6.64549942063051,3.10350877003581e-07,0.000130355032701224
"FUN_001926",1.05169291261471,6.58288939837594,3.14729007838777e-07,0.000130355032701224
"FUN_003016",2.73079503175801,6.83243062922832,3.25172808787784e-07,0.000130719469132689
"FUN_004521",-0.987835006376622,7.338841811634,3.36323478400747e-07,0.000131339122936612
"FUN_001563",-1.59799007857564,6.3731455366812,3.5005942221193e-07,0.000132905893966463
"FUN_014848",-3.35326782571925,4.01239142048496,4.00553481878935e-07,0.000142120866626313
"FUN_008302",-1.51153513246371,6.61552125672235,4.16216588944524e-07,0.000142120866626313
"FUN_000473",-1.47140959244809,3.79995362354532,4.19796442583746e-07,0.000142120866626313
"FUN_003017",2.46602060925046,6.09091850376277,4.28150846588168e-07,0.000142120866626313
"FUN_009385",-1.30595480149607,6.54301452234125,4.39239453106866e-07,0.000142120866626313
"FUN_010077",1.14230093482098,5.3826925494043,4.42711189938487e-07,0.000142120866626313
"FUN_009386",-1.74623366473523,11.0849619807684,4.52216647157604e-07,0.000142120866626313
"FUN_010950",-2.03511231805904,7.44507301934815,4.61027027406186e-07,0.000142120866626313
"FUN_014661",-0.86997817938812,6.50895805109585,4.7859548869306e-07,0.000142120866626313
"FUN_006584",3.27107761828198,3.59525686735038,4.8134522401544e-07,0.000142120866626313
"FUN_016443",-2.58985836679104,3.55360536421668,5.03715466939128e-07,0.000142120866626313
"FUN_007375",-4.09739524214601,5.47868529779364,5.36131096815683e-07,0.000142120866626313
"FUN_008006",1.70233075796379,3.88141682776852,5.49669706981311e-07,0.000142120866626313
"FUN_000540",-2.63212097088226,3.95620865582199,5.50472602595269e-07,0.000142120866626313
"FUN_005595",-1.33136615918757,6.00092480843126,5.50608474116354e-07,0.000142120866626313
"FUN_006745",-2.45904624757299,2.83191943713234,5.54552819067554e-07,0.000142120866626313
"FUN_013013",-2.40087395563637,4.82438186380379,5.56731646765454e-07,0.000142120866626313
"FUN_010594",-1.87971891601347,6.35902215562652,5.61495961210192e-07,0.000142120866626313
"FUN_014715",-4.38868618431278,5.67362557512349,6.15534578953012e-07,0.000150972298441934
"FUN_011892",-1.73958704025847,4.90664596215317,6.25294599279234e-07,0.000150972298441934
"FUN_011641",-0.928090289002662,7.12773761735736,6.29603527303939e-07,0.000150972298441934
"FUN_000344",-1.95331874124628,3.92217269895711,6.84473864271448e-07,0.000158567523599831
"FUN_000823",5.79568493902592,4.46308454843738,6.84480823265294e-07,0.000158567523599831
"FUN_001618",-3.79398348253586,5.44078547407038,7.02588486136974e-07,0.000160049657142003
"FUN_000038",-1.27028400199425,5.85216540875066,7.14318387375932e-07,0.000160054159322201
"FUN_006580",-3.39292112810231,3.53181939700664,7.28721357540612e-07,0.000160647798626856
"FUN_006187",4.69877688856786,6.9478213467988,8.04521770199034e-07,0.000174542913572705
"FUN_002466",9.26575432858527,3.76724520774149,8.55318182442771e-07,0.000182663889337934
"FUN_013042",-1.97164631536899,4.9939641468057,8.82323382443361e-07,0.000183815269353745
"FUN_002259",-2.35200293256491,3.79305752653195,8.92358615077976e-07,0.000183815269353745
"FUN_010288",-4.97576235495876,3.17558033396422,9.56890685456077e-07,0.000183815269353745
"FUN_009349",-1.9840912047602,7.14102424389998,9.65573267696027e-07,0.000183815269353745
"FUN_014664",1.91096567999362,5.66512469118674,9.8037385992214e-07,0.000183815269353745
"FUN_007232",-2.6108019167229,4.65653030004282,9.84257118598912e-07,0.000183815269353745
"FUN_004631",-2.19183733769131,4.70586669708486,9.87310476508123e-07,0.000183815269353745
"FUN_008979",1.0619108350656,6.0858472636822,9.89397729257048e-07,0.000183815269353745
"FUN_006020",-2.34967604713631,4.92463839251035,9.91324259033727e-07,0.000183815269353745
"FUN_013170",-2.93474522561012,2.56157723376661,1.00084212506545e-06,0.000183815269353745
"FUN_003340",-4.67226198084015,3.53143091112225,1.00864392753372e-06,0.000183815269353745
"FUN_008868",3.20538979428647,6.26703705387415,1.04841161332074e-06,0.000188548551721946
"FUN_015615",1.32741434917555,4.10586036942145,1.07087219563538e-06,0.000190086768440836
"FUN_002954",-0.941272055377478,5.41785785256075,1.08994309363676e-06,0.000190991566715734
"FUN_000405",-0.901024085783885,6.11844564959827,1.22848527985597e-06,0.000207909062411157
"FUN_006102",-4.14038858902867,-2.14009505122049,1.23845539718043e-06,0.000207909062411157
"FUN_015137",-1.6398342814283,3.95863263357341,1.25457378698229e-06,0.000207909062411157
"FUN_008000",-0.995720668805351,5.61015879816348,1.28875288479977e-06,0.000207909062411157
"FUN_004788",-2.65739193350771,2.44368234778276,1.29193604388604e-06,0.000207909062411157
"FUN_004789",-2.65739193350771,2.44368234778276,1.29193604388604e-06,0.000207909062411157
"FUN_007928",-1.75664014397556,3.09387222355518,1.29296680603953e-06,0.000207909062411157
"FUN_001270",-1.03023920398886,6.63369367413044,1.38326792304842e-06,0.0002198430927003
"FUN_003255",-1.36487169000594,2.79528414201652,1.4168324809137e-06,0.000222589268380786
"FUN_006769",-1.58224567210935,9.27583385018582,1.45338229819692e-06,0.000225736696042675
"FUN_002868",-2.81158492788988,6.47015110242617,1.51958313690763e-06,0.000233366992306218
"FUN_004026",-5.00052520907263,-2.33868083106169,1.55613211202113e-06,0.000236116011330305
"FUN_010349",1.61835417761243,6.2572183206398,1.57203373068904e-06,0.000236116011330305
"FUN_013169",-1.55426532897807,8.74752153654561,1.65459273035293e-06,0.000245814928678954
"FUN_001005",-1.30459894696426,7.97387326130703,1.70191072790743e-06,0.000247264979818775
"FUN_013855",-1.55928704040518,8.20794570773536,1.72595632414696e-06,0.000247264979818775
"FUN_008008",1.10099121976919,7.38434169401829,1.73712371609946e-06,0.000247264979818775
"FUN_007919",-2.15833821753663,3.34710796760904,1.75774358788158e-06,0.000247264979818775
"FUN_000925",-1.58326443067572,3.66757713720717,1.77374729364875e-06,0.000247264979818775
"FUN_005722",5.38496332711262,3.31858871514305,1.8038344777593e-06,0.000247264979818775
"FUN_001927",-5.58491600609983,5.0441138982376,1.8295700309825e-06,0.000247264979818775
"FUN_010175",-0.9725840341509,7.26567934144084,1.8350049781962e-06,0.000247264979818775
"FUN_006173",-4.6412110289449,2.76701133400311,1.8379658471772e-06,0.000247264979818775
"FUN_012689",4.83137179740514,1.91358436215132,1.84526104342369e-06,0.000247264979818775
"FUN_014711",-5.44203059861002,4.87092384664932,1.88099985651526e-06,0.000249606854746122
"FUN_002553",-3.41795405956567,4.22056650253806,1.89927103657227e-06,0.00024960804353721
"FUN_000466",-1.60425422905165,4.72240931088392,2.01971888551584e-06,0.000261254449588091
"FUN_007949",-4.81325290442404,-1.8013083131508,2.02611732926087e-06,0.000261254449588091
"FUN_002672",-5.15255987406771,4.11471675801127,2.07836401227491e-06,0.000264275464945611
"FUN_002347",-1.27906396549585,4.19167625011659,2.08821701888543e-06,0.000264275464945611
"FUN_014390",-2.36175522025806,2.82526884048303,2.15928683313934e-06,0.000266032669493411
"FUN_005315",-2.65885763985689,2.74971287150691,2.17621350967787e-06,0.000266032669493411
"FUN_008547",1.79410518116388,2.50064042296802,2.1776660198158e-06,0.000266032669493411
"FUN_008876",3.6999178861298,5.37136738398215,2.19702563876171e-06,0.000266032669493411
"FUN_007691",-2.17579484732635,7.21416750418611,2.1994213968946e-06,0.000266032669493411
"FUN_014051",-1.71346667597024,6.02798251230863,2.24809603146566e-06,0.00026774131804874
"FUN_008447",0.940784765518401,7.66896815180816,2.26570969946672e-06,0.00026774131804874
"FUN_007878",2.96566171457892,4.95748207237188,2.27231437618188e-06,0.00026774131804874
"FUN_001304",-1.14448304935858,3.55303724643614,2.33081251205299e-06,0.000272286712946498
"FUN_014417",-1.40651885315093,5.79019951797455,2.35206017893658e-06,0.000272440326489027
"FUN_001298",-3.67477886381715,5.82025611578922,2.41172727745882e-06,0.000277004104439555
"FUN_007423",-5.08713084120566,3.96499971900088,2.44722968709731e-06,0.000278739461360384
"FUN_014983",-3.72737885477548,4.26121042317622,2.50627571477699e-06,0.000281606226490589
"FUN_009116",-4.56878160520683,1.63854003205179,2.51360547496722e-06,0.000281606226490589
"FUN_015188",0.855884950304153,4.96484175867396,2.61240156910659e-06,0.00029029515972804
"FUN_003264",-1.33578931321855,4.62138849026181,2.69855246160852e-06,0.00029605726584673
"FUN_005347",-1.2582953371682,6.33776632423217,2.72485224959175e-06,0.00029605726584673
"FUN_009413",-4.60161441014498,4.80999509272997,2.72923730587416e-06,0.00029605726584673
"FUN_007770",0.992449076120542,4.6226155828072,2.75874606300644e-06,0.000296901899127339
"FUN_001495",-1.02520089429262,4.32386295272094,2.81340793626745e-06,0.00029728727597055
"FUN_015697",-2.47319177315202,3.18850915089405,2.82377018223127e-06,0.00029728727597055
"FUN_016330",-7.72515725629327,2.61259581296525,2.82757871496719e-06,0.00029728727597055
"FUN_012929",-0.905270988973403,7.28099954092069,2.86593534821387e-06,0.000299019880453337
"FUN_001282",-1.02452760901804,4.51665761783151,2.92632910477485e-06,0.000303008077303505
"FUN_014173",-0.98115569941706,6.5478832121296,2.97584423379917e-06,0.000305306502705118
"FUN_004926",-2.48606910466868,3.79721037569404,2.99320100691292e-06,0.000305306502705118
"FUN_000208",3.50576038591064,2.13164903326844,3.0324441809388e-06,0.000306924088651621
"FUN_003339",-4.42841981651055,1.78290951113112,3.05397103135942e-06,0.000306924088651621
"FUN_009171",-0.658461502989613,7.57062041970784,3.14814236181495e-06,0.000312808019363907
"FUN_003895",2.01049163031007,3.05006186540615,3.17073296904867e-06,0.000312808019363907
"FUN_000126",-1.43677857496843,3.03930624519175,3.18117608220538e-06,0.000312808019363907
"FUN_012014",2.72649378546859,3.87377680420537,3.22150230052204e-06,0.000312877698940038
"FUN_012071",2.35310517573024,10.5520995493854,3.2276672190917e-06,0.000312877698940038
"FUN_014334",-3.25797873268413,2.93460031087425,3.32983680145031e-06,0.000313409868239808
"FUN_005906",-2.13671880618235,3.97029980189904,3.33511855541152e-06,0.000313409868239808
"FUN_014263",-0.764597302308538,5.10629157685722,3.33982280341992e-06,0.000313409868239808
"FUN_006418",-1.43837897600477,2.88849842670976,3.34981337500957e-06,0.000313409868239808
"FUN_004167",-1.90890997242043,5.33831818599306,3.35469188789218e-06,0.000313409868239808
"FUN_006361",-0.975696824200801,4.59460743883429,3.37073826684604e-06,0.000313409868239808
"FUN_004040",1.45857156221664,3.10822644386876,3.48600560991975e-06,0.00032014475897885
"FUN_005726",1.3747231971618,3.40648099239743,3.49001822416218e-06,0.00032014475897885
"FUN_002784",3.31779506946023,2.89323469025202,3.52293839827914e-06,0.000321010146851195
"FUN_005731",-1.60674595432343,5.04688639602015,3.55415493269979e-06,0.000321709865034044
"FUN_007266",3.87495804886102,6.53557771584958,3.62089714864124e-06,0.000325594883076503
"FUN_001295",-2.99510345176749,3.28493467677486,3.65401479241569e-06,0.000326425321455802
"FUN_008692",-0.670274912543496,4.89104310538465,3.70296716324255e-06,0.000328650358358436
"FUN_008829",4.08459776642408,3.46593727948373,3.77069330016238e-06,0.000332502167913674
"FUN_003883",-0.80090645235534,6.98711636300755,3.84429287704968e-06,0.000336819198996891
"FUN_012050",-3.48739588319684,2.03819523663692,3.93526666531433e-06,0.000341419708160436
"FUN_011414",-1.10221572533865,5.49463873821337,3.94675986898953e-06,0.000341419708160436
"FUN_006743",0.842040987841497,6.10180970558855,3.97242604949641e-06,0.000341478737386899
"FUN_013347",0.841879087204669,5.93747886904548,4.00914445635104e-06,0.000342337750226155
"FUN_005646",-4.92137614228923,4.5327737464234,4.03251227585682e-06,0.000342337750226155
"FUN_015021",-3.43776071492518,3.53824556298181,4.06198735052173e-06,0.000342458781342652
"FUN_003478",1.66490232543799,7.19406404304099,4.10939808349527e-06,0.000342458781342652
"FUN_009656",2.47087522855334,5.28256686104932,4.11493651025071e-06,0.000342458781342652
"FUN_009066",-2.00739560233388,1.52048948904576,4.13416000303904e-06,0.000342458781342652
"FUN_000674",-2.96381842063964,4.32547371941963,4.18012463190391e-06,0.000344180382342546
"FUN_001855",-2.53275571901659,8.52613517777971,4.21677332266221e-06,0.000345118908827228
"FUN_000128",-0.672335800210224,6.39809763863005,4.24459903769943e-06,0.000345328450281404
"FUN_002331",-1.37357153551204,8.6452689878947,4.30584778038742e-06,0.000346835135440931
"FUN_003710",-3.63042949477869,6.66276779186513,4.32471577202662e-06,0.000346835135440931
"FUN_003926",-8.24704689239271,4.39698230300474,4.33924554875616e-06,0.000346835135440931
"FUN_002035",-5.21502291189227,4.2304165639045,4.4391916701061e-06,0.000349629246417236
"FUN_009348",-1.90427787271714,5.34670643504097,4.44170581213078e-06,0.000349629246417236
"FUN_010247",-2.32840044240838,6.25493270975793,4.45688905422929e-06,0.000349629246417236
"FUN_000618",-2.73676740385297,1.15153480436365,4.47652312869596e-06,0.000349629246417236
"FUN_011139",-2.68165472305715,1.20394831124834,4.55026639822385e-06,0.000353369551880247
"FUN_008022",-3.1857071873437,0.891851582382994,4.62829799755488e-06,0.000357398740285763
"FUN_010002",1.03427930916834,3.78449193452731,4.68034421502895e-06,0.000359387329949526
"FUN_005058",-0.960698996430445,8.51312681399041,4.73949290697329e-06,0.00036185443332078
"FUN_001469",-3.77901166509391,-0.0876596818363029,4.76542273907963e-06,0.00036185443332078
"FUN_009542",-1.04127813139982,5.60478143393974,5.02026896844616e-06,0.000379099647849294
"FUN_005922",-4.12991385297354,5.15663287628286,5.13137822425119e-06,0.000385360865764095
"FUN_006661",-1.47893994033233,3.15267323413771,5.23306453051908e-06,0.000390849868869589
"FUN_015854",-2.84416641518604,3.41811454137748,5.2682275674036e-06,0.000391337686909089
"FUN_002121",-1.33076294785822,2.87417362059419,5.29974835158047e-06,0.000391551137672442
"FUN_008543",-2.24772068494027,5.15744627492346,5.37041392091628e-06,0.000392814479977713
"FUN_002262",-1.21351211190987,4.80627536082609,5.41097654271005e-06,0.000392814479977713
"FUN_014330",-0.80172087668867,4.96005645565411,5.42907514441295e-06,0.000392814479977713
"FUN_001148",-1.61179244298801,9.37937667303791,5.43180690048199e-06,0.000392814479977713
"FUN_002131",-4.50399385592364,0.148791850914008,5.5104293974465e-06,0.000395256787144522
"FUN_011805",1.50063186532199,9.51433851935078,5.5234157407524e-06,0.000395256787144522
"FUN_009056",-4.09289196083083,0.973038367100457,5.60161052791582e-06,0.000398061023632435
"FUN_015244",-1.19973354678571,5.33108819633178,5.62084998251828e-06,0.000398061023632435
"FUN_011053",-1.15774988477901,9.04152853470764,5.6586761176945e-06,0.000398674150395095
"FUN_000407",-1.4610271654206,4.10661084448318,5.72542680608953e-06,0.000401308377362214
"FUN_008903",5.97225408243718,1.98277659375768,5.80179130792407e-06,0.000404586140799521
"FUN_009416",-3.60445987709646,3.20700476846746,5.86228950094138e-06,0.000406729811669375
"FUN_009133",-1.27546249382632,2.75463507475558,6.05168788328754e-06,0.000416557815288384
