"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.1571861756396,2.66122860121077,8.95322632350195e-23,7.19839396409557e-20
"FUN_008877",-9.01792846333914,7.50478317208789,9.25898200125237e-49,6.32758829965587e-45
"FUN_000887",-8.98673386206489,4.28739400238585,2.02459611813338e-49,2.7672179742647e-45
"FUN_012054",-8.84987315625779,7.06158027735706,2.8697335169003e-35,4.90293971362416e-32
"FUN_002467",-8.70724259256571,6.18349812492333,8.34158493647834e-32,1.14012782911786e-28
"FUN_002487",-8.31220339079987,0.955896482390061,4.00542944011093e-11,2.82196956636269e-09
"FUN_002486",-8.16105669790858,5.87052595070113,4.16803219621262e-39,8.13838057969059e-36
"FUN_002485",-8.16099294866887,5.87052595070113,3.61121960480298e-39,8.13838057969059e-36
"FUN_002466",-8.14745217169109,7.50899705418524,7.80301004547241e-21,4.26606165206068e-18
"FUN_002470",-8.01249174460333,6.84471421899784,3.04719312822003e-18,9.25534126144697e-16
"FUN_008473",-7.73695437190667,0.446217351117713,7.57326809686546e-20,3.04445377493991e-17
"FUN_012053",-7.52203977604024,6.98959348162247,8.13247366359231e-16,1.587923571914e-13
"FUN_005334",-7.10835686880925,4.47095893113247,1.86535730243216e-46,8.4985678698809e-43
"FUN_007421",-6.69820495913919,2.88671633249352,0.00020592743619848,0.0021700972998927
"FUN_008732",-6.60451683480566,1.48047011705983,6.91211815676278e-08,1.9682256451382e-06
"FUN_005514",-6.56028993853675,4.37488441181605,3.23118072200121e-35,4.90708645647917e-32
"FUN_006209",-6.45440944731159,3.25371229912246,8.91208221017158e-27,8.70073854633037e-24
"FUN_010492",-6.28204705658115,1.68314059444119,1.09205237431993e-20,5.52821179711287e-18
"FUN_011854",-6.21345571359126,2.46154633586674,1.68375837712575e-28,1.91780079154623e-25
"FUN_014624",-6.14433037708695,1.11959036707644,1.11302664340824e-17,3.10466289022527e-15
"FUN_013141",-6.10969598116749,1.12611549751275,2.16965053530329e-06,4.06229911185278e-05
"FUN_014788",-6.04431143820347,4.80945890307588,3.55183518670957e-05,0.000456701578888802
"FUN_012623",-5.92529019635578,4.22401766513664,6.94185633556864e-20,2.87731604823905e-17
"FUN_004069",-5.90542920453014,5.86111830311713,1.69256827693644e-07,4.29202656941879e-06
"FUN_012622",-5.83229226721255,8.81149531019062,9.72352309864501e-21,5.11158129662615e-18
"FUN_008903",-5.79148710502298,4.10719597172378,4.39163792186909e-40,1.20049814232213e-36
"FUN_002469",-5.72428374454689,7.25599757431353,6.27836621823178e-13,6.60097765159938e-11
"FUN_002465",-5.67051986139918,5.35956957929203,3.99939214646866e-09,1.69237436092674e-07
"FUN_003235",-5.53173404258742,3.28265175255084,1.31806838418891e-13,1.60851416741911e-11
