"X","logFC","meanExpr","pval","adj.pval"
"FUN_013139","-9.89954979356659",110.348138340712,7.25399032672606e-19,8.87535519164564e-17
"FUN_010492","-9.49097036116848",83.2172842031884,2.75941433069727e-21,4.93100079278943e-19
"FUN_002467","-9.36186551486303",1412.20757880588,3.76346161703131e-10,1.0968148545258e-08
"FUN_012054","-8.96883609013244",2870.49209491154,1.3361150708125e-16,1.08010587956575e-14
"FUN_002487","-8.94250825164733",56.8472018951321,1.27263431567022e-12,5.36759212457058e-11
"FUN_008877","-8.80670432488545",3757.46429838029,4.79443415416992e-126,6.51132102477817e-122
"FUN_008732","-8.71388150404732",48.550007619088,2.60730335423598e-09,6.43814306434161e-08
"FUN_000887","-8.64910999673904",298.405950319811,6.06209922689517e-33,5.06705833305454e-30
"FUN_002485","-8.53224171872547",1157.78330911733,7.07783719284778e-15,4.29125477303865e-13
"FUN_002466","-8.42867588085896",3312.61170464381,1.2258249744112e-08,2.53008039171406e-07
"FUN_014624","-8.3641309121964",38.0643480666092,1.27916226476999e-15,8.60014986031746e-14
"FUN_002486","-8.25001997766446",1054.45606402044,5.46994015815883e-13,2.44365977920905e-11
"FUN_002470","-8.2228800266488",2427.9338383915,3.93953116274834e-11,1.37893744127024e-09
"FUN_003027","-8.07848207028615",31.1894758092883,1.11672067086531e-14,6.48127497052211e-13
"FUN_012053","-7.60937518521703",2889.01878855849,1.23769632166631e-15,8.48947158815668e-14
"FUN_009752","-7.14583179029301",16.3443644414057,1.2466180426051e-12,5.27424287745168e-11
"FUN_013050","-7.08409942378854",15.7065516029582,3.1222354551663e-13,1.45216026426759e-11
"FUN_005334","-7.02734422655588",388.445139018474,2.25859416611005e-28,1.39427124408821e-25
"FUN_011854","-7.00316982532467",63.4583460401953,8.14985561454832e-17,6.79037969945894e-15
"FUN_006209","-6.86132008854073",247.205511525302,1.92973652777967e-25,6.55193794594391e-23
"FUN_005514","-6.71008608538354",318.978715960352,3.37862129389867e-09,8.07835489303483e-08
"FUN_012623","-6.32389033614142",210.099605490899,8.06427841835738e-07,1.05409976130617e-05
"FUN_002117","-6.29997964127238",9.13285407201433,6.70028276619026e-10,1.85329002540998e-08
"FUN_016323","-6.2902712498488",9.04312119802538,2.72161630651869e-08,5.21879672462186e-07
"FUN_003330","-6.23536028295321",36.612556906615,7.25802430303272e-11,2.4231394138446e-09
"FUN_015771","-6.21113118778035",19.3339424782107,3.010653266415e-06,3.36801334523741e-05
"FUN_013406","-6.09891715072098",7.91173787593646,8.52783530648967e-09,1.83254005217462e-07
"FUN_003235","-6.0294084605927",186.142730551586,0.000262854243017984,0.00162190980210233
"FUN_004069","-5.99256706284754",1016.66316813736,0.00407181881526125,0.0164336913313709
"FUN_008733","-5.91876544753506",7.01091840612534,2.20919220229131e-05,0.000194068818236212
"FUN_008903","-5.89794517001901",106.939384460107,5.96195306504508e-20,8.70637468563196e-18
"FUN_014788","-5.88077761706004",561.722249868078,6.0582639258326e-05,0.000465369244212288
"FUN_002465","-5.84952103539558",725.908507221779,1.18456822874974e-05,0.000111102355764159
"FUN_005722","-5.83573016360376",597.263705258596,2.00888678207776e-20,3.20972839851742e-18
"FUN_012622","-5.79961843129048",7143.28417068489,4.53819084950531e-35,5.60301544792106e-32
"FUN_002469","-5.745063717028",2621.21212050419,6.2913530085742e-12,2.41364026015385e-10
"FUN_000190","-5.52601230784287",6527.95567296141,2.01995689092048e-37,6.85825863389775e-34
"FUN_002464","-5.47382892057646",5.15622776183454,7.25230847443195e-07,9.64491019754461e-06
"FUN_007244","-5.44473089638633",5.03502205874234,2.09940138632663e-07,3.17859199862898e-06
"FUN_002468","-5.38424434240833",644.636683403974,4.01682832169036e-11,1.39878321633017e-09
"FUN_009753","-5.38004053622864",102.127919239787,1.30800972685649e-25,4.55489233344563e-23
"FUN_010552","-5.32929324543403",457.625169711323,7.57051131315155e-07,9.97875687038959e-06
"FUN_002475","-5.32113128413129",3767.15308842696,7.86774639946833e-11,2.60614302076047e-09
"FUN_012690","-5.29862769764262",1887.28978239327,1.49620863146871e-10,4.7255835869713e-09
"FUN_000231","-5.29543916777137",1099.63347230776,1.78263812425005e-06,2.09429138109342e-05
"FUN_004335","-5.27522252322895",1071.97415844506,1.82599760097402e-11,6.63071481786848e-10
"FUN_000823","-5.24956224156209",2117.34487625068,7.35807858525542e-13,3.22355049246303e-11
"FUN_008657","-5.2193696718095",205.251487907957,0.00415684558968809,0.0166974622755262
"FUN_004067","-5.16717892695801",4.16202173773766,0.000284171876034412,0.00173765792364852
"FUN_004907","-5.13707667951542",1598.79447864204,0.00215661010616212,0.00962594854722353
"FUN_008133","-5.1161972259559",3263.71261400838,0.00123178609339251,0.00602625610027508
"FUN_010322","-5.10500567424208",2575.55032720687,7.39835650584499e-06,7.38259218999859e-05
"FUN_012575","-5.09772431651768",1055.34228827103,9.4151911142589e-27,3.760815015375e-24
"FUN_005461","-5.09622091892799",110.523040095379,0.00292359902977527,0.0124859743469742
"FUN_011872","-5.08602423882419",3.92162082743369,3.2582322238035e-06,3.60930275950043e-05
"FUN_003577","-5.0422574514597",3.81316954891028,7.41933481769427e-06,7.39266222737387e-05
"FUN_010905","-5.04040764013842",68.3664183771267,3.07793290232851e-10,9.1269447044811e-09
"FUN_013400","-5.01940287662611",8.59642601435375,8.74553348059766e-05,0.000637879109559596
"FUN_004071","-4.95837872440721",3.60369811498872,0.00031814142706788,0.00190170718354264
"FUN_013377","-4.95045711214446",252.935580009446,1.8526605338681e-05,0.000165532780989886
