"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.8537397147196,2.51313998352246,7.70729315816946e-26,1.49532497687285e-22
"FUN_010492",-10.4571804048453,2.12475733273798,1.68433764256022e-33,7.62499650787013e-30
"FUN_002487",-9.89776051344393,1.59199959562261,5.12446587070033e-15,1.15992284983302e-12
"FUN_008732",-9.68517746172358,1.37988823383719,8.02938254869085e-11,6.52976313735152e-09
"FUN_014624",-9.32071372007796,1.04433069066773,2.74681502067113e-21,1.9633944629334e-18
"FUN_002467",-9.31271236396044,6.16196751629428,2.90777384898475e-20,1.64543652679424e-17
"FUN_003027",-9.03978749644227,0.785666617805278,3.41732355905391e-19,1.40638397743973e-16
"FUN_012054",-8.96693227097207,7.17854740388763,5.65976686488929e-20,2.74518906400219e-17
"FUN_008877",-8.82014473181229,7.56790593751946,6.47235884647402e-48,8.79011054939636e-44
"FUN_000887",-8.55814397255996,3.9299729229644,2.18195958696131e-45,1.48165965752608e-41
"FUN_002485",-8.4780208793367,5.86940242854444,1.03187191961744e-25,1.75173156754055e-22
"FUN_002466",-8.41509135467878,7.38554397808792,1.15718473405688e-12,1.44180971314004e-10
"FUN_002470",-8.21627196788204,6.93656241532514,5.2437575069519e-14,9.24876242881997e-12
"FUN_002486",-8.20304835096543,5.73478404999288,2.63165155634033e-23,2.55288998476129e-20
"FUN_009752",-8.10822584129435,-0.0558270064081422,1.79701853499092e-16,5.19261887738548e-14
"FUN_013050",-8.05236486910463,-0.107354332708439,2.02331927293955e-17,6.86967476144801e-15
"FUN_012053",-7.60716141202132,7.18622450380447,1.52319245945788e-15,3.72615601286235e-13
"FUN_002117",-7.27627516921581,-0.763868986912871,1.03099510307621e-11,1.03718107369467e-09
"FUN_016323",-7.24843285430391,-0.78097086182327,7.71591743697265e-10,4.98999403388217e-08
"FUN_013406",-7.06527657194396,-0.92807465065426,2.16896061955681e-10,1.6009051181631e-08
"FUN_005334",-7.04472613234083,4.31394771834672,7.31809432052817e-28,2.48467597417733e-24
"FUN_008733",-6.89734499283718,-1.07962568540559,3.97399716341594e-07,1.16316498871448e-05
