"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.1263582009428,2.70583475224499,7.81306607143308e-27,1.82330918553677e-23
"FUN_008732",-9.81011176949132,1.42734619721455,1.34514386084129e-10,1.09504094997092e-08
"FUN_002487",-9.75672798999838,1.38515295452897,6.84417471789266e-15,1.6812655157883e-12
"FUN_012054",-9.31261160607299,7.26381137024123,1.42984949159877e-16,5.41101421117999e-14
"FUN_014624",-9.2977448995784,0.949913832705773,1.78930269759873e-21,1.92721664398288e-18
"FUN_000887",-9.25432729150805,4.52918819742106,3.34450050145409e-45,2.34148480106801e-41
"FUN_002467",-9.14250430719667,7.02976779868558,8.90410043960259e-18,4.29914532259709e-15
"FUN_008877",-8.97731846198742,7.78026409372909,1.40045477057022e-51,1.96091676975243e-47
"FUN_002466",-8.38716720368045,7.62427342093742,9.05012466250142e-12,9.45670488987648e-10
"FUN_002485",-8.30430103847279,5.9134484429185,1.55738227921011e-27,4.36129333470001e-24
"FUN_002470",-8.22713752722545,6.82033559501532,2.32612220992589e-11,2.2007002150934e-09
"FUN_002492",-7.77894771650714,-0.418505574436372,1.04166968293567e-07,3.5315881114928e-06
"FUN_012053",-7.69591996068798,7.25178410643454,6.72803679550973e-15,1.6812655157883e-12
"FUN_010492",-7.5998517349685,2.38648473085488,3.14094240251557e-30,1.09948688800057e-26
"FUN_002486",-7.53373043532363,6.00105381008457,1.95610284970779e-15,5.16780228332234e-13
"FUN_014726",-7.45162943617644,-0.687766859963615,5.19366928548462e-14,1.0114264325637e-11
"FUN_005334",-7.44705648802501,4.72496612826045,2.49488234295567e-31,1.16444475220218e-27
"FUN_003057",-7.29494290992935,-0.827491068936644,5.40536856103254e-08,2.03456910192413e-06
"FUN_008733",-7.21579489173961,-0.895940840254306,4.00775863113215e-08,1.58970641226947e-06
"FUN_011765",-7.14870176799751,-0.941298975692876,5.71879346241594e-08,2.13131449445567e-06
"FUN_015180",-6.90971435924293,-1.12526676825503,1.97107154245362e-10,1.55191346818986e-08
"FUN_011854",-6.87197558266818,2.70496686282553,1.08876106821674e-25,1.69387027524119e-22
"FUN_005514",-6.76749996411846,4.41183354574528,3.41535133355687e-26,6.83167848178047e-23
"FUN_006209",-6.7067280876515,3.48499053849891,5.80237004744129e-26,1.01555981755341e-22
"FUN_012623",-6.42448912175043,4.5654009578766,4.43531542734137e-10,3.16853503130785e-08
"FUN_008384",-6.3307141433585,-1.55718687774368,2.18041416195488e-07,6.63699110775919e-06
"FUN_009657",-6.29562540303626,-1.59315856943768,2.43399523496024e-06,5.40965099681164e-05
"FUN_004069",-6.01199005854466,5.62783133614543,1.30214822735032e-05,0.000227340143134154
"FUN_003235",-5.93677445002505,3.25725437322577,8.16482218673373e-09,3.99733707198062e-07
"FUN_012622",-5.89566508905181,8.86737646856614,1.54075676655755e-20,1.26903977913758e-17
"FUN_013602",-5.83681419770639,-1.8895057560394,1.9988594613391e-06,4.5882016684705e-05
"FUN_004474",-5.80979704629607,1.63709771057026,8.7823980296689e-05,0.00116339770304091
"FUN_014788",-5.80951726841953,5.18953981605521,1.97483031798827e-05,0.000328415234493157
"FUN_002465",-5.80152858411669,5.32926559376667,9.42611888758986e-09,4.50601386413514e-07
"FUN_015994",-5.71704887383136,-1.97522830703961,5.11276724167225e-06,0.00010315836524937
"FUN_002469",-5.66214670139914,7.39290684190101,3.37816753996407e-12,3.84561804020951e-10
"FUN_003027",-5.65083000661021,1.30825830272554,2.50707257414437e-12,3.05150231028741e-10
"FUN_005722",-5.63771562611976,5.14988998485039,4.47610937345885e-18,2.32127716471003e-15
"FUN_003330",-5.6359722208912,1.0681249421325,3.12696238912909e-14,6.53488468247546e-12
"FUN_003354",-5.60023800207089,-2.05494578385668,2.16967074261576e-05,0.000353252671373325
"FUN_000190",-5.54283873188988,8.83240224814471,5.07287641176074e-20,3.5515207758737e-17
"FUN_012690",-5.45077776740621,6.55798228038203,2.96136609962915e-12,3.48445782579893e-10
"FUN_002468",-5.40133650331791,5.18469364842094,9.84225312881e-15,2.33578353067115e-12
