"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUN_008877",4796.55546611364,-8.9508630292809,0.397978171680512,-22.4908391118155,5.10255690804664e-112,7.72476090309181e-108
"FUN_005722",648.283293158098,-5.95914565232912,0.417710937850977,-14.2661949025982,3.55450993872752e-46,2.6905862981198e-42
"FUN_005334",365.639087189043,-6.70599273562739,0.471959281080267,-14.2088375087742,8.07549234987785e-46,4.07516262282669e-42
"FUN_013025",9822.81680082479,1.80036164357795,0.132724024857655,13.5647004791244,6.48440023260294e-42,2.4541833780344e-38
"FUN_002784",296.605484453052,-3.44407504952605,0.262820018820219,-13.1043101852982,3.11077678541712e-39,9.41880995088597e-36
"FUN_014060",628.464721173885,-2.38624161995913,0.183582413139207,-12.9982037993459,1.2525059799562e-38,3.16028133842614e-35
"FUN_002485",267.802689505506,-8.7640349097187,0.684810595036299,-12.7977501709858,1.68770197579299e-37,3.65001717307574e-34
"FUN_002096",3844.07685775244,1.92368918449329,0.152603961810634,12.6057617487047,1.96267114797907e-36,3.71410981365689e-33
"FUN_010292",228.733840739,4.07636154768928,0.327085208725379,12.4626899625773,1.19278281693821e-35,2.00639322951417e-32
"FUN_015181",915.755515090747,-3.85374978656407,0.313938262253672,-12.2755020649573,1.22628734566402e-34,1.85647641260075e-31
"FUN_005881",1032.97551117245,-2.46117716856974,0.2016019417901,-12.2081024950257,2.81374956640925e-34,3.87248678962452e-31
"FUN_001047",20441.2625990011,1.14678967464799,0.0960889896348507,11.9346626393505,7.80747833985526e-33,9.8497845489224e-30
"FUN_002782",4587.45317785598,2.30939539126817,0.193861581340712,11.912599573865,1.01754615953376e-32,1.18497163916781e-29
"FUN_002553",307.123375056632,3.51891533382933,0.295704721878576,11.900098555999,1.18207469997335e-32,1.2782449202069e-29
"FUN_012622",6926.50289399981,-5.93046337243207,0.498864910056419,-11.8879144491469,1.36779418184297e-32,1.38046907459472e-29
"FUN_013170",172.413291304619,2.97752970482113,0.25245789114213,11.7941637369728,4.18335507086926e-32,3.9582382761181e-29
"FUN_006209",307.59678474311,-7.44643313558878,0.6318616198027,-11.7849112878765,4.66911508238459e-32,4.15798430777766e-29
"FUN_003726",415.241030008697,2.77858153073576,0.237409423455977,11.7037541740671,1.21936985701146e-31,1.00068026648756e-28
"FUN_007339",2829.05975994228,1.54923282198373,0.132398911275294,11.701250463929,1.25589041966204e-31,1.00068026648756e-28
"FUN_000190",5874.70389799086,-5.69312243209756,0.493732595811304,-11.5307809944016,9.23025436362375e-31,6.986841040545e-28
"FUN_002486",133.791905791458,-7.75449314669794,0.675466418739796,-11.4802052797315,1.65886197600587e-30,1.19588149784537e-27
"FUN_006584",421.290172486888,-3.52166141266256,0.310758159714153,-11.3324825192102,9.05998690767323e-30,6.23450644523932e-27
"FUN_012645",1375.28484981925,2.31769108095181,0.205620896917472,11.2716709035757,1.81100073339883e-29,1.19203217838804e-26
