"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",9.16483544457376,4.2177484337295,16.5437090284355,1.72078741371352e-08,0.00017809266463603,8.76826694833508
"FUN_013025","FUN_013025",-1.7751607674454,8.61074518761151,-15.6011285726987,3.00103041334177e-08,0.00017809266463603,9.68999334698627
"FUN_002486","FUN_002486",7.69227507540381,-0.18086300578642,15.1578797312751,3.94083103722094e-08,0.00017809266463603,6.93866455889067
"FUN_014060","FUN_014060",2.41020409392142,4.45174098021057,14.8043374766507,4.92354590027312e-08,0.00017809266463603,9.19620398270908
"FUN_002096","FUN_002096",-1.90392296699989,7.21832799942658,-14.6637619221114,5.38662708354091e-08,0.00017809266463603,9.08856098639497
"FUN_001047","FUN_001047",-1.12843560115836,9.82673741400286,-14.1680666289582,7.44348184600796e-08,0.00019714080681599,8.76939037365161
"FUN_002485","FUN_002485",9.02803148008082,0.149485398831585,13.9960390812856,8.3478655115355e-08,0.00019714080681599,6.49895285238284
"FUN_002782","FUN_002782",-2.31939474677972,7.34122956772712,-13.7167398928865,1.00839450002733e-07,0.000208372118499397,8.44472530571223
"FUN_007339","FUN_007339",-1.53497052515242,6.88092914932842,-13.4794929414232,1.18722701338107e-07,0.000218067219535582,8.27309736173332
"FUN_008692","FUN_008692",-0.675612309791383,5.02472907577465,-13.2459473146496,1.3977985538178e-07,0.000218177745126677,8.13485115419446
"FUN_014661","FUN_014661",-0.897724891946612,6.61683361071919,-13.1922639639897,1.45179069408593e-07,0.000218177745126677,8.06376656716988
"FUN_010292","FUN_010292",-4.2302276602816,2.26145506358294,-12.9489684028122,1.72688904237627e-07,0.000220894118108555,7.63955219553829
"FUN_001857","FUN_001857",-1.35139665286024,7.39474949557631,-12.9407624265536,1.73711423108779e-07,0.000220894118108555,7.87936979722626
"FUN_012169","FUN_012169",-1.7520973593501,5.15950568020947,-12.6501405684513,2.14579042326307e-07,0.000230774353031655,7.69511496748107
"FUN_005315","FUN_005315",-2.56162905935665,1.97912780974119,-12.6134147490489,2.20453479357376e-07,0.000230774353031655,7.49588138216915
"FUN_000038","FUN_000038",-1.24253491655376,6.0848404042331,-12.5956290921791,2.23361541861139e-07,0.000230774353031655,7.62215735333353
"FUN_012645","FUN_012645",-2.31383097904755,5.59765749639016,-12.4758677836885,2.44073270175588e-07,0.000237339719368979,7.55187723213623
"FUN_009171","FUN_009171",-0.692905159461481,7.99774420895198,-12.3610545539644,2.65920431392038e-07,0.000238273515064264,7.44107005211107
"FUN_005881","FUN_005881",2.45845635059237,5.13829040548281,12.2556050206822,2.87884909280582e-07,0.000238273515064264,7.43658018526048
"FUN_002059","FUN_002059",3.60599779694164,3.58037909305718,12.2538138292008,2.8827477474353e-07,0.000238273515064264,7.40458628335011
"FUN_004521","FUN_004521",-1.01485811266457,7.73333268191598,-12.0817806320564,3.28559509461594e-07,0.000238761118414826,7.21800931848695
"FUN_005924","FUN_005924",-4.18493469174567,3.08926740694859,-11.9383793749001,3.66873855358889e-07,0.000238761118414826,7.16365940492735
"FUN_000190","FUN_000190",6.03651679866649,6.01954856227344,11.8328599150486,3.98190309962313e-07,0.000238761118414826,7.14266214306831
"FUN_005595","FUN_005595",-1.34707785973704,6.30620315591859,-11.8020497631285,4.07878183926573e-07,0.000238761118414826,6.99102949699926
"FUN_012622","FUN_012622",6.38996852457268,6.134307404309,11.7930182198091,4.10766761919898e-07,0.000238761118414826,7.11210868236581
"FUN_009386","FUN_009386",-1.75330932892954,11.0486896513377,-11.702907513097,4.40846659103295e-07,0.000238761118414826,6.94304695224289
"FUN_002437","FUN_002437",-1.97961344782256,4.61763544321449,-11.6382147743398,4.6392797271437e-07,0.000238761118414826,6.93469424196417
"FUN_005765","FUN_005765",-1.37803053608558,3.63496083536301,-11.5255132722987,5.07364489918521e-07,0.000238761118414826,6.89541224056532
"FUN_002467","FUN_002467",10.9410932462715,1.79461571517159,11.5148046521027,5.1171793628238e-07,0.000238761118414826,5.65083989855265
"FUN_007611","FUN_007611",-1.48024713737641,5.11372708721258,-11.4834269958615,5.24711397703801e-07,0.000238761118414826,6.76679450880932
"FUN_006102","FUN_006102",-4.44895638110087,-3.18998318907478,-11.4632319443476,5.3326503436083e-07,0.000238761118414826,4.61580070898425
"FUN_013042","FUN_013042",-2.02401654178136,4.76853802850623,-11.4553363557229,5.36650641051036e-07,0.000238761118414826,6.77473393841432
"FUN_002535","FUN_002535",-0.58584432103409,9.01041992204995,-11.4307354082302,5.473512829176e-07,0.000238761118414826,6.69599803094899
"FUN_003726","FUN_003726",-2.74188589643425,3.69750204200806,-11.3894036243714,5.65859179109289e-07,0.000238761118414826,6.79392952400671
"FUN_011641","FUN_011641",-0.927848377492423,7.40584432643787,-11.3827830857331,5.68886949807322e-07,0.000238761118414826,6.64027756219136
"FUN_005726","FUN_005726",1.50603908384018,3.13012002120681,11.2930463255253,6.11724512839901e-07,0.000238761118414826,6.71569265136873
"FUN_006034","FUN_006034",1.47708665013834,7.59115764497904,11.2826006846812,6.16936153160728e-07,0.000238761118414826,6.56078734530155
"FUN_008871","FUN_008871",-3.66740247532323,5.25354991774972,-11.2772987655067,6.19600021630589e-07,0.000238761118414826,6.63982347352541
"FUN_015181","FUN_015181",3.94489388022897,4.35868159698945,11.2685338719082,6.24031468796911e-07,0.000238761118414826,6.70022615164894
"FUN_008302","FUN_008302",-1.53771202363875,6.71810560201695,-11.2465281259034,6.35311052153395e-07,0.000238761118414826,6.52401631401277
"FUN_004026","FUN_004026",-6.24040576569796,-2.60564328281824,-11.2168616506993,6.50872116484599e-07,0.000238761118414826,4.82405007613358
"FUN_006020","FUN_006020",-2.35272956223407,4.75790047528331,-11.1880276287912,6.66397224705931e-07,0.000238761118414826,6.55876202598907
"FUN_010594","FUN_010594",-1.88330154427054,6.30460947875042,-11.1867949226338,6.67069926643996e-07,0.000238761118414826,6.47869007450671
"FUN_009385","FUN_009385",-1.33316249516941,6.54924077732431,-11.1565125241943,6.83831063464373e-07,0.000238761118414826,6.44672252405017
"FUN_012929","FUN_012929",-0.913154115334147,7.36132094762448,-11.1245680376519,7.0201330418072e-07,0.000238761118414826,6.41910037737502
"FUN_006584","FUN_006584",3.63725206398671,3.38002206329354,11.103917408018,7.14048578306838e-07,0.000238761118414826,6.53193792934163
"FUN_013013","FUN_013013",-2.38623176059036,4.94874655802333,-11.0858835362293,7.24743678480656e-07,0.000238761118414826,6.45945683507325
"FUN_012956","FUN_012956",-2.67993177134112,2.48118934477285,-11.0695336460469,7.3459176651919e-07,0.000238761118414826,6.50017110690439
"FUN_003927","FUN_003927",-4.97617323048065,-2.92837879254128,-11.0663581310906,7.36521421733809e-07,0.000238761118414826,4.56229275587335
"FUN_015188","FUN_015188",0.903878831393881,5.11571131239671,11.053770350919,7.44225369540002e-07,0.000238761118414826,6.41723234325513
"FUN_014838","FUN_014838",-2.71538945447706,4.63837757302401,-11.0261627596207,7.61432409476677e-07,0.000238761118414826,6.43977466391528
"FUN_001495","FUN_001495",-1.0602058242092,4.55652179668143,-10.9978393910917,7.79539201216858e-07,0.000238761118414826,6.38868874147569
"FUN_000344","FUN_000344",-2.06299744760106,4.0525090494933,-10.9870027183127,7.86591165040426e-07,0.000238761118414826,6.43380462939056
"FUN_006745","FUN_006745",-2.49092600310995,2.63640164329308,-10.9865668630829,7.86876254643645e-07,0.000238761118414826,6.45271114019779
"FUN_013170","FUN_013170",-2.93920120884829,2.36456272713337,-10.9751597375996,7.94377927095482e-07,0.000238761118414826,6.40653975003652
"FUN_007375","FUN_007375",-4.1215463704553,5.49343145835543,-10.9353012615929,8.21211031211607e-07,0.000242418563517126,6.34611660688505
"FUN_002347","FUN_002347",-1.29589885803235,4.41091883680457,-10.895004823511,8.49350716889992e-07,0.000243018222000424,6.31426554291235
"FUN_010950","FUN_010950",-2.03729901146926,7.44452718216825,-10.8903846142393,8.52643934185747e-07,0.000243018222000424,6.2176717763921
"FUN_010077","FUN_010077",1.18599308686997,5.41508060344579,10.8534311028303,8.79492327822051e-07,0.000243491252369988,6.23131592460922
"FUN_000405","FUN_000405",-0.9080258496844,6.30885313885054,-10.840055812876,8.89436984218521e-07,0.000243491252369988,6.17182111150585
"FUN_010397","FUN_010397",-0.588240213741686,8.11235612186845,-10.8280190312788,8.98491706162319e-07,0.000243491252369988,6.16766930151162
"FUN_004647","FUN_004647",-0.668895925459708,5.80590372367768,-10.8067330370594,9.14752104442577e-07,0.000243899468363552,6.15228851257076
"FUN_016260","FUN_016260",4.17057178775639,-2.51531810325528,10.7118664948885,9.91241737648547e-07,0.00025548023796488,4.58135844927917
