"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",9.01193450941535,4.47660227207001,19.8992967322803,2.98172201979288e-09,4.92908467091961e-05,9.32272470471681
"FUN_013025","FUN_013025",-1.78872079524607,8.46981599400144,-15.5505698476328,3.12212103431178e-08,0.000211035287489857,9.65500180922018
"FUN_005765","FUN_005765",-1.3735592195783,4.16679014081368,-14.051149655012,8.11151414986747e-08,0.000211035287489857,8.69971632711833
"FUN_012690","FUN_012690",7.4996556838058,-0.614130319308782,13.8191755217506,9.48096293009238e-08,0.000211035287489857,5.62279928010697
"FUN_007339","FUN_007339",-1.51831291450508,6.97133370693778,-13.8145629451316,9.51064751123174e-08,0.000211035287489857,8.5574154067584
"FUN_014060","FUN_014060",2.4907705117367,4.8782090746799,13.7412618724434,9.99633164632556e-08,0.000211035287489857,8.48828514743586
"FUN_002096","FUN_002096",-1.85340557233848,7.2141805108044,-13.6051330935554,1.09721352610078e-07,0.000211035287489857,8.41491695532332
"FUN_001047","FUN_001047",-1.12764851338327,9.79615670496234,-13.4620685319215,1.2111577060477e-07,0.000211035287489857,8.32094104934716
"FUN_014661","FUN_014661",-0.897907042930539,6.45273472036292,-13.4594932075595,1.21332431214781e-07,0.000211035287489857,8.31175405789353
"FUN_002782","FUN_002782",-2.33059321831075,7.34401698895623,-13.3419262785113,1.31690862306665e-07,0.000211035287489857,8.23243428356154
"FUN_000344","FUN_000344",-1.96848134922904,4.2596978964134,-12.8230632083301,1.90562902020205e-07,0.000211035287489857,7.87003399083577
"FUN_001926","FUN_001926",1.01444221497091,5.7446011479523,12.7297362818436,2.03949269212541e-07,0.000211035287489857,7.79398713288611
"FUN_000038","FUN_000038",-1.25397310688859,5.90594004317519,-12.7074176742993,2.07301162120524e-07,0.000211035287489857,7.77182736983145
"FUN_001495","FUN_001495",-1.01984062638133,4.65361810220141,-12.6823492306482,2.11138228692477e-07,0.000211035287489857,7.7682670197156
"FUN_010292","FUN_010292",-4.27081711891084,2.46736420060693,-12.6667182374042,2.13570140997639e-07,0.000211035287489857,7.30716314299921
"FUN_010077","FUN_010077",1.1209805576702,5.40653619276851,12.66087429961,2.14487230161552e-07,0.000211035287489857,7.74814992685084
"FUN_012645","FUN_012645",-2.32789753272737,5.46794698233636,-12.5032088430269,2.40934816774346e-07,0.000211035287489857,7.62880894267259
"FUN_012169","FUN_012169",-1.72706771019143,4.99452787329546,-12.3837375649316,2.63356803842187e-07,0.000211035287489857,7.54324070428346
"FUN_002954","FUN_002954",-0.960639249620725,5.32640601243365,-12.3736076437187,2.65360632371883e-07,0.000211035287489857,7.52650120602417
"FUN_006745","FUN_006745",-2.54962944136462,2.82534047006241,-12.3646701244452,2.67142470875135e-07,0.000211035287489857,7.39209080312558
"FUN_005881","FUN_005881",2.18321672867973,5.53297544870347,12.3145159878229,2.77387972955447e-07,0.000211035287489857,7.49658761551343
"FUN_002467","FUN_002467",10.6715905553886,2.7000702694641,12.2745316192412,2.858647233694e-07,0.000211035287489857,5.73122364352186
"FUN_012956","FUN_012956",-2.65337239521592,2.73563176407785,-12.2165869118346,2.98657184085688e-07,0.000211035287489857,7.26809514547259
"FUN_003726","FUN_003726",-2.71754413769638,3.61552053560727,-12.1148854796933,3.22653836601169e-07,0.000211035287489857,7.32222140739334
"FUN_008692","FUN_008692",-0.662086091915625,4.92044571051722,-12.0559696758356,3.37516351088256e-07,0.000211035287489857,7.29049673137487
"FUN_006770","FUN_006770",-1.56090999392528,2.44916959112581,-12.0126786040802,3.48915220687054e-07,0.000211035287489857,7.10823321486938
"FUN_000190","FUN_000190",5.82299665259607,6.88372981314958,12.0016752074602,3.51879286651415e-07,0.000211035287489857,7.266404863632
"FUN_001857","FUN_001857",-1.3983208197799,7.71043434490783,-11.9812713295037,3.57448917168713e-07,0.000211035287489857,7.22371923976551
"FUN_004521","FUN_004521",-1.03857193691467,7.727643229576,-11.9241765057961,3.73554003573791e-07,0.000211111467534664,7.17896353939256
"FUN_006034","FUN_006034",1.47407029705208,7.58847920953474,11.7225202818655,4.37125141739943e-07,0.000211111467534664,7.01885561469958
"FUN_005595","FUN_005595",-1.33008895660626,6.15716438834426,-11.7196786000845,4.38101699986819e-07,0.000211111467534664,7.00816512935652
"FUN_002347","FUN_002347",-1.30497111882642,4.20683746670687,-11.6694905864704,4.55748872151994e-07,0.000211111467534664,7.0080791357133
"FUN_015181","FUN_015181",3.82718900280655,4.51625464696585,11.6587471133335,4.59626820989127e-07,0.000211111467534664,6.97293082632254
"FUN_010098","FUN_010098",-2.33869510367763,1.46840637438385,-11.6484898322875,4.63363025008622e-07,0.000211111467534664,6.49538988491964
"FUN_005924","FUN_005924",-4.3258799604615,3.68323101980147,-11.635365857264,4.68192013475171e-07,0.000211111467534664,6.92139714991122
"FUN_002059","FUN_002059",3.6997499578492,3.52648957654974,11.6313730057493,4.69672106210526e-07,0.000211111467534664,6.83813279648315
"FUN_012622","FUN_012622",6.32918964053388,6.7120450575758,11.5886965456934,4.85815812857626e-07,0.000211111467534664,6.94732795170534
"FUN_011641","FUN_011641",-0.939106220117883,7.26309894332783,-11.5789099111687,4.89602973120308e-07,0.000211111467534664,6.89825372012043
"FUN_009385","FUN_009385",-1.33057868045623,6.53489217805287,-11.5078016808143,5.18110757138602e-07,0.000211111467534664,6.83599689457511
"FUN_016443","FUN_016443",-2.86195626234393,4.03509571222265,-11.4783683108501,5.30438630016024e-07,0.000211111467534664,6.86001811870403
"FUN_005315","FUN_005315",-2.62355876629186,2.57645714026113,-11.4746716172432,5.32009525999674e-07,0.000211111467534664,6.72136587078434
"FUN_010835","FUN_010835",1.92637803054077,3.61222762710935,11.4644798567874,5.36366924956499e-07,0.000211111467534664,6.82539656965436
"FUN_010594","FUN_010594",-1.88333894603504,6.36247421788019,-11.3826500390546,5.72803305914345e-07,0.00022020956860628,6.73468343578279
"FUN_008006","FUN_008006",1.83694769879062,3.84287830152766,11.3208269482685,6.02128631300982e-07,0.000226222463728103,6.72823273328466
"FUN_011892","FUN_011892",-1.7379138656289,5.01028783530277,-11.2275504784926,6.49532387886576e-07,0.000234142736207371,6.6277412774798
"FUN_014838","FUN_014838",-2.69994041826478,4.62300416821187,-11.223770901114,6.51537466913017e-07,0.000234142736207371,6.64982463285296
"FUN_009386","FUN_009386",-1.76407287184296,11.0678721773108,-11.0986038037682,7.21923716233707e-07,0.000241754974499469,6.5366513604772
"FUN_009171","FUN_009171",-0.689114363062895,7.90189339722189,-11.0812426857583,7.32327189157924e-07,0.000241754974499469,6.492294774605
"FUN_008302","FUN_008302",-1.53263843660929,6.64073365667834,-11.0739490948401,7.36746661060811e-07,0.000241754974499469,6.47488935846786
"FUN_008871","FUN_008871",-3.62235428031652,5.36143495376907,-11.0454482190828,7.54298523262195e-07,0.000241754974499469,6.49345252266519
"FUN_001563","FUN_001563",-1.65137978370483,6.47640471073324,-11.0446586198166,7.54791258333736e-07,0.000241754974499469,6.44993385216011
"FUN_010950","FUN_010950",-2.02077831281704,7.49303707378026,-11.0318555019561,7.62830182231749e-07,0.000241754974499469,6.44630681016562
"FUN_000405","FUN_000405",-0.920009016301673,6.15969561637625,-11.0126115959691,7.75090051931029e-07,0.000241754974499469,6.42115586610084
