"","logFC","logCPM","PValue","FDR"
"FUN_013139",-11.3698510309306,2.8571243251523,1.87169290973848e-28,3.09409554908869e-25
"FUN_000887",-9.96728486936267,4.63569130658928,6.48888903016446e-54,5.36339122788244e-50
"FUN_012054",-9.48566320530839,7.4625375255255,3.00828768841836e-27,4.52090943429491e-24
"FUN_002467",-9.1680446659013,7.09956034760723,5.33840034029277e-21,4.20233790597047e-18
"FUN_008877",-8.99047555534186,8.05483264750544,5.51726836558936e-55,9.12059633515576e-51
"FUN_002466",-8.39876345984838,7.83977519326943,1.38078954982729e-17,6.91691880248331e-15
"FUN_002470",-8.27406807375791,7.02834072719578,3.74208266712835e-14,9.42953942286344e-12
"FUN_002485",-8.16742669260989,2.02782935704017,3.14765676667895e-34,8.67231900166163e-31
"FUN_010492",-8.02587270953582,2.71038142929577,1.9918808652757e-34,6.58555651677453e-31
"FUN_002492",-7.89621938135196,-0.408574064558743,1.85400944791947e-07,6.42528934665761e-06
"FUN_012690",-7.8916039735989,2.23191385648128,4.24376823613859e-42,2.33845775705357e-38
"FUN_013141",-7.81282172801355,1.00203987257675,4.12143514813015e-07,1.30160614751906e-05
"FUN_012053",-7.71499902418765,7.39912464721231,2.63104860441835e-14,7.01513943219995e-12
"FUN_002484",-7.56959633530634,-0.662178692536248,2.02555874115914e-08,9.87743703542826e-07
"FUN_002487",-7.42378953468711,1.30697697047869,4.86618517510376e-14,1.14918438756629e-11
"FUN_005334",-7.418490402367,4.81467707296763,3.98239134041752e-41,1.64582278121105e-37
"FUN_007421",-7.3274981612452,3.05273257326769,0.000134330141543419,0.00189149196750788
"FUN_006209",-7.29191991510937,3.69221425176815,7.51726611288681e-30,1.38075473457924e-26
"FUN_014624",-7.05750613409374,0.968629457352234,8.35887297076799e-22,7.67669605998698e-19
"FUN_005514",-6.8617402636345,4.44880296393862,1.87117629171607e-26,2.57770127319653e-23
"FUN_008732",-6.83074604377601,1.49282195618683,3.27107707567309e-07,1.06027794388141e-05
"FUN_011854",-6.60975746286764,2.75894884273304,2.98349720187473e-31,6.1650240305239e-28
"FUN_006426",-6.44166453210063,-1.56062120049559,5.9278540175589e-06,0.000130310312186524
"FUN_012623",-6.37736429827677,4.72014476703132,8.15135828090993e-10,5.93612791813754e-08
"FUN_002486",-6.01351028468327,3.61739865734068,1.70695151924481e-08,8.60293157458412e-07
"FUN_014788",-5.98344305909352,5.29864799071193,2.16672647393476e-05,0.000399756197997941
"FUN_004069",-5.98132511865257,5.31498047374388,3.47573736311122e-06,8.27916633279417e-05
"FUN_012622",-5.96808837512348,8.94645918562523,1.62389450021064e-21,1.41287368331485e-18
"FUN_003330",-5.87240395243538,1.20114670197676,4.01042905216561e-16,1.79179466652297e-13
"FUN_002465",-5.85089439417986,5.4046449086153,7.30374618398436e-11,7.21473807836097e-09
"FUN_003235",-5.82884949762151,3.36063770988823,2.13840356556055e-10,1.80356884399395e-08
"FUN_002469",-5.71970553681296,7.42758229225894,5.12987960704823e-12,6.62515935813392e-10
"FUN_000190",-5.56732539628309,8.91515601362693,6.12175084212558e-20,4.59993923505354e-17
"FUN_005722",-5.55586271258098,5.33479226490453,4.91084584204746e-34,1.15973132306981e-30
"FUN_002468",-5.44175793357113,5.22156934360635,9.44026744840258e-15,2.64503493541598e-12
"FUN_002475",-5.41331954481601,6.63011813118244,8.58519194509331e-11,8.34834164966691e-09
"FUN_010552",-5.37867399919307,4.60304421598388,7.69834829044429e-09,4.31483719809915e-07
"FUN_004335",-5.3786561815865,5.96010885990756,1.24730985586614e-12,1.9270354418059e-10
"FUN_000823",-5.33367032423382,7.03968679907206,4.7237915767578e-14,1.13172461674468e-11
