"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_008877","FUN_008877",8.9058049503083,4.42584983976023,19.6102652502424,3.2137282815543e-09,5.31261422223742e-05,9.77121505050501
"FUN_006770","FUN_006770",-1.25051184318414,3.17645521306371,-17.163122101868,1.15412401869381e-08,9.53941207651367e-05,10.3782191843788
"FUN_013025","FUN_013025",-1.76408213830622,8.3591816823773,-15.3675975606668,3.30593806013061e-08,0.000157900009896279,9.60049689625696
"FUN_005765","FUN_005765",-1.30518763471435,4.11560274414112,-15.1348498058208,3.82070074154688e-08,0.000157900009896279,9.43818813067061
"FUN_014060","FUN_014060",2.41716138728812,4.71203694572524,14.420465936933,6.03638011321538e-08,0.000183211470496827,8.98472246678071
"FUN_001047","FUN_001047",-1.11196721420225,9.7092180943361,-13.5500304456999,1.08484933138475e-07,0.000183211470496827,8.4260290095541
"FUN_007339","FUN_007339",-1.52100993367663,6.91420929038231,-13.5038300965246,1.1201981031744e-07,0.000183211470496827,8.38255645571585
"FUN_014661","FUN_014661",-0.888196704351706,6.39012546927886,-13.3583075643912,1.24005561516269e-07,0.000183211470496827,8.27660551000969
"FUN_006745","FUN_006745",-2.39180255510151,2.99201102881701,-13.3331017294913,1.26221083053935e-07,0.000183211470496827,8.17614748713175
"FUN_002096","FUN_002096",-1.83879821370988,7.16186358509952,-13.2343463741216,1.35329052046405e-07,0.000183211470496827,8.19319901413023
"FUN_000473","FUN_000473",-1.50509792114179,4.05680884493953,-13.173642075864,1.4128383857645e-07,0.000183211470496827,8.16400153079699
"FUN_002782","FUN_002782",-2.30437303046746,7.29284556334529,-12.7668168341761,1.89437347273728e-07,0.000183211470496827,7.85363466361939
"FUN_002437","FUN_002437",-1.92229102382451,4.83013721461195,-12.6638570950382,2.04304797591802e-07,0.000183211470496827,7.78888741550768
"FUN_002467","FUN_002467",10.0979109752792,2.705841641933,12.6527611280376,2.0598189731044e-07,0.000183211470496827,6.25441409124339
"FUN_016443","FUN_016443",-2.91631288078611,4.40474079977336,-12.6498159758135,2.06429571929034e-07,0.000183211470496827,7.78969190685105
"FUN_012169","FUN_012169",-1.7144250017798,4.93652075811647,-12.575622827402,2.18066521228707e-07,0.000183211470496827,7.71869085312349
"FUN_005881","FUN_005881",2.14879160442016,5.37342159438679,12.5741573724014,2.18303496079689e-07,0.000183211470496827,7.72611202405851
"FUN_015181","FUN_015181",3.78357779547932,4.46117179894913,12.4722741019108,2.35491594769964e-07,0.000183211470496827,7.6335932121053
"FUN_005595","FUN_005595",-1.32909670445316,6.16230755222956,-12.4622154848457,2.37267345378161e-07,0.000183211470496827,7.61566797631445
"FUN_000344","FUN_000344",-1.92662536665075,4.14616794894981,-12.4413517233473,2.40997601639488e-07,0.000183211470496827,7.63599577835911
"FUN_012645","FUN_012645",-2.30744335290016,5.38660906783335,-12.403779052605,2.47878377672603e-07,0.000183211470496827,7.58413081034117
"FUN_001495","FUN_001495",-0.991603586167351,4.50143235880305,-12.2637327353076,2.754869832087e-07,0.000183211470496827,7.48978236160886
"FUN_012956","FUN_012956",-2.49232383057751,2.64167862241411,-12.2113469234646,2.86665913106796e-07,0.000183211470496827,7.36727844702912
"FUN_004521","FUN_004521",-0.984562852383823,7.44819899773357,-12.1346157664562,3.03947281696018e-07,0.000183211470496827,7.37206840862412
"FUN_001857","FUN_001857",-1.37474016529488,7.61132455266352,-12.1229144238814,3.06681520117185e-07,0.000183211470496827,7.36500865442177
"FUN_012575","FUN_012575",5.47345311189862,5.1958188430573,12.0541029272524,3.23315798678328e-07,0.000183211470496827,7.32041568066153
"FUN_003255","FUN_003255",-1.21722683704973,3.49124948915264,-12.0481962295966,3.24789069671343e-07,0.000183211470496827,7.33929983947042
