"","logFC","logCPM","PValue","FDR"
"FUN_013139",-10.4385108315475,2.72173907449008,2.475356619805e-24,2.72800801879976e-21
"FUN_002487",-9.64772785931783,1.9667191498484,2.97747175856029e-15,7.03151223439431e-13
"FUN_002467",-9.11537082615522,6.81658307547346,3.81996784151614e-33,9.02112691258618e-30
"FUN_000887",-9.08740981792772,4.52122224567606,8.41681745823433e-50,1.39138409402072e-45
"FUN_012054",-8.92597986891407,7.35341603050483,2.62359494460293e-34,7.22844133820517e-31
"FUN_008877",-8.77540646835101,7.94737308987,4.04972852038171e-49,3.34730310852151e-45
"FUN_010698",-8.32449128175739,0.744345300526519,3.00998697888042e-20,1.55494046087101e-17
"FUN_002466",-8.22870986296253,7.45599173792283,1.4865438371232e-22,1.2933713774465e-19
"FUN_002486",-8.14629918661102,6.06021217995948,3.79329999323147e-32,6.27070421881094e-29
"FUN_002485",-8.14629409893568,6.06021217995948,3.75310203635177e-32,6.27070421881094e-29
"FUN_002470",-8.14554674823757,6.93267071353584,1.078388169614e-19,5.09338138053971e-17
"FUN_012053",-7.6042236808004,7.32635230695041,9.42865220103775e-17,2.94084999123311e-14
"FUN_009753",-7.35395467786706,-0.0786718853264851,4.05043381979677e-06,8.21312551446338e-05
"FUN_002492",-7.19331246675478,-0.224890466333398,4.72506966689693e-06,9.36572262151955e-05
"FUN_005334",-7.10807904738424,4.80944852638035,1.56511173863218e-48,8.62428738377621e-45
"FUN_008732",-6.8932692020273,1.52355032227357,6.53231028321364e-09,3.10303509459209e-07
"FUN_006209",-6.82975583368066,3.65270394044346,4.03871456336292e-31,6.06945367699567e-28
"FUN_005514",-6.69822573899061,4.35494851563595,1.87574449813444e-34,6.20158645973208e-31
"FUN_012690",-6.49628290408964,-0.752048335548059,8.14748130676644e-09,3.69002776663441e-07
"FUN_013141",-6.31128718962064,1.07761790367935,1.57067279167357e-06,3.60622109988275e-05
"FUN_004067",-6.1855169403291,-1.00907033718092,8.64972495541131e-05,0.0011796530927648
"FUN_004069",-6.13449440434384,5.76183565505641,4.1169472882939e-08,1.47629621741402e-06
"FUN_012623",-6.00469147184896,4.73551878117347,1.90728836301318e-14,3.54262740774954e-12
"FUN_002484",-5.95593858465326,-1.1135069118282,6.27066169276157e-06,0.000118876500508075
"FUN_011854",-5.90428204707888,2.72585078209074,5.72976030199003e-29,7.89322229601643e-26
"FUN_012622",-5.90410561596498,8.90646721072826,2.94690438438751e-22,2.21433074446864e-19
"FUN_002465",-5.76725611493379,5.37184217215158,6.61356510207193e-09,3.1326316533625e-07
"FUN_006426",-5.7164686269174,-1.28326617809494,9.80155896933373e-06,0.000175546664487601
"FUN_007421",-5.69810807194628,2.93163640879341,0.000307939685357236,0.00361031981463863
"FUN_008903",-5.60456263268637,4.18055491797285,3.75166755146272e-32,6.27070421881094e-29
"FUN_003235",-5.58649748461881,3.31996806326497,3.68981751986692e-12,3.98669107326275e-10
"FUN_014788",-5.57707371754869,4.92895981527236,4.01703728527465e-05,0.000598788488393826
"FUN_002469",-5.54474034601206,7.43533807708101,3.017653281907e-13,4.29851828920796e-11
"FUN_005722",-5.51319521024364,5.28690835372015,8.52187496147177e-37,3.52187787470225e-33
"FUN_016027",-5.51212719673046,-1.43567443470803,0.000113052673652956,0.00150594177933683
"FUN_002468",-5.50278283365329,4.84722258880526,7.34944623411439e-18,2.89270704038441e-15
"FUN_000190",-5.50084640877632,8.8824950355224,4.61432024269753e-21,2.825160293779e-18
"FUN_004335",-5.3736283898277,5.93094856223691,1.99817761975024e-15,4.85762856354284e-13
"FUN_014624",-5.36637041619598,0.980015612606339,8.77995509530798e-17,2.84591054275561e-14
"FUN_000231",-5.3057235600859,5.653319974422,1.90635701085261e-09,1.07556272172029e-07
"FUN_007703",-5.26912741358051,4.94338005338752,2.74589170577643e-08,1.04590635456659e-06
"FUN_000823",-5.26670134501127,6.89657492936097,2.45845809354785e-14,4.36997534886446e-12
"FUN_012507",-5.26026138117482,-1.55068126874178,3.33140774494619e-05,0.000510536221877227
"FUN_008657",-5.22525313611761,3.52750760415628,2.23389580097598e-07,6.52447552755016e-06
"FUN_010552",-5.17317579430189,4.54142608824615,1.07288487847727e-10,8.17320733922017e-09
"FUN_004907",-5.172019436444,6.49402317311908,4.51079493065869e-05,0.000665785276774275
"FUN_012575",-5.14092670079349,6.99025743066931,1.2007184854135e-21,8.18723532182119e-19
"FUN_004474",-5.10982821664376,1.70614679057151,2.55324522187734e-05,0.000403901404429228
"FUN_003027",-5.10861245259679,1.23804203687843,1.03069071273083e-16,3.15524966150988e-14
"FUN_010322",-5.10469531307086,7.11388690250591,6.00864155685407e-09,2.89588494391704e-07
"FUN_002474",-5.08807733027276,4.08554508508954,1.04371036600311e-06,2.52245264040897e-05
"FUN_002488",-4.9879162431663,4.65892630940125,0.000884019575875694,0.00897098072977354
"FUN_013377",-4.95313882601013,3.63146489974924,2.73530228432222e-14,4.81034915554581e-12
"FUN_003330",-4.92405480937223,1.25440086777472,1.2504057398895e-15,3.13188746759292e-13
"FUN_014679",-4.89960977938323,-1.7384505540211,0.00560987932881365,0.0421690493411597
"FUN_008133",-4.89943128789657,8.99853373789021,0.000141867456344471,0.00183219603189879
"FUN_000885",-4.86671025247371,4.77682999150892,2.46472216907061e-13,3.63788590865234e-11
"FUN_002475",-4.86025189075436,7.88842399222448,9.11208652884037e-11,7.13895272077062e-09
"FUN_013151",-4.79854106813462,1.9207007741975,0.00516682817369119,0.0392653229350433
"FUN_005461",-4.77717616353207,2.05951316306953,2.95798260677036e-08,1.11895676138492e-06
"FUN_000192",-4.76586870805006,9.2530939861003,1.04435225145037e-10,8.02985445057026e-09
"FUN_010905",-4.71700583426215,2.16637586626714,2.43268665869283e-21,1.5467208905712e-18
"FUN_006082",-4.56847142818424,5.27757923854088,3.88092739183553e-05,0.000582174325902297
"FUN_000687",-4.55896137562372,-1.92101127988828,0.000297289623985947,0.00351035341007978
"FUN_015771",-4.54516633149057,2.616184407327,7.52949323663548e-09,3.49634979479835e-07
"FUN_014388",-4.54197937365397,6.6134358681596,2.53874828258759e-05,0.00040276437485082
"FUN_016231",-4.52409870139963,1.25938019991808,1.93044260717729e-08,7.72691204340142e-07
"FUN_006187",-4.46903106152742,8.70560169711573,2.98179972343085e-17,1.09538069395634e-14
"FUN_014789",-4.41749348746583,5.51650797569839,0.000254158082796792,0.00305785099469706
"FUN_000815",-4.41705433278218,3.52193663423485,2.00740054220584e-05,0.000331181021588869
"FUN_009903",-4.37966568877171,4.66310268231589,1.35825675032081e-09,8.01265825528298e-08
"FUN_000722",-4.37565399525065,0.327249301422629,0.000405639383878205,0.00458974993490117
"FUN_003972",-4.3756529118864,0.327249301422629,0.000405411376009404,0.00458974993490117
"FUN_007961",-4.34923613335289,4.45904130161487,3.01252611289134e-09,1.61688536273398e-07
"FUN_004068",-4.3469829522649,3.95915600457692,0.000286700309050941,0.00340359713045525
"FUN_004072",-4.3469829271649,3.95915600457692,0.000286690846093158,0.00340359713045525
"FUN_008904",-4.32260141753543,2.90981636185989,3.29117494059156e-19,1.51128924841442e-16
