"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_007244","FUN_007244",4.06274699076183,-2.96032570998829,18.9178381532513,9.97943579240854e-09,0.000164970053084306,4.96911441582932
"FUN_013050","FUN_013050",5.63882865459884,-2.16514270456387,16.9445891371002,2.70201277246438e-08,0.000175156618216148,5.19337974776889
"FUN_009171","FUN_009171",-0.672254015193771,7.78128211136216,-15.8544519129178,4.91525485806306e-08,0.000175156618216148,9.17242568427883
"FUN_013025","FUN_013025",-1.76299147412222,8.50693197193526,-15.7892168535686,5.10061745298342e-08,0.000175156618216148,9.14417857561491
"FUN_011872","FUN_011872",3.71709323772575,-3.13658197695741,15.5500609935641,5.84920190386785e-08,0.000175156618216148,4.45268865186468
"FUN_005315","FUN_005315",-2.42295348280464,2.28748592298952,-14.8223398711011,8.98372873073857e-08,0.000175156618216148,8.60979545572284
"FUN_001047","FUN_001047",-1.10524020451411,9.7765649188304,-14.5672656176127,1.04903963226887e-07,0.000175156618216148,8.40934767165595
"FUN_008877","FUN_008877",8.94908904798984,4.02769821250413,14.5503950146001,1.05994612906988e-07,0.000175156618216148,7.5108408913492
"FUN_007559","FUN_007559",-5.22168185380316,-3.06955384776168,-14.4781162328363,1.10811044865467e-07,0.000175156618216148,4.31340089473494
"FUN_014901","FUN_014901",-5.20540909454553,-3.06649226957449,-14.4028015680812,1.16088113888183e-07,0.000175156618216148,4.30124402027125
"FUN_002096","FUN_002096",-1.8610013035146,7.13203963998575,-14.3963609228992,1.16552102134029e-07,0.000175156618216148,8.25740832765919
"FUN_014060","FUN_014060",2.32978791685128,4.59813408279767,14.2369451624383,1.28714590216215e-07,0.000177315074238687,8.25946449803068
"FUN_007339","FUN_007339",-1.51369172288006,6.92878449236832,-13.7397009276667,1.76602731253938e-07,0.000204358778772893,7.81441227549242
"FUN_002117","FUN_002117",4.84097131245649,-2.56042274695481,13.7358519853151,1.77042851616857e-07,0.000204358778772893,4.44584469487468
"FUN_002782","FUN_002782",-2.29458998202503,7.33874084956588,-13.6644383112066,1.85432319980243e-07,0.000204358778772893,7.77065962763452
"FUN_014661","FUN_014661",-0.882739439563164,6.55629751829375,-13.2508844398925,2.43526067059513e-07,0.000242135305917368,7.46849708022899
"FUN_002535","FUN_002535",-0.561361308550405,9.00510059937352,-13.2176318331987,2.49004912019554e-07,0.000242135305917368,7.48686089313274
"FUN_008692","FUN_008692",-0.631184399098156,4.97522095402523,-13.0676890365226,2.75457052730043e-07,0.000243664952299747,7.36786854749002
"FUN_005765","FUN_005765",-1.29090350472471,3.93615693400078,-13.0432363334348,2.80057715425273e-07,0.000243664952299747,7.4435886728555
"FUN_011641","FUN_011641",-0.935479533026943,7.27127866328333,-12.8273362127721,3.24561873804628e-07,0.000268266616793215,7.17240443844666
"FUN_000190","FUN_000190",5.74951762041835,6.38312866421655,12.668201073101,3.62354534113544e-07,0.000279736941034626,7.19592833865917
"FUN_000038","FUN_000038",-1.23354669113556,5.94625004777155,-12.6294200109996,3.72283146982141e-07,0.000279736941034626,7.0191014169904
"FUN_010292","FUN_010292",-4.14429312952955,2.32240553939614,-12.5357031800005,3.97536948061235e-07,0.000280572844704513,7.11264825904587
"FUN_002679","FUN_002679",-6.66913802422536,-2.35608372652796,-12.4514623789037,4.21855194158923e-07,0.000280572844704513,4.22025394527276
"FUN_005881","FUN_005881",2.3659067731291,5.27376975807421,12.4403543296736,4.25182349548534e-07,0.000280572844704513,6.96538792486757
"FUN_001857","FUN_001857",-1.35868676001065,7.47524762211437,-12.3879119359437,4.41285703364427e-07,0.000280572844704513,6.8498444176145
"FUN_004521","FUN_004521",-0.989114541249142,7.65155438404242,-12.3273399655408,4.60726973111556e-07,0.000282084355278042,6.80741891520901
"FUN_002437","FUN_002437",-1.96957334396304,4.8237424028129,-12.2102300048183,5.01047585806734e-07,0.000283765212236796,6.76278429378662
"FUN_012645","FUN_012645",-2.25968266390662,5.52321157522823,-12.1798856798704,5.12118751266554e-07,0.000283765212236796,6.70294124025324
"FUN_010397","FUN_010397",-0.556499188448935,8.0660038348989,-12.1281039870001,5.31639035598275e-07,0.000283765212236796,6.66379380672974
"FUN_005595","FUN_005595",-1.30883576626699,6.24143427243507,-12.059202317963,5.58895424531877e-07,0.000283765212236796,6.58413238076473
"FUN_006584","FUN_006584",3.39768762982282,3.49834101599555,12.0263165335732,5.72444252115368e-07,0.000283765212236796,6.82321779627409
"FUN_015181","FUN_015181",3.79961479122771,4.49622992023629,12.0180281489954,5.75915850892208e-07,0.000283765212236796,6.76764730013792
