"","logFC","logCPM","PValue","FDR"
"FUN_007421",-10.9473701622234,2.60028260740419,8.81064076512869e-06,0.000205718506339467
"FUN_013139",-10.8537093170694,2.51147494790802,4.18674405981846e-25,8.65138325660737e-22
"FUN_010492",-10.4572444001511,2.12322571492259,4.71406540706381e-32,2.59760717480573e-28
"FUN_013846",-10.3409278890469,2.02230626802309,0.000330819284994498,0.00451964760350748
"FUN_002487",-9.89771586352624,1.58941648644791,2.02826172892876e-14,5.15833763706483e-12
"FUN_008732",-9.68523258070906,1.37801449264236,1.98464542238232e-10,1.83285885348615e-08
"FUN_014624",-9.32061242601016,1.04130346971284,9.62208104501026e-20,5.68080791982373e-17
"FUN_002467",-9.31253069963772,6.1616579790418,2.02217536369812e-20,1.59183718749017e-17
"FUN_003027",-9.03951292415108,0.781991156842299,7.06140591601553e-18,3.24255836660146e-15
"FUN_012054",-8.9667289934444,7.17827939691058,2.95576724601335e-20,2.22099037926575e-17
"FUN_011264",-8.92824064939331,0.660753627618624,0.000191992916343771,0.00280622007080361
"FUN_008877",-8.81983827103234,7.56765788186953,2.25870581070226e-49,3.7338665756719e-45
"FUN_013141",-8.76435473509749,0.529841827883505,5.94884038673981e-06,0.000149000424898782
"FUN_003765",-8.66875601106315,0.433037931548495,4.80168614221948e-09,3.20067232326735e-07
"FUN_000887",-8.55853545004138,3.92930237579789,3.27764116987882e-44,2.70913430896334e-40
"FUN_002484",-8.48077273444588,0.280766872862897,7.3544841844561e-08,3.36778332557462e-06
"FUN_002485",-8.47812146947105,5.86905808197069,1.07770672103363e-25,2.64892264444899e-22
"FUN_002466",-8.41510322425808,7.38528920385695,1.0550251432293e-12,1.67698275410803e-10
"FUN_002470",-8.21617780693478,6.93628141612138,4.23915426253367e-14,1.03055086932271e-11
"FUN_002486",-8.20415910350449,5.73442655909777,1.03409364015381e-22,1.31496938195251e-19
"FUN_009752",-8.10793290206169,-0.0603493410617603,4.53415681664032e-15,1.33846689885502e-12
"FUN_013050",-8.05257652236099,-0.111500294083914,3.55772151438835e-16,1.25133392243306e-13
"FUN_015317",-7.73877138711201,-0.389545247570567,0.00110036000360362,0.0127025497343376
"FUN_012053",-7.60707276635578,7.18595433401033,1.05861348825616e-15,3.49998791487253e-13
"FUN_001555",-7.48664899173393,-0.565640692493406,8.45158063238212e-05,0.00139399037516969
"FUN_002117",-7.27661690659641,-0.768316764919789,2.9447408793946e-11,3.40691259441654e-09
"FUN_016323",-7.24820409556818,-0.786105971639547,3.6102324832515e-09,2.48669804919294e-07
"FUN_000380",-7.06588993946529,-0.944046256480104,1.28784511190325e-06,4.04989699931066e-05
"FUN_013406",-7.06506722363824,-0.933279405366261,5.97258137286177e-10,5.06321757306553e-08
"FUN_005334",-7.04499618305379,4.31345797248133,1.63357394950566e-27,6.75115273981954e-24
"FUN_002492",-7.03541538048215,-0.967320342187515,5.79207025055192e-05,0.00100788119275657
"FUN_009949",-7.02902467079991,-0.941989050550974,0.0027343684541039,0.0270994274069494
"FUN_008727",-6.9915287057007,-1.00468613712508,2.74450417340487e-06,7.67671717268291e-05
"FUN_005418",-6.97692982178838,-1.00523247754248,2.57301672118549e-06,7.28331154416394e-05
"FUN_008733",-6.89864640762268,-1.08317472868604,2.06167676331889e-06,6.01243604255519e-05
"FUN_011854",-6.86612293403859,1.74778986476306,1.91101309911719e-23,2.87190523104603e-20
"FUN_006605",-6.84123218541924,-1.13615688340623,0.00344753829363071,0.0325106991055387
"FUN_006209",-6.81978763335321,3.6528595288757,5.12888064862911e-26,1.69571052004976e-22
"FUN_000430",-6.73788456068184,-1.19214810424892,0.000316931673499229,0.0043623626100048
"FUN_015274",-6.69950541728886,-1.20728882353612,0.00033665398371352,0.00457290633095168
