"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_014726","FUN_014726",5.07618264626665,-2.52559311930283,20.8641144641691,3.87214395605923e-09,6.40104117376151e-05,3.80086255957957
"FUN_006770","FUN_006770",-1.43403016950289,3.10537679232626,-17.8614825884086,1.59501598856841e-08,0.000131836046535122,10.2485793869074
"FUN_008877","FUN_008877",8.99030482379071,4.2168973621961,16.1204572016239,4.0358975561525e-08,0.000167263904153735,7.61205732540718
"FUN_013025","FUN_013025",-1.77252292067961,8.3977069486158,-15.8902470223933,4.59502906782851e-08,0.000167263904153735,9.31713159229039
"FUN_005765","FUN_005765",-1.31431851314938,4.195833143146,-15.7215247944372,5.0590981838284e-08,0.000167263904153735,9.2272682503264
"FUN_015180","FUN_015180",4.50456298942782,-2.7998899264026,15.1534403806268,7.04538134183445e-08,0.000194111998269776,3.1845292811391
"FUN_007339","FUN_007339",-1.51156436398877,6.92773737123795,-14.4051429164478,1.10969163785142e-07,0.00023197957405736,8.40537059663424
"FUN_001047","FUN_001047",-1.10547516909328,9.71630575063007,-14.3864891926234,1.12264024708661e-07,0.00023197957405736,8.42151455307168
"FUN_014661","FUN_014661",-0.884984552321255,6.42216638858767,-13.6316342087845,1.81691800881538e-07,0.000264230940415662,7.88978634303534
"FUN_002096","FUN_002096",-1.83024777075135,7.11056558027365,-13.597144874175,1.85840412074504e-07,0.000264230940415662,7.87521147149716
"FUN_002782","FUN_002782",-2.29910275584338,7.2806571325656,-13.4512299307278,2.04585281387281e-07,0.000264230940415662,7.77849463595443
"FUN_009171","FUN_009171",-0.669746421858788,7.70630941082494,-13.418223763641,2.09108616719021e-07,0.000264230940415662,7.76094972923253
"FUN_014060","FUN_014060",2.42025465278934,4.82205473067908,13.3318426820025,2.21477272332397e-07,0.000264230940415662,7.74915971416972
"FUN_001926","FUN_001926",1.03023593888479,6.17431070652191,13.2558199898043,2.33032036041897e-07,0.000264230940415662,7.63663808628448
"FUN_011641","FUN_011641",-0.942142469416188,7.1386408140562,-13.213447767528,2.39759488611393e-07,0.000264230940415662,7.61031860763493
"FUN_010077","FUN_010077",1.14424835075628,5.37204512727325,12.7736734132091,3.23761674580502e-07,0.000275742310007344,7.3100873539886
"FUN_000038","FUN_000038",-1.24817091418439,5.80696978161855,-12.7654804719183,3.25607194489463e-07,0.000275742310007344,7.28147700898954
"FUN_000344","FUN_000344",-1.94908643180027,4.04341298327828,-12.5435487867803,3.80286958826408e-07,0.000275742310007344,7.19847563579654
"FUN_002437","FUN_002437",-1.94993864515606,4.97731411511042,-12.4199309651396,4.15078150683852e-07,0.000275742310007344,7.05603048561693
"FUN_003726","FUN_003726",-2.71292922968471,3.54056691088183,-12.2861976489011,4.5671284335314e-07,0.000275742310007344,7.04321716562032
"FUN_001495","FUN_001495",-0.986534375832815,4.49139128590982,-12.2610141399808,4.65056670059526e-07,0.000275742310007344,6.95167401340879
"FUN_010292","FUN_010292",-4.22199558788216,2.49207182337306,-12.2573407847536,4.66287698642279e-07,0.000275742310007344,6.87972372349331
"FUN_008692","FUN_008692",-0.621008200563426,4.8484886450834,-12.2101932120103,4.82410727859218e-07,0.000275742310007344,6.89230669063864
"FUN_004521","FUN_004521",-1.00704516244278,7.62604544920806,-12.1752509514333,4.947560085521e-07,0.000275742310007344,6.86384529881484
"FUN_000190","FUN_000190",5.77403745792621,6.84032409088998,12.1730629534819,4.95540534006239e-07,0.000275742310007344,6.92975052139907
"FUN_005595","FUN_005595",-1.30337199866373,6.11397214421881,-12.121718167447,5.14349663446794e-07,0.000275742310007344,6.80233265871311
"FUN_015181","FUN_015181",3.74655912979156,4.55361255141886,12.1109461776287,5.18394733945471e-07,0.000275742310007344,6.91779386498742
"FUN_006745","FUN_006745",-2.42141411049037,2.9067620752563,-12.0815509911093,5.29612485534968e-07,0.000275742310007344,6.90104356676848
"FUN_012645","FUN_012645",-2.28285367646263,5.41930858688772,-12.0497960375188,5.42031983010505e-07,0.000275742310007344,6.76607506750594
"FUN_007559","FUN_007559",-5.14208600182829,-3.18902600048978,-12.019628795525,5.5412812420468e-07,0.000275742310007344,2.49563580130737
"FUN_005881","FUN_005881",2.19504304116752,5.5152791285703,12.0130906895223,5.5678871027996e-07,0.000275742310007344,6.76637716494314
"FUN_010835","FUN_010835",1.91306331955093,3.5602901200097,11.98850414187,5.66920478109264e-07,0.000275742310007344,6.83067909606523
"FUN_012956","FUN_012956",-2.57485136468618,2.62933229163069,-11.9504907650645,5.8298713451213e-07,0.000275742310007344,6.79806066342841
"FUN_010397","FUN_010397",-0.562107362704004,8.15659658195413,-11.9160074771256,5.97996214799465e-07,0.000275742310007344,6.67534581957217
"FUN_002954","FUN_002954",-0.926163531705262,5.32460622006074,-11.9047610792456,6.02982889981433e-07,0.000275742310007344,6.64151108288661
"FUN_001857","FUN_001857",-1.39622861932499,7.66504860194852,-11.9025490949103,6.03969066234347e-07,0.000275742310007344,6.65592989231657
"FUN_014515","FUN_014515",-0.765914330030947,3.80098155604218,-11.8426701510393,6.31351540836084e-07,0.000275742310007344,6.68541236686361
"FUN_016443","FUN_016443",-2.74412708112671,3.78523076076014,-11.8373452067808,6.33852022278088e-07,0.000275742310007344,6.70314134401506
"FUN_012169","FUN_012169",-1.73006227989064,4.8642708950624,-11.7425502268316,6.80240731330339e-07,0.000288334859733893,6.5421499306274
"FUN_002347","FUN_002347",-1.30424735269453,4.15641941839851,-11.6570413876069,7.25305689636506e-07,0.000297314534746216,6.517631917882
"FUN_000128","FUN_000128",-0.691066080405963,6.65196518250666,-11.6232500046956,7.44012098713669e-07,0.000297314534746216,6.41799306248773
"FUN_006418","FUN_006418",-1.42494775735902,2.90902618798695,-11.6019085070155,7.56099705523046e-07,0.000297314534746216,6.5484286254628
"FUN_011892","FUN_011892",-1.71078384507443,4.92041282234024,-11.5101985918804,8.10561040588489e-07,0.000297314534746216,6.35508581135849
"FUN_005315","FUN_005315",-2.58087161885743,2.69695889615812,-11.4884634908111,8.24092062138857e-07,0.000297314534746216,6.46393855411621
"FUN_006034","FUN_006034",1.4783113772234,7.55943617519169,11.4867862504906,8.25146500689424e-07,0.000297314534746216,6.32853895916973
"FUN_009385","FUN_009385",-1.30893655930984,6.50634614983796,-11.4679382884508,8.37098379558292e-07,0.000297314534746216,6.29307230971384
"FUN_000405","FUN_000405",-0.903387264977742,6.07799114554692,-11.4551629119239,8.45307793422792e-07,0.000297314534746216,6.27889851104124
"FUN_005924","FUN_005924",-4.32694192963369,3.53191569555519,-11.3734923279116,8.99929750959372e-07,0.000305568662802813,6.3780445131176
"FUN_009386","FUN_009386",-1.74689621581758,11.0160254855165,-11.3486690191454,9.17292793324648e-07,0.000305568662802813,6.27967687705404
"FUN_012575","FUN_012575",5.4213849155463,4.51284600475001,11.3076638415286,9.46787502703093e-07,0.000305568662802813,6.32629274455989
"FUN_001563","FUN_001563",-1.64359193903969,6.42049135383191,-11.2945609368759,9.56431116682628e-07,0.000305568662802813,6.15300650701466
"FUN_002059","FUN_002059",3.50167995320471,3.47619971585804,11.2771836552469,9.69387734497852e-07,0.000305568662802813,6.3016435948181
"FUN_015188","FUN_015188",0.898827317724564,4.93826967959952,11.2627928515532,9.80263863149053e-07,0.000305568662802813,6.16800053819927
"FUN_015087","FUN_015087",0.992163699533168,4.07615972680568,11.2013653200062,1.02822264061633e-06,0.000305568662802813,6.1820695722539
"FUN_012622","FUN_012622",6.26474383857684,6.6766099632283,11.1949961032795,1.03334120508795e-06,0.000305568662802813,6.19298128661502
"FUN_014838","FUN_014838",-2.69559600010368,4.55817842550428,-11.1927700979389,1.03513671991758e-06,0.000305568662802813,6.14829987323226
"FUN_006584","FUN_006584",3.38462103075254,3.44888643618182,11.1549826155391,1.06614604822517e-06,0.000309201058301936,6.20996361887845
"FUN_013013","FUN_013013",-2.28353200097949,5.13064585226694,-11.068189639498,1.14131214120331e-06,0.00032529363803848,5.99707114712123
"FUN_003247","FUN_003247",-0.538620363621808,5.13020173106864,-11.0206400558191,1.18494987660872e-06,0.0003255958527911,5.93655882806619
"FUN_002259","FUN_002259",-2.36056294909765,3.81499780431253,-11.0110073820785,1.19401179049915e-06,0.0003255958527911,6.04677919438432
"FUN_016545","FUN_016545",-4.25670676027485,-3.62079094734417,-11.0031493174058,1.20146071140627e-06,0.0003255958527911,2.09855930532963
"FUN_010950","FUN_010950",-2.0247642762458,7.42856413978774,-10.952645166069,1.25057263546217e-06,0.000328559416890146,5.88701909012307
"FUN_008302","FUN_008302",-1.51468229815722,6.61617098382841,-10.9510623685351,1.25214707301913e-06,0.000328559416890146,5.8705296430649
"FUN_003016","FUN_003016",2.72270889703564,6.90885474786283,10.9112614861041,1.29246327065001e-06,0.000332242592209034,5.86027455850058
"FUN_010594","FUN_010594",-1.85981062092593,6.3226704758419,-10.8969259800941,1.30733235399123e-06,0.000332242592209034,5.8236164902266
"FUN_015615","FUN_015615",1.29750973040844,4.22018110171074,10.8617854026884,1.34458292344682e-06,0.000332242592209034,5.90177852899195
"FUN_013055","FUN_013055",0.620902353027182,6.06672510029198,10.8599351638982,1.34657635218712e-06,0.000332242592209034,5.79320359963577
"FUN_008006","FUN_008006",1.72530140422627,3.88320877172239,10.8223956574762,1.3877311406382e-06,0.000337361521851325,5.90510973459758
"FUN_001173","FUN_001173",0.491376063280534,4.98718254585488,10.7924810322544,1.42151756751223e-06,0.000337374138011709,5.76439283033671
"FUN_007611","FUN_007611",-1.44847098433789,5.26900678666482,-10.7862646257221,1.42865147364746e-06,0.000337374138011709,5.73869243720513
"FUN_007976","FUN_007976",0.647272935740926,3.68303318471156,10.7524492168446,1.46815385969908e-06,0.000337374138011709,5.83784735912748
"FUN_008979","FUN_008979",1.05062806150739,6.06415256481077,10.733713530761,1.49055640084376e-06,0.000337374138011709,5.69111989756957
"FUN_012590","FUN_012590",-5.58915917088822,-2.94422404186256,-10.7278498408054,1.49764472354169e-06,0.000337374138011709,2.32550418733202
"FUN_004493","FUN_004493",0.563571724253695,4.65805702032411,10.7175100295855,1.510234481451e-06,0.000337374138011709,5.72468698832732
"FUN_006361","FUN_006361",-0.935980603304126,4.51425822508449,-10.6557556913459,1.58789250122767e-06,0.000349992679170594,5.6661321091367
"FUN_003017","FUN_003017",2.42244894016555,6.20069956125849,10.6269352749365,1.62562906785485e-06,0.000353595712114586,5.62402032955485
"FUN_004647","FUN_004647",-0.654534764970257,5.52973829410354,-10.5627446781926,1.7132717032296e-06,0.000361942246382605,5.53547359106625
"FUN_002535","FUN_002535",-0.566047108603678,8.99318387332728,-10.561096937293,1.71558878342416e-06,0.000361942246382605,5.58671924990544
"FUN_001270","FUN_001270",-1.03430698894503,6.59058388887833,-10.5409917595498,1.74414018515446e-06,0.000361942246382605,5.51827761352452
