"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",9.16483544457376,4.2177484337295,1.72078741371352e-08,0.00017809266463603
"FUN_013025",-1.7751607674454,8.61074518761151,3.00103041334177e-08,0.00017809266463603
"FUN_002486",7.69227507540381,-0.18086300578642,3.94083103722094e-08,0.00017809266463603
"FUN_014060",2.41020409392142,4.45174098021057,4.92354590027312e-08,0.00017809266463603
"FUN_002096",-1.90392296699989,7.21832799942658,5.38662708354091e-08,0.00017809266463603
"FUN_001047",-1.12843560115836,9.82673741400286,7.44348184600796e-08,0.00019714080681599
"FUN_002485",9.02803148008082,0.149485398831585,8.3478655115355e-08,0.00019714080681599
"FUN_002782",-2.31939474677972,7.34122956772712,1.00839450002733e-07,0.000208372118499397
"FUN_007339",-1.53497052515242,6.88092914932842,1.18722701338107e-07,0.000218067219535582
"FUN_008692",-0.675612309791383,5.02472907577465,1.3977985538178e-07,0.000218177745126677
"FUN_014661",-0.897724891946612,6.61683361071919,1.45179069408593e-07,0.000218177745126677
"FUN_010292",-4.2302276602816,2.26145506358294,1.72688904237627e-07,0.000220894118108555
"FUN_001857",-1.35139665286024,7.39474949557631,1.73711423108779e-07,0.000220894118108555
"FUN_012169",-1.7520973593501,5.15950568020947,2.14579042326307e-07,0.000230774353031655
"FUN_005315",-2.56162905935665,1.97912780974119,2.20453479357376e-07,0.000230774353031655
"FUN_000038",-1.24253491655376,6.0848404042331,2.23361541861139e-07,0.000230774353031655
"FUN_012645",-2.31383097904755,5.59765749639016,2.44073270175588e-07,0.000237339719368979
"FUN_009171",-0.692905159461481,7.99774420895198,2.65920431392038e-07,0.000238273515064264
"FUN_005881",2.45845635059237,5.13829040548281,2.87884909280582e-07,0.000238273515064264
"FUN_002059",3.60599779694164,3.58037909305718,2.8827477474353e-07,0.000238273515064264
"FUN_004521",-1.01485811266457,7.73333268191598,3.28559509461594e-07,0.000238761118414826
"FUN_005924",-4.18493469174567,3.08926740694859,3.66873855358889e-07,0.000238761118414826
"FUN_000190",6.03651679866649,6.01954856227344,3.98190309962313e-07,0.000238761118414826
"FUN_005595",-1.34707785973704,6.30620315591859,4.07878183926573e-07,0.000238761118414826
"FUN_012622",6.38996852457268,6.134307404309,4.10766761919898e-07,0.000238761118414826
"FUN_009386",-1.75330932892954,11.0486896513377,4.40846659103295e-07,0.000238761118414826
"FUN_002437",-1.97961344782256,4.61763544321449,4.6392797271437e-07,0.000238761118414826
"FUN_005765",-1.37803053608558,3.63496083536301,5.07364489918521e-07,0.000238761118414826
"FUN_002467",10.9410932462715,1.79461571517159,5.1171793628238e-07,0.000238761118414826
"FUN_007611",-1.48024713737641,5.11372708721258,5.24711397703801e-07,0.000238761118414826
"FUN_006102",-4.44895638110087,-3.18998318907478,5.3326503436083e-07,0.000238761118414826
"FUN_013042",-2.02401654178136,4.76853802850623,5.36650641051036e-07,0.000238761118414826
"FUN_002535",-0.58584432103409,9.01041992204995,5.473512829176e-07,0.000238761118414826
"FUN_003726",-2.74188589643425,3.69750204200806,5.65859179109289e-07,0.000238761118414826
"FUN_011641",-0.927848377492423,7.40584432643787,5.68886949807322e-07,0.000238761118414826
"FUN_005726",1.50603908384018,3.13012002120681,6.11724512839901e-07,0.000238761118414826
"FUN_006034",1.47708665013834,7.59115764497904,6.16936153160728e-07,0.000238761118414826
"FUN_008871",-3.66740247532323,5.25354991774972,6.19600021630589e-07,0.000238761118414826
"FUN_015181",3.94489388022897,4.35868159698945,6.24031468796911e-07,0.000238761118414826
"FUN_008302",-1.53771202363875,6.71810560201695,6.35311052153395e-07,0.000238761118414826
"FUN_004026",-6.24040576569796,-2.60564328281824,6.50872116484599e-07,0.000238761118414826
"FUN_006020",-2.35272956223407,4.75790047528331,6.66397224705931e-07,0.000238761118414826
"FUN_010594",-1.88330154427054,6.30460947875042,6.67069926643996e-07,0.000238761118414826
"FUN_009385",-1.33316249516941,6.54924077732431,6.83831063464373e-07,0.000238761118414826
"FUN_012929",-0.913154115334147,7.36132094762448,7.0201330418072e-07,0.000238761118414826
"FUN_006584",3.63725206398671,3.38002206329354,7.14048578306838e-07,0.000238761118414826
"FUN_013013",-2.38623176059036,4.94874655802333,7.24743678480656e-07,0.000238761118414826
"FUN_012956",-2.67993177134112,2.48118934477285,7.3459176651919e-07,0.000238761118414826
"FUN_003927",-4.97617323048065,-2.92837879254128,7.36521421733809e-07,0.000238761118414826
"FUN_015188",0.903878831393881,5.11571131239671,7.44225369540002e-07,0.000238761118414826
"FUN_014838",-2.71538945447706,4.63837757302401,7.61432409476677e-07,0.000238761118414826
"FUN_001495",-1.0602058242092,4.55652179668143,7.79539201216858e-07,0.000238761118414826
"FUN_000344",-2.06299744760106,4.0525090494933,7.86591165040426e-07,0.000238761118414826
"FUN_006745",-2.49092600310995,2.63640164329308,7.86876254643645e-07,0.000238761118414826
"FUN_013170",-2.93920120884829,2.36456272713337,7.94377927095482e-07,0.000238761118414826
"FUN_007375",-4.1215463704553,5.49343145835543,8.21211031211607e-07,0.000242418563517126
"FUN_002347",-1.29589885803235,4.41091883680457,8.49350716889992e-07,0.000243018222000424
"FUN_010950",-2.03729901146926,7.44452718216825,8.52643934185747e-07,0.000243018222000424
"FUN_010077",1.18599308686997,5.41508060344579,8.79492327822051e-07,0.000243491252369988
"FUN_000405",-0.9080258496844,6.30885313885054,8.89436984218521e-07,0.000243491252369988
"FUN_010397",-0.588240213741686,8.11235612186845,8.98491706162319e-07,0.000243491252369988
"FUN_004647",-0.668895925459708,5.80590372367768,9.14752104442577e-07,0.000243899468363552
"FUN_016260",4.17057178775639,-2.51531810325528,9.91241737648547e-07,0.00025548023796488
"FUN_008006",1.86061704996775,3.63341031751048,9.97421405135762e-07,0.00025548023796488
"FUN_004040",1.62121172266784,3.38122398889952,1.00454996477631e-06,0.00025548023796488
"FUN_001563",-1.64278510999651,6.43335406460987,1.04223936813116e-06,0.0002610493787057
"FUN_002868",-2.87885502447845,6.46584278227273,1.14347050764788e-06,0.000274023880168017
"FUN_001270",-1.07891563822534,6.712146804997,1.14600354439134e-06,0.000274023880168017
"FUN_006580",-3.41282019712822,3.90842419171754,1.15154367001866e-06,0.000274023880168017
"FUN_008447",0.931394480418716,7.82416235125695,1.17479723963785e-06,0.000274023880168017
"FUN_002954",-0.952534328581736,5.27109632118884,1.19246977172738e-06,0.000274023880168017
"FUN_006361",-0.902957043632665,4.55314623918041,1.2065401239223e-06,0.000274023880168017
"FUN_007232",-2.59625523228692,7.28778059022597,1.22230642793771e-06,0.000274023880168017
"FUN_015137",-1.669398928736,4.04988812991304,1.24119194261416e-06,0.000274023880168017
"FUN_009349",-1.97377933445806,6.87735901514682,1.28660608580475e-06,0.000274023880168017
"FUN_008903",6.10191886563394,-1.70607357050436,1.2974857325053e-06,0.000274023880168017
"FUN_010911",-0.713489316948516,6.22726868261015,1.30542247144074e-06,0.000274023880168017
"FUN_008547",1.75160567514857,2.62018149502271,1.32156096640887e-06,0.000274023880168017
"FUN_013729",3.74420530522547,-2.86299732858,1.32418944408443e-06,0.000274023880168017
"FUN_002259",-2.40636604779462,3.62629941023873,1.33552635769066e-06,0.000274023880168017
"FUN_002163",-0.878857474009667,3.36028451893398,1.34268551773089e-06,0.000274023880168017
"FUN_010835",1.80508077894421,3.63324885045121,1.42163402484284e-06,0.000283453996898267
"FUN_000775",1.22174451653943,3.41942498055507,1.43983079076906e-06,0.000283453996898267
"FUN_014715",-4.51032233773216,5.69196316634364,1.44033245051445e-06,0.000283453996898267
"FUN_003016",2.71174948411198,6.502159139014,1.51287340619048e-06,0.000294227179738057
"FUN_006187",4.74560205117536,7.41075754351014,1.55131329173267e-06,0.000295005657850264
"FUN_015615",1.39910430043246,3.8991575243139,1.55256743288204e-06,0.000295005657850264
"FUN_008868",3.31073207680536,5.61354864186634,1.62741114590168e-06,0.000302471449411033
