"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.882693339158,2.47597137658219,1.3012917585058e-25,1.79263783832161e-22
"FUN_000887",-10.6676016849258,3.84131437047109,1.56223094196674e-47,7.53091415359731e-44
"FUN_002487",-10.0969195952369,1.71595466976685,2.44187595513261e-16,8.97036698095494e-14
"FUN_002467",-9.46786675666625,6.34710509509523,8.82813633727518e-24,9.72919478609973e-21
"FUN_012054",-9.24133897337256,7.2635932030355,3.60893876811116e-30,6.62881853062728e-27
"FUN_008877",-8.98509737433823,7.87462190206687,7.68626350323431e-48,6.35308109859832e-44
"FUN_002485",-8.68702631043773,3.7260469799928,6.26310978279734e-57,1.03535467819423e-52
"FUN_013141",-8.68650095447621,0.397250953637496,7.67801714421822e-07,2.38887733084877e-05
"FUN_002466",-8.4494864406466,7.55916947471022,3.9978820184604e-20,2.44774028322847e-17
"FUN_002470",-8.35530197348112,7.14791759578719,4.13512300330497e-16,1.42411913265905e-13
"FUN_012053",-7.78786373147601,7.30064437565302,6.93447725246203e-13,1.20667203642579e-10
"FUN_002484",-7.70284288127829,-0.454062714253175,6.43926007613741e-08,2.80863874191629e-06
"FUN_002486",-7.67685810739592,2.73981966858643,1.82225253247772e-47,7.53091415359731e-44
"FUN_006209",-7.44248373026839,3.91904077267299,2.17871002156459e-30,4.50203192081052e-27
"FUN_011854",-7.39454871161552,1.38604330244727,1.86666620684126e-26,3.08578590652929e-23
"FUN_008903",-7.30754865482229,0.599429238835407,1.57191362899717e-20,1.12979583482401e-17
"FUN_010492",-7.04874546837941,2.36106804159831,9.82143764854892e-26,1.47598350698329e-22
"FUN_014624",-7.02127243335905,1.01985462657896,4.2798049457137e-21,3.21588434352696e-18
"FUN_007421",-7.00205520266423,2.43451453326878,0.000274895913949146,0.003598024032853
"FUN_005334",-6.74150641273709,4.18156168643354,2.58185925379632e-37,8.53614306490141e-34
"FUN_002492",-6.66750941985908,-1.32834789388445,4.74810116059576e-05,0.000799295929590718
"FUN_012690",-6.65050093477688,2.18298362070017,2.58702932375672e-31,6.10945453586034e-28
"FUN_008732",-6.6097056071456,1.35682201490213,2.55512724855001e-07,9.28325462544619e-06
"FUN_005514",-6.54826719906498,3.96936379723441,7.01718642347823e-24,8.87512657662224e-21
"FUN_006426",-6.35242670911777,-1.53191269873496,3.48599473228883e-05,0.000624344300319249
"FUN_012623",-6.16363534658001,2.93721744772122,2.28186188105839e-12,3.33818219077666e-10
"FUN_002465",-6.13333592354042,5.23603604439585,2.19724712694441e-08,1.08750575615324e-06
"FUN_003235",-6.11236216246379,3.26808359007821,6.53887895325535e-13,1.17493704322026e-10
"FUN_003330",-6.04379227878266,0.943237510628949,8.29438435521523e-16,2.68851897600123e-13
"FUN_014788",-6.03578781637693,4.78954682004921,2.18661000326159e-05,0.000418851100393016
