"","GeneID","meanExpr","logFC","pval","adj.pval"
"8819","FUN_008877",5838.85315896791,"-8.96165096691313",2.51755269856929e-163,3.84984158665216e-159
"5683","FUN_005722",884.022687417649,"-5.52851916753747",2.54713468594721e-52,1.94753918087524e-48
"5299","FUN_005334",610.815573455663,"-7.40176244783746",6.5551119307208e-50,3.34135905481942e-46
"12954","FUN_013025",9511.64964810032,"1.80197440396115",2.16591706574395e-42,8.28030094233912e-39
"2767","FUN_002784",322.471164548273,"-3.55588840234796",2.2391818359516e-40,6.84831372707439e-37
"2536","FUN_002553",257.386923077507,"3.46529500345994",1.1976421162435e-34,3.05239054026593e-31
"876","FUN_000887",542.025058778593,"-10.098269573075",1.19263105452587e-33,2.41128615184862e-30
"3704","FUN_003726",413.343400488047,"2.74137507008616",1.26146280504767e-33,2.41128615184862e-30
"13988","FUN_014060",924.627344208154,"-2.47134002071191",1.59086111709949e-32,2.70304980029838e-29
"12551","FUN_012622",10820.2918588395,"-5.91307573105445",1.91587377956089e-32,2.92975418370451e-29
"2080","FUN_002096",4043.74392015906,"1.86111660786405",4.65058257348427e-32,6.46515533761104e-29
"2765","FUN_002782",4906.82951641238,"2.31005389151472",5.75880902119597e-32,7.33864229601074e-29
"189","FUN_000190",10590.4746136617,"-5.55266590776792",8.75092142263816e-32,1.02937761842294e-28
"15104","FUN_015181",1053.71459391111,"-3.73916527282331",9.45060543635286e-32,1.03227613094791e-28
"7294","FUN_007339",3199.32941472821,"1.52129262646769",1.34556505657205e-31,1.37175872300665e-28
"8996","FUN_009056",97.9711871262759,"4.36609950746942",6.71963410813894e-31,6.42229029885379e-28
"10229","FUN_010292",285.021899088271,"4.0687279292772",7.39047787464699e-31,6.64795221524128e-28
"1036","FUN_001047",21337.1869512152,"1.13511060378933",8.69108546949401e-31,7.3835599444168e-28
"5841","FUN_005881",1359.22257875836,"-2.19334985226663",1.23298062057874e-30,9.92354718415265e-28
"341","FUN_000344",533.291842266128,"1.96763289514906",1.46676988270321e-30,1.12149225231487e-27
"11786","FUN_011854",145.313473870806,"-6.63000767437473",2.12354262794287e-30,1.54634351745249e-27
"5725","FUN_005765",446.669766715281,"1.38175404679726",3.46878401120657e-30,2.41112023178959e-27
"13099","FUN_013170",218.015052003037,"3.02991350267076",9.36259400108235e-30,6.22490380280658e-27
"6166","FUN_006209",281.796567567146,"-7.3093704816952",1.96605014013153e-29,1.25270161428714e-26
"12574","FUN_012645",1343.48621360462,"2.32471044704691",2.97813684503591e-29,1.82166674537156e-26
"6541","FUN_006584",437.197725323963,"-3.38592580746434",5.1060757090873e-28,3.00315806705242e-25
"5476","FUN_005514",472.390931176418,"-6.85618637520557",6.55775543538069e-28,3.71411837473487e-25
"14586","FUN_014661",2042.9814042507,"0.903734630285738",3.56520130340925e-27,1.94710922613336e-24
"11985","FUN_012054",3869.9305219728,"-9.49127299746275",4.84012724670465e-27,2.55224916746922e-24
"38","FUN_000038",1468.25517388172,"1.27304819643792",5.69982847517411e-27,2.90539256807875e-24
"12099","FUN_012169",848.013352498962,"1.73886469566673",6.50208549764011e-27,3.20741585257782e-24
"10035","FUN_010098",83.5757721907775,"2.35098557772817",1.58341876694985e-25,7.56676243256158e-23
"6702","FUN_006745",225.636092349918,"2.50137591148354",2.24919391610948e-25,1.04226282924686e-22
"1843","FUN_001857",5250.83102164843,"1.41200100113973",4.57596461461103e-25,2.05810737901858e-22
"2243","FUN_002259",443.168116392817,"2.39785217146925",4.8516526437738e-25,2.11975634938825e-22
"2999","FUN_003017",2528.80332236005,"-2.48157761559771",5.95039697244133e-25,2.52759640284925e-22
"2936","FUN_002954",942.931785622015,"0.970701226778454",1.58814875538413e-24,6.56377588306327e-22
"1482","FUN_001495",595.158242241487,"1.02535468167455",2.60159475432813e-24,1.02009197392784e-21
"5556","FUN_005595",1769.08842329421,"1.34504141326282",2.59544134011895e-24,1.02009197392784e-21
