"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.4385108315474,2.72173907474622,2.47535662627301e-24,2.72800802592794e-21
"FUN_002487",-9.64772785931794,1.96671915020003,2.97747175234394e-15,7.03151221971395e-13
"FUN_002467",-9.11537082614577,6.81658307548657,3.81996772535807e-33,9.02112663827062e-30
"FUN_000887",-9.08740981792914,4.52122224574243,8.41681767205457e-50,1.39138412936734e-45
"FUN_012054",-8.92597986890909,7.35341603051614,2.62359489504596e-34,7.22844120166747e-31
"FUN_008877",-8.77540646834885,7.94737308987638,4.04972841731571e-49,3.3473030233323e-45
"FUN_010698",-8.32449128175728,0.744345300969947,3.00998697350055e-20,1.5549404580918e-17
"FUN_002466",-8.22870986295094,7.45599173793233,1.48654379562375e-22,1.2933713413398e-19
"FUN_002486",-8.1462991865884,6.06021217998389,3.79329981354346e-32,6.2707039217687e-29
"FUN_002485",-8.14629409891293,6.06021217998389,3.75310185748003e-32,6.2707039217687e-29
"FUN_002470",-8.14554674822707,6.93267071355091,1.07838814902114e-19,5.09338128327669e-17
"FUN_012053",-7.60422368079431,7.32635230696218,9.42865205180286e-17,2.94084994468591e-14
"FUN_009753",-7.3539546778671,-0.0786718847421801,4.05043381834666e-06,8.21312549610416e-05
"FUN_002492",-7.19331246675578,-0.224890465862637,4.72506968536853e-06,9.36572265813275e-05
"FUN_005334",-7.1080790473844,4.80944852642049,1.56511175071337e-48,8.6242874503476e-45
"FUN_008732",-6.89326920204466,1.52355032248725,6.5323103282418e-09,3.10303511598176e-07
"FUN_006209",-6.82975583368125,3.65270394057524,4.03871452490893e-31,6.06945361920632e-28
"FUN_005514",-6.69822573898179,4.35494851569655,1.8757444604833e-34,6.20158633524989e-31
"FUN_012690",-6.49628290408953,-0.752048335019553,8.14748131314446e-09,3.69002776952304e-07
"FUN_013141",-6.31128718962093,1.07761790413887,1.57067279126224e-06,3.60622109893835e-05
"FUN_004067",-6.18551694034036,-1.00907033692359,8.64972500617435e-05,0.00117965309301712
"FUN_004069",-6.1344944043395,5.76183565508145,4.11694724257164e-08,1.47629620101848e-06
"FUN_012623",-6.00469147184003,4.73551878124064,1.90728832880092e-14,3.54262734420314e-12
"FUN_002484",-5.95593858464872,-1.11350691120052,6.27066170355066e-06,0.00011887650071261
"FUN_011854",-5.90428204707779,2.7258507822963,5.72976028689014e-29,7.89322227521507e-26
"FUN_012622",-5.90410561596485,8.90646721073152,2.94690436432704e-22,2.21433072939502e-19
"FUN_002465",-5.76725611492634,5.37184217218979,6.61356502409665e-09,3.13263161642813e-07
"FUN_006426",-5.71646862691459,-1.2832661776007,9.80155899545276e-06,0.000175546664955395
"FUN_007421",-5.69810807195324,2.93163640896775,0.000307939687697668,0.00361031984207812
