"","logFC","meanExpr","pval","adj.pval"
"FUN_008473",5.3600597677152,-1.51075080733436,3.79872057621524e-09,5.74683182000651e-05
"FUN_008877",9.19698700759931,3.86213620338395,6.95279392657009e-09,5.74683182000651e-05
"FUN_013025",-1.75707252212967,8.45653307239541,3.04564763991339e-08,0.000167825337118027
"FUN_005765",-1.29307071012223,4.22822806015663,4.71903799473738e-08,0.000195026042727509
"FUN_010292",-4.21864739269954,2.53535170556187,7.65663563717106e-08,0.000208797686867849
"FUN_007339",-1.48515827244992,6.8444544125771,9.1634991851156e-08,0.000208797686867849
"FUN_001047",-1.10758677307518,9.77724681419706,1.03316503530888e-07,0.000208797686867849
"FUN_015995",-2.52983790184159,2.81834998887023,1.03337747850292e-07,0.000208797686867849
"FUN_014060",2.4203878470388,4.80841156069448,1.30328259064488e-07,0.000208797686867849
"FUN_002096",-1.82999561631836,7.17944212008979,1.36619885758611e-07,0.000208797686867849
"FUN_002467",9.7149760780758,2.27980964904892,1.58466877589518e-07,0.000208797686867849
"FUN_002782",-2.30965629908905,7.33267329105367,1.70599808384719e-07,0.000208797686867849
"FUN_012956",-2.5995531957438,2.51873605961931,2.10101444956693e-07,0.000208797686867849
"FUN_005881",2.26909188976719,5.43995158391559,2.11255703487271e-07,0.000208797686867849
"FUN_015181",3.7689864306029,4.60961552571866,2.15998325135086e-07,0.000208797686867849
"FUN_002485",8.97604009529921,2.33178303503375,2.40467007930056e-07,0.000208797686867849
"FUN_002486",8.97604009529921,2.33178303503375,2.40467007930056e-07,0.000208797686867849
"FUN_004521",-0.982091502959414,7.33867379828104,2.41479346526088e-07,0.000208797686867849
"FUN_003726",-2.7222865581202,3.46653739402183,2.52160860438286e-07,0.000208797686867849
"FUN_001926",1.05702993834113,6.58272138502298,2.83322968806025e-07,0.000208797686867849
"FUN_001857",-1.39083376457195,7.63900236294438,2.99718182817902e-07,0.000208797686867849
"FUN_014661",-0.864084067980036,6.50879003774289,3.01386192189771e-07,0.000208797686867849
"FUN_010835",1.930462661924,3.59734741756453,3.1992747803728e-07,0.000208797686867849
"FUN_005924",-4.45074409154201,3.59192742314499,3.22346314301289e-07,0.000208797686867849
"FUN_002059",3.47712742471355,3.432705857752,3.22855954343448e-07,0.000208797686867849
"FUN_000190",5.73292110242245,6.85689960566926,3.32776877036734e-07,0.000208797686867849
"FUN_002437",-1.94536820404585,4.89254349536101,3.41028222456713e-07,0.000208797686867849
"FUN_006034",1.48649178729484,7.62536420615229,3.656648234575e-07,0.000215885899877712
"FUN_012169",-1.73109452654103,4.76839611208183,3.81568973709968e-07,0.000217507472565499
"FUN_014838",-2.69550673277114,4.4888522164687,4.03289055464787e-07,0.000218870680946452
"FUN_007611",-1.48249323943718,5.04703739874742,4.10440451838365e-07,0.000218870680946452
"FUN_011641",-0.922342310548338,7.1275696040044,4.30800578561139e-07,0.000222548886381068
"FUN_010077",1.14828826649876,5.38252453605135,4.46142164855041e-07,0.000223490185673293
"FUN_012645",-2.29989879024365,5.4801352179268,4.62043908023204e-07,0.000224648465986223
"FUN_000473",-1.46552408484566,3.79978561019237,4.94267672597193e-07,0.000228840707849638
"FUN_012575",5.59098600978979,4.91761495581403,4.98352518455445e-07,0.000228840707849638
"FUN_001563",-1.59253976088095,6.37297752332824,5.56870824217938e-07,0.000245216017397121
"FUN_006102",-4.13615272160219,-2.14026306457345,5.67569131650368e-07,0.000245216017397121
"FUN_004026",-4.99573617915556,-2.33884884441464,5.85406213527919e-07,0.000245216017397121
"FUN_009385",-1.30013175557763,6.5428465089883,5.9459130461868e-07,0.000245216017397121
"FUN_008302",-1.50543484258263,6.61535324336939,6.22397861742715e-07,0.000245216017397121
"FUN_009386",-1.74060865786866,11.0847939674155,6.51847549288424e-07,0.000245216017397121
"FUN_012622",6.23032877940934,6.64533140727756,6.72777450486246e-07,0.000245216017397121
"FUN_003016",2.73705669971997,6.83226261587537,6.80564502538726e-07,0.000245216017397121
"FUN_008006",1.70845818211922,3.88124881441556,6.80820197360682e-07,0.000245216017397121
"FUN_008871",-3.68988205883441,4.6503645736351,6.82350541423239e-07,0.000245216017397121
"FUN_005595",-1.32566516390264,6.00075679507831,7.51414286513124e-07,0.000264289990858478
"FUN_014848",-3.34765917550881,4.01222340713201,8.19912089937085e-07,0.000278118134948327
"FUN_006584",3.27661631294962,3.59508885399743,8.68196766137369e-07,0.000278118134948327
"FUN_003017",2.4723082669074,6.09075049040981,8.70359307262967e-07,0.000278118134948327
"FUN_006745",-2.45391616775477,2.83175142377939,8.86514386955832e-07,0.000278118134948327
"FUN_002954",-0.935502684000955,5.41768983920779,9.11543832403686e-07,0.000278118134948327
"FUN_010950",-2.02972958996572,7.4449050059952,9.12854615708603e-07,0.000278118134948327
"FUN_000038",-1.26442981527952,5.85199739539771,9.24867152311889e-07,0.000278118134948327
"FUN_016443",-2.58462009454492,3.55343735086372,9.34391114930317e-07,0.000278118134948327
"FUN_003255",-1.35952584459701,2.79511612866357,9.60549273343958e-07,0.000278118134948327
"FUN_010594",-1.87395519468362,6.35885414227357,1.01467704450201e-06,0.000278118134948327
"FUN_011892",-1.73394750301992,4.90647794880021,1.02334892310239e-06,0.000278118134948327
"FUN_008979",1.067499836527,6.08567925032925,1.03121122473207e-06,0.000278118134948327
"FUN_000405",-0.89514803232717,6.11827763624532,1.04592168585449e-06,0.000278118134948327
"FUN_009171",-0.652505014839294,7.57045240635488,1.06846268725324e-06,0.000278118134948327
"FUN_013013",-2.39455142647655,4.82421385045083,1.07452687464482e-06,0.000278118134948327
"FUN_000540",-2.62690946970556,3.95604064246903,1.07619156695502e-06,0.000278118134948327
"FUN_015615",1.33292510285765,4.1056923560685,1.0767382878648e-06,0.000278118134948327
"FUN_000344",-1.94757818094347,3.92200468560416,1.0949237632775e-06,0.000278464380472929
"FUN_007375",-4.09038419151971,5.47851728444068,1.18032472443215e-06,0.000295635576054362
"FUN_002466",9.33061323351116,3.76707719438854,1.20917600513587e-06,0.000298341620013448
"FUN_008000",-0.9902064427029,5.60999078481053,1.26052374250953e-06,0.000306437029226838
"FUN_014715",-4.38280769592544,5.67345756177053,1.38128503504545e-06,0.000330927868323716
"FUN_008692",-0.664615723703425,4.8908750920317,1.43899133045189e-06,0.000334813437853709
