"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.1571615509426,2.66064104747405,1.85570365761531e-22,1.46079224590661e-19
"FUN_008877",-9.01765326301089,7.50462597904594,2.11825842490471e-50,3.50169300220998e-46
"FUN_000887",-8.98678008272161,4.2871222794258,2.12787942895943e-49,1.75879874200641e-45
"FUN_012054",-8.84934425250849,7.06141161962342,4.03346349890042e-36,8.33464813754036e-33
"FUN_002467",-8.70650782291559,6.18332016253409,1.396911061185e-32,2.30923367524493e-29
"FUN_002487",-8.31212564131581,0.954884733720216,6.40132902073958e-11,5.03906524008791e-09
"FUN_002486",-8.15997285874712,5.87033521953639,3.20509663573173e-40,7.56906464075446e-37
"FUN_002485",-8.15996577130791,5.87033521953639,3.15288807951411e-40,7.56906464075446e-37
"FUN_002466",-8.14721818092957,7.50883798309209,4.28532047766805e-21,3.0800275137535e-18
"FUN_002470",-8.01209909219116,6.84454234304594,1.78331708717675e-18,6.85581738793463e-16
"FUN_008473",-7.73698364322435,0.445297070861311,8.69119243524517e-20,4.22570888667758e-17
"FUN_012053",-7.52186691427949,6.98942294639127,5.22749477967597e-16,1.32947255696652e-13
"FUN_005334",-7.10844554664243,4.47072830885721,9.34916328560234e-46,5.15170060914308e-42
"FUN_002492",-6.96238578175622,-0.192693951031114,6.6691188877593e-06,0.000130934922011341
"FUN_016231",-6.95674323681235,-0.154442653945374,0.000403512255348525,0.00474428242757217
"FUN_016540",-6.84618111288695,-0.323502063589919,0.00052535571856685,0.00597705119313737
"FUN_007421",-6.69825698654158,2.88625042473338,0.000206549342533973,0.00262247863397012
"FUN_008732",-6.60503257926165,1.47995495717103,8.18126448094833e-08,2.75447012494006e-06
"FUN_005514",-6.56050738529989,4.37463655559403,4.69364329088873e-35,8.62117969352018e-32
"FUN_006209",-6.45433442637432,3.25328900849705,1.59777133363255e-26,1.88662556544855e-23
"FUN_010492",-6.28221956248811,1.682522778994,1.46529284200433e-20,8.97139110043466e-18
"FUN_011854",-6.21358889641588,2.46101403527329,2.230301373218e-28,3.07242600005556e-25
"FUN_014624",-6.14455002511688,1.11870608461579,1.90919324229641e-17,6.44099458946978e-15
"FUN_013141",-6.10925629715937,1.12524538192042,2.88612178193042e-06,6.35292665473926e-05
"FUN_014788",-6.04437318978337,4.80918099898323,3.63334531526805e-05,0.000567701620101097
"FUN_004067",-5.95379525479373,-0.953760017444851,0.000364341030941172,0.00433615664685998
"FUN_012623",-5.92523143564118,4.22371119853033,5.89477414047101e-20,2.95292458533716e-17
"FUN_004069",-5.90542616959631,5.86093318568191,1.63551803768938e-07,5.05359788430714e-06
"FUN_012622",-5.83229245333434,8.81134496250297,1.24166023748393e-21,9.32994790265765e-19
"FUN_008903",-5.79141861895041,4.1068953532151,3.09857753610844e-40,7.56906464075446e-37
"FUN_002469",-5.72430347277508,7.25582945600368,5.19833326284686e-13,6.7664289108757e-11
"FUN_002465",-5.67067740996057,5.35935866970121,4.68349886101673e-09,2.4078023496829e-07
"FUN_002484",-5.60563947407458,-1.11636948197241,5.60865964100235e-05,0.000828567940352188
"FUN_003235",-5.53225560619788,3.28225125720913,1.91931037842849e-13,2.73518274705185e-11
"FUN_008657",-5.48585438489263,3.89148127936908,4.18163411034074e-08,1.55690525851448e-06
"FUN_000190",-5.46897398071678,8.8247903580205,9.09628811078976e-21,5.78348995228713e-18
"FUN_005722",-5.44041947742366,5.14739521462642,2.5117120586339e-40,7.56906464075446e-37
"FUN_002468",-5.42087773744694,5.04731668953158,2.99195170586791e-20,1.64866512165675e-17
"FUN_000231",-5.41494767664893,5.32383696859855,2.07117204911695e-11,1.89163232839516e-09
"FUN_002475",-5.36049058147158,8.04798547545686,7.3570346643547e-12,7.4158012217346e-10
"FUN_003330",-5.23766433211418,1.09486929165865,3.47166925072733e-16,9.72714650572432e-14
"FUN_004335",-5.2178180944901,5.30706327783529,8.452840692077e-19,3.54912698732112e-16
"FUN_010552",-5.20238741909509,4.23697323715925,2.77873271098888e-11,2.48298542947877e-09
"FUN_012690",-5.18403616357437,-1.37928304044137,6.62868730278863e-05,0.0009612178052842
"FUN_012575",-5.16949351927374,6.76376224465322,3.36276871265015e-20,1.79322353512321e-17
"FUN_000823",-5.12974868350284,6.45474408702903,2.78196433152272e-14,4.99876656134805e-12
"FUN_004474",-5.11277864085671,1.61828822020401,2.92002773107916e-05,0.00047047737253869
"FUN_007703",-5.10084116178223,4.82826358826637,6.29632414413399e-09,3.10519913782501e-07
"FUN_004907",-5.09154048265935,6.07414670403412,7.12064243168988e-05,0.00102179982672105
"FUN_010322",-5.07940671348166,7.07365943532378,3.39829985335322e-09,1.81217080244458e-07
"FUN_008133",-5.0054896386203,8.35603062908696,0.000169005601551747,0.00220856252905291
"FUN_003027",-5.00053933112208,1.36552196425923,4.61976940590684e-16,1.23176464595235e-13
"FUN_006426",-4.94694424969305,-1.52142315228213,0.000248071701969487,0.00310437040519121
"FUN_002488",-4.89059104911031,4.76661924527183,0.00114134822285821,0.011639498748963
"FUN_002474",-4.78066509874756,3.60274921515224,3.54287839758678e-06,7.57956284824254e-05
"FUN_000192",-4.73694644268986,9.25403634665292,8.87777155911257e-11,6.79437229831898e-09
"FUN_006082",-4.66215156988425,5.33103413140859,2.00311534477429e-05,0.000339974330230634
"FUN_000722",-4.65485816716037,0.201951563483895,0.00053211209050514,0.00604559791624775
"FUN_003972",-4.65485491070317,0.201951563483895,0.000531694391365454,0.00604500686634272
"FUN_007107",-4.63543819881223,-1.67943210298596,0.00100464761624644,0.0104715193847225
"FUN_013377",-4.63266862395246,3.71444073154837,4.3696958547334e-16,1.2039240362433e-13
"FUN_005461",-4.6318879144031,2.5175410485689,6.71386721158675e-09,3.23577081267465e-07
"FUN_010905",-4.58043334904503,1.99141129091314,2.11469470453178e-18,7.94500412741247e-16
"FUN_014388",-4.5567919832741,6.71585123667617,2.26393477753855e-05,0.000378413607760261
"FUN_000885",-4.54713745315544,4.14773700832903,7.50543518346415e-12,7.51953630411187e-10
"FUN_012685",-4.53286890743551,5.82632736417957,0.000148238380467117,0.00196671642656655
"FUN_004073",-4.4630440493341,1.04396895320957,2.24893490691077e-10,1.60246305802336e-08
"FUN_006187",-4.42908176759742,8.39044230219428,4.64238604469887e-17,1.44798648499843e-14
"FUN_008712",-4.37109304003907,2.68835307029876,2.81929991211411e-06,6.24743255323838e-05
"FUN_015180",-4.36822663255637,-1.79573321995093,0.000956856429005033,0.010062209686948
"FUN_015771",-4.36536577282595,2.06612021324778,1.42764741349946e-08,6.16199461946724e-07
"FUN_010041",-4.34233570602185,-1.80450426206417,0.00363701187528377,0.0307222500308206
"FUN_007961",-4.33540290581701,4.50895655150818,1.84491715813707e-07,5.61663453796757e-06
"FUN_015707",-4.3340632956157,-1.81570566129025,0.00215936683311205,0.0200317020865181
"FUN_014789",-4.31959950730877,5.47404141951772,0.000352892558132823,0.00422729483948818
"FUN_012689",-4.31869464189045,3.45608240871539,1.35600318273902e-17,4.67001846122058e-15
"FUN_009903",-4.30144626417253,4.85429116141068,5.18701655688359e-10,3.31067840547655e-08
"FUN_011056",-4.30017591903287,-1.8252268722036,0.00155866716641436,0.0151614368111025
"FUN_008904",-4.29312295733793,2.70133254721475,1.12154145121436e-15,2.72650025441537e-13
"FUN_000948",-4.28105834895755,-1.84971500991731,0.00460457511398475,0.0373861646411012
"FUN_003289",-4.26383214765298,3.72944505583126,1.59020302500132e-09,9.03355539735285e-08
"FUN_004068",-4.25689785377769,3.58725579057288,0.00015288164019987,0.00202344787361413
"FUN_004072",-4.25689781883112,3.58725579057288,0.00015287764300149,0.00202344787361413
"FUN_000946",-4.22972434251091,3.73939703254061,3.59794937239323e-07,1.0098081676576e-05
"FUN_007512",-4.20086736411664,1.3092650884634,5.29410551748877e-05,0.00078560914101981
"FUN_015643",-4.1718055341371,-1.87663931127066,0.00177365464960464,0.0169874188949098
"FUN_006044",-4.17133719777082,-1.87677886227236,0.00186141892217661,0.0177764969396312
"FUN_005294",-4.14716607200939,9.96465384093764,9.80700214024132e-12,9.48067557779703e-10
"FUN_001435",-4.1084371923273,-0.467430739055318,0.00145078746042627,0.0142647574102126
"FUN_006445",-4.10127723190299,5.40288319586823,0.000305109976116077,0.00371685557492621
"FUN_011224",-4.09839895911317,-1.90833280943416,0.00598726097581595,0.0464455237875239
"FUN_000945",-4.08071384595757,3.76767910905489,2.63375308635349e-08,1.04235601574588e-06
