"","logFC","meanExpr","pval","adj.pval"
"FUN_014726",5.07618264626665,-2.52559311930283,3.87214395605923e-09,6.40104117376151e-05
"FUN_006770",-1.43403016950289,3.10537679232626,1.5950159885684e-08,0.000131836046535121
"FUN_008877",8.99030482379071,4.2168973621961,4.03589755615254e-08,0.000167263904153732
"FUN_013025",-1.77252292067962,8.3977069486158,4.59502906782844e-08,0.000167263904153732
"FUN_005765",-1.31431851314938,4.195833143146,5.05909818382832e-08,0.000167263904153732
"FUN_015180",4.50456298942782,-2.7998899264026,7.04538134183445e-08,0.000194111998269776
"FUN_007339",-1.51156436398877,6.92773737123795,1.10969163785145e-07,0.000231979574057362
"FUN_001047",-1.10547516909328,9.71630575063007,1.12264024708662e-07,0.000231979574057362
"FUN_014661",-0.884984552321257,6.42216638858767,1.81691800881531e-07,0.000264230940415662
"FUN_002096",-1.83024777075135,7.11056558027365,1.85840412074498e-07,0.000264230940415662
"FUN_002782",-2.29910275584338,7.2806571325656,2.04585281387286e-07,0.000264230940415662
"FUN_009171",-0.669746421858787,7.70630941082494,2.09108616719026e-07,0.000264230940415662
"FUN_014060",2.42025465278934,4.82205473067908,2.21477272332397e-07,0.000264230940415662
"FUN_001926",1.03023593888479,6.17431070652191,2.33032036041894e-07,0.000264230940415662
"FUN_011641",-0.942142469416189,7.1386408140562,2.39759488611393e-07,0.000264230940415662
"FUN_010077",1.14424835075628,5.37204512727325,3.23761674580484e-07,0.000275742310007346
"FUN_000038",-1.24817091418439,5.80696978161855,3.25607194489466e-07,0.000275742310007346
"FUN_000344",-1.94908643180026,4.04341298327828,3.8028695882641e-07,0.000275742310007346
"FUN_002437",-1.94993864515606,4.97731411511042,4.15078150683852e-07,0.000275742310007346
"FUN_003726",-2.7129292296847,3.54056691088183,4.5671284335315e-07,0.000275742310007346
"FUN_001495",-0.986534375832817,4.49139128590982,4.65056670059522e-07,0.000275742310007346
"FUN_010292",-4.22199558788216,2.49207182337306,4.66287698642279e-07,0.000275742310007346
"FUN_008692",-0.621008200563427,4.8484886450834,4.82410727859242e-07,0.000275742310007346
"FUN_004521",-1.00704516244278,7.62604544920806,4.94756008552115e-07,0.000275742310007346
"FUN_000190",5.77403745792621,6.84032409088998,4.95540534006254e-07,0.000275742310007346
"FUN_005595",-1.30337199866373,6.11397214421881,5.14349663446789e-07,0.000275742310007346
"FUN_015181",3.74655912979156,4.55361255141886,5.18394733945472e-07,0.000275742310007346
"FUN_006745",-2.42141411049037,2.9067620752563,5.2961248553497e-07,0.000275742310007346
"FUN_012645",-2.28285367646263,5.41930858688772,5.42031983010515e-07,0.000275742310007346
"FUN_007559",-5.14208600182829,-3.18902600048978,5.5412812420468e-07,0.000275742310007346
"FUN_005881",2.19504304116752,5.5152791285703,5.56788710279969e-07,0.000275742310007346
"FUN_010835",1.91306331955093,3.5602901200097,5.6692047810926e-07,0.000275742310007346
"FUN_012956",-2.57485136468618,2.62933229163069,5.82987134512132e-07,0.000275742310007346
"FUN_010397",-0.562107362704003,8.15659658195413,5.97996214799502e-07,0.000275742310007346
"FUN_002954",-0.926163531705261,5.32460622006074,6.02982889981432e-07,0.000275742310007346
"FUN_001857",-1.39622861932499,7.66504860194852,6.03969066234332e-07,0.000275742310007346
"FUN_014515",-0.765914330030945,3.80098155604218,6.31351540836096e-07,0.000275742310007346
"FUN_016443",-2.74412708112671,3.78523076076014,6.33852022278094e-07,0.000275742310007346
"FUN_012169",-1.73006227989064,4.8642708950624,6.80240731330332e-07,0.00028833485973389
"FUN_002347",-1.30424735269453,4.15641941839851,7.25305689636523e-07,0.000297314534746212
