"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-11.3676579610085,2.93901334082794,6.31544052645275e-06,0.000148296232021009
"FUN_013139",-11.126318226593,2.70462147855281,1.50471858045766e-26,4.14575047559094e-23
"FUN_008732",-9.81014339341277,1.42579193210414,2.55604131072298e-10,2.29640863628052e-08
"FUN_002487",-9.75664784217045,1.38287998798575,2.53126531667628e-14,6.97405782499593e-12
"FUN_012054",-9.31245691717138,7.26356110872289,1.25498509192399e-16,6.1018113395869e-14
"FUN_014624",-9.29766721469451,0.947430435194343,2.59061143534325e-20,2.51914103750937e-17
"FUN_013141",-9.29048965272026,0.943055354979381,9.63886921922422e-07,2.83019799401413e-05
"FUN_000887",-9.25462827103383,4.52874499802589,8.96587691460066e-45,7.41074556376317e-41
"FUN_002467",-9.14223107286849,7.02952998734096,6.61350612303059e-18,4.04918035999329e-15
"FUN_008877",-8.97672541318127,7.78004160335769,4.95018342871735e-54,8.18314822601266e-50
"FUN_016508",-8.83517180179766,0.511250213101814,3.44295015663969e-09,2.30426757244578e-07
"FUN_002484",-8.54092783603976,0.262110187010929,3.51814018780502e-08,1.71054045425308e-06
"FUN_015587",-8.45911387146939,0.183107108670049,6.0869692151748e-09,3.81150333697176e-07
"FUN_002466",-8.38712806063306,7.62404298111653,9.06184621765481e-12,1.17953842381143e-09
"FUN_002485",-8.30372002177664,5.91315014258484,6.30956542712341e-28,2.08606852151554e-24
"FUN_015317",-8.24224940152169,-0.011625959508135,1.42478718520665e-05,0.000292585800728586
"FUN_002470",-8.22707628337463,6.8200696848442,2.21461528545465e-11,2.56012624362593e-09
"FUN_007424",-8.03382710622039,-0.193027145813027,0.000599784630696221,0.00722670534259419
"FUN_002492",-7.77910852992418,-0.421948166909228,6.1187773790757e-07,1.93033413842558e-05
"FUN_012053",-7.69583223761305,7.25153087922217,5.68311356407281e-15,1.70813727868523e-12
"FUN_010492",-7.60090086341428,2.38539245227121,3.12424035479193e-29,1.29117043262664e-25
"FUN_002486",-7.53362989838444,6.00076138832183,1.83095437538377e-15,6.17704219989164e-13
"FUN_014726",-7.45157863178349,-0.691808982448509,7.70733387494061e-14,1.87367553362711e-11
"FUN_005334",-7.44710256226849,4.72460750902831,5.1143049481629e-31,2.81815250326936e-27
"FUN_000430",-7.44386754359589,-0.689098702506735,2.47620575530939e-07,8.8602072166709e-06
"FUN_003057",-7.29567616656902,-0.83073870213338,3.70753107382538e-08,1.78685703152791e-06
"FUN_008733",-7.21673527853816,-0.898943574495722,2.22479270106791e-07,8.11644973182806e-06
"FUN_014705",-7.21551333297192,-0.85876613841104,0.000114139285998517,0.00171530594258317
"FUN_011765",-7.14921861252367,-0.944889004800377,3.58553984857363e-08,1.73311576715704e-06
"FUN_007250",-6.95372982489742,-1.10797807662837,0.00277905211919862,0.0263571489285556
"FUN_015180",-6.90973261255146,-1.12911646721144,2.19280564829911e-10,2.02509889229233e-08
"FUN_011854",-6.87311662479862,2.70393760455046,4.32141190885534e-25,7.93747336280974e-22
"FUN_005514",-6.76748408500065,4.41140893429376,3.51335529892842e-26,8.29703949236938e-23
"FUN_006209",-6.7065374508665,3.48423700450775,2.55726393832918e-25,5.28426627056497e-22
"FUN_002154",-6.68368284030662,-1.28762542284834,0.000289966483558203,0.00386255917784098
"FUN_011506",-6.65593159127236,-1.30013099792054,6.97744718884086e-06,0.000161095222735654
"FUN_015692",-6.51750156996025,-1.42426929511909,1.56957733755885e-05,0.000316037551366448
"FUN_002966",-6.47753216052128,-1.46546550055871,6.24226339580146e-06,0.000146995521646715
"FUN_009107",-6.44295642041412,-1.46713053909689,0.00489784625664129,0.0417078207635878
"FUN_012623",-6.42465466292911,4.56491372054351,5.50519423981779e-10,4.52767989942427e-08
"FUN_007107",-6.41193233480492,-1.50580420515735,3.15844599646057e-05,0.000574392417684154
"FUN_009861",-6.41142656455184,-1.49224213560743,0.000467638111039219,0.00585645879817374
"FUN_005452",-6.40749183673337,-1.48051184562392,0.00499848870438073,0.0423309512152243
"FUN_004067",-6.37793436394874,-1.53718599105969,5.32114140220077e-05,0.000897589678773275
"FUN_006455",-6.35744612485593,-1.56925075253384,0.000517501465340871,0.00635573307841749
"FUN_008384",-6.33070622565863,-1.56100942652874,2.25244748239496e-07,8.16248827283763e-06
"FUN_009657",-6.29703402215548,-1.59612729349557,6.72363278708901e-07,2.10110347076311e-05
"FUN_000651",-6.27041430296575,-1.59969070542211,0.000590892811519377,0.00713001292534713
