"","id","fc","pval","qval","de"
"4694","FUN_008877",0.00512262895421669,1.41876206338765e-08,5.55445347816264e-05,-7.60889988736461
"1331","FUN_002467",0.0136681772626421,3.45096982101722e-08,9.00703123285496e-05,-6.19303532645619
"1337","FUN_002485",0.00628723417836466,1.84432484062746e-07,0.000361026587552826,-7.31335878499833
"1330","FUN_002466",0.00375722136965773,2.97187029429935e-06,0.00128308632487589,-8.05611816482324
"6410","FUN_012054",0.0074729788073229,1.81471270965794e-06,0.00128308632487589,-7.06410085370615
"140","FUN_000190",0.0240476715376965,3.7689636618321e-06,0.00128308632487589,-5.37795898075431
"2988","FUN_005334",0.0296931846291461,3.38062405869088e-06,0.00128308632487589,-5.07372435740377
"3065","FUN_005514",0.0464926147923021,1.40418629956951e-06,0.00128308632487589,-4.42685462298851
"4704","FUN_008903",0.059180184865959,2.71696739662097e-06,0.00128308632487589,-4.07874198657196
"5084","FUN_009753",0.0689670287404479,2.67714573820577e-06,0.00128308632487589,-3.85794937630701
"5424","FUN_010292",11.9481254061653,2.73660756811012e-06,0.00128308632487589,3.57871238009123
"7869","FUN_014624",0.0954532397413866,3.67059854988749e-06,0.00128308632487589,-3.38906202536172
"1869","FUN_003340",9.91343178611586,3.63119538682177e-06,0.00128308632487589,3.30938456939472
"7576","FUN_014060",0.237010088177141,2.5305518225327e-06,0.00128308632487589,-2.07697962709976
"6762","FUN_012622",0.017431063616274,4.56507497015313e-06,0.00137192753029179,-5.8421955866274
"2094","FUN_003726",5.27574546211146,7.64735353619983e-06,0.00167059555989418,2.3993749608351
"1541","FUN_002782",4.62457830191144,8.82881620412057e-06,0.0018192008125859,2.20932181763364
"5420","FUN_010288",25.5554435206349,1.22119527403708e-05,0.0020027248425259,4.67555872474898
"3455","FUN_006209",0.0727021751978265,1.15674878627958e-05,0.0020027248425259,-3.7818576605656
"2864","FUN_005065",0.121774662182498,1.23516913709265e-05,0.0020027248425259,-3.03771411391233
"5688","FUN_010759",0.174240198324711,1.30058652454412e-05,0.0020027248425259,-2.52085059360607
"6409","FUN_012053",0.00964418508557151,1.56146857734907e-05,0.0020616281413598,-6.69612494609474
"5545","FUN_010492",0.0983162890292644,1.48454396008413e-05,0.0020616281413598,-3.34642572788958
"3432","FUN_006172",8.80364918134774,1.44309835019563e-05,0.0020616281413598,3.13810165608657
"3777","FUN_006745",4.4362631632228,1.68273841503197e-05,0.0020616281413598,2.14934495003868
"6482","FUN_012157",0.058468353179655,2.04163318839878e-05,0.00214434558325847,-4.09620023285154
"7945","FUN_014798",14.0748058620507,1.93675887258937e-05,0.00214434558325847,3.81504311781181
"2716","FUN_004781",12.9925307920446,1.9873643778201e-05,0.00214434558325847,3.69961057305634
"7065","FUN_013146",0.178734658151243,1.96586718876901e-05,0.00214434558325847,-2.48410868269715
"7658","FUN_014229",4.84352152503554,1.9528603116381e-05,0.00214434558325847,2.27605635315091
"6773","FUN_012645",4.45488113478865,1.84530908879932e-05,0.00214434558325847,2.15538693824804
"1476","FUN_002679",4.41848390749299,2.0539708651901e-05,0.00214434558325847,2.14355142971848
"486","FUN_000822",0.078320033675248,2.11423578733161e-05,0.00217821923879033,-3.67447480451771
"3433","FUN_006173",6.81718710008652,2.34474281243235e-05,0.00226658471868461,2.76917657885699
"1863","FUN_003330",0.135482645151353,2.40726104573374e-05,0.00227094626362593,-2.88382003561548
"1469","FUN_002672",15.2254571595038,2.84866291448971e-05,0.00239839038929617,3.92841364202372
"8766","FUN_016443",14.0121839728906,2.77289039070094e-05,0.00239839038929617,3.80860993012075
"1846","FUN_003300",0.100108387484707,2.819750771621e-05,0.00239839038929617,-3.32036524083673
"3333","FUN_006020",4.0997143105964,2.91357416604132e-05,0.00240139849685301,2.03552337874382
"6736","FUN_012575",0.025825257636373,3.21477838297612e-05,0.00244385579987408,-5.2750734480856
"6763","FUN_012623",0.0378702506124436,3.18404355750257e-05,0.00244385579987408,-4.7227912212555
"3676","FUN_006580",8.26036752405062,3.03449626001262e-05,0.00244385579987408,3.04620597212045
"2826","FUN_004990",0.188174660961382,3.30706931415126e-05,0.00248984160863503,-2.40985572275364
"1332","FUN_002468",0.0289661449962301,3.4217061242181e-05,0.00250224644134323,-5.10948849567009
"5670","FUN_010720",29.4428840180782,3.39343518755975e-05,0.00250224644134323,4.879847089475
"918","FUN_001617",5.41258406742216,3.88579417904822e-05,0.00255603785295982,2.43631752773057
"2721","FUN_004788",4.09286631062221,3.88043980472652e-05,0.00255603785295982,2.0331115433624
"2722","FUN_004789",4.17486678208553,3.98535389700694e-05,0.00257895214988135,2.06173016264276
"4690","FUN_008868",0.114949356970972,4.21274425532747e-05,0.00268177134302554,-3.12092969927394
"6406","FUN_012050",6.79063339390914,4.38198484558061e-05,0.00268527569427583,2.76354614761189
"1006","FUN_001927",27.6339049845834,4.44084390893718e-05,0.00269259945177188,4.78836754063608
"919","FUN_001618",12.0557546186214,4.61503486244297e-05,0.00270293232560612,3.59165005279334
"6983","FUN_013013",4.36614631173119,4.7006137131822e-05,0.00270293232560612,2.12636047656604
"1329","FUN_002465",0.0258324894733902,5.31058901789283e-05,0.00274758182078588,-5.27466950730022
"6806","FUN_012689",0.052978851349402,5.40453561643783e-05,0.00274758182078588,-4.23843962523831
"4104","FUN_007375",15.1985771554247,5.18295494175147e-05,0.00274758182078588,3.92586436415524
"1373","FUN_002551",8.35523816439937,5.55855621047208e-05,0.00274758182078588,3.06268095260732
"761","FUN_001295",6.55377689241936,5.47934354639956e-05,0.00274758182078588,2.71232656063184
"950","FUN_001759",0.158950478138042,5.62977634585016e-05,0.00275507179925042,-2.65335073864208
"2759","FUN_004881",0.127895877420898,5.8215106763293e-05,0.00280042613276689,-2.9669583335629
"6425","FUN_012071",0.186713498324852,5.90128112268884e-05,0.00280042613276689,-2.42110186490022
"7966","FUN_014848",5.45622073545518,6.44862490332132e-05,0.00293562401122128,2.44790201084024
"4608","FUN_008543",4.08967946860489,7.00295366032888e-05,0.00306330319331705,2.031987775398
"4036","FUN_007266",0.070726710360321,7.31160370375239e-05,0.00307794930109576,-3.82160102952093
"6569","FUN_012308",6.89359748551891,7.26824854311303e-05,0.00307794930109576,2.78525706276103
"2785","FUN_004926",4.54320028222068,7.25034317662354e-05,0.00307794930109576,2.1837089064947
"2793","FUN_004938",0.23969154853712,7.41497202431107e-05,0.00308825696544445,-2.06074905406277
"1571","FUN_002868",6.53814224352751,7.45729610104329e-05,0.00308945124186079,2.7088807646548
"5031","FUN_009656",0.198440394937871,7.72159779924841e-05,0.0031189695933194,-2.33322236127654
"4896","FUN_009413",21.2360163971454,8.06268370359131e-05,0.00318842491914747,4.40844125542243
"2467","FUN_004335",0.0201942335740768,8.27678982449065e-05,0.00322424200625681,-5.62991279688356
"6583","FUN_012329",7.97314554068974,8.42812140126048e-05,0.00324242109237313,2.9951490040986
"7711","FUN_014334",7.27014058819937,8.48162984028455e-05,0.00324242109237313,2.86198326289823
"1805","FUN_003235",0.043156310876792,8.61640450515733e-05,0.00325924866064647,-4.53428464532027
