"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.8826959939814,2.47593211781871,1.25379156803607e-25,1.7356654606846e-22
"FUN_000887",-10.6676135709402,3.84129813346914,1.95686678292546e-47,8.29446114702947e-44
"FUN_002487",-10.09692016866,1.71589980920196,2.50687113745021e-16,9.25425407451619e-14
"FUN_002467",-9.46784385278984,6.34709760024226,8.39702893048201e-24,9.29942963954447e-21
"FUN_012054",-9.24132053041074,7.26358643757052,3.34448548480999e-30,6.17317698596263e-27
"FUN_008877",-8.98508374130721,7.87461577007502,6.09071383076627e-48,5.05894690783447e-44
"FUN_002485",-8.68703305476886,3.72602900532124,6.34999785757911e-57,1.05486164410104e-52
"FUN_013141",-8.68649991001816,0.397154102180137,7.79253399827203e-07,2.42869746302617e-05
"FUN_002466",-8.44949544534697,7.55916311204058,4.05481950750348e-20,2.49476524661658e-17
"FUN_002470",-8.35530033681129,7.14791065963621,4.06376686618033e-16,1.43632542938272e-13
"FUN_012053",-7.78786569071038,7.30063757614018,6.85625204764723e-13,1.21166020229272e-10
"FUN_002484",-7.70283305460563,-0.454207304910968,6.59346851998207e-08,2.88999205947077e-06
"FUN_002486",-7.67687958672685,2.73979146489902,1.99722156201047e-47,8.29446114702947e-44
"FUN_006209",-7.44248883007009,3.91902321607471,2.15782331601929e-30,4.48072011571406e-27
"FUN_011854",-7.39454843043441,1.38598684009627,1.94062551161442e-26,3.22376709989387e-23
"FUN_008903",-7.30755757048687,0.599343992368746,1.61722692336044e-20,1.16805972395059e-17
"FUN_010492",-7.0487755758647,2.36103758793521,1.05436279892707e-25,1.59227952870696e-22
"FUN_014624",-7.02129746505927,1.01978486889737,4.57818113504134e-21,3.45694295524122e-18
"FUN_007421",-7.00205191916825,2.43448093622642,0.00027429802123229,0.00360493570309399
"FUN_001176",-6.8722062975418,-1.08789644987916,0.00181822477498076,0.0184510384618084
"FUN_005334",-6.74150537018159,4.18154993806701,2.30903516185794e-37,7.67153842175681e-34
"FUN_002492",-6.66752057233056,-1.3284271592639,4.80705497970896e-05,0.000811532493119159
"FUN_012690",-6.65048019868423,2.18295160758833,2.36386367165675e-31,5.6097861876517e-28
"FUN_008732",-6.60973425415441,1.35678579398215,2.57237994717458e-07,9.39173091922288e-06
"FUN_005514",-6.54824626066185,3.96934960603695,6.73868524593342e-24,8.38078815517638e-21
"FUN_006426",-6.35242040728309,-1.53203499080574,3.54841618239999e-05,0.000636569002397717
"FUN_012623",-6.16366783385299,2.93718697198008,2.34956960765506e-12,3.45407524976689e-10
"FUN_002465",-6.13334031848936,5.23602624620005,2.19136358223715e-08,1.09318113597969e-06
"FUN_003235",-6.11235059020959,3.26806114142965,6.44511707857164e-13,1.1637639664047e-10
"FUN_003330",-6.04378164741713,0.943162078983701,8.48273556026169e-16,2.76304319856994e-13
"FUN_014788",-6.0357900094653,4.78953145087145,2.18586266596958e-05,0.000421247686857153
"FUN_004069",-6.01316503423525,5.41392159829614,3.47237821184741e-06,8.82005303596469e-05
"FUN_012622",-6.00250676416934,8.40604006630093,7.93465742869776e-22,7.32280717808485e-19
