"","GeneID","meanExpr","logFC","pval","adj.pval"
"8877","FUN_008877",5838.85315896791,"-8.96163365794353",1.58797886210007e-163,2.44119990470643e-159
"5722","FUN_005722",884.022687417649,"-5.52851108714884",2.23058650949259e-52,1.71454032052148e-48
"5334","FUN_005334",610.815573455663,"-7.40175272322246",5.57875682794337e-50,2.85874095719912e-46
"13025","FUN_013025",9511.64964810032,"1.80197439080839",2.21645874525374e-42,8.51840507269644e-39
"2784","FUN_002784",322.471164548273,"-3.55588582773353",2.14450232044335e-40,6.59348683443512e-37
"2553","FUN_002553",257.386923077507,"3.46529653042937",1.15506569202773e-34,2.95947081392372e-31
"887","FUN_000887",542.025058778593,"-10.0982483212021",1.14718411437466e-33,2.36038113420199e-30
"3726","FUN_003726",413.343400488047,"2.74137424446529",1.22832557559461e-33,2.36038113420199e-30
"14060","FUN_014060",924.627344208154,"-2.4713390156979",1.54328204434261e-32,2.63609720751989e-29
"12622","FUN_012622",10820.2918588395,"-5.91307547407371",1.72939445212397e-32,2.65859809125019e-29
"2096","FUN_002096",4043.74392015906,"1.86111663025432",4.62041411914694e-32,6.45723875033145e-29
"2782","FUN_002782",4906.82951641238,"2.31005391274887",5.56291094318981e-32,7.12655249413808e-29
"190","FUN_000190",10590.4746136617,"-5.55266419484295",7.8664212534362e-32,9.3023456868519e-29
"15181","FUN_015181",1053.71459391111,"-3.73916538928786",8.76121817816269e-32,9.62044336092107e-29
"7339","FUN_007339",3199.32941472821,"1.52129264016988",1.37787733367818e-31,1.41214055004231e-28
"9056","FUN_009056",97.9711871262759,"4.3660967923637",6.61722037765494e-31,6.26159269464493e-28
"10292","FUN_010292",285.021899088271,"4.06873712590158",6.92428776484511e-31,6.26159269464493e-28
"1047","FUN_001047",21337.1869512152,"1.1351105394071",9.28036771608266e-31,7.92594960551882e-28
"5881","FUN_005881",1359.22257875836,"-2.19334950445344",1.20651838173128e-30,9.76200372755528e-28
"344","FUN_000344",533.291842266128,"1.96763283644707",1.47598385282407e-30,1.13451498847322e-27
"11854","FUN_011854",145.313473870806,"-6.62996018444347",2.01102256557912e-30,1.47216428098323e-27
"5765","FUN_005765",446.669766715281,"1.3817573075208",3.73731332948017e-30,2.61153262791358e-27
"13170","FUN_013170",218.015052003037,"3.02991442714545",9.17108217816463e-30,6.12987157934456e-27
"6209","FUN_006209",281.796567567146,"-7.30939030006672",1.79135490961324e-29,1.14743745939518e-26
"12645","FUN_012645",1343.48621360462,"2.32471060634341",2.88784094651812e-29,1.77579115483292e-26
