"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.3698526214472,2.85708980644923,1.88372148827428e-28,3.12923813632124e-25
"FUN_000887",-9.96728374655863,4.63567838288928,6.12160087552693e-54,5.08460168721267e-50
"FUN_012054",-9.48564731066131,7.46252989726456,2.8433217452634e-27,4.29393280293779e-24
"FUN_002467",-9.16805998769889,7.09955272756374,5.46778283330364e-21,4.32527659175429e-18
"FUN_008877",-8.99045651648265,8.05482572031246,3.86790204526885e-55,6.42535887760061e-51
"FUN_002466",-8.39876168067149,7.83976805342005,1.34095639870953e-17,6.75029324101902e-15
"FUN_002470",-8.27407739687285,7.02833264411229,3.77424335423921e-14,9.61305072154736e-12
"FUN_002485",-8.1674242758824,2.02777971970303,3.01801266053072e-34,8.35587105278939e-31
"FUN_010492",-8.02589419493271,2.71035297445334,2.11831255829733e-34,7.03788164368705e-31
"FUN_002492",-7.89622281073161,-0.408676694441943,1.89692933881515e-07,6.60624531999942e-06
"FUN_012690",-7.89158203527111,2.23187365136999,3.59263208784921e-42,1.98936014144503e-38
"FUN_013141",-7.81281911664722,1.00196161130489,4.15083245566433e-07,1.3159089456774e-05
"FUN_012053",-7.71500186081766,7.39911689637766,2.5971934297618e-14,6.95880278309725e-12
"FUN_002484",-7.56957984313336,-0.662334486907292,2.10495515149005e-08,1.01962395420837e-06
"FUN_002487",-7.42380618634012,1.30690615568243,4.95536970758565e-14,1.1759800226059e-11
"FUN_005334",-7.41849684145447,4.81466618059814,4.14097534200017e-41,1.71974705953267e-37
"FUN_007421",-7.32750074992844,3.05270602755929,0.000134159835417689,0.00189835024357637
"FUN_006209",-7.2919318787576,3.69219320203169,7.08744146564914e-30,1.30818419585959e-26
"FUN_001176",-7.06566419027442,-1.04445509865056,0.000244852820286769,0.00323845147341068
"FUN_014624",-7.05753162455108,0.968554299424875,8.89940426266348e-22,8.21316131174254e-19
"FUN_005514",-6.86174119494238,4.44878987871972,1.85816386727964e-26,2.57231818027078e-23
"FUN_008732",-6.83076657710324,1.49277946461051,3.28681865359911e-07,1.07060061712919e-05
"FUN_011854",-6.6097566598658,2.75891791124772,2.9505867940128e-31,6.12689347776757e-28
"FUN_006426",-6.44165708377786,-1.56075468556536,6.08577424158347e-06,0.000133751505794836
"FUN_012623",-6.3773688830528,4.72013009177269,8.16693942849324e-10,6.00306184894379e-08
"FUN_002486",-6.01352610340266,3.61737702400886,1.72443482592966e-08,8.73363150254377e-07
"FUN_014788",-5.9834451511866,5.29863377902359,2.16642349501311e-05,0.000400318432693635
"FUN_004069",-5.98132795394593,5.31496978257507,3.47102752256296e-06,8.30845953959884e-05
"FUN_012622",-5.96809177168436,8.94645240379372,1.51397755117981e-21,1.32369447790521e-18
"FUN_003330",-5.87236093737258,1.20107572069525,4.39980820670413e-16,1.97539497107484e-13
"FUN_002465",-5.8508986440231,5.40463451035378,7.26635439810815e-11,7.18504043222456e-09
"FUN_003235",-5.8288441346475,3.36061468307584,2.12150863398135e-10,1.79808680753562e-08
"FUN_002469",-5.71971002888764,7.4275744119072,5.04248673450091e-12,6.49347206461466e-10
"FUN_000190",-5.56732938823749,8.91514914188998,5.68685017720748e-20,4.29408887017139e-17
"FUN_005722",-5.55585369887242,5.3347804231811,4.15164241321412e-34,9.85244053833043e-31
"FUN_002468",-5.44176538446303,5.22155833158813,9.57243878603459e-15,2.69520937480689e-12
"FUN_002475",-5.41332309374301,6.63011029923165,8.50570165626212e-11,8.26296584291382e-09
"FUN_010552",-5.37867760053993,4.60302931440574,7.66421974632671e-09,4.31586503138913e-07
"FUN_004335",-5.37866019995846,5.9600994954358,1.2400727082261e-12,1.92524185318242e-10
"FUN_000823",-5.33367241582942,7.03967904808456,4.58082903729622e-14,1.10285118793572e-11
"FUN_005461",-5.32526361291646,2.46840422024697,2.95269872548983e-08,1.34753382494058e-06
"FUN_000231",-5.31513117829868,5.7314766685218,5.43174119956587e-08,2.29598180170962e-06
"FUN_003027",-5.29809407222653,1.29952702712408,2.28583068271832e-13,4.5205022977758e-11
"FUN_014857",-5.26861123306091,-2.3526056882232,0.00626297410712182,0.0495639683537369
"FUN_002488",-5.26434873069019,4.71271100440427,0.000854586514963679,0.00946426079105109
"FUN_013377",-5.22252686365483,3.5971380822767,2.2844113867007e-13,4.5205022977758e-11
"FUN_004907",-5.18163174921002,6.65444787183869,5.66856812863736e-05,0.000905444747624267
"FUN_008657",-5.1628753644748,3.79536070628831,1.87807061639179e-05,0.000352924310854077
"FUN_010322",-5.14119998553649,7.12129776008765,5.368498604302e-08,2.28773895261298e-06
"FUN_007703",-5.08386233134473,5.00973480653595,1.21817940974252e-06,3.3012065831391e-05
"FUN_008133",-5.03643125447207,8.04580293323293,0.000265897123059915,0.00345623868190397
"FUN_012575",-5.03037431206426,6.39412008511669,2.79591322575929e-18,1.60157622435563e-15
"FUN_000885",-4.89056109780798,4.80034809723246,1.08390198717188e-11,1.28612712934995e-09
"FUN_015771",-4.8614821352242,1.19716984137558,3.29169987843432e-09,2.0950849954234e-07
"FUN_004474",-4.8563751069476,1.69757499606845,1.6810018679479e-05,0.000320606234562003
"FUN_007512",-4.85248472058285,1.21834735856825,3.15460819484277e-06,7.63911827007698e-05
"FUN_001686",-4.82697035734363,-0.977674146344257,6.9575508583576e-11,6.96258041319496e-09
"FUN_008712",-4.79571941217709,2.63448385437411,1.02672734978757e-06,2.82384018785946e-05
"FUN_000192",-4.79111840556703,9.47543243747524,1.30640061605963e-10,1.18589765213019e-08
"FUN_004074",-4.73470678055547,0.611054447474267,7.48485024999621e-06,0.000160643840249273
"FUN_010905",-4.60585464171496,2.26816579221618,1.64215620676941e-15,5.93032584931597e-13
"FUN_006082",-4.58887918704677,5.43815967511595,0.000107030282440307,0.00155690635017371
"FUN_014388",-4.58814864615691,6.69154520320303,9.51582968422664e-05,0.0014088855856896
"FUN_007961",-4.53617243284549,4.54017505466862,3.6849673468218e-06,8.7324789679606e-05
"FUN_014789",-4.52332638776979,5.41663007227808,0.000240793941576769,0.00319239342176638
"FUN_015707",-4.47308921861415,-2.7337829192536,0.00274794659075886,0.0253042620652362
"FUN_008633",-4.46506873601745,1.89720729908916,2.85456713325796e-06,6.99411050408277e-05
"FUN_000815",-4.46367345252354,3.30570741227756,0.000181870623310739,0.00250102218082616
"FUN_000946",-4.46045548694093,4.1451822074591,2.32236475127708e-06,5.8364785549493e-05
"FUN_006187",-4.4562508790248,8.81137063850565,2.72230968609467e-16,1.25619468070568e-13
"FUN_016253",-4.44566998606606,-2.74279909169066,0.00139640687378984,0.0143015480810092
"FUN_012951",-4.41453799941551,-2.76523700826417,0.00453279719774938,0.0380297106308145
"FUN_003289",-4.40360024610982,3.96782157519151,2.10529145372905e-08,1.01962395420837e-06
"FUN_008733",-4.37544975186179,-0.991421737863608,6.17450480668687e-05,0.000973158195907802
"FUN_006445",-4.31037091194955,5.73155441334611,0.000726884784056519,0.00821988429730898
"FUN_008904",-4.3061474912273,2.52269692478176,7.73549001506439e-14,1.7365129747331e-11
"FUN_013146",-4.28587505851769,0.450009194877143,4.74263241585881e-10,3.71625517416257e-08
"FUN_012689",-4.24837943728217,1.88207396624223,5.20141404403013e-13,8.5550386237058e-11
"FUN_002474",-4.23463453558637,1.92161996852245,3.31132112910027e-05,0.000575996508865065
"FUN_013729",-4.23124466910504,-1.42686147674707,1.41523596015538e-08,7.30121110872707e-07
"FUN_009753",-4.21535921143006,1.8674696242315,2.46894773126686e-08,1.15532844258606e-06
"FUN_009903",-4.20930717965188,4.72113718138225,1.78146055507813e-09,1.18849890525935e-07
"FUN_013727",-4.18031132448772,-1.98523324130935,5.3957191321815e-06,0.000119991547823024
"FUN_005294",-4.17265967770642,10.1804940236047,5.01661768124017e-12,6.49347206461466e-10
"FUN_005065",-4.15435541151145,3.54418603046814,2.71259770834354e-10,2.25308365655015e-08
"FUN_004072",-4.12563298790453,1.58890887161932,9.07411374019083e-06,0.000189489959269312
"FUN_003300",-4.12510805662945,5.3015972694919,2.23866499719435e-16,1.0625343695255e-13
"FUN_005067",-4.06309120456091,7.9751332849923,1.27525439478552e-05,0.000251597696035357
"FUN_000945",-4.01802262214937,4.00907987250421,2.94645430381915e-08,1.34753382494058e-06
"FUN_004073",-4.00550193639942,4.12500864620401,0.00236088251921323,0.0222329820913663
"FUN_007107",-3.99603537110652,-0.95742266939586,6.28809339134651e-07,1.87420867677799e-05
"FUN_012157",-3.99071880440135,6.07759244314729,1.25958673999861e-15,4.86610579647834e-13
"FUN_004068",-3.97643460820409,1.61938730200807,3.22980910478819e-05,0.00056536974550834
"FUN_001231",-3.95138899111643,0.627108860499732,0.000175458717406353,0.00241885494900775
"FUN_012579",-3.93671741875579,5.63503559492894,1.68208455264345e-07,6.035159522357e-06
"FUN_009752",-3.91602842177353,0.476606708070124,6.26867349666113e-10,4.73341836938794e-08
"FUN_009657",-3.91144656467217,-1.65710562685588,2.56728708721185e-05,0.000465079313988695
"FUN_001443",-3.90178029400212,-0.195329675580739,4.11118644122382e-11,4.29528485293145e-09
"FUN_011295",-3.88182497387205,-2.16942997322871,0.000215259298182681,0.00290486390041487
"FUN_003240",-3.86696124126379,2.88063014555624,0.000334469210904933,0.00420287634761932
"FUN_008629",-3.84303387949472,5.20396986727973,5.38757517487162e-05,0.00086891649325211
"FUN_007944",-3.82858407956514,3.81072009029147,4.57789220602209e-06,0.000104537691197991
"FUN_015181",-3.77530548896533,5.59081318967187,1.79617815735246e-19,1.19352446199756e-16
"FUN_013367",-3.76806040156746,5.46537618072594,2.20041442260687e-05,0.000405247055303162
"FUN_008818",-3.76393845346945,4.31599545640709,0.000381271021701708,0.00469857137426467
"FUN_007266",-3.74352803683531,7.75105337626354,3.53102088651749e-13,6.24014031562006e-11
"FUN_002147",-3.71391893284364,6.08614677773689,6.36575819512868e-06,0.00013859498707402
"FUN_015845",-3.71014836056179,-1.7884988490692,3.05860578533811e-06,7.42829814415741e-05
"FUN_001631",-3.69204861057328,2.0186540217084,1.86170381107647e-06,4.7800036645444e-05
"FUN_002089",-3.68953113971596,9.24630986593507,0.00186711188216148,0.0182557166488914
"FUN_002102",-3.68889868998291,5.20202323088412,3.02313522928338e-05,0.000532559092564745
"FUN_008829",-3.68606629126872,5.19100264078319,3.01147170171013e-12,4.06720064299258e-10
"FUN_011811",-3.68123877011896,7.65473703027773,4.04663888057474e-09,2.5271716197033e-07
"FUN_015912",-3.64069543199492,1.090597829197,7.46176030360139e-09,4.26779280370212e-07
"FUN_000942",-3.63819936122986,5.24361801117062,5.48141043007977e-07,1.66466526626115e-05
"FUN_015800",-3.60623301564985,6.61352978406211,1.38201086635115e-10,1.227698636996e-08
"FUN_013728",-3.59978961260282,3.97167483310465,7.56657329523469e-06,0.000162188278168308
"FUN_002784",-3.59423290754481,3.8879127837233,5.45950952736813e-26,6.9764132514338e-23
"FUN_004881",-3.57736014375039,4.66748484894539,9.05201128306686e-16,3.66761003498309e-13
"FUN_011765",-3.57097747364912,-1.03219769862838,3.50452285624026e-05,0.000604539290632016
"FUN_002059",-3.56670621799429,4.53954811919516,1.47317815685056e-19,1.0196848142334e-16
"FUN_016260",-3.56376205448626,0.892317012745816,1.83078028133887e-05,0.000345601386745469
"FUN_002473",-3.54772110128548,-1.55618461966138,6.55187728853819e-06,0.000141903240570008
"FUN_000822",-3.51656675217164,5.69537997464812,4.22073354237205e-15,1.37480050207617e-12
"FUN_008903",-3.5099469040741,0.733414195965714,0.000211795566386851,0.00286510419284884
"FUN_010759",-3.50379739273977,3.83932677556276,1.40277711503646e-15,5.17842965221903e-13
"FUN_010329",-3.49525400929273,5.51090886343326,0.00159588081072432,0.0160379746084406
"FUN_008876",-3.48335592241099,6.61753207656822,1.20134331228783e-11,1.40540247209335e-09
"FUN_003219",-3.453537773965,6.7588482375856,0.000940152839334696,0.0102748808993605
"FUN_008134",-3.44779938281802,4.65494172637428,3.51843951938363e-07,1.13934341707604e-05
"FUN_012625",-3.43316840320541,10.5669340543854,3.77060426289e-07,1.2132882968245e-05
"FUN_006584",-3.43058737835571,4.32173515543968,6.41614099502471e-22,6.6615583880844e-19
"FUN_013240",-3.41533840503554,7.81074808722328,4.30276341517257e-05,0.000722725033901382
"FUN_003218",-3.40888492764401,5.93560299058621,0.000262310147552493,0.00342301348872114
"FUN_010409",-3.38686486029136,9.09717548290773,0.00330055559618654,0.029314221910594
"FUN_003059",-3.38649941338779,-1.1915642069352,0.00173802392774555,0.0172576530111829
"FUN_008381",-3.36879206724444,-0.783804619269517,1.11905178109997e-07,4.2636899512919e-06
"FUN_009599",-3.35467938111781,3.77391553146549,0.000227461038128416,0.00303988959403802
"FUN_005176",-3.32111023929367,6.62365010650012,2.57958259713962e-08,1.19364975219174e-06
"FUN_011581",-3.31561446391713,2.81808193620906,1.01376452300116e-06,2.79745120533145e-05
"FUN_012531",-3.27265030985552,9.11006230008242,0.000133155963405216,0.00188897255686375
"FUN_005064",-3.25782651673229,4.86604217725782,1.30446306570073e-06,3.50643049311012e-05
"FUN_015518",-3.25617577782922,0.651038669176913,4.93897809165431e-09,3.00535912302423e-07
"FUN_006201",-3.22293309498942,5.22018459531915,8.19480622606497e-12,1.00838608168438e-09
"FUN_004896",-3.21238657893815,4.59489056362615,2.44487473649307e-05,0.000445820627032085
"FUN_008868",-3.20225058781164,7.12077611736632,8.92957769137934e-14,1.97784192812258e-11
"FUN_003894",-3.2004874501234,3.76746441339424,8.08131440574989e-06,0.000172111275523483
"FUN_000858",-3.18855057645174,8.5980863057441,0.00011794479544708,0.0016919679982443
"FUN_003331",-3.17277635761797,8.12459609741799,0.00183855219635853,0.018008271866691
"FUN_014790",-3.17081467658522,5.16828716648064,0.00201230248740637,0.019446404258752
"FUN_004332",-3.13791184436485,6.75900212354344,0.00409253029620487,0.0349178804728071
"FUN_005066",-3.12572633874062,5.85269678421228,9.62119936177236e-11,9.18548067803232e-09
"FUN_001397",-3.11740580967451,3.15414057660084,0.00095427026341598,0.0103881635752728
"FUN_012863",-3.10995364731761,7.28393260611572,0.00321292535265656,0.0287570667878937
"FUN_002455",-3.09251447589744,1.20846600289415,6.44642457910566e-07,1.91228580550184e-05
"FUN_000208",-3.06938019159542,5.80380789299867,1.40007195946362e-07,5.17995442997986e-06
"FUN_001933",-3.06269765764104,3.99922299621364,1.03643117616969e-05,0.000211773612528054
