"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.76909277439523",3206.74339999591,1.70198769112211e-120,2.63008157909099e-116
"FUN_012054","-8.92765162409524",2123.7471873284,6.23312581505074e-53,4.81602466099895e-49
"FUN_005722","-5.50061463470369",504.596014353042,1.15416885271437e-52,5.9451237603317e-49
"FUN_005334","-7.11228149249167",359.027496928079,5.87938391614434e-52,2.27135299140446e-48
"FUN_013025","1.77756860211875",5165.32544709689,2.90601266447125e-44,8.98132274081485e-41
"FUN_015181","-3.71653238071397",587.415893219824,1.07339691391729e-36,2.76453375179399e-33
"FUN_014060","-2.39795572925918",475.367770213979,3.92911311762354e-36,8.67379785809093e-33
"FUN_001047","1.12062313497873",11810.3111567589,5.43286461660075e-35,1.04942571150414e-31
"FUN_002784","-3.36759888525393",189.575396064047,6.35976401074344e-35,1.09197148064465e-31
"FUN_003726","2.68294533893499",237.103326411606,3.57523945196525e-34,5.19610006769668e-31
"FUN_006584","-3.15148186763345",252.36036739281,3.69877051347075e-34,5.19610006769668e-31
"FUN_010292","3.72720991828038",75.8891332183526,1.94141105893842e-33,2.50005209114795e-30
"FUN_005514","-6.71417172063942",260.692438438958,2.65646596105113e-33,3.15772065354793e-30
"FUN_000190","-5.49480878888628",6127.86735119108,3.92346852652497e-33,4.33066851002788e-30
"FUN_012622","-5.8615021815651",6229.79262550565,1.11295660779841e-32,1.14656789735392e-29
"FUN_005881","-2.16044341546158",710.347355909423,1.28470754704952e-32,1.24078660778476e-29
"FUN_007339","1.52312285440112",1812.62462491681,2.69367430035843e-32,2.44854993902581e-29
"FUN_002553","3.44194788835408",454.079353747516,3.39839832380038e-32,2.91752496098263e-29
"FUN_005765","1.31217410603149",250.85185389465,7.74026160560142e-32,6.29527697849256e-29
"FUN_008903","-5.62036338891769",233.120618389324,8.76241946382347e-32,6.7702833987232e-29
"FUN_002096","1.84941734547063",2293.34740105359,1.13664154411318e-31,8.36405799103857e-29
"FUN_002782","2.28037256672705",2773.58755700216,3.95594452493011e-31,2.77869139744296e-28
"FUN_012575","-5.09776194675722",1647.25506244599,1.37726214463581e-30,9.25340518306833e-28
"FUN_002437","1.93134466150968",463.569312243265,2.80260124085848e-30,1.80452487395775e-27
