"","logFC","meanExpr","pval","adj.pval"
"FUN_008877",8.90603462597604,4.42583833591049,3.24555112749255e-09,5.39150953299062e-05
"FUN_006770",-1.24996579151315,3.17644370921396,1.15234704749598e-08,9.57139457650161e-05
"FUN_013025",-1.76355562975926,8.35917017852755,3.30945766722176e-08,0.000160946030911071
"FUN_005765",-1.30456373869343,4.11559124029137,3.87541610669566e-08,0.000160946030911071
"FUN_014060",2.41774362089376,4.71202544187549,6.02569230073441e-08,0.000182713487566215
"FUN_001047",-1.11145046145578,9.70920659048636,1.07238041819702e-07,0.000182713487566215
"FUN_007339",-1.52049712230037,6.91419778653257,1.12538519610874e-07,0.000182713487566215
"FUN_014661",-0.887667694464816,6.39011396542911,1.25484768796981e-07,0.000182713487566215
"FUN_006745",-2.39130862480638,2.99199952496726,1.26481869011453e-07,0.000182713487566215
"FUN_002096",-1.83826008773328,7.16185208124978,1.35228873893135e-07,0.000182713487566215
"FUN_000473",-1.50449308585172,4.05679734108978,1.41286714348964e-07,0.000182713487566215
"FUN_002782",-2.30381337738043,7.29283405949554,1.89280278792829e-07,0.000182713487566215
"FUN_002437",-1.92176194422058,4.83012571076221,2.05499282379489e-07,0.000182713487566215
"FUN_016443",-2.91568476056429,4.40472929592361,2.07277129514076e-07,0.000182713487566215
"FUN_002467",10.0979448448466,2.70583013808325,2.12352650307971e-07,0.000182713487566215
"FUN_005881",2.14933286156611,5.37341009053705,2.18370697609966e-07,0.000182713487566215
"FUN_012169",-1.71388179563836,4.93650925426673,2.18828350785281e-07,0.000182713487566215
"FUN_015181",3.7841585342472,4.46116029509938,2.36075464543439e-07,0.000182713487566215
"FUN_005595",-1.32860972805598,6.16229604837981,2.37834093091162e-07,0.000182713487566215
"FUN_000344",-1.92611367502601,4.14615644510006,2.41114534046099e-07,0.000182713487566215
"FUN_012645",-2.30692981713129,5.3865975639836,2.48779429345018e-07,0.000182713487566215
"FUN_001495",-0.991049642297529,4.5014208549533,2.75506812911522e-07,0.000182713487566215
"FUN_012956",-2.49187679148752,2.64166711856437,2.87190070209978e-07,0.000182713487566215
"FUN_004521",-0.984030993552127,7.44818749388383,3.04631783659975e-07,0.000182713487566215
"FUN_001857",-1.37420742347073,7.61131304881378,3.05990634028902e-07,0.000182713487566215
"FUN_012575",5.47406389411325,5.19580733920756,3.2342936578554e-07,0.000182713487566215
"FUN_003255",-1.21664143442552,3.49123798530289,3.25442293796164e-07,0.000182713487566215
"FUN_000190",5.75044011486495,6.89798827484758,3.26738393697117e-07,0.000182713487566215
"FUN_003726",-2.65147527870929,3.60280478916477,3.28649518199301e-07,0.000182713487566215
"FUN_001926",1.02905620021005,6.8366587019586,3.29966567962103e-07,0.000182713487566215
"FUN_010292",-3.85265411652584,1.50968028004033,3.46700956807788e-07,0.000185786977241644
"FUN_002485",9.18684515643296,2.40217577008104,3.79496056912573e-07,0.000186927968385344
"FUN_002486",9.18684515643296,2.40217577008104,3.79496056912573e-07,0.000186927968385344
"FUN_014848",-3.45905987772259,3.9048480080111,3.83148533194144e-07,0.000186927968385344
"FUN_006034",1.46905836100283,7.52501223563913,4.00203197754622e-07,0.000186927968385344
"FUN_005924",-4.51731661204954,3.86338869851407,4.05093117136551e-07,0.000186927968385344
"FUN_006584",3.23722613329475,3.48794677717295,4.24376240078223e-07,0.000187459106752751
"FUN_008006",1.63834187664519,3.90734575253982,4.43341131316562e-07,0.000187459106752751
"FUN_015188",0.884757081492844,4.92660376383649,4.50294831415684e-07,0.000187459106752751
"FUN_000038",-1.24207848805496,5.83779846599694,4.78779493488424e-07,0.000187459106752751
"FUN_010594",-1.88884366584825,6.27677690817492,4.79947052785384e-07,0.000187459106752751
"FUN_002059",3.55756624832492,3.53218412899944,4.86554311824663e-07,0.000187459106752751
"FUN_009171",-0.668945392299999,7.84225755073673,4.97995531890527e-07,0.000187459106752751
"FUN_001563",-1.63295006746291,6.42210513381812,5.02438826643145e-07,0.000187459106752751
"FUN_014838",-2.67941884568152,4.55839873154656,5.07805189253179e-07,0.000187459106752751
"FUN_003016",2.74035452057564,6.97691031346729,5.41495796068641e-07,0.000189406718862447
"FUN_008692",-0.651502470751733,4.84431570213998,5.43193149028292e-07,0.000189406718862447
"FUN_009116",-3.9596325458522,1.91567454257892,5.47286449879453e-07,0.000189406718862447
"FUN_011641",-0.914415369503715,7.15090741546446,5.5955654360925e-07,0.000189701087804834
"FUN_010077",1.11705379423649,5.33980797291553,5.9312466684882e-07,0.000193791114121071
"FUN_009385",-1.29546090381518,6.42349238237102,5.94952252599003e-07,0.000193791114121071
"FUN_009386",-1.7439726054039,10.9775411433347,6.44041678413463e-07,0.000200166087493183
"FUN_002954",-0.930605388912513,5.4197914679795,6.45627318407027e-07,0.000200166087493183
"FUN_012622",6.27841201418417,6.7068118501711,6.50672328716101e-07,0.000200166087493183
"FUN_010288",-5.0839580288541,3.02760604728183,6.77198396584481e-07,0.000203428482837196
"FUN_008302",-1.50606772969793,6.53525777393852,6.85769024734105e-07,0.000203428482837196
"FUN_015615",1.33151317009337,4.3668250772245,7.07886628347834e-07,0.0002063054854406
"FUN_013013",-2.28271727980043,5.19446426342795,7.36485596841586e-07,0.000207810678362473
"FUN_008871",-3.58159068248936,5.28857460452618,7.38070673211289e-07,0.000207810678362473
"FUN_007611",-1.43869438451903,5.38359924211954,7.75651575511457e-07,0.000214752066206606
"FUN_008022",-3.14391854515054,1.22916024526578,8.08063845345569e-07,0.000220058304899682
"FUN_011892",-1.73377600163615,4.86849514339741,8.43085335920958e-07,0.000224275873961318
"FUN_010950",-1.99843693000312,7.41603333376795,8.50552616154771e-07,0.000224275873961318
"FUN_003017",2.41765805518484,6.22330574890099,8.68399718229401e-07,0.000225404001862919
"FUN_000405",-0.887933876234362,6.10065676820366,9.0395441833114e-07,0.000231022935343337
"FUN_006580",-3.35245741417275,3.61232795588962,9.57051501203163e-07,0.000238702193288675
"FUN_002259",-2.32372540397998,3.78951498108616,9.62740606208839e-07,0.000238702193288675
"FUN_008547",1.66254294935494,2.66027226967931,1.02502265620371e-06,0.00025040700536553
"FUN_010002",1.04409835383801,3.72500605454553,1.07143984639163e-06,0.000254846360368312
"FUN_013170",-2.86270113371686,2.56622006312097,1.07387703020599e-06,0.000254846360368312
"FUN_014715",-4.39689071425925,5.64282934019162,1.09797005481104e-06,0.00025543667571457
"FUN_010835",1.82548402289557,3.61833384384957,1.10766309405727e-06,0.00025543667571457
"FUN_002163",-0.93462908895544,3.35848000090595,1.12611927123582e-06,0.00025543667571457
"FUN_004874",1.00075593520708,3.67888352972396,1.13787105724044e-06,0.00025543667571457
"FUN_012014",2.52086573066587,5.07572011823952,1.16516387173678e-06,0.000258076029830552
"FUN_012929",-0.897733999569965,7.1977759808736,1.20614178547745e-06,0.000258580997415415
"FUN_001443",2.901605740946,-0.844485349392553,1.22347933264613e-06,0.000258580997415415
"FUN_000540",-2.61733185065443,3.84500347795014,1.24784937721357e-06,0.000258580997415415
"FUN_002466",9.30499242558935,3.70986623948358,1.25026670694019e-06,0.000258580997415415
"FUN_004788",-2.69259878886224,2.3898372617552,1.26083920001497e-06,0.000258580997415415
"FUN_004789",-2.69259878886224,2.3898372617552,1.26083920001497e-06,0.000258580997415415
"FUN_009349",-1.95418039656155,7.12620618009682,1.28879680686562e-06,0.00025917269804389
"FUN_002553",-3.4098326243296,4.21344350662517,1.29492739812442e-06,0.00025917269804389
"FUN_000823",5.95124092658291,4.83147608890272,1.33466893282893e-06,0.000263614971027211
"FUN_007232",-2.53723244364363,7.29431373849824,1.34886061505616e-06,0.000263614971027211
"FUN_010175",-0.975685255939207,7.10823883464411,1.3918724812495e-06,0.000267484273932507
"FUN_002347",-1.27094380922403,4.12738814145413,1.40086273971395e-06,0.000267484273932507
"FUN_001270",-1.03934121753506,6.56697089941223,1.42385151865911e-06,0.000267841982003012
"FUN_000775",1.16340801668242,3.08907280028964,1.44201692182967e-06,0.000267841982003012
"FUN_001618",-3.80967558409331,5.51280755042573,1.45110633158386e-06,0.000267841982003012
"FUN_010098",-2.27039922331042,1.4536658319322,1.49605250987461e-06,0.00027237742118556
"FUN_013042",-1.97877139799796,4.92634090645641,1.52326109309678e-06,0.00027237742118556
"FUN_008000",-1.0293979780744,5.76963072923319,1.52486757586426e-06,0.00027237742118556
"FUN_008447",0.926801872406851,7.63971973705702,1.54684526584983e-06,0.000273363761237207
"FUN_003340",-4.48276365675784,3.86816649459724,1.56541971413504e-06,0.000273529551851929
"FUN_015137",-1.5931870209598,3.90640120980301,1.58071496374821e-06,0.000273529551851929
"FUN_004040",1.50303334682678,3.32337819880976,1.61075258377813e-06,0.00027571450417375
"FUN_006769",-1.55107404741417,9.23220255510139,1.62653632368333e-06,0.00027571450417375
"FUN_013261",-0.928087783003603,3.85058693113472,1.70672130850177e-06,0.000286384387644761
