"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.4385101007658,2.72169736389857,2.63885667451584e-24,2.92244580513715e-21
"FUN_002487",-9.64773030633322,1.96666501571068,2.93869585311344e-15,6.97394507313149e-13
"FUN_002467",-9.11533633053669,6.81657230654174,3.37140998728348e-33,8.00083752982189e-30
"FUN_000887",-9.08742322697156,4.52120528011711,9.78199906475714e-50,1.62498568463746e-45
"FUN_012054",-8.92602451135927,7.3534056701555,3.04985056737691e-34,8.44401960421087e-31
"FUN_008877",-8.77538708654915,7.94736346115134,3.02624071168584e-49,2.51359553512626e-45
"FUN_010698",-8.32450028562356,0.744279455154577,3.36613923167591e-20,1.74744702864376e-17
"FUN_002466",-8.22870807950875,7.45598168415649,1.46078228999826e-22,1.27718502112901e-19
"FUN_002486",-8.14631579007448,6.06019998923869,3.8881082732347e-32,6.45892546349749e-29
"FUN_002485",-8.14631101326092,6.06019998923869,3.84942120753193e-32,6.45892546349749e-29
"FUN_002470",-8.14557107982694,6.93265983977285,1.11557519931736e-19,5.29483863173142e-17
"FUN_012053",-7.60421979038784,7.32634185651827,9.19673279310436e-17,2.9380024069048e-14
"FUN_009753",-7.35395619060866,-0.0787559505237492,4.06970420021625e-06,8.28503997230297e-05
"FUN_002492",-7.19331340043268,-0.224961278553511,4.74071472735904e-06,9.44277614519046e-05
"FUN_005334",-7.10808043532153,4.80943449512454,1.31264337507156e-48,7.2685439155629e-45
"FUN_008732",-6.89329555482517,1.52351297405269,6.59127060382216e-09,3.13683840253224e-07
"FUN_006209",-6.8297659650119,3.6526783768278,3.7287959095703e-31,5.6311597863438e-28
"FUN_005514",-6.69832141117427,4.35493159459389,2.30509174530919e-34,7.65843681461527e-31
"FUN_012690",-6.49628143806816,-0.752125361982061,8.3640589927657e-09,3.79627726742688e-07
"FUN_001176",-6.33375006430319,-0.790945424486922,0.00266485183536344,0.0228070678459853
"FUN_013141",-6.31127359582193,1.07754853284757,1.59282480362668e-06,3.67500078303423e-05
"FUN_004067",-6.18552379084138,-1.00911358789386,8.67444536224421e-05,0.00118308609488999
"FUN_004069",-6.13449729995308,5.76182304214684,4.10426342780512e-08,1.47895930721689e-06
"FUN_012623",-6.00470892978792,4.73550056084355,1.95932250894397e-14,3.65710848523339e-12
"FUN_002484",-5.95589344829216,-1.11359693611521,6.3829176530364e-06,0.000121180603488275
"FUN_011854",-5.90433333927783,2.72581556097938,6.41210854896258e-29,8.87649560128053e-26
"FUN_012622",-5.90410817203305,8.90645780331315,2.71864914369066e-22,2.15058093214234e-19
"FUN_002465",-5.76726137556118,5.37182856430759,6.60903829091189e-09,3.13683840253224e-07
"FUN_006426",-5.71644206380823,-1.28333974547372,1.00599988932763e-05,0.00018086223118518
"FUN_007421",-5.69811063934485,2.93160416916576,0.000307355294075625,0.0036185585720654
"FUN_008903",-5.60456320511368,4.18053469231733,3.71155874578679e-32,6.45892546349749e-29
"FUN_003235",-5.58650206782089,3.31994042560053,3.68792401464837e-12,4.0041695249241e-10
"FUN_014788",-5.5770747391346,4.92894011556143,4.0353051430022e-05,0.000603914315635608
"FUN_002469",-5.54474314438696,7.43532760620948,2.94907981989886e-13,4.22328568691033e-11
"FUN_005722",-5.51318768205768,5.28689308565462,7.31061766477229e-37,3.03609951617993e-33
"FUN_016027",-5.51229213697911,-1.43571760702821,0.00011837413254629,0.00156687736243743
"FUN_002468",-5.50277511715247,4.84720683491945,7.15148380678306e-18,2.82858211900667e-15
"FUN_000190",-5.50085121046351,8.8824855290688,4.46856198514279e-21,2.74932413693304e-18
"FUN_004335",-5.3736317525418,5.93093611929308,1.98693963279265e-15,4.85397664411051e-13
"FUN_014624",-5.36637581288648,0.97994645419464,8.82014569041425e-17,2.87294627861101e-14
"FUN_000231",-5.30572871947119,5.65330776475477,1.90683657374906e-09,1.08110474959452e-07
"FUN_007703",-5.26913006637294,4.94336476208167,2.73339180264354e-08,1.04866292437678e-06
"FUN_000823",-5.26670382667855,6.89656426510996,2.38757596829539e-14,4.26477548229281e-12
"FUN_012507",-5.25999168539105,-1.55076148132941,3.43691160029224e-05,0.000526289847038422
"FUN_008657",-5.22525770225913,3.5274847034146,2.23458059894694e-07,6.55845457768668e-06
"FUN_010552",-5.17318171783524,4.54140720948674,1.07568563030258e-10,8.23469570994767e-09
"FUN_004907",-5.1720239934952,6.49401188941211,4.5166134470088e-05,0.000669312957909993
"FUN_012575",-5.14092903808268,6.99024672397161,1.16398473170357e-21,7.73444574522386e-19
"FUN_004474",-5.1098314201129,1.70607820177872,2.55388665643104e-05,0.000404426653665164
"FUN_003027",-5.10861723001537,1.23797349089592,1.05553284253635e-16,3.21423824681692e-14
"FUN_010322",-5.10469885162629,7.1138765233951,5.95078076328996e-09,2.89047865613371e-07
"FUN_002474",-5.08807928481208,4.08552557044488,1.04053936927954e-06,2.52711111147246e-05
