"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-9.03679116828028",2049.32932277276,1.31327979365603e-118,1.98607303194601e-114
"FUN_002485","-8.17602943486935",659.10614532868,8.9980856811784e-74,4.53593499188203e-70
"FUN_002486","-8.17602943486935",659.10614532868,8.9980856811784e-74,4.53593499188203e-70
"FUN_012054","-8.87171858421676",1505.69129891368,2.32022089252639e-55,8.77217513941914e-52
"FUN_005722","-5.4494353632114",397.603475105207,1.80644612535468e-53,5.46377695074775e-50
"FUN_010292","4.12901024583154",149.601610449533,7.90103128527957e-46,1.99145493545472e-42
"FUN_013025","1.77279798503419",4764.42082542825,3.1643380624932e-45,6.83632635986924e-42
"FUN_005334","-7.15111462764223",245.700195483787,1.64501227292939e-42,3.10969007543889e-39
"FUN_008903","-5.82528157137112",191.88288206389,5.11233565192824e-41,8.59042800712342e-38
"FUN_003726","2.77357615401324",189.567878355922,7.677038465717e-39,1.16099852717038e-35
"FUN_015995","2.57307942063807",114.019676082582,5.42188525889494e-37,7.45410643366074e-34
"FUN_015181","-3.70040491652439",558.952356273735,9.13543920184408e-37,1.1512937254124e-33
"FUN_001047","1.1191746989524",10685.2839635418,2.00609322024657e-34,2.33370367459914e-31
"FUN_005514","-6.59474878665993",229.293746607946,3.52596725909854e-34,3.80880020423909e-31
"FUN_000190","-5.48094319026964",5115.96206428638,3.72461419227684e-33,3.75515602865351e-30
"FUN_007339","1.49466130397011",1482.86139867169,7.1875354573716e-33,6.79356867011442e-30
"FUN_005881","-2.27633010723601",660.234158142268,1.19539060397827e-32,1.0634054178802e-29
"FUN_012622","-5.81149405498893",5068.4334530402,2.49559846738606e-32,2.09671864568218e-29
"FUN_002096","1.8411795142079",2000.09645285326,7.87285442809145e-32,6.26637776400142e-29
"FUN_002782","2.28866221284479",2465.3921356475,1.6646984195095e-31,1.25876170991211e-28
"FUN_014060","-2.39115025876746",439.767747731428,1.34555040215761e-30,9.68988511039499e-28
"FUN_005765","1.30297131740763",233.801256406272,1.92726034346531e-30,1.32481628064663e-27
"FUN_006584","-3.17019762950172",238.138267250629,9.46510070417106e-30,6.22350947605126e-27
"FUN_002784","-3.29669614742967",149.693269052784,1.23649245669338e-29,7.79144809273918e-27
"FUN_002437","1.9542432926481",420.348862943885,4.6364735407343e-28,2.80469557426099e-25
"FUN_004521","0.99397610936261",1940.51650201886,5.93712824050321e-28,3.45335347619731e-25
"FUN_012575","-5.14438710382963",1222.37542323966,2.75187462089704e-27,1.54135555154911e-24
"FUN_002553","3.45462975961583",399.848516786853,5.75125949507213e-27,3.10629633371342e-24
"FUN_001857","1.40979373465728",2539.59653532186,6.21972255327566e-27,3.24347807493751e-24
"FUN_012645","2.29781928532394",686.160059902013,1.05149357292711e-26,5.30057910112557e-24
"FUN_010835","-1.89435049820387",168.263746077305,1.33963967326528e-26,6.53528089638411e-24
"FUN_002059","-3.34898752087189",225.0265992546,4.25105256844e-26,2.00902087476619e-23
"FUN_012169","1.74610563012794",369.185042459294,4.94546217477661e-26,2.26637043845899e-23
"FUN_009386","1.76613951145608",29611.9270467811,6.60041453759258e-26,2.93582556035331e-23
"FUN_007611","1.49662510890866",427.116841129619,1.70625355238238e-25,7.37247784933679e-23
"FUN_003017","-2.51818396166434",1111.36650407197,2.31409745396762e-25,9.72113772120897e-23
"FUN_008302","1.52966504799442",1276.24659341667,4.26665938181542e-25,1.74391053597823e-22
"FUN_004788","2.69058485230011",91.8677412449779,5.33577477640766e-25,1.9681200474052e-22
"FUN_004789","2.69058485230011",91.8677412449779,5.33577477640766e-25,1.9681200474052e-22
"FUN_006173","4.47850303727311",211.150146469785,5.26061080485563e-25,1.9681200474052e-22
"FUN_010759","-3.24178806218078",142.293353283648,5.25535344558911e-25,1.9681200474052e-22
"FUN_013170","2.96763278144066",107.494388869701,5.48270329208576e-25,1.97416480681459e-22
"FUN_009056","4.3137837406432",51.9119234041309,5.95237408522435e-25,2.09343612304297e-22
"FUN_002259","2.36918975121433",216.486215819434,9.08070685443159e-25,3.05172288354598e-22
"FUN_003016","-2.76829576963844",1997.21641176912,9.04872046296198e-25,3.05172288354598e-22
"FUN_006187","-4.41583179492576",3783.16835072287,1.08549226343837e-24,3.56867380434313e-22
"FUN_011641","0.936095927336337",1665.47183386343,1.19111313902355e-24,3.83259659605387e-22
"FUN_014661","0.872201436839215",1076.76680481857,1.35535912420603e-24,4.27022834070161e-22
"FUN_006034","-1.4815741951902",2549.49832020147,1.44529471818954e-24,4.46065143330212e-22
"FUN_001563","1.59408091350314",1092.15629344349,2.58580576945955e-24,7.82102813030736e-22
"FUN_005924","4.15621725488996",335.563856332927,3.41821581447011e-24,1.01360152474964e-21
"FUN_000208","-3.3688254091793",92.1127644864425,4.03610570258947e-24,1.17380820269732e-21
"FUN_012956","2.53644757355788",93.4142286651822,7.42014729035523e-24,2.11726202777438e-21
"FUN_000887","-9.20093458439835",216.974479565023,1.23608030738513e-23,3.46171157196024e-21
"FUN_001926","-1.04386689680113",1157.06731202384,4.04190865761933e-23,1.11137790234868e-20
"FUN_010950","2.08631049472122",2555.77708873442,4.3433577598516e-23,1.17293927503992e-20
"FUN_005595","1.34654953153264",807.709432535811,4.53685524421912e-23,1.20369933084782e-20
"FUN_001618","3.73015949204812",1042.07452806611,4.82420244756689e-23,1.25786920025093e-20
"FUN_008006","-1.69691520962659",197.359805844587,7.47693387200951e-23,1.91650289739661e-20
"FUN_002131","4.05741163681649",31.7057022854699,8.05410118190115e-23,2.03003620289818e-20
"FUN_010594","1.85590237010797",1142.55654598757,8.96947763592098e-23,2.22369525062349e-20
"FUN_009385","1.31090132745111",1170.22612891994,1.21771769621492e-22,2.97024914836422e-20
"FUN_009349","2.03688413011714",2047.26159530109,1.62928227758029e-22,3.91105331489632e-20
"FUN_000463","5.0993994105821",133.680104132839,2.15211680802402e-22,5.08538476371052e-20
"FUN_012157","-4.00275587108879",473.62673916772,2.47257404652096e-22,5.75272881623639e-20
"FUN_008868","-3.11281220795325",1511.0887196523,3.79687402801884e-22,8.7000190796559e-20
"FUN_008871","3.49873149957509",559.956346265641,4.32740855104874e-22,9.76767156977764e-20
"FUN_012631","4.73550041990038",386.64126579299,6.44338984055207e-22,1.43299094939219e-19
"FUN_000540","2.55985948060726",257.308322571331,6.5986829816814e-22,1.44625917002852e-19
"FUN_012014","-2.71476254320381",252.789035332479,6.80176437844506e-22,1.46947260993178e-19
"FUN_012629","4.45284099330274",187.564476066845,7.33646804662996e-22,1.56266769393218e-19
"FUN_000344","1.93910221535965",214.322407417496,8.70593825051267e-22,1.82628974017031e-19
"FUN_006209","-6.53722381313448",104.755330752829,8.81565503090873e-22,1.82628974017031e-19
"FUN_011892","1.74972377107296",407.800810465946,9.06189058676929e-22,1.8519320451853e-19
"FUN_009171","0.659703784798063",2203.59770606354,9.6705241085015e-22,1.92933844177419e-19
"FUN_010077","-1.13865175568181",509.874910743837,9.69580913673465e-22,1.92933844177419e-19
"FUN_014390","2.40153845285828",111.539158691874,1.67504611289876e-21,3.28983407342441e-19
"FUN_000038","1.29337533582578",722.811352055791,1.89305476139609e-21,3.67034194315296e-19
"FUN_000822","-3.52473378647966",325.960042652335,2.58315710258214e-21,4.92924682381003e-19
"FUN_013013","2.36196369202551",445.756526253555,2.6075497315665e-21,4.92924682381003e-19
"FUN_000473","1.47085443309565",178.905157063929,6.23608248564243e-21,1.16429969667124e-18
"FUN_003609","7.11165960428852",67.8153328922059,6.58546116561626e-21,1.21453572204408e-18
"FUN_000674","2.99386655875164",378.49166466378,9.70109949996123e-21,1.76758708117968e-18
"FUN_007232","2.56958418139733",420.198672519436,1.26452774415206e-20,2.2766015565252e-18
"FUN_013042","1.97409208413012",455.711442252529,1.32237660621146e-20,2.35274134302775e-18
"FUN_014848","3.19444924788716",326.61806825381,1.35172098146842e-20,2.37698562822638e-18
"FUN_006745","2.39940531272769",112.813564860789,1.96019480871136e-20,3.40735932093585e-18
"FUN_002468","-5.42260685783147",369.688473039242,2.03300678250129e-20,3.49376836042807e-18
"FUN_002467","-8.76274914157717",816.417483637621,2.13503169578184e-20,3.62787464441671e-18
"FUN_004335","-5.21723644988722",443.567687906173,2.4626872637339e-20,4.13813549882754e-18
"FUN_002535","0.567147039386003",5903.40649482258,2.50692944577939e-20,4.16618615478261e-18
