"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.1571629108401,2.66060538078476,1.85604253417323e-22,1.54162892888428e-19
"FUN_008877",-9.01763155524882,7.50461704354364,1.55344648180613e-50,2.58058529557634e-46
"FUN_000887",-8.98677773435322,4.28710643120154,1.84587834540686e-49,1.53318655369494e-45
"FUN_012054",-8.84932191882834,7.06140206899045,3.68549018234528e-36,7.65292036363998e-33
"FUN_002467",-8.70646369165679,6.18330968898814,1.24886441267651e-32,2.07461356233821e-29
"FUN_002487",-8.31212450347727,0.954822346231851,6.47367357494622e-11,5.12098406795270e-09
"FUN_002486",-8.1600046044627,5.87032408037879,3.42198956418162e-40,9.74164627612422e-37
"FUN_002485",-8.15999837562548,5.87032408037879,3.37299025543244e-40,9.74164627612422e-37
"FUN_002466",-8.1472099464471,7.50882898702984,4.17484194848766e-21,3.01532497601205e-18
"FUN_002470",-8.01208229342425,6.84453250708236,1.72553711576748e-18,6.67477228156122e-16
"FUN_008473",-7.73698293653954,0.445240210145641,8.48013769520703e-20,4.14329551155233e-17
"FUN_012053",-7.52185976673678,6.98941322829107,5.11526983370168e-16,1.30730557657619e-13
"FUN_005334",-7.10844416383163,4.47071474735727,7.72502511221571e-46,4.27760390547091e-42
"FUN_002492",-6.96238663470798,-0.192752245460321,6.71276999966739e-06,0.000132594535589437
"FUN_016231",-6.95674271370923,-0.154529430300357,0.000403551958185651,0.00475784608188788
"FUN_016540",-6.84617630159099,-0.323532635698961,0.000522727229890339,0.00598452428872385
"FUN_007421",-6.69825952930675,2.88622140234544,0.000206552135782394,0.00263132214694565
"FUN_008732",-6.60504967555063,1.4799232483557,8.2238828424328e-08,2.78806411792844e-06
"FUN_005514",-6.56045775867487,4.37462173575493,4.19484638756452e-35,7.74275424335797e-32
"FUN_006209",-6.45433495115057,3.25326370571561,1.61989587815272e-26,1.92212216627664e-23
"FUN_010492",-6.28220099224074,1.68248475663954,1.39795534769954e-20,8.60104971703137e-18
"FUN_011854",-6.21361416638873,2.46098172894455,2.39001728811476e-28,3.3085805991802e-25
"FUN_014624",-6.14457012990004,1.11865187693362,3.39474940892724e-18,1.25319060402443e-15
"FUN_013141",-6.10923729583184,1.12519095538392,2.91963850934872e-06,6.4581937306659e-05
"FUN_014788",-6.04437311568033,4.80916341276731,3.64189939633788e-05,0.000571286428441595
"FUN_001176",-6.00692734094878,-0.809798128871139,0.00330880607588445,0.0284355336433484
"FUN_004067",-5.95380109280406,-0.953794543743548,0.000365214930827649,0.00437415315855004
"FUN_012623",-5.92520402902216,4.22369255374771,5.585002852279e-20,2.81145658733511e-17
"FUN_004069",-5.90542834401273,5.86092210972962,1.63166550450883e-07,5.06639763755152e-06
"FUN_012622",-5.83229558669767,8.81133640918341,1.26179062412549e-21,9.52766629453299e-19
"FUN_008903",-5.7915142019472,4.10687747413186,4.10495569063746e-40,9.74164627612422e-37
"FUN_002469",-5.72430432343147,7.25581992686123,5.10519104317671e-13,6.67775067789382e-11
"FUN_002465",-5.67067891769182,5.35934660557508,4.66722641233169e-09,2.41532601749701e-07
"FUN_002484",-5.60557542483069,-1.11644290938954,5.66925985827089e-05,0.000839373839265562
"FUN_003235",-5.53232886841397,3.28222737298086,2.0231343703131e-13,2.89726794479666e-11
"FUN_008657",-5.48585198830941,3.8914638293614,4.16377966811766e-08,1.56490289246087e-06
"FUN_000190",-5.46897864575507,8.82478174769472,9.23539395797594e-21,5.90070632422678e-18
"FUN_005722",-5.44044808304574,5.14738142579542,3.69353383304735e-40,9.74164627612422e-37
"FUN_002468",-5.42086511382925,5.04730361854738,2.86886654888575e-20,1.58858703700301e-17
"FUN_000231",-5.41494997227904,5.32382529248276,2.06637886128019e-11,1.89650196925892e-09
"FUN_002475",-5.36049595796968,8.04797675257218,7.49406953519794e-12,7.5449383708308e-10
"FUN_003330",-5.23766812793529,1.09481415117227,3.45693956310659e-16,9.90115172798736e-14
"FUN_004335",-5.21781332440852,5.30705083909809,8.22595206173509e-19,3.50383373460368e-16
"FUN_010552",-5.20238765929615,4.23695516394118,2.76405026028487e-11,2.48196772561364e-09
"FUN_012690",-5.1838923163222,-1.37934640119704,6.72145846095821e-05,0.00097516915243177
"FUN_012575",-5.16949371432263,6.76375241354237,3.26000730189852e-20,1.74694326771413e-17
