"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_008877","-8.80668998250932",3757.50443972298,3.56996543479419e-126,5.24142325136483e-122
"FUN_013025","1.78011243882489",8727.72475467416,1.4818473196368e-47,1.08782411734538e-43
"FUN_002096","1.87438998016324",3436.63040247978,1.16720852552934e-38,5.71231852394057e-35
"FUN_000190","-5.52602121142557",6528.02346622575,2.09065957611452e-37,6.92007779287133e-34
"FUN_001047","1.11792622966041",18858.4344029102,2.35665365511215e-37,6.92007779287133e-34
"FUN_015181","-3.73744887346448",924.991041320726,4.88774699897732e-37,1.19603169064975e-33
"FUN_002784","-3.30171638474701",286.668156902087,3.77246394377634e-36,6.92341445281552e-33
"FUN_014060","-2.30787494172698",655.321577763955,3.65582413011357e-36,6.92341445281552e-33
"FUN_007339","1.52239936870096",2790.10157213243,5.92566276693419e-36,9.66673119379197e-33
"FUN_002782","2.27785467628242",4354.18776434521,1.1572209736806e-35,1.69903183355785e-32
"FUN_005881","-2.37553368030284",1064.90835178074,5.09390534404595e-35,6.23239318844022e-32
"FUN_012622","-5.79963117165978",7143.36161665214,4.85561111320721e-35,6.23239318844022e-32
"FUN_003726","2.73467003969065",374.479019497135,1.12107019403314e-34,1.26611942990727e-31
"FUN_006584","-3.33195741255682",408.802591233728,2.94881802754937e-34,3.09246759146285e-31
"FUN_009171","0.683000729553178",4510.67723058577,1.17411679932303e-33,1.14922552317738e-30
"FUN_005315","2.41620894144376",134.967759699291,4.54880805293834e-33,4.17409998957755e-30
"FUN_000887","-8.64926873868201",298.409095246024,8.88228172918565e-33,7.67115649105316e-30
"FUN_012645","2.26340333835973",1235.41766326095,1.28837099238549e-30,1.05088127278909e-27
"FUN_010292","3.93753237773312",220.278863541595,1.57679998208564e-30,1.19654583182464e-27
"FUN_014661","0.89320078056132",1969.39549074138,1.62994936905686e-30,1.19654583182464e-27
"FUN_002437","1.98193387440547",711.89184066463,2.04463138200104e-30,1.42948942621616e-27
"FUN_004521","0.99992655416311",4262.08048063411,3.5230217861185e-28,2.35113663017235e-25
"FUN_005334","-7.02747020723169",388.449309832981,5.67326467975802e-28,3.62151617513944e-25
"FUN_011641","0.949598515398342",3254.59423240867,5.93963542777498e-28,3.63357197294134e-25
"FUN_009386","1.75956199868131",50624.7217918814,6.2908758275715e-28,3.69450555601619e-25
"FUN_013170","2.9254490645939",181.96310850597,7.26652682112214e-28,4.10335179952751e-25
"FUN_002553","3.4133998322011",682.613167569442,7.70775444454055e-28,4.19130558350905e-25
"FUN_005595","1.32763582072101",1679.39748207294,1.21105563291211e-27,6.35025671514841e-25
"FUN_000038","1.25881449159998",1353.91460493186,1.94037110853435e-27,9.82363055706945e-25
"FUN_012169","1.75010391265088",774.680397420978,3.9253796057451e-27,1.92108077905165e-24
"FUN_001857","1.3782771823637",3985.03902724678,4.26564872437796e-27,2.0202662764941e-24
"FUN_003017","-2.46526699304733",1358.5094099609,7.95021929087262e-27,3.6476599883935e-24
"FUN_002259","2.35007329188022",367.663796732661,8.71819423444433e-27,3.87880387121551e-24
"FUN_012575","-5.09774727119374",1055.35383402644,1.234773386866e-26,5.33204201940192e-24
"FUN_000344","1.99210886751222",377.987865920556,1.4561525301477e-26,6.1083518421796e-24
"FUN_002551","3.40163761379746",620.516544334433,2.22869442934987e-26,9.08935878103189e-24
"FUN_009056","4.0433520080201",81.5461835877553,2.81701816932671e-26,1.11782326383932e-23
"FUN_005765","1.29822612830433",337.708290010357,6.70763028851609e-26,2.59161652357877e-23
"FUN_007611","1.4675148179307",723.329031752581,3.14882221803731e-25,1.1854104565442e-22
"FUN_006209","-6.86137399255705",247.207810507906,4.13387677486042e-25,1.51733947021252e-22
"FUN_006034","-1.47330775948381",4333.3902589757,4.57946726975015e-25,1.63989605986516e-22
"FUN_002535","0.573402270821141",10450.6643682218,5.10177417510176e-25,1.78343448663914e-22
"FUN_009753","-5.38143606400913",102.128942948236,5.27499334065591e-25,1.80110354017465e-22
"FUN_010950","2.07297227161651",4533.83271698487,5.54079599739165e-25,1.84886288258419e-22
"FUN_001563","1.62927467011138",1983.80725074695,6.35946385931329e-25,2.07488107516528e-22
"FUN_003016","-2.78024395135277",3279.17675693943,7.74335628642003e-25,2.4714773260265e-22
"FUN_010594","1.83025415866251",1948.0563119938,9.44296337807066e-25,2.94982102801773e-22
"FUN_006187","-4.43863976701274",7982.40195344359,1.13066216756684e-24,3.45841290504506e-22
"FUN_008302","1.53394925297498",2401.2075782264,1.66691459625145e-24,4.99462042901302e-22
"FUN_012629","4.64940873776705",242.683036726667,1.78066067980133e-24,5.22873202016861e-22
"FUN_009349","2.01292773085412",2994.72104934511,2.16501433211462e-24,6.23269420080526e-22
"FUN_005924","3.86179239009584",413.223378221669,4.45155112046699e-24,1.23769813744962e-21
"FUN_010397","0.568692386204102",5448.65584519044,4.46791998943125e-24,1.23769813744962e-21
"FUN_001618","3.65252308814357",1684.61787126024,6.63070998497612e-24,1.80281637035962e-21
"FUN_007232","2.57635237497936",3816.86984466781,1.18143715413867e-23,3.15379278128436e-21
"FUN_009385","1.31550937767708",2076.75025561073,1.48048338809665e-23,3.88151019714912e-21
"FUN_002059","-3.23416606397393",420.273500550712,2.2865658981483e-23,5.8428188794257e-21
"FUN_010077","-1.16945381093247",924.742712936021,2.30815621173335e-23,5.8428188794257e-21
"FUN_003895","-2.01542066311958",166.870561971039,2.53800968202713e-23,6.31577256805463e-21
"FUN_008022","3.04951575962104",64.281950786431,3.15327478544178e-23,7.71606339997602e-21
"FUN_010759","-3.2864683266072",280.646259064211,6.68439614372782e-23,1.60885744561003e-20
