"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-10.9473707194239,2.6002369092901,8.79337582166861e-06,0.000206905891146684
"FUN_013139",-10.8537066999428,2.51141591672596,4.9525889061129e-25,1.02840508635434e-21
"FUN_010492",-10.4572449381554,2.12317106649441,4.58363075066955e-32,2.53810913433742e-28
"FUN_013846",-10.3409262101737,2.02220477745056,0.000331409162054885,0.00455125612111581
"FUN_002487",-9.89771576596965,1.58932334000259,2.0989427883133e-14,5.36425193837854e-12
"FUN_008732",-9.68523360099481,1.37794628716585,2.01493908903739e-10,1.88045888466792e-08
"FUN_014624",-9.32061364880589,1.04119399135775,9.80751575148546e-20,5.81865898798845e-17
"FUN_002467",-9.31251182053967,6.1616480722554,1.97420203672534e-20,1.56168782067054e-17
"FUN_003027",-9.03951036526958,0.781857566054975,7.37204630676734e-18,3.40178981244497e-15
"FUN_012054",-8.96672727616248,7.178271371695,2.92575479551944e-20,2.20921084832586e-17
"FUN_011264",-8.9282412422734,0.660678361725331,0.00019341396802511,0.00284335649277269
"FUN_008877",-8.81981251415181,7.56765043869892,1.73655545431832e-49,2.8847659207136e-45
"FUN_013141",-8.76435381280914,0.529698137551291,6.01205449940825e-06,0.000151092661640197
"FUN_003765",-8.66875945752906,0.432922822631535,5.00039400604574e-09,3.33600583246714e-07
"FUN_000887",-8.55855035104788,3.9292797170636,3.57888414654777e-44,2.97262117212258e-40
"FUN_002484",-8.48076735197198,0.280587063289452,7.65436122703521e-08,3.52227835743792e-06
"FUN_002485",-8.47810598304035,5.86904707544199,1.04959177342241e-25,2.90596975668218e-22
"FUN_002466",-8.41510673400477,7.38528155405637,1.0518182685697e-12,1.69638884247378e-10
"FUN_002470",-8.21618565484731,6.93627289925965,4.26500523785515e-14,1.02681546393116e-11
"FUN_002486",-8.20413648610744,5.73441506923,9.99316275751429e-23,1.27697245944483e-19
"FUN_009752",-8.10791849177464,-0.0605157284017164,5.36059006976652e-15,1.56228284629757e-12
"FUN_013050",-8.05258781668192,-0.111652781429851,4.12463558047904e-16,1.42746763047746e-13
"FUN_015317",-7.73877557366069,-0.389689892662503,0.00111450525960827,0.0129108517242765
"FUN_012053",-7.60707604794256,7.18594623856378,1.05148864112789e-15,3.49346586128329e-13
"FUN_001555",-7.48663552573742,-0.565892175346117,8.69506683592042e-05,0.00143866982348914
"FUN_002117",-7.27665622432431,-0.768481867421857,3.33053924150149e-11,3.84214707498769e-09
"FUN_016323",-7.24818900490927,-0.786296709094447,4.02575607859669e-09,2.7520930031954e-07
